ID,Date,Element,Data_Value
SF001290070,2011-04-19,TMIN,154
SF001290070,2011-04-29,TMIN,98
SF001290070,2011-11-22,TMAX,228
SF001290070,2012-03-09,TMIN,231
SF001290070,2012-02-12,TMIN,189
SF001290070,2011-11-13,TMAX,249
SF001290070,2011-11-18,TMIN,193
SF001290070,2011-11-18,TMAX,233
SF001290070,2015-07-23,TMIN,132
SF001290070,2011-10-08,TMIN,153
SF001290070,2015-07-17,TMAX,221
SF001290070,2015-06-13,TMAX,229
SF001290070,2011-08-02,TMAX,218
SF001290070,2012-01-08,TMIN,240
SF001290070,2011-11-09,TMIN,170
SF001290070,2015-08-03,TMAX,307
SF001290070,2015-08-22,TMIN,159
SF001290070,2012-02-18,TMIN,205
SF001290070,2012-04-24,TMIN,129
SF001290070,2011-04-29,TMAX,250
SF001290070,2011-06-23,TMIN,117
SF001290070,2012-03-09,TMAX,301
SF001290070,2011-10-28,TMAX,274
SF001290070,2011-07-31,TMIN,107
SF001290070,2011-05-04,TMIN,168
SF001290070,2011-05-30,TMIN,108
SF001290070,2011-05-04,TMAX,255
SF001290070,2012-02-23,TMIN,231
SF001290070,2015-07-23,TMAX,193
SF001290070,2011-10-02,TMAX,243
SF001290070,2011-08-26,TMAX,224
SF001290070,2011-09-03,TMIN,90
SF001290070,2011-08-22,TMIN,128
SF001290070,2011-12-09,TMAX,217
SF001290070,2011-05-01,TMIN,134
SF001290070,2012-02-17,TMIN,235
SF001290070,2011-08-18,TMAX,219
SF001290070,2011-10-08,TMAX,302
SF001290070,2011-05-29,TMIN,124
SF001290070,2011-11-27,TMAX,251
SF001290070,2015-07-25,TMIN,122
SF001290070,2012-02-23,TMAX,328
SF001290070,2015-11-09,TMIN,192
SF001290070,2015-10-07,TMAX,258
SF001290070,2011-07-17,TMIN,113
SF001290070,2015-11-16,TMAX,240
SF001290070,2011-07-17,TMAX,222
SF001290070,2012-02-13,TMAX,292
SF001290070,2011-05-01,TMAX,243
SF001290070,2015-04-20,TMIN,91
SF001290070,2012-02-13,TMIN,211
SF001290070,2011-09-16,TMIN,121
SF001290070,2012-05-07,TMAX,252
SF001290070,2012-07-18,TMIN,110
SF001290070,2011-09-20,TMIN,100
SF001290070,2011-05-11,TMAX,268
SF001290070,2011-08-12,TMIN,105
SF001290070,2011-09-20,TMAX,203
SF001290070,2011-06-17,TMAX,257
SF001290070,2011-08-08,TMIN,90
SF001290070,2011-07-23,TMIN,131
SF001290070,2011-08-08,TMAX,237
SF001290070,2015-08-03,TMIN,125
SF001290070,2015-10-28,TMIN,174
SF001290070,2011-05-08,TMIN,168
SF001290070,2011-11-30,TMIN,192
SF001290070,2011-11-11,TMAX,233
SF001290070,2012-05-24,TMIN,162
SF001290070,2012-07-30,TMIN,91
SF001290070,2015-06-19,TMIN,113
SF001290070,2011-07-09,TMAX,202
SF001290070,2012-02-17,TMAX,307
SF001290070,2011-08-02,TMIN,97
SF001290070,2015-07-17,TMIN,102
SF001290070,2011-07-09,TMIN,116
SF001290070,2011-07-23,TMAX,231
SF001290070,2012-07-18,TMAX,217
SF001290070,2012-01-17,TMIN,230
SF001290070,2012-05-07,TMIN,166
SF001290070,2011-11-27,TMIN,188
SF001290070,2015-11-13,TMAX,261
SF001290070,2005-08-24,TMIN,140
SF001290070,2011-12-02,TMAX,267
SF001290070,2012-06-16,TMAX,278
SF001290070,2011-08-17,TMIN,100
SF001290070,2015-07-01,TMIN,111
SF001290070,2011-10-10,TMIN,152
SF001290070,2015-11-17,TMIN,146
SF001290070,2012-05-20,TMIN,82
SF001290070,2011-04-24,TMIN,170
SF001290070,2011-11-30,TMAX,342
SF001290070,2012-04-30,TMAX,290
SF001290070,2011-12-12,TMIN,195
SF001290070,2011-04-24,TMAX,301
SF001290070,2012-06-17,TMIN,119
SF001290070,2012-06-17,TMAX,284
SF001290070,2011-10-10,TMAX,304
SF001290070,2012-07-26,TMIN,123
SF001290070,2012-05-20,TMAX,220
SF001290070,2011-04-20,TMIN,168
SF001290070,2012-07-26,TMAX,259
