ID,Date,Element,Data_Value
CA002400650,2012-01-30,TMAX,-192
CA002400654,2012-06-25,TMAX,143
CA002400654,2012-04-03,TMAX,-51
CA002400654,2014-09-02,TMAX,48
CA002400654,2014-05-23,TMIN,-82
CA002400654,2012-03-01,TMAX,-251
CA002400654,2011-04-08,TMAX,-210
CA002400650,2012-05-08,TMAX,-2
CA002400650,2015-07-11,TMIN,56
CA002400650,2011-03-24,TMAX,-138
CA002400654,2013-08-02,TMAX,100
CA002400650,2011-05-29,TMAX,-42
CA002400654,2014-10-04,TMIN,-93
CA002400654,2013-04-16,TMAX,-70
CA002400650,2011-09-27,TMIN,-38
CA002400654,2014-05-11,TMAX,-11
CA002400654,2015-08-18,TMIN,26
CA002400650,2012-07-19,TMAX,164
CA002400650,2012-01-30,TMIN,-231
CA002400650,2012-05-08,TMIN,-69
CA002400650,2015-09-16,TMIN,-6
CA002400650,2012-08-19,TMAX,58
CA002400654,2014-08-03,TMIN,57
CA002400654,2012-06-13,TMIN,-24
CA002400650,2013-08-09,TMIN,-4
CA002400650,2013-06-25,TMAX,56
CA002400654,2012-06-13,TMAX,12
CA002400654,2015-12-25,TMAX,-111
CA002400650,2015-03-01,TMAX,-230
CA002400654,2012-06-10,TMIN,-27
CA002400654,2013-01-26,TMIN,-181
CA002400650,2013-03-09,TMIN,-199
CA002400654,2013-01-26,TMAX,-105
CA002400654,2013-04-16,TMIN,-205
CA002400650,2014-08-09,TMIN,20
CA002400650,2013-05-09,TMAX,-128
CA002400650,2014-01-18,TMIN,-243
CA002400654,2011-03-13,TMAX,-223
CA002400650,2015-11-19,TMIN,-90
CA002400650,2011-10-27,TMIN,-106
CA002400650,2011-08-09,TMAX,121
CA002400654,2011-08-20,TMAX,77
CA002400650,2013-10-02,TMIN,-79
CA002400654,2011-04-06,TMIN,-220
CA002400650,2014-03-07,TMAX,-206
CA002400650,2012-07-14,TMAX,127
CA002400654,2011-02-11,TMIN,-301
CA002400650,2012-11-17,TMAX,-102
CA002400650,2011-12-07,TMIN,-200
CA002400650,2011-05-29,TMIN,-81
CA002400654,2011-04-08,TMIN,-239
CA002400650,2014-03-31,TMAX,-141
CA002400654,2014-01-15,TMAX,-115
CA002400650,2011-03-10,TMAX,-217
CA002400650,2011-02-24,TMAX,-284
CA002400650,2015-08-25,TMIN,-43
CA002400654,2013-01-13,TMIN,-272
CA002400650,2013-03-22,TMAX,-71
CA002400650,2012-07-14,TMIN,76
CA002400650,2014-09-01,TMAX,44
CA002400654,2013-01-13,TMAX,-185
CA002400650,2013-03-09,TMAX,-172
CA002400654,2014-06-19,TMIN,-23
CA002400650,2012-08-19,TMIN,22
CA002400650,2011-08-15,TMIN,48
CA002400650,2014-09-01,TMIN,-7
