ID,Date,Element,Data_Value
CA001171393,2009-05-05,TMAX,110
CA001171393,2014-09-13,TMAX,150
CA001171393,2014-11-01,TMIN,-20
CA001171393,2009-10-09,TMIN,-100
CA001171393,2009-11-26,TMIN,-100
CA001171393,2008-10-09,TMAX,80
CA001171393,2006-12-21,TMIN,-70
CA001171393,2015-06-09,TMIN,50
CA001171393,2007-09-13,TMIN,10
CA001171393,2007-05-26,TMIN,20
CA001171393,2006-06-09,TMIN,65
CA001171393,2014-11-01,TMAX,30
CA001171393,2009-07-06,TMIN,60
CA001171393,2005-01-04,TMAX,-170
CA001171393,2007-05-31,TMAX,240
CA001171393,2012-08-16,TMAX,250
CA001171393,2011-05-24,TMIN,5
CA001171393,2009-05-10,TMAX,145
CA001171393,2012-08-16,TMIN,45
CA001171393,2009-08-31,TMIN,80
CA001171393,2009-07-06,TMAX,140
CA001171393,2006-05-31,TMAX,200
CA001171393,2006-05-31,TMIN,25
CA001171393,2008-09-25,TMIN,-35
CA001171393,2007-09-08,TMIN,15
CA001171393,2006-02-05,TMIN,-20
CA001171393,2009-10-13,TMIN,-85
CA001171393,2009-10-13,TMAX,-30
CA001171393,2007-09-08,TMAX,140
CA001171393,2009-08-31,TMAX,260
CA001171393,2006-08-17,TMIN,50
CA001171393,2009-05-10,TMIN,-20
CA001171393,2014-05-24,TMAX,150
CA001171393,2006-12-21,TMAX,0
CA001171393,2007-10-14,TMAX,115
CA001171393,2008-06-05,TMIN,60
CA001171393,2009-11-27,TMAX,10
CA001171393,2008-10-09,TMIN,-20
CA001171393,2008-09-25,TMAX,110
CA001171393,2011-05-24,TMAX,145
CA001171393,2012-11-19,TMIN,-20
CA001171393,2011-05-06,TMAX,85
CA001171393,2007-09-13,TMAX,115
CA001171393,2009-11-26,TMAX,20
CA001171393,2007-05-03,TMAX,100
CA001171393,2006-04-29,TMIN,20
CA001171393,2008-07-31,TMIN,25
CA001171393,2008-07-31,TMAX,175
CA001171393,2014-09-13,TMIN,0
CA001171393,2007-05-03,TMIN,0
CA001171393,2014-05-24,TMIN,80
CA001171393,2007-09-25,TMIN,50
CA001171393,2007-09-25,TMAX,120
CA001171393,2011-05-02,TMIN,-30
CA001171393,2009-05-05,TMIN,0
CA001171393,2006-08-17,TMAX,235
CA001171393,2009-11-27,TMIN,-80
CA001171393,2011-05-06,TMIN,-20
CA001171393,2011-07-15,TMIN,70
CA001171393,2005-12-05,TMAX,-75
CA001171393,2007-06-04,TMIN,80
CA001171393,2007-05-24,TMIN,-5
CA001171393,2011-07-15,TMAX,150
CA001171393,2011-05-02,TMAX,140
CA001171393,2012-11-19,TMAX,0
CA001171393,2007-05-24,TMAX,150
CA001171393,2011-06-08,TMIN,50
CA001171393,2009-05-29,TMAX,230
CA001171393,2011-06-17,TMAX,170
CA001171393,2009-10-03,TMAX,50
CA001171393,2012-11-01,TMIN,-30
CA001171393,2012-11-01,TMAX,20
CA001171393,2015-06-25,TMIN,70
CA001171393,2012-09-10,TMIN,20
CA001171393,2015-06-25,TMAX,220
CA001171393,2008-04-26,TMAX,-55
CA001171393,2008-10-08,TMIN,-5
CA001171393,2006-10-29,TMAX,-40
CA001171393,2011-09-12,TMAX,200
CA001171393,2008-10-08,TMAX,40
CA001171393,2011-06-17,TMIN,60
CA001171393,2005-06-30,TMAX,180
CA001171393,2006-08-28,TMAX,260
CA001171393,2009-06-28,TMIN,60
CA001171393,2012-06-21,TMAX,220
CA001171393,2009-06-28,TMAX,160
CA001171393,2014-05-28,TMAX,90
CA001171393,2009-10-03,TMIN,0
CA001171393,2014-05-28,TMIN,30
CA001171393,2015-05-25,TMIN,50
CA001171393,2015-05-25,TMAX,230
CA001171393,2007-06-22,TMIN,60
CA001171393,2005-04-26,TMIN,0
CA001171393,2008-05-05,TMIN,-10
CA001171393,2005-07-04,TMIN,90
CA001171393,2006-07-25,TMIN,105
CA001171393,2006-07-25,TMAX,245
CA001171393,2007-06-22,TMAX,200
CA001171393,2006-01-04,TMIN,-60
CA001171393,2011-09-12,TMIN,40
CA001171393,2006-01-04,TMAX,0
CA001171393,2009-07-13,TMAX,250
CA001171393,2009-07-13,TMIN,80
CA001171393,2009-07-20,TMIN,55
CA001171393,2005-07-04,TMAX,170
CA001171393,2009-07-20,TMAX,275
CA001171393,2006-10-29,TMIN,-60
CA001171393,2005-08-12,TMAX,200
CA001171393,2006-08-28,TMIN,75
CA001171393,2011-07-11,TMIN,60
CA001171393,2011-07-11,TMAX,205
CA001171393,2012-06-21,TMIN,85
CA001171393,2008-04-26,TMIN,-90
CA001171393,2005-05-30,TMAX,265
CA001171393,2006-03-14,TMAX,20
CA001171393,2006-02-26,TMAX,-45
CA001171393,2015-05-16,TMAX,170
CA001171393,2006-03-01,TMIN,-100
CA001171393,2006-07-20,TMAX,255
CA001171393,2006-07-20,TMIN,60
CA001171393,2006-03-01,TMAX,0
CA001171393,2014-11-25,TMAX,-20
CA001171393,2005-11-16,TMAX,-10
CA001171393,2009-07-12,TMIN,85
CA001171393,2014-11-25,TMIN,-50
CA001171393,2007-05-16,TMAX,185
CA001171393,2007-05-16,TMIN,20
CA001171393,2006-10-06,TMAX,90
CA001171393,2009-07-26,TMAX,300
CA001171393,2006-10-06,TMIN,30
CA001171393,2009-07-26,TMIN,150
CA001171393,2007-07-24,TMIN,100
CA001171393,2007-07-24,TMAX,170
CA001171393,2006-03-14,TMIN,-60
CA001171393,2005-11-16,TMIN,-55
CA001171393,2005-09-08,TMAX,145
CA001171393,2005-09-08,TMIN,75
CA001171393,2005-05-30,TMIN,80
CA001171393,2011-08-30,TMAX,80
CA001171393,2005-09-13,TMAX,135
CA001171393,2011-08-30,TMIN,70
CA001171393,2012-06-23,TMIN,110
CA001171393,2014-11-26,TMIN,-50
CA001171393,2012-06-23,TMAX,200
CA001171393,2014-11-26,TMAX,-20
CA001171393,2009-05-30,TMAX,165
CA001171393,2008-04-29,TMIN,0
CA001171393,2009-05-30,TMIN,70
CA001171393,2014-05-03,TMAX,70
CA001171393,2011-05-31,TMIN,20
CA001171393,2008-09-28,TMAX,110
CA001171393,2009-11-25,TMAX,15
CA001171393,2009-11-25,TMIN,-75
CA001171393,2005-06-30,TMIN,90
CA001171393,2008-09-28,TMIN,-10
CA001171393,2011-05-31,TMAX,170
CA001171393,2006-02-26,TMIN,-130
CA001171393,2005-09-13,TMIN,30
CA001171393,2006-07-19,TMIN,40
CA001171393,2005-04-26,TMAX,160
CA001171393,2008-04-29,TMAX,140
CA001171393,2006-07-06,TMIN,110
CA001171393,2006-07-06,TMAX,255
CA001171393,2014-09-22,TMIN,40
CA001171393,2005-04-11,TMIN,0
CA001171393,2006-12-08,TMAX,5
CA001171393,2014-08-05,TMAX,290
CA001171393,2013-06-10,TMIN,55
CA001171393,2014-09-22,TMAX,145
CA001171393,2005-01-25,TMIN,0
CA001171393,2015-05-29,TMAX,200
CA001171393,2006-12-08,TMIN,-25
CA001171393,2006-09-10,TMAX,160
CA001171393,2006-09-10,TMIN,70
CA001171393,2014-11-07,TMIN,-5
CA001171393,2006-07-31,TMAX,180
CA001171393,2006-07-31,TMIN,85
CA001171393,2005-01-21,TMIN,0
CA001171393,2005-06-21,TMIN,65
CA001171393,2006-04-28,TMIN,10
CA001171393,2014-08-05,TMIN,80
CA001171393,2012-09-16,TMIN,20
CA001171393,2008-10-28,TMAX,60
CA001171393,2008-04-15,TMIN,-110
CA001171393,2005-12-04,TMAX,-105
CA001171393,2009-09-10,TMIN,50
CA001171393,2012-09-04,TMAX,150
CA001171393,2007-01-20,TMIN,-80
CA001171393,2011-06-28,TMAX,150
CA001171393,2011-06-28,TMIN,100
CA001171393,2007-01-20,TMAX,-50
CA001171393,2005-04-11,TMAX,70
CA001171393,2008-10-28,TMIN,-110
CA001171393,2009-05-27,TMAX,130
CA001171393,2009-05-27,TMIN,35
CA001171393,2007-08-21,TMIN,60
CA001171393,2008-07-03,TMAX,265
CA001171393,2007-08-21,TMAX,160
CA001171393,2008-07-03,TMIN,105
CA001171393,2008-04-15,TMAX,-35
CA001171393,2009-06-06,TMIN,22
CA001171393,2006-05-12,TMIN,15
CA001171393,2006-05-12,TMAX,55
CA001171393,2009-06-06,TMAX,180
CA001171393,2006-04-28,TMAX,150
CA001171393,2007-10-12,TMAX,70
CA001171393,2005-01-21,TMAX,15
CA001171393,2005-07-10,TMIN,40
CA001171393,2007-08-18,TMAX,225
CA001171393,2011-09-13,TMIN,50
CA001171393,2011-07-12,TMAX,210
CA001171393,2012-09-13,TMAX,190
CA001171393,2012-09-13,TMIN,10
CA001171393,2009-06-26,TMAX,140
CA001171393,2009-06-26,TMIN,55
CA001171393,2007-08-18,TMIN,75
CA001171393,2005-07-10,TMAX,185
CA001171393,2011-09-13,TMAX,240
CA001171393,2006-03-30,TMAX,50
CA001171393,2014-11-22,TMAX,20
CA001171393,2014-11-22,TMIN,-30
