ID,Date,Element,Data_Value
IN005010600,2011-06-28,TMIN,283
IN005010600,2015-06-15,TMIN,276
IN005010600,2007-03-23,TMIN,198
IN005010600,2011-09-18,TMIN,238
IN005010600,2014-06-19,TMAX,406
IN005010600,2007-08-08,TMAX,270
IN005010600,2013-03-15,TMIN,190
IN005010600,2009-09-30,TMIN,266
IN005010600,2012-10-31,TMIN,159
IN005010600,2007-11-13,TMAX,345
IN005010600,2013-06-11,TMAX,346
IN005010600,2013-06-11,TMIN,255
IN005010600,2013-10-17,TMIN,222
IN005010600,2013-03-15,TMAX,366
IN005010600,2010-04-19,TMIN,268
IN005010600,2006-08-17,TMIN,245
IN005010600,2012-11-12,TMIN,155
IN005010600,2014-05-14,TMAX,380
IN005010600,2013-10-17,TMAX,350
IN005010600,2009-05-19,TMAX,420
IN005010600,2009-04-15,TMIN,250
IN005010600,2008-11-01,TMAX,359
IN005010600,2008-04-02,TMAX,357
IN005010600,2011-08-27,TMAX,323
IN005010600,2011-08-27,TMIN,253
IN005010600,2008-08-06,TMIN,242
IN005010600,2007-08-21,TMAX,260
IN005010600,2008-02-19,TMAX,337
IN005010600,2012-09-13,TMAX,320
IN005010600,2012-09-13,TMIN,246
IN005010600,2011-04-30,TMIN,270
IN005010600,2009-04-15,TMAX,370
IN005010600,2013-07-02,TMIN,277
IN005010600,2010-04-30,TMAX,423
IN005010600,2006-08-17,TMAX,323
IN005010600,2006-08-31,TMIN,246
IN005010600,2013-01-13,TMAX,310
IN005010600,2013-01-13,TMIN,133
IN005010600,2013-06-18,TMIN,260
IN005010600,2008-04-02,TMIN,224
IN005010600,2012-11-18,TMIN,125
IN005010600,2015-10-09,TMIN,230
IN005010600,2014-02-05,TMAX,320
IN005010600,2008-09-22,TMIN,252
IN005010600,2014-01-10,TMAX,240
IN005010600,2015-09-26,TMIN,235
IN005010600,2011-12-23,TMIN,145
IN005010600,2007-03-30,TMIN,236
IN005010600,2015-09-26,TMAX,341
IN005010600,2008-09-22,TMAX,324
IN005010600,2007-11-19,TMIN,138
IN005010600,2010-01-13,TMAX,247
IN005010600,2006-04-19,TMAX,386
IN005010600,2008-12-22,TMIN,166
IN005010600,2006-09-21,TMIN,264
IN005010600,2005-10-18,TMIN,207
IN005010600,2007-08-06,TMAX,332
IN005010600,2006-07-28,TMIN,239
IN005010600,2007-08-06,TMIN,254
IN005010600,2009-07-15,TMAX,325
IN005010600,2007-06-08,TMIN,290
IN005010600,2014-06-16,TMAX,374
IN005010600,2013-03-10,TMIN,198
IN005010600,2007-09-04,TMAX,340
IN005010600,2007-03-01,TMAX,303
IN005010600,2012-09-17,TMIN,248
IN005010600,2013-12-11,TMAX,301
IN005010600,2008-08-17,TMIN,250
IN005010600,2014-06-18,TMAX,390
IN005010600,2005-05-15,TMAX,428
IN005010600,2007-06-14,TMIN,304
IN005010600,2007-11-12,TMAX,350
IN005010600,2015-10-24,TMIN,186
IN005010600,2013-09-29,TMIN,253
IN005010600,2008-05-23,TMAX,413
IN005010600,2015-04-11,TMAX,364
IN005010600,2008-09-18,TMIN,243
IN005010600,2007-07-31,TMIN,265
IN005010600,2013-04-04,TMIN,230
IN005010600,2010-07-24,TMAX,316
IN005010600,2010-07-24,TMIN,256
IN005010600,2013-12-19,TMAX,301
IN005010600,2009-01-14,TMAX,314
IN005010600,2012-05-05,TMAX,394
IN005010600,2010-11-11,TMIN,235
IN005010600,2007-01-23,TMIN,112
IN005010600,2007-07-10,TMIN,244
IN005010600,2012-09-17,TMAX,344
IN005010600,2010-08-10,TMIN,260
IN005010600,2010-01-29,TMIN,145
IN005010600,2012-07-06,TMIN,274
IN005010600,2015-06-02,TMAX,404
IN005010600,2011-09-04,TMIN,253
IN005010600,2013-07-05,TMIN,222
IN005010600,2013-07-05,TMAX,320
IN005010600,2009-01-01,TMAX,275
IN005010600,2010-12-28,TMIN,174
IN005010600,2008-07-25,TMIN,270
IN005010600,2011-12-03,TMIN,174
IN005010600,2008-04-24,TMAX,410
