ID,Date,Element,Data_Value
CA002201601,2007-06-11,TMIN,51
CA002201601,2006-05-28,TMIN,-21
CA002201601,2008-03-07,TMIN,-261
CA002201601,2010-09-04,TMIN,48
CA002201601,2005-01-07,TMIN,-140
CA002201601,2007-07-28,TMIN,91
CA002201601,2005-07-01,TMAX,89
CA002201601,2007-06-11,TMAX,113
CA002201601,2006-11-26,TMIN,-348
CA002201601,2006-06-19,TMAX,241
CA002201601,2008-06-01,TMIN,23
CA002201601,2008-06-01,TMAX,144
CA002201601,2005-10-23,TMAX,9
CA002201601,2005-04-13,TMAX,-111
CA002201601,2006-11-26,TMAX,-254
CA002201601,2008-12-19,TMAX,-178
CA002201601,2007-07-07,TMIN,127
CA002201601,2006-05-22,TMAX,39
CA002201601,2006-05-12,TMAX,35
CA002201601,2008-03-20,TMAX,-248
CA002201601,2013-02-11,TMAX,-203
CA002201601,2010-12-07,TMIN,-331
CA002201601,2005-01-07,TMAX,-105
CA002201601,2006-05-28,TMAX,124
CA002201601,2010-04-18,TMAX,115
CA002201601,2005-10-02,TMAX,-11
CA002201601,2006-10-19,TMAX,-67
CA002201601,2005-10-23,TMIN,-62
CA002201601,2007-09-14,TMIN,34
CA002201601,2006-10-16,TMAX,-46
CA002201601,2006-01-01,TMIN,-220
CA002201601,2010-09-13,TMIN,61
CA002201601,2010-11-30,TMAX,-153
CA002201601,2007-03-26,TMAX,-129
CA002201601,2007-09-14,TMAX,157
CA002201601,2007-03-26,TMIN,-323
CA002201601,2006-06-17,TMAX,148
CA002201601,2011-08-29,TMIN,50
CA002201601,2007-07-28,TMAX,251
CA002201601,2011-08-29,TMAX,93
CA002201601,2007-07-07,TMAX,258
CA002201601,2005-03-07,TMAX,-150
CA002201601,2010-03-03,TMIN,-235
CA002201601,2007-11-17,TMAX,-160
CA002201601,2007-02-15,TMIN,-267
CA002201601,2010-09-13,TMAX,140
CA002201601,2010-07-07,TMIN,86
CA002201601,2010-10-23,TMIN,-171
CA002201601,2010-11-30,TMIN,-201
CA002201601,2005-04-13,TMIN,-166
CA002201601,2006-10-19,TMIN,-124
CA002201601,2008-12-26,TMAX,-140
CA002201601,2007-02-15,TMAX,-207
CA002201601,2010-03-03,TMAX,-168
CA002201601,2007-02-14,TMAX,-177
CA002201601,2007-05-19,TMIN,-59
CA002201601,2006-05-12,TMIN,-19
CA002201601,2005-07-01,TMIN,34
CA002201601,2005-10-07,TMIN,-51
CA002201601,2007-11-17,TMIN,-170
CA002201601,2010-10-23,TMAX,-114
CA002201601,2010-07-29,TMAX,215
CA002201601,2005-06-24,TMAX,158
CA002201601,2006-06-17,TMIN,91
CA002201601,2010-12-07,TMAX,-313
CA002201601,2008-06-06,TMIN,67
CA002201601,2005-03-07,TMIN,-225
CA002201601,2010-07-07,TMAX,154
CA002201601,2010-05-15,TMAX,102
CA002201601,2005-06-24,TMIN,27
CA002201601,2007-06-02,TMAX,232
CA002201601,2007-06-02,TMIN,15
CA002201601,2005-10-21,TMAX,-53
CA002201601,2007-05-18,TMAX,81
CA002201601,2006-10-26,TMIN,-64
CA002201601,2010-11-26,TMAX,-75
CA002201601,2007-05-18,TMIN,-38
CA002201601,2010-04-18,TMIN,-22
CA002201601,2010-04-17,TMAX,114
CA002201601,2010-07-29,TMIN,135
CA002201601,2010-01-05,TMAX,-232
CA002201601,2007-05-09,TMAX,54
CA002201601,2007-05-21,TMAX,74
CA002201601,2006-05-22,TMIN,10
CA002201601,2005-03-31,TMIN,-251
CA002201601,2013-02-11,TMIN,-220
CA002201601,2008-01-10,TMAX,-251
CA002201601,2005-10-07,TMAX,-21
CA002201601,2007-03-04,TMIN,-347
CA002201601,2010-04-17,TMIN,-50
CA002201601,2006-10-16,TMIN,-88
CA002201601,2007-03-04,TMAX,-249
CA002201601,2005-10-21,TMIN,-149
CA002201601,2007-02-14,TMIN,-339
CA002201601,2008-12-19,TMIN,-291
CA002201601,2006-10-26,TMAX,-47
CA002201601,2008-06-06,TMAX,165
CA002201601,2005-10-02,TMIN,-57
CA002201601,2007-05-09,TMIN,-63
CA002201601,2010-05-15,TMIN,-6
CA002201601,2006-06-19,TMIN,111
CA002201601,2007-08-01,TMIN,132
CA002201601,2008-03-20,TMIN,-334
CA002201601,2008-06-25,TMIN,168
CA002201601,2007-08-26,TMAX,210
CA002201601,2007-08-26,TMIN,48
CA002201601,2007-06-09,TMIN,102
CA002201601,2005-12-15,TMIN,-219
CA002201601,2005-05-15,TMAX,79
CA002201601,2007-08-04,TMAX,220
CA002201601,2005-05-15,TMIN,-20
CA002201601,2005-04-19,TMAX,-121
CA002201601,2006-04-29,TMIN,-156
CA002201601,2006-12-10,TMIN,-231
CA002201601,2005-11-05,TMAX,-195
CA002201601,2006-11-10,TMIN,-246
CA002201601,2006-11-10,TMAX,-183
CA002201601,2005-12-15,TMAX,-186
CA002201601,2005-05-01,TMIN,-45
CA002201601,2006-04-29,TMAX,-38
CA002201601,2008-01-31,TMIN,-456
CA002201601,2005-07-20,TMIN,33
CA002201601,2008-04-13,TMIN,-145
CA002201601,2011-08-07,TMAX,175
CA002201601,2008-01-21,TMIN,-38
CA002201601,2008-11-14,TMAX,-104
CA002201601,2008-09-10,TMAX,46
CA002201601,2008-09-10,TMIN,7
CA002201601,2006-11-06,TMAX,-150
CA002201601,2006-07-15,TMAX,251
CA002201601,2013-02-15,TMIN,-268
CA002201601,2013-02-15,TMAX,-215
CA002201601,2010-10-20,TMAX,-34
CA002201601,2005-01-16,TMIN,-360
CA002201601,2010-11-07,TMIN,-142
CA002201601,2007-08-04,TMIN,101
CA002201601,2005-12-24,TMAX,-177
