ID,Date,Element,Data_Value
CA002403945,2006-01-22,TMIN,-308
CA002403945,2008-12-31,TMIN,-295
CA002403945,2009-11-06,TMAX,-216
CA002403945,2008-12-31,TMAX,-229
CA002403945,2013-05-29,TMIN,-57
CA002403945,2009-02-05,TMAX,-199
CA002403945,2011-06-22,TMAX,114
CA002403945,2009-12-24,TMIN,-343
CA002403945,2009-11-06,TMIN,-253
CA002403945,2009-02-26,TMAX,-254
CA002403945,2009-01-27,TMAX,-202
CA002403945,2008-10-22,TMIN,-60
CA002403945,2006-04-19,TMIN,-200
CA002403945,2005-08-25,TMAX,123
CA002403945,2013-06-06,TMIN,10
CA002403945,2006-11-05,TMAX,-151
CA002403945,2011-07-12,TMIN,86
CA002403945,2009-01-27,TMIN,-249
CA002403945,2009-02-21,TMAX,-206
CA002403945,2013-05-18,TMIN,-13
CA002403945,2005-09-18,TMIN,-21
CA002403945,2012-01-03,TMAX,-301
CA002403945,2012-11-16,TMAX,-184
CA002403945,2012-07-26,TMIN,64
CA002403945,2010-11-15,TMIN,-150
CA002403945,2013-10-28,TMIN,-202
CA002403945,2006-11-01,TMAX,-63
CA002403945,2009-02-09,TMAX,-242
CA002403945,2013-10-28,TMAX,-122
CA002403945,2013-03-01,TMAX,-148
CA002403945,2006-04-06,TMIN,-186
CA002403945,2009-06-14,TMAX,66
CA002403945,2012-10-08,TMAX,-31
CA002403945,2005-08-25,TMIN,62
CA002403945,2012-03-23,TMAX,-241
CA002403945,2006-01-10,TMAX,-253
CA002403945,2009-02-21,TMIN,-278
CA002403945,2008-09-20,TMIN,-48
CA002403945,2010-11-17,TMIN,-257
CA002403945,2012-10-19,TMAX,-18
CA002403945,2009-11-07,TMAX,-212
CA002403945,2005-12-02,TMIN,-259
CA002403945,2010-10-03,TMAX,32
CA002403945,2006-01-03,TMIN,-339
CA002403945,2006-01-22,TMAX,-261
CA002403945,2006-01-03,TMAX,-292
CA002403945,2010-05-07,TMIN,-118
CA002403945,2013-04-16,TMAX,-120
CA002403945,2009-11-07,TMIN,-248
CA002403945,2013-04-16,TMIN,-229
