ID,Date,Element,Data_Value
MA000067143,2014-11-18,TMIN,220
MA000067143,2013-08-19,TMAX,258
MA000067143,2014-08-23,TMIN,171
MA000067143,2013-11-22,TMAX,295
MA000067143,2014-02-03,TMAX,310
MA000067143,2005-01-25,TMIN,245
MA000067143,2013-12-16,TMIN,242
MA000067143,2015-01-15,TMIN,230
MA000067143,2013-07-20,TMIN,145
MA000067143,2013-12-16,TMAX,305
MA000067143,2013-09-26,TMAX,270
MA000067143,2013-11-28,TMIN,200
MA000067143,2013-10-31,TMAX,275
MA000067143,2013-06-04,TMAX,255
MA000067143,2014-05-21,TMAX,260
MA000067143,2013-01-12,TMAX,320
MA000067143,2013-10-31,TMIN,220
MA000067143,2014-05-21,TMIN,185
MA000067143,2013-07-25,TMAX,245
MA000067143,2013-06-04,TMIN,150
MA000067143,2013-05-21,TMAX,268
MA000067143,2014-07-26,TMAX,244
MA000067143,2014-04-24,TMAX,298
MA000067143,2014-11-18,TMAX,292
MA000067143,2014-05-01,TMAX,295
MA000067143,2013-06-13,TMAX,260
MA000067143,2014-12-04,TMAX,310
MA000067143,2014-02-03,TMIN,236
MA000067143,2014-05-17,TMAX,278
MA000067143,2014-05-26,TMAX,270
MA000067143,2013-09-05,TMIN,165
MA000067143,2014-09-29,TMAX,280
MA000067143,2014-09-29,TMIN,190
MA000067143,2014-06-17,TMIN,185
MA000067143,2014-06-27,TMAX,265
MA000067143,2013-10-14,TMIN,210
MA000067143,2013-06-18,TMIN,170
MA000067143,2013-10-14,TMAX,280
MA000067143,2013-06-25,TMIN,155
MA000067143,2013-06-18,TMAX,245
MA000067143,2014-04-10,TMIN,184
MA000067143,2014-05-04,TMAX,290
MA000067143,2014-08-17,TMAX,262
MA000067143,2014-01-23,TMIN,220
MA000067143,2014-06-27,TMIN,165
MA000067143,2014-08-17,TMIN,165
MA000067143,2014-01-23,TMAX,302
MA000067143,2014-03-15,TMIN,226
MA000067143,2014-04-20,TMIN,225
MA000067143,2015-02-21,TMAX,290
MA000067143,2014-05-14,TMAX,330
MA000067143,2014-09-25,TMAX,270
MA000067143,2014-10-26,TMAX,276
MA000067143,2014-08-27,TMAX,262
MA000067143,2013-06-25,TMAX,249
MA000067143,2014-05-14,TMIN,208
MA000067143,2014-03-15,TMAX,315
MA000067143,2013-03-17,TMAX,303
MA000067143,2014-09-21,TMIN,180
MA000067143,2014-05-20,TMIN,185
MA000067143,2014-05-26,TMIN,145
MA000067143,2013-10-27,TMAX,280
MA000067143,2014-03-13,TMIN,240
MA000067143,2013-08-30,TMAX,252
MA000067143,2013-08-30,TMIN,160
MA000067143,2014-10-26,TMIN,230
MA000067143,2013-01-29,TMIN,238
MA000067143,2013-01-11,TMIN,232
MA000067143,2013-07-03,TMIN,170
MA000067143,2014-05-17,TMIN,160
MA000067143,2014-08-23,TMAX,267
MA000067143,2013-01-11,TMAX,320
MA000067143,2013-07-03,TMAX,255
MA000067143,2013-01-29,TMAX,305
MA000067143,2013-09-10,TMAX,260
MA000067143,2015-02-28,TMIN,220
MA000067143,2014-10-03,TMAX,288
MA000067143,2014-04-10,TMAX,255
MA000067143,2014-10-03,TMIN,210
MA000067143,2013-11-15,TMAX,300
MA000067143,2014-07-26,TMIN,175
MA000067143,2013-05-01,TMAX,275
MA000067143,2013-05-01,TMIN,170
MA000067143,2014-10-09,TMAX,280
MA000067143,2013-10-03,TMAX,240
MA000067143,2014-05-16,TMAX,272
MA000067143,2014-02-23,TMAX,308
MA000067143,2014-09-21,TMAX,275
MA000067143,2013-10-03,TMIN,170
MA000067143,2013-11-22,TMIN,222
MA000067143,2013-09-05,TMAX,262
MA000067143,2013-10-27,TMIN,205
MA000067143,2005-01-10,TMIN,228
MA000067143,2013-01-12,TMIN,230
MA000067143,2014-01-15,TMAX,305
MA000067143,2013-11-28,TMAX,300
MA000067143,2013-10-08,TMAX,267
MA000067143,2015-02-10,TMIN,228
MA000067143,2013-10-12,TMAX,275
MA000067143,2014-06-14,TMIN,168
MA000067143,2013-02-20,TMAX,310
MA000067143,2014-07-08,TMAX,265
MA000067143,2014-04-24,TMIN,215
MA000067143,2013-07-23,TMIN,150
MA000067143,2013-08-01,TMAX,250
MA000067143,2013-07-05,TMIN,146
MA000067143,2013-07-23,TMAX,245
MA000067143,2013-08-01,TMIN,170
MA000067143,2013-05-04,TMAX,265
MA000067143,2014-11-20,TMIN,225
MA000067143,2013-07-04,TMAX,260
MA000067143,2013-09-19,TMIN,175
MA000067143,2013-05-04,TMIN,190
MA000067143,2013-03-03,TMAX,305
MA000067143,2015-01-05,TMAX,320
MA000067143,2013-12-28,TMAX,308
MA000067143,2013-04-22,TMAX,295
MA000067143,2014-12-21,TMIN,245
MA000067143,2014-07-08,TMIN,155
MA000067143,2013-12-04,TMAX,282
MA000067143,2013-06-23,TMAX,254
MA000067143,2013-06-23,TMIN,160
MA000067143,2014-06-19,TMIN,182
MA000067143,2013-04-22,TMIN,204
MA000067143,2013-06-13,TMIN,172
MA000067143,2014-01-21,TMAX,310
MA000067143,2005-02-09,TMIN,215
MA000067143,2014-01-21,TMIN,243
MA000067143,2014-07-03,TMAX,267
MA000067143,2015-02-10,TMAX,292
MA000067143,2013-02-20,TMIN,226
MA000067143,2013-01-24,TMAX,315
MA000067143,2013-06-02,TMIN,175
MA000067143,2014-03-30,TMAX,292
MA000067143,2014-03-02,TMAX,308
MA000067143,2013-12-12,TMAX,302
MA000067143,2013-12-12,TMIN,245
MA000067143,2014-03-02,TMIN,235
MA000067143,2014-07-03,TMIN,185
MA000067143,2014-03-30,TMIN,210
MA000067143,2013-07-04,TMIN,168
MA000067143,2013-02-17,TMIN,230
MA000067143,2013-09-11,TMAX,260
MA000067143,2013-07-31,TMAX,255
MA000067143,2014-05-10,TMIN,206
MA000067143,2014-12-03,TMIN,215
MA000067143,2014-05-10,TMAX,285
MA000067143,2013-09-11,TMIN,155
MA000067143,2013-07-31,TMIN,175
MA000067143,2014-06-14,TMAX,260
MA000067143,2014-12-21,TMAX,308
MA000067143,2013-10-23,TMAX,275
MA000067143,2014-09-09,TMIN,160
MA000067143,2014-05-01,TMIN,200
MA000067143,2013-06-02,TMAX,262
MA000067143,2014-05-09,TMIN,205
MA000067143,2014-05-09,TMAX,285
MA000067143,2014-02-13,TMAX,307
MA000067143,2014-08-10,TMAX,252
MA000067143,2014-06-17,TMAX,270
MA000067143,2014-08-10,TMIN,162
MA000067143,2014-02-23,TMIN,231
MA000067143,2013-02-22,TMIN,230
MA000067143,2014-08-11,TMAX,257
MA000067143,2014-11-20,TMAX,285
MA000067143,2015-01-15,TMAX,310
MA000067143,2014-08-11,TMIN,160
MA000067143,2014-09-09,TMAX,265
MA000067143,2005-01-19,TMIN,234
MA000067143,2013-05-21,TMIN,170
MA000067143,2014-04-20,TMAX,292
