ID,Date,Element,Data_Value
PKM00041624,2014-05-15,TMIN,206
PKM00041624,2009-05-24,TMIN,266
PKM00041624,2008-05-02,TMIN,225
PKM00041624,2012-09-16,TMAX,325
PKM00041624,2009-05-24,TMAX,430
PKM00041624,2005-12-05,TMIN,32
PKM00041624,2013-03-02,TMAX,270
PKM00041624,2011-09-15,TMIN,252
PKM00041624,2012-06-14,TMIN,220
PKM00041624,2008-08-03,TMIN,270
PKM00041624,2009-10-26,TMIN,120
PKM00041624,2008-12-04,TMAX,275
PKM00041624,2011-08-13,TMAX,340
PKM00041624,2007-11-19,TMIN,110
PKM00041624,2012-10-29,TMAX,295
PKM00041624,2012-09-16,TMIN,240
PKM00041624,2012-05-05,TMIN,220
PKM00041624,2007-09-09,TMIN,250
PKM00041624,2009-12-23,TMIN,70
PKM00041624,2008-11-22,TMAX,258
PKM00041624,2007-05-29,TMIN,227
PKM00041624,2011-12-09,TMAX,250
PKM00041624,2012-08-09,TMIN,270
PKM00041624,2013-01-22,TMIN,25
PKM00041624,2007-11-10,TMAX,270
PKM00041624,2011-07-14,TMAX,385
PKM00041624,2011-05-08,TMIN,230
PKM00041624,2008-06-30,TMIN,235
PKM00041624,2009-02-28,TMAX,290
PKM00041624,2009-02-28,TMIN,111
PKM00041624,2012-05-05,TMAX,390
PKM00041624,2008-02-07,TMAX,115
PKM00041624,2010-08-02,TMAX,328
PKM00041624,2008-09-26,TMIN,235
PKM00041624,2013-03-14,TMIN,110
PKM00041624,2011-01-29,TMAX,150
PKM00041624,2007-09-01,TMIN,290
PKM00041624,2012-05-04,TMAX,377
PKM00041624,2010-02-03,TMAX,225
PKM00041624,2009-03-02,TMAX,282
PKM00041624,2010-10-02,TMAX,370
PKM00041624,2011-09-15,TMAX,332
PKM00041624,2011-05-18,TMAX,455
PKM00041624,2011-03-11,TMAX,280
PKM00041624,2009-01-18,TMIN,70
PKM00041624,2012-04-22,TMAX,305
PKM00041624,2011-03-21,TMIN,125
PKM00041624,2011-04-26,TMAX,425
PKM00041624,2014-07-31,TMIN,270
PKM00041624,2013-03-20,TMAX,275
PKM00041624,2005-11-27,TMAX,206
PKM00041624,2007-01-21,TMAX,230
PKM00041624,2007-05-29,TMAX,385
PKM00041624,2008-06-30,TMAX,353
PKM00041624,2007-01-21,TMIN,50
PKM00041624,2009-11-07,TMAX,265
PKM00041624,2008-01-18,TMAX,186
PKM00041624,2009-07-13,TMAX,395
PKM00041624,2005-12-06,TMIN,40
PKM00041624,2007-03-04,TMIN,73
PKM00041624,2012-01-31,TMAX,235
PKM00041624,2011-01-24,TMIN,40
PKM00041624,2012-04-22,TMIN,170
PKM00041624,2005-07-17,TMAX,355
PKM00041624,2013-01-26,TMAX,250
PKM00041624,2010-04-15,TMAX,430
PKM00041624,2006-07-03,TMAX,358
PKM00041624,2007-09-09,TMAX,365
PKM00041624,2006-08-16,TMAX,340
PKM00041624,2007-02-23,TMAX,240
PKM00041624,2011-08-13,TMIN,252
PKM00041624,2014-10-30,TMAX,290
PKM00041624,2008-01-18,TMIN,44
PKM00041624,2008-05-12,TMIN,240
PKM00041624,2008-05-12,TMAX,401
PKM00041624,2007-02-23,TMIN,70
PKM00041624,2011-01-31,TMIN,60
PKM00041624,2005-09-21,TMIN,240
PKM00041624,2011-01-31,TMAX,230
PKM00041624,2009-04-23,TMIN,170
PKM00041624,2013-01-26,TMIN,30
PKM00041624,2012-09-05,TMIN,214
PKM00041624,2010-04-15,TMIN,212
PKM00041624,2011-01-29,TMIN,76
PKM00041624,2005-09-11,TMIN,240
PKM00041624,2011-07-14,TMIN,295
PKM00041624,2011-09-12,TMAX,375
PKM00041624,2012-06-01,TMAX,440
PKM00041624,2012-06-01,TMIN,302
PKM00041624,2008-03-31,TMIN,195
PKM00041624,2010-10-02,TMIN,225
PKM00041624,2005-11-01,TMAX,280
PKM00041624,2009-07-30,TMAX,375
PKM00041624,2009-11-07,TMIN,145
PKM00041624,2008-08-03,TMAX,368
PKM00041624,2011-09-08,TMAX,360
PKM00041624,2012-01-31,TMIN,43
PKM00041624,2010-05-06,TMAX,305
PKM00041624,2010-11-13,TMAX,265
PKM00041624,2009-08-08,TMAX,395
PKM00041624,2010-05-06,TMIN,220
PKM00041624,2012-03-24,TMIN,120
PKM00041624,2011-09-08,TMIN,255
PKM00041624,2015-05-25,TMIN,250
PKM00041624,2012-12-10,TMAX,265
PKM00041624,2011-04-26,TMIN,215
PKM00041624,2009-11-18,TMAX,258
PKM00041624,2010-02-03,TMIN,70
PKM00041624,2009-05-26,TMAX,410
PKM00041624,2007-07-14,TMIN,260
PKM00041624,2012-08-09,TMAX,395
PKM00041624,2008-05-02,TMAX,427
PKM00041624,2009-01-06,TMIN,25
PKM00041624,2009-12-23,TMAX,235
PKM00041624,2008-03-31,TMAX,328
PKM00041624,2008-07-26,TMIN,228
PKM00041624,2007-05-11,TMIN,180
PKM00041624,2007-06-14,TMAX,440
PKM00041624,2011-04-30,TMAX,365
PKM00041624,2008-10-29,TMIN,175
PKM00041624,2011-10-26,TMAX,315
PKM00041624,2010-08-02,TMIN,260
PKM00041624,2012-11-30,TMAX,240
PKM00041624,2010-11-04,TMIN,143
PKM00041624,2012-07-21,TMAX,355
PKM00041624,2012-11-30,TMIN,60
PKM00041624,2013-02-19,TMIN,110
PKM00041624,2006-09-24,TMAX,366
