ID,Date,Element,Data_Value
MX000003074,2007-05-26,TMIN,182
MX000003074,2011-05-10,TMIN,180
MX000003074,2009-07-21,TMAX,406
MX000003074,2007-06-12,TMAX,380
MX000003074,2015-06-30,TMAX,366
MX000003074,2009-10-20,TMAX,330
MX000003074,2012-09-14,TMAX,364
MX000003074,2009-10-13,TMAX,294
MX000003074,2008-06-27,TMIN,212
MX000003074,2012-11-26,TMIN,170
MX000003074,2011-04-14,TMAX,316
MX000003074,2008-06-20,TMIN,192
MX000003074,2010-03-17,TMAX,282
MX000003074,2008-11-06,TMAX,309
MX000003074,2007-06-12,TMIN,234
MX000003074,2005-11-04,TMIN,204
MX000003074,2011-07-29,TMIN,224
MX000003074,2009-04-04,TMAX,276
MX000003074,2015-01-03,TMIN,126
MX000003074,2007-03-14,TMAX,340
MX000003074,2015-12-27,TMIN,154
MX000003074,2006-03-16,TMAX,284
MX000003074,2014-09-19,TMIN,216
MX000003074,2010-09-18,TMIN,250
MX000003074,2006-03-27,TMAX,360
MX000003074,2007-09-23,TMAX,351
MX000003074,2005-09-14,TMIN,228
MX000003074,2008-04-26,TMAX,335
MX000003074,2008-11-13,TMAX,285
MX000003074,2009-04-04,TMIN,154
MX000003074,2015-11-28,TMIN,210
MX000003074,2012-05-17,TMAX,355
MX000003074,2006-03-27,TMIN,136
MX000003074,2015-07-11,TMAX,356
MX000003074,2012-09-14,TMIN,260
MX000003074,2005-05-23,TMIN,174
MX000003074,2008-04-26,TMIN,158
MX000003074,2010-10-12,TMIN,214
MX000003074,2011-07-22,TMAX,400
MX000003074,2014-09-19,TMAX,354
MX000003074,2010-09-18,TMAX,400
MX000003074,2012-03-07,TMIN,134
MX000003074,2013-09-19,TMIN,226
MX000003074,2010-10-12,TMAX,374
MX000003074,2012-07-19,TMIN,249
MX000003074,2008-09-10,TMIN,256
MX000003074,2013-01-17,TMAX,201
MX000003074,2013-09-21,TMAX,354
MX000003074,2006-04-17,TMIN,154
MX000003074,2011-10-05,TMIN,248
MX000003074,2011-10-05,TMAX,399
MX000003074,2013-09-10,TMIN,246
MX000003074,2005-05-08,TMAX,355
MX000003074,2012-07-19,TMAX,390
MX000003074,2013-01-27,TMIN,172
MX000003074,2006-05-19,TMIN,146
MX000003074,2013-01-27,TMAX,303
MX000003074,2015-03-21,TMIN,168
MX000003074,2008-11-02,TMIN,206
MX000003074,2010-10-04,TMAX,382
MX000003074,2012-07-23,TMAX,392
MX000003074,2011-04-26,TMIN,149
MX000003074,2015-11-19,TMIN,210
MX000003074,2005-12-02,TMIN,120
MX000003074,2013-05-15,TMIN,150
MX000003074,2011-04-26,TMAX,359
MX000003074,2015-04-04,TMIN,190
MX000003074,2015-01-21,TMAX,298
MX000003074,2006-04-17,TMAX,335
MX000003074,2015-05-09,TMIN,154
MX000003074,2006-08-18,TMAX,392
MX000003074,2015-05-01,TMAX,340
MX000003074,2011-02-16,TMIN,130
MX000003074,2015-09-18,TMIN,270
MX000003074,2014-06-24,TMIN,264
MX000003074,2012-07-23,TMIN,244
MX000003074,2008-12-17,TMAX,270
MX000003074,2013-01-17,TMIN,140
MX000003074,2009-10-20,TMIN,240
MX000003074,2006-12-17,TMAX,325
MX000003074,2011-07-11,TMAX,384
MX000003074,2010-01-14,TMAX,278
MX000003074,2014-05-24,TMAX,380
MX000003074,2007-05-28,TMIN,226
MX000003074,2007-09-23,TMIN,236
MX000003074,2011-04-14,TMIN,146
MX000003074,2011-07-11,TMIN,254
