ID,Date,Element,Data_Value
CA003060705,2006-09-10,TMAX,250
CA003073792,2006-05-24,TMIN,40
CA003073792,2009-06-21,TMAX,210
CA003073764,2011-07-12,TMIN,105
CA003073764,2005-08-09,TMIN,35
CA003060705,2006-09-10,TMIN,80
CA003073792,2010-08-07,TMIN,140
CA003060705,2005-08-29,TMAX,150
CA003073764,2011-07-12,TMAX,273
CA003060705,2006-08-15,TMIN,110
CA003073764,2005-08-09,TMAX,173
CA003060705,2006-08-15,TMAX,185
CA003060705,2005-09-15,TMIN,-25
CA003073764,2007-07-20,TMIN,170
CA003060705,2007-08-21,TMAX,165
CA003073764,2007-07-20,TMAX,267
CA003073764,2010-06-14,TMAX,215
CA003060705,2007-05-25,TMIN,45
CA003060705,2005-08-22,TMAX,220
CA003073764,2005-06-12,TMIN,-4
CA003073764,2010-05-05,TMAX,96
CA003072235,2011-07-18,TMIN,130
CA003073792,2006-07-15,TMIN,60
CA003060705,2006-09-14,TMAX,90
CA003073792,2005-08-17,TMAX,80
CA003073792,2010-06-09,TMIN,10
CA003060705,2007-09-04,TMAX,165
CA003073792,2005-08-17,TMIN,40
CA003072235,2007-07-05,TMAX,235
CA003060705,2006-07-17,TMAX,270
CA003060705,2006-09-17,TMIN,10
CA003073764,2009-09-30,TMAX,80
CA003060705,2006-08-16,TMIN,100
CA003073764,2009-09-30,TMIN,48
CA003060705,2008-06-27,TMIN,90
CA003073792,2007-06-14,TMIN,60
CA003060705,2006-08-16,TMAX,205
CA003073792,2010-08-07,TMAX,250
CA003060705,2007-05-12,TMAX,155
CA003073792,2007-06-14,TMAX,210
CA003060705,2005-07-18,TMIN,135
CA003073792,2007-06-20,TMAX,160
CA003073764,2006-06-25,TMIN,83
CA003060705,2007-05-12,TMIN,70
CA003072235,2010-07-08,TMIN,110
CA003072235,2010-07-08,TMAX,240
CA003072235,2005-06-17,TMIN,40
CA003073792,2006-09-02,TMAX,260
CA003060705,2007-09-04,TMIN,75
CA003060705,2006-09-14,TMIN,40
CA003073764,2006-07-26,TMAX,156
CA003073764,2005-06-10,TMIN,80
CA003073792,2006-07-03,TMIN,90
