ID,Date,Element,Data_Value
TI000038845,2012-10-12,TMAX,122
TI000038847,2008-09-26,TMAX,346
TI000038847,2008-07-24,TMAX,379
TI000038845,2010-07-20,TMAX,268
TI000038847,2015-07-25,TMAX,402
TI000038847,2013-04-10,TMAX,291
TI000038847,2012-03-31,TMAX,248
TI000038845,2014-08-01,TMAX,221
TI000038847,2010-03-04,TMAX,162
TI000038847,2010-10-24,TMAX,227
TI000038845,2013-01-19,TMAX,-13
TI000038847,2014-09-26,TMAX,352
TI000038847,2011-01-16,TMAX,94
TI000038845,2011-01-27,TMAX,17
TI000038845,2011-10-16,TMAX,132
TI000038845,2014-05-10,TMAX,134
TI000038847,2011-01-27,TMAX,149
TI000038847,2015-12-20,TMAX,91
TI000038847,2015-09-06,TMAX,331
TI000038847,2013-09-29,TMAX,333
TI000038845,2010-03-28,TMAX,101
TI000038845,2005-09-05,TMAX,221
TI000038847,2008-08-19,TMAX,382
TI000038847,2015-02-15,TMAX,134
TI000038847,2014-09-01,TMAX,370
TI000038847,2013-02-01,TMAX,172
TI000038845,2005-10-21,TMAX,95
TI000038847,2011-10-12,TMAX,265
TI000038845,2015-12-20,TMAX,-8
TI000038847,2010-11-30,TMAX,177
TI000038845,2008-11-04,TMAX,80
TI000038847,2015-11-18,TMAX,217
TI000038847,2011-08-16,TMAX,395
TI000038845,2013-11-13,TMAX,30
TI000038845,2012-11-15,TMAX,82
TI000038847,2011-06-10,TMAX,388
TI000038845,2011-08-29,TMAX,210
TI000038847,2012-12-22,TMAX,139
TI000038847,2008-11-04,TMAX,216
TI000038845,2013-11-26,TMAX,68
TI000038845,2014-04-06,TMAX,56
TI000038847,2012-08-11,TMAX,380
TI000038845,2011-05-27,TMAX,205
TI000038845,2009-01-05,TMAX,-65
TI000038847,2014-02-09,TMAX,12
TI000038847,2009-12-23,TMAX,148
TI000038845,2012-08-28,TMAX,219
TI000038845,2010-03-04,TMAX,35
TI000038845,2008-06-17,TMAX,188
TI000038845,2014-02-09,TMAX,-86
TI000038847,2011-10-16,TMAX,295
TI000038847,2011-04-06,TMAX,227
TI000038845,2013-04-10,TMAX,131
TI000038845,2009-01-14,TMAX,-35
TI000038845,2015-12-08,TMAX,26
TI000038845,2013-09-29,TMAX,190
TI000038847,2013-11-26,TMAX,202
TI000038845,2010-10-24,TMAX,94
TI000038847,2010-03-28,TMAX,214
TI000038845,2012-01-23,TMAX,-10
TI000038847,2010-01-15,TMAX,156
TI000038845,2011-09-14,TMAX,215
TI000038845,2014-03-12,TMAX,28
TI000038845,2013-06-08,TMAX,224
TI000038847,2015-08-26,TMAX,330
TI000038847,2013-06-08,TMAX,395
TI000038845,2012-08-19,TMAX,238
TI000038847,2009-05-13,TMAX,283
TI000038847,2009-05-01,TMAX,284
TI000038845,2009-03-12,TMAX,64
TI000038845,2008-10-23,TMAX,145
TI000038847,2013-01-19,TMAX,50
TI000038845,2007-06-25,TMAX,245
TI000038845,2015-08-26,TMAX,186
TI000038845,2012-03-31,TMAX,70
TI000038845,2015-06-03,TMAX,209
TI000038845,2014-09-13,TMAX,194
TI000038847,2012-08-28,TMAX,366
TI000038847,2011-01-19,TMAX,71
TI000038845,2009-08-08,TMAX,225
TI000038845,2007-10-02,TMAX,105
TI000038847,2009-06-12,TMAX,347
TI000038847,2013-11-13,TMAX,183
TI000038847,2014-04-06,TMAX,130
TI000038845,2015-11-18,TMAX,43
TI000038845,2013-03-09,TMAX,-13
TI000038847,2012-04-13,TMAX,261
TI000038845,2007-04-30,TMAX,150
TI000038847,2009-09-21,TMAX,372
TI000038847,2011-04-18,TMAX,254
TI000038847,2011-07-05,TMAX,406
TI000038847,2015-01-22,TMAX,31
TI000038847,2010-03-11,TMAX,213
TI000038847,2012-09-23,TMAX,313
TI000038845,2006-02-12,TMAX,65
TI000038845,2015-01-09,TMAX,-24
TI000038845,2005-09-08,TMAX,232
TI000038845,2012-03-08,TMAX,23
TI000038845,2014-03-21,TMAX,42
TI000038845,2011-04-18,TMAX,150
TI000038847,2015-08-09,TMAX,350
TI000038845,2011-05-04,TMAX,220
TI000038845,2009-03-04,TMAX,28
TI000038847,2009-03-12,TMAX,235
TI000038845,2011-07-05,TMAX,259
TI000038845,2010-03-10,TMAX,70
TI000038847,2012-10-20,TMAX,205
TI000038845,2015-09-17,TMAX,197
TI000038845,2011-08-06,TMAX,251
TI000038845,2012-10-20,TMAX,104
TI000038847,2014-08-21,TMAX,395
TI000038847,2011-09-03,TMAX,360
TI000038845,2011-05-25,TMAX,195
TI000038845,2010-03-11,TMAX,81
TI000038847,2012-08-19,TMAX,401
TI000038845,2005-07-14,TMAX,238
TI000038845,2010-11-30,TMAX,87
TI000038847,2013-04-04,TMAX,235
TI000038847,2012-10-12,TMAX,291
TI000038845,2010-07-27,TMAX,237
TI000038847,2013-01-31,TMAX,157
TI000038845,2009-09-21,TMAX,167
TI000038845,2015-09-22,TMAX,158
TI000038847,2015-05-08,TMAX,323
TI000038845,2012-01-18,TMAX,-13
TI000038847,2011-06-15,TMAX,396
TI000038845,2008-11-29,TMAX,75
TI000038845,2009-07-31,TMAX,253
TI000038847,2015-02-02,TMAX,92
TI000038845,2014-04-11,TMAX,93
TI000038847,2012-11-11,TMAX,237
TI000038845,2015-08-09,TMAX,235
TI000038845,2011-09-03,TMAX,197
TI000038845,2012-11-11,TMAX,113
TI000038847,2014-10-21,TMAX,275
TI000038847,2008-03-18,TMAX,217
TI000038845,2011-01-19,TMAX,19
TI000038847,2014-06-17,TMAX,312
TI000038847,2008-07-16,TMAX,385
TI000038845,2011-03-14,TMAX,67
TI000038845,2014-03-25,TMAX,-23
TI000038845,2013-03-29,TMAX,105
TI000038845,2013-04-04,TMAX,125
TI000038845,2012-04-13,TMAX,145
TI000038845,2014-06-24,TMAX,243
TI000038847,2011-05-25,TMAX,316
TI000038847,2011-03-14,TMAX,270
TI000038847,2011-05-27,TMAX,327
TI000038847,2015-09-22,TMAX,297
TI000038847,2014-08-20,TMAX,383
TI000038847,2012-04-22,TMAX,237
TI000038847,2009-04-22,TMAX,210
TI000038845,2012-04-22,TMAX,135
TI000038845,2011-06-10,TMAX,241
TI000038847,2011-05-04,TMAX,358
TI000038847,2010-03-10,TMAX,235
TI000038845,2014-06-17,TMAX,202
TI000038847,2015-04-13,TMAX,296
TI000038847,2014-03-21,TMAX,196
TI000038845,2011-08-18,TMAX,254
TI000038847,2014-03-03,TMAX,147
TI000038845,2014-08-20,TMAX,228
TI000038847,2015-01-21,TMAX,39
TI000038847,2015-09-17,TMAX,320
TI000038845,2014-08-21,TMAX,227
TI000038847,2011-02-01,TMAX,186
TI000038847,2014-08-01,TMAX,365
TI000038847,2011-09-19,TMAX,301
TI000038847,2008-11-29,TMAX,240
TI000038847,2012-08-06,TMAX,363
TI000038845,2007-10-16,TMAX,115
TI000038845,2014-06-19,TMAX,216
TI000038845,2015-09-06,TMAX,186
TI000038847,2010-10-11,TMAX,293
TI000038847,2015-01-09,TMAX,107
TI000038845,2015-06-28,TMAX,239
TI000038847,2009-07-10,TMAX,381
TI000038847,2008-08-14,TMAX,387
TI000038845,2010-09-29,TMAX,145
TI000038847,2012-11-15,TMAX,220
TI000038847,2008-06-22,TMAX,405
TI000038845,2009-08-14,TMAX,234
TI000038847,2013-03-06,TMAX,241
TI000038847,2012-01-23,TMAX,56
TI000038845,2010-10-11,TMAX,128
TI000038847,2015-07-13,TMAX,410
TI000038845,2012-08-06,TMAX,211
TI000038847,2008-02-12,TMAX,50
TI000038847,2014-06-24,TMAX,378
TI000038847,2008-05-19,TMAX,352
TI000038847,2013-03-09,TMAX,37
TI000038845,2014-09-26,TMAX,196
TI000038847,2010-12-21,TMAX,135
