ID,Date,Element,Data_Value
PSC00914519,2015-12-19,TMIN,239
PSC00914519,2014-06-03,TMIN,239
PSC00914519,2015-09-20,TMIN,239
PSC00914519,2015-04-15,TMAX,272
PSC00914519,2015-12-24,TMIN,239
PSC00914519,2015-04-27,TMIN,200
PSC00914519,2015-05-12,TMIN,144
PSC00914519,2014-05-19,TMIN,244
PSC00914519,2015-03-05,TMAX,272
PSC00914519,2015-09-20,TMAX,300
PSC00914519,2015-02-14,TMAX,272
PSC00914519,2015-04-29,TMIN,200
PSC00914519,2015-08-27,TMIN,239
PSC00914519,2014-06-03,TMAX,294
PSC00914519,2015-12-01,TMAX,294
PSC00914519,2015-07-27,TMIN,283
PSC00914519,2015-08-27,TMAX,306
PSC00914519,2014-05-15,TMIN,239
PSC00914519,2015-01-14,TMIN,194
PSC00914519,2015-01-30,TMAX,256
PSC00914519,2015-05-30,TMAX,283
PSC00914519,2015-01-14,TMAX,222
PSC00914519,2015-07-29,TMIN,267
PSC00914519,2015-07-10,TMAX,294
PSC00914519,2015-12-13,TMIN,239
PSC00914519,2014-05-21,TMAX,300
PSC00914519,2015-02-13,TMIN,194
PSC00914519,2015-08-23,TMIN,239
PSC00914519,2015-12-19,TMAX,300
PSC00914519,2015-09-29,TMIN,233
PSC00914519,2015-12-13,TMAX,300
PSC00914519,2015-07-31,TMAX,317
PSC00914519,2015-12-18,TMIN,244
PSC00914519,2014-04-10,TMAX,311
PSC00914519,2015-09-29,TMAX,294
PSC00914519,2014-04-10,TMIN,244
PSC00914519,2015-12-25,TMAX,300
PSC00914519,2015-08-03,TMAX,278
PSC00914519,2015-02-14,TMIN,200
PSC00914519,2015-08-03,TMIN,239
PSC00914519,2015-09-08,TMIN,239
PSC00914519,2015-04-02,TMAX,272
PSC00914519,2015-09-06,TMIN,239
PSC00914519,2015-09-08,TMAX,294
PSC00914519,2015-09-06,TMAX,289
PSC00914519,2015-12-25,TMIN,239
PSC00914519,2014-05-19,TMAX,300
PSC00914519,2015-03-16,TMAX,272
PSC00914519,2015-05-12,TMAX,272
PSC00914519,2015-04-27,TMAX,294
PSC00914519,2015-09-19,TMIN,233
PSC00914519,2015-07-31,TMIN,239
PSC00914519,2015-01-29,TMAX,239
PSC00914519,2015-08-23,TMAX,294
PSC00914519,2015-09-24,TMAX,300
PSC00914519,2015-12-23,TMIN,244
PSC00914519,2015-09-17,TMAX,294
PSC00914519,2015-12-10,TMAX,306
PSC00914519,2014-04-14,TMAX,289
PSC00914519,2015-12-10,TMIN,244
PSC00914519,2015-09-24,TMIN,239
PSC00914519,2015-12-23,TMAX,306
PSC00914519,2015-12-01,TMIN,239
PSC00914519,2015-02-13,TMAX,272
PSC00914519,2015-09-17,TMIN,233
PSC00914519,2015-08-19,TMAX,294
PSC00914519,2015-08-19,TMIN,233
PSC00914519,2015-04-02,TMIN,194
PSC00914519,2015-02-07,TMAX,256
PSC00914519,2015-12-18,TMAX,306
PSC00914519,2015-09-19,TMAX,294
PSC00914519,2015-12-24,TMAX,294
PSC00914519,2015-04-29,TMAX,272
PSC00914519,2015-07-14,TMIN,289
PSC00914519,2015-10-25,TMIN,239
PSC00914519,2015-01-12,TMAX,256
PSC00914519,2015-01-07,TMAX,272
PSC00914519,2015-03-18,TMIN,194
PSC00914519,2015-03-19,TMIN,200
PSC00914519,2015-03-18,TMAX,272
PSC00914519,2015-05-29,TMAX,272
PSC00914519,2015-12-02,TMAX,300
PSC00914519,2015-02-27,TMAX,267
PSC00914519,2015-02-19,TMAX,267
PSC00914519,2015-05-18,TMAX,272
PSC00914519,2015-03-19,TMAX,272
PSC00914519,2015-01-07,TMIN,200
PSC00914519,2015-04-24,TMIN,200
PSC00914519,2015-07-23,TMIN,283
PSC00914519,2015-07-23,TMAX,283
PSC00914519,2015-01-09,TMAX,244
PSC00914519,2015-09-28,TMAX,300
PSC00914519,2015-01-09,TMIN,244
PSC00914519,2015-01-26,TMAX,272
PSC00914519,2015-09-09,TMAX,294
PSC00914519,2015-09-09,TMIN,239
PSC00914519,2015-10-23,TMAX,300
PSC00914519,2015-10-23,TMIN,239
PSC00914519,2015-04-24,TMAX,272
PSC00914519,2015-09-28,TMIN,239
PSC00914519,2015-01-02,TMAX,250
PSC00914519,2015-07-09,TMAX,289
PSC00914519,2015-07-09,TMIN,289
PSC00914519,2015-12-27,TMAX,300
PSC00914519,2015-08-14,TMAX,289
PSC00914519,2015-05-22,TMAX,272
PSC00914519,2015-07-14,TMAX,289
PSC00914519,2015-12-27,TMIN,239
PSC00914519,2015-12-03,TMIN,244
PSC00914519,2015-12-28,TMIN,239
PSC00914519,2015-12-28,TMAX,294
PSC00914519,2015-12-05,TMIN,239
PSC00914519,2015-01-24,TMAX,272
PSC00914519,2015-01-12,TMIN,256
PSC00914519,2015-02-19,TMIN,200
PSC00914519,2015-12-05,TMAX,300
PSC00914519,2015-08-07,TMAX,278
PSC00914519,2015-10-02,TMIN,239
PSC00914519,2014-04-24,TMIN,211
PSC00914519,2015-08-07,TMIN,233
PSC00914519,2015-05-08,TMAX,272
PSC00914519,2015-10-02,TMAX,300
PSC00914519,2015-09-10,TMIN,239
PSC00914519,2015-01-22,TMAX,272
PSC00914519,2015-08-11,TMAX,294
PSC00914519,2015-08-11,TMIN,244
PSC00914519,2015-09-10,TMAX,300
PSC00914519,2015-12-03,TMAX,306
PSC00914519,2015-10-13,TMIN,239
PSC00914519,2015-05-04,TMIN,200
PSC00914519,2015-10-13,TMAX,300
PSC00914519,2015-04-09,TMAX,283
PSC00914519,2015-08-16,TMIN,233
PSC00914519,2015-08-14,TMIN,239
PSC00914519,2015-10-04,TMIN,233
PSC00914519,2015-10-04,TMAX,294
PSC00914519,2015-10-27,TMIN,244
PSC00914519,2015-10-27,TMAX,306
PSC00914519,2015-08-02,TMIN,239
PSC00914519,2015-08-02,TMAX,300
PSC00914519,2015-10-08,TMIN,239
PSC00914519,2015-02-17,TMAX,272
PSC00914519,2015-08-16,TMAX,306
PSC00914519,2015-03-28,TMAX,289
PSC00914519,2015-09-07,TMIN,233
PSC00914519,2015-09-07,TMAX,294
PSC00914519,2015-09-15,TMAX,294
PSC00914519,2014-03-24,TMAX,311
PSC00914519,2015-03-09,TMAX,244
PSC00914519,2014-04-14,TMIN,222
PSC00914519,2014-03-24,TMIN,244
PSC00914519,2015-09-15,TMIN,239
PSC00914519,2014-05-15,TMAX,278
PSC00914519,2015-07-29,TMAX,283
PSC00914519,2015-02-04,TMAX,272
PSC00914519,2015-10-08,TMAX,294
PSC00914519,2015-02-10,TMAX,272
PSC00914519,2015-12-26,TMAX,294
PSC00914519,2015-12-26,TMIN,239
PSC00914519,2015-05-04,TMAX,272
PSC00914519,2015-10-05,TMAX,294
PSC00914519,2015-05-09,TMAX,344
PSC00914519,2015-10-05,TMIN,239
PSC00914519,2015-04-09,TMIN,200
PSC00914519,2015-02-17,TMIN,200
PSC00914519,2014-04-24,TMAX,328
