ID,Date,Element,Data_Value
TX000038911,2014-04-02,TMAX,145
TX000038911,2008-01-19,TMIN,-121
TX000038911,2013-12-17,TMAX,88
TX000038911,2012-05-23,TMAX,343
TX000038911,2012-05-23,TMIN,188
TX000038911,2014-04-24,TMAX,276
TX000038911,2008-06-26,TMAX,367
TX000038911,2007-08-12,TMIN,163
TX000038911,2007-10-28,TMAX,211
TX000038911,2008-04-09,TMIN,135
TX000038911,2006-07-23,TMIN,264
TX000038911,2015-07-28,TMAX,374
TX000038911,2007-06-30,TMAX,390
TX000038911,2013-07-03,TMIN,223
TX000038911,2007-07-04,TMAX,397
TX000038911,2009-03-19,TMIN,30
TX000038911,2009-12-22,TMAX,177
TX000038911,2006-05-03,TMAX,348
TX000038911,2012-05-12,TMAX,290
TX000038911,2006-03-08,TMIN,59
TX000038911,2007-04-30,TMAX,348
TX000038911,2014-02-12,TMIN,-50
TX000038911,2010-11-25,TMIN,11
TX000038911,2010-09-14,TMAX,305
TX000038911,2010-01-24,TMAX,89
TX000038911,2010-09-23,TMIN,139
TX000038911,2013-11-21,TMIN,-40
TX000038911,2008-12-20,TMAX,38
TX000038911,2008-05-27,TMIN,180
TX000038911,2014-02-12,TMAX,64
TX000038911,2008-12-20,TMIN,-46
TX000038911,2007-08-18,TMIN,180
TX000038911,2006-03-08,TMAX,213
TX000038911,2010-11-25,TMAX,162
TX000038911,2007-02-21,TMAX,131
TX000038911,2012-05-12,TMIN,170
TX000038911,2006-01-06,TMIN,-67
TX000038911,2006-05-01,TMIN,160
TX000038911,2007-06-30,TMIN,192
TX000038911,2007-08-18,TMAX,368
TX000038911,2013-07-08,TMAX,356
TX000038911,2007-04-30,TMIN,200
TX000038911,2009-07-26,TMIN,230
TX000038911,2009-11-29,TMAX,116
TX000038911,2013-01-31,TMAX,169
TX000038911,2011-05-30,TMIN,209
TX000038911,2009-11-29,TMIN,24
TX000038911,2009-03-19,TMAX,147
TX000038911,2008-09-28,TMAX,336
TX000038911,2013-11-21,TMAX,96
TX000038911,2011-05-30,TMAX,350
TX000038911,2008-01-19,TMAX,-42
TX000038911,2010-09-14,TMIN,127
TX000038911,2007-10-22,TMAX,229
TX000038911,2015-08-26,TMIN,182
TX000038911,2013-07-03,TMAX,408
TX000038911,2011-07-02,TMIN,215
TX000038911,2009-06-20,TMAX,378
TX000038911,2008-11-16,TMIN,-12
TX000038911,2009-07-26,TMAX,427
TX000038911,2009-06-20,TMIN,207
TX000038911,2008-04-09,TMAX,269
TX000038911,2008-09-28,TMIN,166
TX000038911,2007-01-13,TMIN,-10
TX000038911,2013-11-30,TMAX,258
TX000038911,2012-08-27,TMAX,354
TX000038911,2008-04-07,TMIN,81
TX000038911,2013-10-31,TMIN,49
TX000038911,2008-07-28,TMAX,407
TX000038911,2007-01-14,TMIN,0
TX000038911,2013-07-08,TMIN,198
TX000038911,2015-11-28,TMIN,48
TX000038911,2007-01-14,TMAX,113
TX000038911,2011-01-21,TMAX,108
TX000038911,2005-12-03,TMIN,15
TX000038911,2015-08-31,TMIN,142
TX000038911,2007-12-16,TMAX,159
TX000038911,2014-07-19,TMIN,175
TX000038911,2007-01-13,TMAX,101
TX000038911,2006-01-24,TMIN,10
TX000038911,2012-05-11,TMAX,295
TX000038911,2010-11-07,TMAX,201
TX000038911,2010-04-06,TMAX,200
TX000038911,2005-12-03,TMAX,163
TX000038911,2006-09-08,TMAX,350
TX000038911,2014-02-17,TMAX,190
TX000038911,2006-01-08,TMIN,-15
TX000038911,2006-06-21,TMAX,413
TX000038911,2006-01-24,TMAX,116
TX000038911,2012-05-11,TMIN,151
TX000038911,2009-07-27,TMAX,426
TX000038911,2015-10-05,TMAX,298
TX000038911,2015-08-19,TMIN,172
TX000038911,2010-08-15,TMAX,377
TX000038911,2010-06-06,TMAX,337
TX000038911,2009-02-26,TMIN,27
TX000038911,2007-05-07,TMAX,223
TX000038911,2014-11-17,TMAX,226
TX000038911,2015-08-31,TMAX,335
TX000038911,2014-02-17,TMIN,-12
TX000038911,2010-09-22,TMAX,282
TX000038911,2015-10-27,TMIN,36
TX000038911,2015-10-27,TMAX,258
