ID,Date,Element,Data_Value
BR000047002,2014-04-14,TMIN,220
BR000047002,2005-09-19,TMAX,310
BR000047002,2006-10-01,TMIN,260
BR000047002,2014-03-03,TMIN,212
BR000047002,2005-10-26,TMAX,310
BR000047002,2006-08-19,TMIN,260
BR000047002,2005-01-15,TMAX,310
BR000047002,2005-09-27,TMAX,310
BR000047002,2015-09-02,TMIN,210
BR000047002,2006-06-01,TMAX,310
BR000047002,2006-05-15,TMIN,260
BR000047002,2015-08-02,TMIN,210
BR000047002,2013-07-08,TMIN,202
BR000047002,2013-05-07,TMIN,215
BR000047002,2006-05-06,TMAX,280
BR000047002,2014-05-20,TMIN,220
BR000047002,2014-05-21,TMIN,200
BR000047002,2013-07-17,TMIN,217
BR000047002,2005-01-07,TMAX,310
BR000047002,2014-01-22,TMIN,230
BR000047002,2006-06-19,TMIN,240
BR000047002,2006-05-06,TMIN,240
BR000047002,2005-05-12,TMAX,300
BR000047002,2014-04-20,TMIN,220
BR000047002,2015-09-04,TMIN,214
BR000047002,2006-06-21,TMIN,260
BR000047002,2006-05-15,TMAX,320
BR000047002,2015-08-19,TMIN,210
BR000047002,2013-10-16,TMIN,234
BR000047002,2014-05-03,TMIN,190
BR000047002,2005-07-07,TMIN,250
BR000047002,2013-05-30,TMIN,218
BR000047002,2005-10-30,TMAX,310
BR000047002,2015-08-25,TMIN,206
BR000047002,2005-10-03,TMAX,320
BR000047002,2005-08-29,TMAX,300
BR000047002,2013-09-13,TMIN,225
BR000047002,2005-01-15,TMIN,270
BR000047002,2013-05-14,TMIN,220
BR000047002,2015-08-12,TMIN,210
BR000047002,2006-08-19,TMAX,310
BR000047002,2005-05-05,TMIN,250
BR000047002,2015-09-03,TMIN,216
BR000047002,2006-04-14,TMIN,250
BR000047002,2005-01-11,TMAX,310
BR000047002,2015-08-05,TMIN,210
BR000047002,2013-09-21,TMIN,232
BR000047002,2013-05-18,TMIN,230
BR000047002,2015-08-13,TMIN,208
BR000047002,2013-09-22,TMIN,235
BR000047002,2013-05-03,TMIN,216
BR000047002,2013-07-06,TMIN,210
BR000047002,2013-10-05,TMIN,230
BR000047002,2013-08-06,TMIN,240
BR000047002,2006-07-29,TMAX,310
BR000047002,2006-07-29,TMIN,260
BR000047002,2006-04-03,TMAX,310
BR000047002,2014-04-18,TMIN,210
BR000047002,2014-04-21,TMIN,200
BR000047002,2006-04-03,TMIN,260
BR000047002,2005-01-11,TMIN,270
BR000047002,2013-09-28,TMIN,236
BR000047002,2014-03-11,TMIN,204
BR000047002,2015-09-30,TMIN,215
BR000047002,2006-02-03,TMIN,280
BR000047002,2006-08-09,TMAX,310
BR000047002,2006-05-08,TMAX,300
BR000047002,2013-08-28,TMIN,238
BR000047002,2014-04-19,TMIN,200
BR000047002,2014-05-08,TMIN,199
BR000047002,2006-02-03,TMAX,320
BR000047002,2006-05-08,TMIN,250
BR000047002,2006-04-11,TMAX,300
BR000047002,2014-03-24,TMIN,200
BR000047002,2006-04-11,TMIN,240
BR000047002,2013-07-21,TMIN,204
BR000047002,2005-10-15,TMAX,310
BR000047002,2005-11-03,TMAX,310
BR000047002,2013-08-17,TMIN,230
BR000047002,2005-03-29,TMIN,250
BR000047002,2005-05-05,TMAX,310
BR000047002,2005-08-25,TMAX,310
BR000047002,2013-06-03,TMIN,235
BR000047002,2006-03-25,TMIN,250
BR000047002,2014-02-26,TMIN,230
BR000047002,2013-05-13,TMIN,220
BR000047002,2015-09-15,TMIN,216
BR000047002,2014-05-05,TMIN,190
BR000047002,2013-07-30,TMIN,232
BR000047002,2006-01-14,TMIN,250
BR000047002,2013-07-24,TMIN,190
BR000047002,2013-06-15,TMIN,221
BR000047002,2013-08-27,TMIN,238
BR000047002,2015-09-13,TMIN,215
BR000047002,2014-04-07,TMIN,225
BR000047002,2006-02-27,TMIN,260
BR000047002,2005-06-11,TMIN,250
BR000047002,2014-03-06,TMIN,210
BR000047002,2013-09-30,TMIN,235
BR000047002,2013-05-27,TMIN,210
BR000047002,2006-04-26,TMIN,250
BR000047002,2006-03-06,TMIN,240
BR000047002,2006-01-31,TMIN,280
BR000047002,2005-02-11,TMIN,270
BR000047002,2015-08-30,TMIN,210
BR000047002,2006-01-31,TMAX,320
