ID,Date,Element,Data_Value
EZM00011659,2007-09-20,TMIN,6
EZM00011659,2007-08-08,TMIN,145
EZM00011659,2008-12-27,TMAX,-34
EZM00011659,2011-07-03,TMIN,91
EZM00011659,2008-01-11,TMIN,-34
EZM00011659,2010-10-18,TMAX,56
EZM00011659,2010-12-21,TMAX,13
EZM00011659,2010-02-25,TMIN,-12
EZM00011659,2007-12-16,TMAX,-35
EZM00011659,2009-04-07,TMIN,63
EZM00011659,2013-02-01,TMIN,13
EZM00011659,2008-02-01,TMIN,-8
EZM00011659,2008-12-08,TMAX,17
EZM00011659,2013-02-01,TMAX,65
EZM00011659,2010-03-11,TMAX,-6
EZM00011659,2009-04-03,TMIN,32
EZM00011659,2008-08-05,TMAX,237
EZM00011659,2010-03-06,TMIN,-101
EZM00011659,2010-03-06,TMAX,-49
EZM00011659,2008-09-23,TMAX,119
EZM00011659,2005-01-23,TMAX,4
EZM00011659,2011-01-08,TMIN,3
EZM00011659,2009-10-01,TMAX,166
EZM00011659,2010-10-18,TMIN,27
EZM00011659,2006-08-14,TMIN,75
EZM00011659,2005-06-05,TMIN,76
EZM00011659,2008-09-29,TMIN,24
EZM00011659,2013-08-30,TMAX,214
EZM00011659,2006-08-14,TMAX,165
EZM00011659,2009-06-27,TMIN,128
EZM00011659,2013-08-30,TMIN,76
EZM00011659,2011-03-03,TMIN,-36
EZM00011659,2013-06-28,TMAX,174
EZM00011659,2013-11-12,TMIN,-35
EZM00011659,2010-02-19,TMAX,19
EZM00011659,2008-05-04,TMAX,152
EZM00011659,2008-02-18,TMAX,23
EZM00011659,2008-05-06,TMAX,163
EZM00011659,2010-02-19,TMIN,-23
EZM00011659,2012-05-19,TMAX,198
EZM00011659,2007-09-20,TMAX,145
EZM00011659,2008-07-28,TMAX,270
EZM00011659,2006-03-03,TMIN,-96
EZM00011659,2013-06-30,TMAX,152
EZM00011659,2015-02-03,TMAX,12
EZM00011659,2010-03-11,TMIN,-47
EZM00011659,2007-10-31,TMAX,82
EZM00011659,2011-07-09,TMIN,124
EZM00011659,2008-02-20,TMIN,-32
EZM00011659,2010-03-01,TMAX,60
EZM00011659,2013-06-28,TMIN,65
EZM00011659,2013-11-21,TMIN,19
EZM00011659,2007-11-30,TMIN,-39
EZM00011659,2011-03-23,TMAX,108
EZM00011659,2012-09-25,TMIN,93
EZM00011659,2008-02-18,TMIN,-52
EZM00011659,2014-05-04,TMIN,5
EZM00011659,2011-03-23,TMIN,-8
EZM00011659,2012-05-24,TMAX,211
EZM00011659,2007-10-22,TMIN,-10
EZM00011659,2014-09-07,TMAX,228
EZM00011659,2007-05-22,TMAX,266
EZM00011659,2008-10-18,TMAX,110
EZM00011659,2014-09-07,TMIN,126
EZM00011659,2006-03-02,TMAX,8
EZM00011659,2011-07-01,TMIN,90
EZM00011659,2012-01-17,TMAX,-1
EZM00011659,2012-05-08,TMIN,49
EZM00011659,2013-01-10,TMAX,29
EZM00011659,2012-05-08,TMAX,184
EZM00011659,2006-03-02,TMIN,-112
EZM00011659,2010-09-07,TMIN,41
EZM00011659,2012-05-03,TMIN,93
EZM00011659,2011-10-24,TMAX,92
EZM00011659,2006-01-26,TMIN,-135
EZM00011659,2011-10-24,TMIN,57
EZM00011659,2008-02-20,TMAX,75
EZM00011659,2008-10-26,TMIN,-10
EZM00011659,2005-06-28,TMIN,103
EZM00011659,2010-11-17,TMAX,69
EZM00011659,2010-11-14,TMAX,94
EZM00011659,2006-10-27,TMIN,89
EZM00011659,2010-11-14,TMIN,64
EZM00011659,2011-07-10,TMIN,154
EZM00011659,2008-11-17,TMAX,35
EZM00011659,2012-05-31,TMAX,209
EZM00011659,2012-05-31,TMIN,85
EZM00011659,2009-06-30,TMIN,153
EZM00011659,2006-10-27,TMAX,199
EZM00011659,2014-09-01,TMIN,104
EZM00011659,2013-01-17,TMAX,-23
EZM00011659,2014-09-01,TMAX,133
EZM00011659,2012-05-29,TMIN,57
EZM00011659,2012-05-03,TMAX,214
EZM00011659,2010-11-17,TMIN,51
EZM00011659,2007-08-02,TMIN,76
EZM00011659,2011-06-09,TMAX,168
EZM00011659,2007-10-30,TMIN,65
EZM00011659,2011-03-03,TMAX,-5
EZM00011659,2010-12-10,TMAX,-40
EZM00011659,2008-09-21,TMIN,66
EZM00011659,2010-08-20,TMIN,70
EZM00011659,2008-01-10,TMAX,1
EZM00011659,2010-09-08,TMAX,126
EZM00011659,2009-06-30,TMAX,253
EZM00011659,2007-01-25,TMAX,-68
EZM00011659,2006-04-20,TMIN,16
EZM00011659,2012-05-19,TMIN,49
EZM00011659,2013-06-20,TMIN,204
EZM00011659,2013-01-15,TMIN,-97
EZM00011659,2012-09-25,TMAX,205
EZM00011659,2008-11-15,TMIN,6
EZM00011659,2007-11-30,TMAX,25
EZM00011659,2010-02-25,TMAX,102
EZM00011659,2014-11-21,TMAX,36
EZM00011659,2011-07-09,TMAX,289
EZM00011659,2010-09-07,TMAX,143
EZM00011659,2007-06-14,TMIN,132
EZM00011659,2008-11-15,TMAX,87
EZM00011659,2010-08-20,TMAX,226
EZM00011659,2014-06-26,TMIN,86
EZM00011659,2008-09-21,TMAX,113
EZM00011659,2012-05-29,TMAX,223
EZM00011659,2011-07-10,TMAX,269
EZM00011659,2009-10-01,TMIN,74
EZM00011659,2007-08-02,TMAX,272
EZM00011659,2015-06-12,TMIN,125
EZM00011659,2008-01-26,TMIN,0
EZM00011659,2005-12-09,TMAX,-6
EZM00011659,2012-01-17,TMIN,-41
EZM00011659,2013-11-11,TMAX,41
EZM00011659,2014-09-12,TMAX,161
EZM00011659,2010-07-06,TMAX,204
EZM00011659,2010-09-09,TMAX,170
EZM00011659,2007-11-16,TMAX,-31
EZM00011659,2013-11-24,TMAX,54
EZM00011659,2014-04-25,TMIN,64
EZM00011659,2011-07-01,TMAX,182
EZM00011659,2007-05-22,TMIN,119
EZM00011659,2007-08-08,TMAX,280
EZM00011659,2014-01-30,TMIN,-47
EZM00011659,2007-07-18,TMAX,284
EZM00011659,2012-05-04,TMAX,185
EZM00011659,2015-05-29,TMIN,57
EZM00011659,2006-10-26,TMIN,46
EZM00011659,2008-09-24,TMAX,89
EZM00011659,2007-05-14,TMAX,246
EZM00011659,2010-10-01,TMIN,-3
EZM00011659,2015-01-02,TMIN,-8
EZM00011659,2006-10-26,TMAX,154
EZM00011659,2008-02-01,TMAX,17
EZM00011659,2014-06-26,TMAX,177
EZM00011659,2013-07-05,TMIN,122
EZM00011659,2007-01-13,TMAX,85
EZM00011659,2011-10-20,TMAX,78
EZM00011659,2013-11-23,TMIN,13
EZM00011659,2013-11-23,TMAX,77
EZM00011659,2007-08-22,TMAX,248
EZM00011659,2009-10-02,TMAX,123
EZM00011659,2013-08-27,TMAX,150
EZM00011659,2015-11-05,TMIN,-15
EZM00011659,2006-08-20,TMAX,220
EZM00011659,2013-07-05,TMAX,224
EZM00011659,2013-08-27,TMIN,114
EZM00011659,2012-05-22,TMAX,236
EZM00011659,2008-03-21,TMAX,28
EZM00011659,2015-06-21,TMIN,79
EZM00011659,2009-10-02,TMIN,66
EZM00011659,2015-03-28,TMAX,68
EZM00011659,2010-10-01,TMAX,117
EZM00011659,2007-01-08,TMAX,65
EZM00011659,2008-10-26,TMAX,75
EZM00011659,2014-03-26,TMIN,-22
EZM00011659,2010-05-16,TMAX,96
EZM00011659,2010-07-11,TMAX,306
EZM00011659,2005-10-26,TMIN,69
EZM00011659,2006-08-24,TMAX,211
EZM00011659,2011-07-04,TMAX,185
EZM00011659,2014-03-24,TMAX,39
EZM00011659,2010-05-16,TMIN,37
EZM00011659,2011-11-27,TMAX,97
EZM00011659,2014-11-22,TMAX,35
EZM00011659,2007-12-15,TMIN,-48
EZM00011659,2013-01-28,TMIN,-66
EZM00011659,2007-12-15,TMAX,-24
EZM00011659,2007-01-17,TMIN,-38
EZM00011659,2006-11-20,TMAX,67
EZM00011659,2007-01-17,TMAX,58
EZM00011659,2011-08-30,TMAX,183
EZM00011659,2010-10-20,TMAX,68
EZM00011659,2013-01-28,TMAX,9
EZM00011659,2007-01-08,TMIN,-17
EZM00011659,2007-01-18,TMIN,21
EZM00011659,2008-11-13,TMIN,39
EZM00011659,2009-12-08,TMAX,42
EZM00011659,2008-01-12,TMAX,22
EZM00011659,2011-01-08,TMAX,16
EZM00011659,2007-04-23,TMIN,9
EZM00011659,2008-01-31,TMAX,30
EZM00011659,2007-04-16,TMAX,197
EZM00011659,2012-12-29,TMIN,-62
EZM00011659,2011-05-31,TMAX,242
EZM00011659,2007-07-20,TMIN,163
EZM00011659,2007-07-20,TMAX,316
EZM00011659,2015-11-17,TMIN,41
EZM00011659,2007-04-23,TMAX,213
EZM00011659,2011-05-31,TMIN,131
EZM00011659,2012-08-16,TMIN,82
EZM00011659,2009-04-01,TMAX,109
EZM00011659,2014-03-27,TMAX,128
EZM00011659,2007-06-29,TMIN,79
EZM00011659,2011-10-17,TMIN,-1
EZM00011659,2014-11-18,TMAX,71
EZM00011659,2012-04-29,TMAX,253
EZM00011659,2007-03-23,TMAX,31
EZM00011659,2011-10-17,TMAX,99
EZM00011659,2005-09-06,TMIN,101
EZM00011659,2006-05-20,TMAX,179
EZM00011659,2007-03-23,TMIN,-50
EZM00011659,2012-08-16,TMAX,264
EZM00011659,2014-04-23,TMIN,61
EZM00011659,2014-05-04,TMAX,106
EZM00011659,2012-04-29,TMIN,155
EZM00011659,2015-05-22,TMIN,59
EZM00011659,2014-04-23,TMAX,182
EZM00011659,2006-05-20,TMIN,63
EZM00011659,2010-12-21,TMIN,-70
EZM00011659,2012-01-19,TMIN,-34
EZM00011659,2006-09-04,TMIN,155
EZM00011659,2012-04-30,TMAX,255
EZM00011659,2007-11-17,TMIN,-71
EZM00011659,2012-12-29,TMAX,4
EZM00011659,2007-04-16,TMIN,25
EZM00011659,2010-08-05,TMAX,227
EZM00011659,2008-03-25,TMIN,-52
EZM00011659,2005-09-06,TMAX,216
EZM00011659,2006-09-04,TMAX,224
EZM00011659,2006-08-30,TMAX,134
EZM00011659,2008-01-12,TMIN,-12
EZM00011659,2008-03-05,TMAX,-2
EZM00011659,2009-02-18,TMIN,-125
EZM00011659,2006-01-08,TMAX,-28
EZM00011659,2008-02-17,TMIN,-129
EZM00011659,2012-04-30,TMIN,107
EZM00011659,2008-02-17,TMAX,-15
EZM00011659,2009-09-25,TMAX,163
EZM00011659,2012-05-02,TMIN,126
EZM00011659,2009-04-01,TMIN,17
EZM00011659,2012-05-02,TMAX,262
EZM00011659,2012-04-26,TMIN,60
EZM00011659,2008-03-22,TMIN,-11
EZM00011659,2012-04-26,TMAX,188
EZM00011659,2014-03-27,TMIN,-3
EZM00011659,2007-01-22,TMAX,26
EZM00011659,2006-08-30,TMIN,54
EZM00011659,2009-02-18,TMAX,-43
EZM00011659,2013-01-27,TMIN,-111
EZM00011659,2011-10-13,TMAX,96
EZM00011659,2011-01-17,TMIN,-31
EZM00011659,2007-01-05,TMAX,44
EZM00011659,2015-11-02,TMIN,9
EZM00011659,2015-06-13,TMIN,137
EZM00011659,2006-08-31,TMAX,124
EZM00011659,2011-10-21,TMAX,75
EZM00011659,2011-12-12,TMIN,3
EZM00011659,2007-08-07,TMAX,298
EZM00011659,2014-10-13,TMIN,113
EZM00011659,2013-06-19,TMAX,298
EZM00011659,2008-08-02,TMAX,225
EZM00011659,2009-03-30,TMAX,68
EZM00011659,2007-10-30,TMAX,97
EZM00011659,2014-06-03,TMIN,74
EZM00011659,2008-08-01,TMAX,280
EZM00011659,2012-04-27,TMAX,230
EZM00011659,2007-08-07,TMIN,142
EZM00011659,2011-10-21,TMIN,-17
EZM00011659,2007-12-17,TMAX,-32
EZM00011659,2009-02-02,TMIN,-29
EZM00011659,2005-10-26,TMAX,162
EZM00011659,2014-10-13,TMAX,154
EZM00011659,2005-05-22,TMIN,102
EZM00011659,2005-05-22,TMAX,202
EZM00011659,2011-03-22,TMIN,-31
EZM00011659,2014-03-22,TMIN,26
EZM00011659,2007-01-06,TMIN,24
EZM00011659,2006-08-12,TMAX,163
EZM00011659,2011-10-18,TMAX,128
EZM00011659,2006-08-12,TMIN,47
EZM00011659,2011-03-22,TMAX,112
EZM00011659,2011-01-17,TMAX,80
EZM00011659,2007-12-17,TMIN,-83
EZM00011659,2013-01-03,TMIN,-6
EZM00011659,2013-01-16,TMIN,-43
EZM00011659,2010-09-25,TMAX,163
EZM00011659,2008-09-24,TMIN,47
EZM00011659,2015-03-07,TMAX,80
EZM00011659,2005-09-25,TMAX,188
EZM00011659,2007-11-17,TMAX,-9
EZM00011659,2013-01-24,TMAX,-29
EZM00011659,2015-03-07,TMIN,6
EZM00011659,2010-08-05,TMIN,97
EZM00011659,2011-10-14,TMAX,65
EZM00011659,2012-09-22,TMAX,145
EZM00011659,2012-04-27,TMIN,77
EZM00011659,2010-07-10,TMIN,129
EZM00011659,2006-04-08,TMAX,118
EZM00011659,2008-09-29,TMAX,156
EZM00011659,2010-12-10,TMIN,-65
EZM00011659,2010-03-02,TMIN,-38
EZM00011659,2015-02-02,TMAX,0
EZM00011659,2008-05-04,TMIN,17
EZM00011659,2012-06-01,TMAX,151
EZM00011659,2008-08-01,TMIN,159
EZM00011659,2006-04-08,TMIN,-12
EZM00011659,2009-03-27,TMAX,104
EZM00011659,2010-09-08,TMIN,99
EZM00011659,2014-03-22,TMAX,165
EZM00011659,2010-03-02,TMAX,43
EZM00011659,2005-09-25,TMIN,63
EZM00011659,2008-03-25,TMAX,13
EZM00011659,2010-02-24,TMAX,82
EZM00011659,2011-10-18,TMIN,-20
EZM00011659,2008-11-13,TMAX,63
EZM00011659,2006-04-07,TMAX,97
EZM00011659,2007-06-29,TMAX,184
EZM00011659,2009-03-27,TMIN,13
EZM00011659,2014-04-25,TMAX,170
EZM00011659,2006-05-28,TMAX,148
EZM00011659,2010-07-03,TMAX,281
EZM00011659,2009-03-28,TMIN,31
EZM00011659,2011-07-04,TMIN,116
EZM00011659,2007-01-13,TMIN,30
EZM00011659,2009-02-20,TMIN,-70
EZM00011659,2015-08-15,TMIN,180
EZM00011659,2008-10-25,TMAX,64
EZM00011659,2007-09-18,TMAX,170
EZM00011659,2008-03-21,TMIN,-22
EZM00011659,2006-03-05,TMAX,-22
EZM00011659,2009-03-28,TMAX,147
EZM00011659,2007-09-21,TMIN,13
EZM00011659,2013-11-14,TMAX,42
EZM00011659,2009-01-20,TMAX,20
EZM00011659,2010-07-03,TMIN,140
EZM00011659,2011-11-27,TMIN,-6
EZM00011659,2010-07-11,TMIN,151
EZM00011659,2015-01-31,TMIN,-70
EZM00011659,2007-05-14,TMIN,123
EZM00011659,2010-12-30,TMAX,-67
EZM00011659,2010-10-22,TMAX,82
EZM00011659,2006-04-20,TMAX,162
EZM00011659,2014-10-23,TMIN,46
EZM00011659,2007-01-06,TMAX,62
EZM00011659,2009-05-07,TMIN,80
EZM00011659,2011-08-31,TMIN,61
EZM00011659,2014-09-08,TMAX,242
EZM00011659,2009-12-29,TMAX,9
EZM00011659,2006-11-18,TMAX,80
EZM00011659,2013-06-20,TMAX,301
EZM00011659,2007-09-21,TMAX,176
EZM00011659,2011-08-31,TMAX,200
EZM00011659,2009-05-07,TMAX,161
EZM00011659,2006-05-19,TMAX,174
EZM00011659,2013-06-19,TMIN,184
EZM00011659,2007-06-14,TMAX,264
EZM00011659,2009-01-20,TMIN,-1
EZM00011659,2015-09-10,TMIN,50
EZM00011659,2011-02-09,TMIN,-43
EZM00011659,2008-03-22,TMAX,51
EZM00011659,2014-09-08,TMIN,107
EZM00011659,2011-02-09,TMAX,44
EZM00011659,2006-08-24,TMIN,61
EZM00011659,2013-11-25,TMIN,-26
EZM00011659,2014-09-06,TMIN,123
EZM00011659,2006-04-07,TMIN,-41
EZM00011659,2005-08-13,TMAX,182
EZM00011659,2014-09-06,TMAX,232
EZM00011659,2010-10-22,TMIN,-38
EZM00011659,2014-03-26,TMAX,98
EZM00011659,2010-10-20,TMIN,26
EZM00011659,2014-07-17,TMAX,270
EZM00011659,2009-09-28,TMAX,204
EZM00011659,2009-04-07,TMAX,196
EZM00011659,2014-12-31,TMAX,-31
EZM00011659,2014-09-02,TMAX,132
EZM00011659,2015-05-04,TMIN,83
EZM00011659,2014-12-31,TMIN,-84
EZM00011659,2007-05-19,TMAX,211
EZM00011659,2014-09-02,TMIN,110
EZM00011659,2008-07-30,TMAX,285
EZM00011659,2008-09-25,TMAX,106
EZM00011659,2007-03-24,TMIN,12
EZM00011659,2011-06-10,TMIN,80
EZM00011659,2009-06-29,TMAX,233
EZM00011659,2014-08-31,TMAX,186
EZM00011659,2011-06-10,TMAX,187
EZM00011659,2012-12-26,TMAX,53
EZM00011659,2012-12-26,TMIN,-10
EZM00011659,2010-05-09,TMAX,177
EZM00011659,2009-12-31,TMIN,3
EZM00011659,2011-08-20,TMIN,111
EZM00011659,2006-03-07,TMAX,3
EZM00011659,2011-08-20,TMAX,226
EZM00011659,2013-11-15,TMIN,11
EZM00011659,2013-06-29,TMAX,191
EZM00011659,2010-05-09,TMIN,54
EZM00011659,2008-02-16,TMAX,-41
EZM00011659,2015-11-06,TMIN,15
EZM00011659,2012-08-21,TMAX,288
EZM00011659,2012-01-23,TMIN,3
EZM00011659,2012-09-26,TMIN,111
EZM00011659,2011-05-04,TMAX,89
EZM00011659,2012-09-26,TMAX,216
EZM00011659,2015-12-27,TMIN,32
EZM00011659,2013-01-13,TMAX,-37
EZM00011659,2006-01-25,TMAX,-115
EZM00011659,2013-01-13,TMIN,-107
EZM00011659,2006-01-25,TMIN,-165
EZM00011659,2007-08-23,TMIN,116
EZM00011659,2015-12-22,TMIN,32
EZM00011659,2014-02-27,TMAX,75
EZM00011659,2007-06-28,TMIN,64
EZM00011659,2015-10-06,TMIN,74
EZM00011659,2008-07-29,TMIN,116
EZM00011659,2007-11-05,TMAX,56
EZM00011659,2011-05-04,TMIN,-5
EZM00011659,2012-05-25,TMAX,190
