ID,Date,Element,Data_Value
KE000063624,2010-07-16,TMAX,360
KE000063624,2009-03-18,TMIN,264
KE000063624,2010-09-03,TMAX,366
KE000063624,2010-09-20,TMIN,239
KE000063624,2009-10-24,TMIN,210
KE000063624,2010-10-15,TMIN,249
KE000063624,2005-04-15,TMIN,260
KE000063624,2010-08-27,TMAX,335
KE000063624,2009-10-24,TMAX,315
KE000063624,2011-01-15,TMIN,207
KE000063624,2009-10-10,TMAX,386
KE000063624,2011-07-17,TMAX,345
KE000063624,2009-10-29,TMIN,230
KE000063624,2009-04-06,TMAX,370
KE000063624,2009-04-20,TMIN,272
KE000063624,2010-11-23,TMIN,248
KE000063624,2009-10-02,TMAX,385
KE000063624,2009-04-18,TMAX,387
KE000063624,2010-10-22,TMAX,355
KE000063624,2009-10-29,TMAX,315
KE000063624,2010-11-23,TMAX,346
KE000063624,2009-04-15,TMAX,371
KE000063624,2009-12-20,TMIN,243
KE000063624,2010-09-14,TMIN,238
KE000063624,2009-10-10,TMIN,245
KE000063624,2009-04-15,TMIN,270
KE000063624,2011-01-15,TMAX,355
KE000063624,2005-04-24,TMIN,253
KE000063624,2011-07-16,TMAX,350
KE000063624,2010-08-20,TMAX,334
KE000063624,2009-07-26,TMIN,249
KE000063624,2010-09-14,TMAX,345
KE000063624,2009-12-01,TMIN,254
KE000063624,2010-09-01,TMIN,243
KE000063624,2011-07-11,TMIN,229
KE000063624,2010-07-16,TMIN,238
KE000063624,2010-09-03,TMIN,237
KE000063624,2009-10-08,TMIN,258
KE000063624,2011-07-11,TMAX,344
KE000063624,2009-05-16,TMAX,369
KE000063624,2009-10-26,TMIN,249
KE000063624,2009-10-26,TMAX,332
KE000063624,2010-09-01,TMAX,353
KE000063624,2009-05-16,TMIN,264
KE000063624,2009-11-15,TMAX,321
KE000063624,2009-12-27,TMAX,361
KE000063624,2010-12-24,TMIN,222
KE000063624,2009-09-27,TMAX,349
KE000063624,2010-07-20,TMAX,330
KE000063624,2010-09-20,TMAX,355
KE000063624,2009-05-04,TMAX,375
KE000063624,2005-04-07,TMIN,274
KE000063624,2010-12-24,TMAX,362
KE000063624,2009-07-26,TMAX,343
KE000063624,2009-07-30,TMIN,236
KE000063624,2011-07-01,TMIN,257
KE000063624,2010-07-27,TMAX,346
KE000063624,2005-06-01,TMIN,260
KE000063624,2010-07-20,TMIN,233
KE000063624,2009-10-08,TMAX,367
KE000063624,2011-07-05,TMIN,249
KE000063624,2009-05-24,TMIN,249
KE000063624,2009-12-20,TMAX,364
KE000063624,2010-09-05,TMIN,243
KE000063624,2010-08-20,TMIN,232
KE000063624,2009-12-10,TMAX,346
KE000063624,2010-09-05,TMAX,368
KE000063624,2011-07-01,TMAX,342
KE000063624,2009-04-06,TMIN,255
KE000063624,2009-09-10,TMIN,246
KE000063624,2009-04-20,TMAX,370
KE000063624,2009-07-25,TMAX,350
