ID,Date,Element,Data_Value
AGM00060514,2014-03-21,TMAX,171
AGM00060514,2007-12-09,TMAX,191
AGM00060514,2006-12-10,TMIN,51
AGM00060514,2006-04-11,TMIN,171
AGM00060514,2008-08-24,TMAX,318
AGM00060514,2010-08-22,TMIN,214
AGM00060514,2010-11-27,TMIN,66
AGM00060514,2008-10-24,TMIN,116
AGM00060514,2009-04-07,TMAX,161
AGM00060514,2006-12-23,TMAX,91
AGM00060514,2008-10-28,TMAX,209
AGM00060514,2009-08-06,TMIN,201
AGM00060514,2010-08-10,TMAX,375
AGM00060514,2015-11-08,TMAX,212
AGM00060514,2009-10-28,TMAX,242
AGM00060514,2010-08-10,TMIN,222
AGM00060514,2009-08-01,TMIN,201
AGM00060514,2013-02-04,TMIN,-9
AGM00060514,2008-05-04,TMAX,269
AGM00060514,2005-08-05,TMIN,165
AGM00060514,2007-11-21,TMIN,31
AGM00060514,2010-07-25,TMAX,356
AGM00060514,2014-06-12,TMIN,168
AGM00060514,2009-07-29,TMIN,226
AGM00060514,2011-04-08,TMIN,91
AGM00060514,2013-08-28,TMAX,355
AGM00060514,2010-08-15,TMAX,362
AGM00060514,2006-01-03,TMIN,19
AGM00060514,2014-06-12,TMAX,317
AGM00060514,2011-01-23,TMAX,95
AGM00060514,2010-11-14,TMIN,51
AGM00060514,2008-01-16,TMIN,51
AGM00060514,2010-08-22,TMAX,382
AGM00060514,2010-11-14,TMAX,228
AGM00060514,2007-01-25,TMIN,26
AGM00060514,2006-12-23,TMIN,46
AGM00060514,2010-07-08,TMIN,202
AGM00060514,2010-11-27,TMAX,169
AGM00060514,2008-06-19,TMIN,189
AGM00060514,2014-06-13,TMIN,175
AGM00060514,2009-07-29,TMAX,421
AGM00060514,2009-08-01,TMAX,362
AGM00060514,2007-11-21,TMAX,230
AGM00060514,2013-02-04,TMAX,99
AGM00060514,2014-07-22,TMIN,168
AGM00060514,2007-12-09,TMIN,79
AGM00060514,2010-10-31,TMAX,251
AGM00060514,2005-07-24,TMIN,191
AGM00060514,2010-07-08,TMAX,382
AGM00060514,2014-06-13,TMAX,314
AGM00060514,2012-09-28,TMIN,159
AGM00060514,2010-01-02,TMAX,151
AGM00060514,2013-08-11,TMIN,171
AGM00060514,2012-08-30,TMAX,375
AGM00060514,2008-10-28,TMIN,121
AGM00060514,2005-12-28,TMAX,141
AGM00060514,2005-12-28,TMIN,51
AGM00060514,2006-04-11,TMAX,260
AGM00060514,2012-09-16,TMAX,321
AGM00060514,2014-10-03,TMAX,251
AGM00060514,2005-04-26,TMIN,101
AGM00060514,2006-07-20,TMAX,391
AGM00060514,2009-10-07,TMAX,296
AGM00060514,2006-02-23,TMIN,21
AGM00060514,2010-05-14,TMAX,154
AGM00060514,2015-08-10,TMIN,251
AGM00060514,2006-06-05,TMIN,102
AGM00060514,2013-08-11,TMAX,361
AGM00060514,2015-08-08,TMAX,392
AGM00060514,2006-12-16,TMIN,59
AGM00060514,2015-11-12,TMIN,77
AGM00060514,2012-11-23,TMAX,181
AGM00060514,2011-02-19,TMAX,171
AGM00060514,2006-12-16,TMAX,131
AGM00060514,2014-01-27,TMIN,72
AGM00060514,2006-03-30,TMAX,262
AGM00060514,2015-11-12,TMAX,213
AGM00060514,2008-08-24,TMIN,204
AGM00060514,2014-09-24,TMAX,279
AGM00060514,2009-05-27,TMIN,152
AGM00060514,2008-03-14,TMAX,264
AGM00060514,2015-05-02,TMAX,361
AGM00060514,2010-12-30,TMIN,-50
AGM00060514,2014-09-24,TMIN,157
AGM00060514,2013-12-08,TMAX,139
AGM00060514,2013-12-08,TMIN,-5
AGM00060514,2006-04-25,TMAX,159
AGM00060514,2010-10-13,TMIN,125
AGM00060514,2012-04-17,TMIN,34
AGM00060514,2014-10-03,TMIN,172
AGM00060514,2015-01-29,TMIN,27
AGM00060514,2006-07-20,TMIN,219
AGM00060514,2014-09-27,TMAX,281
AGM00060514,2005-10-19,TMIN,151
AGM00060514,2005-10-19,TMAX,290
AGM00060514,2007-09-15,TMIN,165
AGM00060514,2010-01-02,TMIN,80
AGM00060514,2005-03-14,TMAX,232
AGM00060514,2014-03-21,TMIN,70
AGM00060514,2013-08-28,TMIN,181
AGM00060514,2011-10-07,TMIN,102
AGM00060514,2010-02-22,TMAX,188
AGM00060514,2013-11-20,TMAX,122
AGM00060514,2010-12-29,TMIN,-6
AGM00060514,2015-05-03,TMIN,164
AGM00060514,2011-09-09,TMIN,159
AGM00060514,2006-12-10,TMAX,105
AGM00060514,2014-05-31,TMAX,288
AGM00060514,2011-09-09,TMAX,349
AGM00060514,2012-09-16,TMIN,121
AGM00060514,2008-06-12,TMAX,265
AGM00060514,2007-05-19,TMAX,331
AGM00060514,2014-09-27,TMIN,175
AGM00060514,2012-04-17,TMAX,136
AGM00060514,2012-09-28,TMAX,321
AGM00060514,2006-06-05,TMAX,314
AGM00060514,2010-02-22,TMIN,74
AGM00060514,2009-08-30,TMIN,171
AGM00060514,2014-05-31,TMIN,149
AGM00060514,2005-03-14,TMIN,76
AGM00060514,2009-08-30,TMAX,332
AGM00060514,2010-12-29,TMAX,153
AGM00060514,2013-04-09,TMAX,251
AGM00060514,2013-04-09,TMIN,32
AGM00060514,2005-04-02,TMIN,101
AGM00060514,2015-01-29,TMAX,128
AGM00060514,2011-07-25,TMAX,312
AGM00060514,2005-11-09,TMAX,179
AGM00060514,2010-08-01,TMAX,400
AGM00060514,2009-09-03,TMAX,374
AGM00060514,2011-07-25,TMIN,180
AGM00060514,2009-10-07,TMIN,141
AGM00060514,2005-06-04,TMAX,344
AGM00060514,2011-10-07,TMAX,271
AGM00060514,2011-07-04,TMIN,199
AGM00060514,2011-07-04,TMAX,358
AGM00060514,2008-10-24,TMAX,171
AGM00060514,2009-09-03,TMIN,221
AGM00060514,2007-09-05,TMIN,161
AGM00060514,2005-10-09,TMIN,189
AGM00060514,2008-07-24,TMIN,195
AGM00060514,2010-08-01,TMIN,201
AGM00060514,2005-08-05,TMAX,353
AGM00060514,2007-09-05,TMAX,329
AGM00060514,2012-06-30,TMIN,211
AGM00060514,2009-04-14,TMIN,12
AGM00060514,2005-11-09,TMIN,71
AGM00060514,2014-08-20,TMIN,199
AGM00060514,2010-08-15,TMIN,191
AGM00060514,2005-03-06,TMAX,107
AGM00060514,2012-06-30,TMAX,409
AGM00060514,2014-08-20,TMAX,341
