ID,Date,Element,Data_Value
FRM00007627,2005-03-01,TMAX,35
FRM00007627,2014-05-25,TMAX,186
FRM00007627,2015-02-14,TMIN,2
FRM00007627,2015-01-15,TMIN,-23
FRM00007627,2010-09-29,TMAX,213
FRM00007627,2007-06-09,TMAX,289
FRM00007627,2006-08-20,TMIN,144
FRM00007627,2014-03-15,TMIN,31
FRM00007627,2005-11-22,TMAX,106
FRM00007627,2011-08-08,TMIN,134
FRM00007627,2015-12-14,TMAX,136
FRM00007627,2012-06-30,TMAX,255
FRM00007627,2007-06-21,TMAX,240
FRM00007627,2013-06-04,TMAX,227
FRM00007627,2005-05-26,TMAX,289
FRM00007627,2008-10-19,TMAX,193
FRM00007627,2015-12-02,TMIN,-18
FRM00007627,2011-03-26,TMAX,207
FRM00007627,2013-05-01,TMAX,169
FRM00007627,2015-06-12,TMAX,195
FRM00007627,2010-09-29,TMIN,46
FRM00007627,2011-06-11,TMIN,106
FRM00007627,2008-11-12,TMIN,67
FRM00007627,2006-08-20,TMAX,238
FRM00007627,2009-07-25,TMIN,114
FRM00007627,2008-03-13,TMIN,76
FRM00007627,2013-09-27,TMIN,126
FRM00007627,2005-06-24,TMAX,295
FRM00007627,2005-10-24,TMIN,81
FRM00007627,2010-09-21,TMIN,145
FRM00007627,2005-03-01,TMIN,-128
FRM00007627,2014-03-15,TMAX,155
FRM00007627,2011-04-24,TMAX,195
FRM00007627,2011-04-24,TMIN,65
FRM00007627,2015-11-21,TMAX,189
FRM00007627,2005-06-24,TMIN,166
FRM00007627,2013-09-27,TMAX,292
FRM00007627,2005-06-27,TMIN,159
FRM00007627,2008-09-11,TMAX,237
FRM00007627,2005-06-16,TMAX,240
FRM00007627,2011-10-26,TMIN,18
FRM00007627,2005-06-16,TMIN,153
FRM00007627,2008-08-27,TMAX,277
FRM00007627,2005-09-23,TMAX,242
FRM00007627,2008-10-19,TMIN,48
FRM00007627,2015-11-05,TMAX,216
FRM00007627,2011-05-24,TMIN,99
FRM00007627,2006-11-02,TMAX,131
FRM00007627,2006-03-25,TMAX,221
FRM00007627,2005-06-06,TMAX,222
FRM00007627,2010-11-30,TMAX,94
FRM00007627,2011-10-26,TMAX,189
FRM00007627,2007-09-02,TMAX,251
FRM00007627,2007-11-06,TMIN,38
FRM00007627,2012-01-02,TMAX,107
FRM00007627,2015-06-15,TMAX,217
FRM00007627,2008-08-12,TMAX,243
FRM00007627,2012-11-28,TMAX,55
FRM00007627,2015-01-22,TMIN,-20
FRM00007627,2008-01-31,TMAX,61
FRM00007627,2011-05-24,TMAX,251
FRM00007627,2015-06-03,TMAX,289
FRM00007627,2009-01-10,TMAX,60
FRM00007627,2010-09-21,TMAX,239
FRM00007627,2009-09-05,TMAX,211
FRM00007627,2008-03-13,TMAX,187
FRM00007627,2007-11-15,TMAX,66
FRM00007627,2009-04-29,TMIN,37
FRM00007627,2009-04-29,TMAX,145
FRM00007627,2013-03-21,TMIN,16
FRM00007627,2005-09-23,TMIN,64
FRM00007627,2011-01-03,TMAX,23
FRM00007627,2010-02-25,TMIN,63
FRM00007627,2012-01-02,TMIN,46
FRM00007627,2010-06-09,TMIN,151
FRM00007627,2009-10-13,TMIN,35
FRM00007627,2007-10-22,TMAX,168
FRM00007627,2011-03-19,TMAX,154
FRM00007627,2012-11-28,TMIN,24
FRM00007627,2005-10-29,TMIN,106
FRM00007627,2006-03-02,TMIN,-14
FRM00007627,2013-04-12,TMIN,70
FRM00007627,2013-04-12,TMAX,182
FRM00007627,2014-04-10,TMAX,241
FRM00007627,2012-01-25,TMIN,-19
FRM00007627,2007-05-02,TMIN,61
FRM00007627,2008-04-02,TMIN,91
FRM00007627,2007-05-02,TMAX,153
FRM00007627,2006-11-22,TMIN,78
FRM00007627,2015-04-09,TMIN,23
FRM00007627,2009-06-25,TMAX,263
FRM00007627,2014-10-25,TMAX,244
FRM00007627,2009-12-18,TMAX,15
FRM00007627,2009-01-10,TMIN,-45
FRM00007627,2009-02-11,TMAX,60
FRM00007627,2015-03-26,TMIN,-8
FRM00007627,2005-09-24,TMAX,229
FRM00007627,2013-05-03,TMAX,154
FRM00007627,2010-06-15,TMIN,99
FRM00007627,2005-11-21,TMAX,155
FRM00007627,2013-05-03,TMIN,70
FRM00007627,2010-10-10,TMAX,186
FRM00007627,2009-01-04,TMAX,67
FRM00007627,2015-04-09,TMAX,212
FRM00007627,2009-03-06,TMAX,76
FRM00007627,2008-05-03,TMAX,264
FRM00007627,2010-01-30,TMAX,82
FRM00007627,2008-06-03,TMAX,197
FRM00007627,2008-06-03,TMIN,107
FRM00007627,2014-03-05,TMAX,105
FRM00007627,2015-05-04,TMIN,153
FRM00007627,2007-05-14,TMIN,73
FRM00007627,2009-06-07,TMIN,106
FRM00007627,2007-05-14,TMAX,223
FRM00007627,2010-05-03,TMAX,118
FRM00007627,2005-10-05,TMAX,142
FRM00007627,2008-09-24,TMAX,195
FRM00007627,2015-09-11,TMAX,267
FRM00007627,2011-04-23,TMAX,128
FRM00007627,2014-11-25,TMIN,95
FRM00007627,2012-02-15,TMAX,70
FRM00007627,2005-09-13,TMIN,137
FRM00007627,2013-05-07,TMIN,114
FRM00007627,2008-09-23,TMAX,194
FRM00007627,2010-05-18,TMAX,195
FRM00007627,2013-05-07,TMAX,215
FRM00007627,2015-05-26,TMIN,94
FRM00007627,2005-08-05,TMIN,107
FRM00007627,2008-08-06,TMIN,159
FRM00007627,2005-08-05,TMAX,282
FRM00007627,2008-08-06,TMAX,336
FRM00007627,2012-06-09,TMIN,119
FRM00007627,2012-06-09,TMAX,198
FRM00007627,2014-11-25,TMAX,147
FRM00007627,2014-02-15,TMIN,43
FRM00007627,2012-01-25,TMAX,127
FRM00007627,2014-10-25,TMIN,78
FRM00007627,2014-04-10,TMIN,51
FRM00007627,2007-09-02,TMIN,89
FRM00007627,2008-07-15,TMAX,253
FRM00007627,2005-11-22,TMIN,-30
FRM00007627,2010-11-30,TMIN,-25
FRM00007627,2012-06-18,TMAX,276
FRM00007627,2011-12-13,TMIN,24
FRM00007627,2015-05-04,TMAX,314
FRM00007627,2007-09-20,TMAX,238
FRM00007627,2015-03-26,TMAX,118
FRM00007627,2014-02-07,TMAX,206
FRM00007627,2005-02-07,TMAX,116
FRM00007627,2009-02-17,TMIN,-46
FRM00007627,2015-05-12,TMIN,130
FRM00007627,2006-03-25,TMIN,96
FRM00007627,2007-06-09,TMIN,143
FRM00007627,2014-10-11,TMAX,225
FRM00007627,2013-12-15,TMAX,187
FRM00007627,2009-10-13,TMAX,175
FRM00007627,2006-08-26,TMAX,222
FRM00007627,2012-05-04,TMIN,89
FRM00007627,2006-08-26,TMIN,116
FRM00007627,2015-05-12,TMAX,289
FRM00007627,2009-09-03,TMAX,212
FRM00007627,2013-05-01,TMIN,28
FRM00007627,2012-05-04,TMAX,202
FRM00007627,2014-03-07,TMIN,-12
FRM00007627,2009-09-03,TMIN,141
FRM00007627,2005-11-12,TMAX,141
FRM00007627,2011-09-06,TMIN,111
FRM00007627,2005-11-21,TMIN,-20
FRM00007627,2014-03-05,TMIN,36
FRM00007627,2011-03-19,TMIN,76
FRM00007627,2008-07-29,TMIN,160
FRM00007627,2013-12-15,TMIN,-15
FRM00007627,2014-02-20,TMAX,154
FRM00007627,2006-11-22,TMAX,150
FRM00007627,2008-05-20,TMAX,200
FRM00007627,2011-04-29,TMIN,65
FRM00007627,2011-09-06,TMAX,247
FRM00007627,2007-09-20,TMIN,55
FRM00007627,2008-11-04,TMAX,151
FRM00007627,2008-07-15,TMIN,85
FRM00007627,2014-03-07,TMAX,169
FRM00007627,2014-01-27,TMAX,121
FRM00007627,2011-04-29,TMAX,190
FRM00007627,2008-11-04,TMIN,2
FRM00007627,2008-11-22,TMAX,138
FRM00007627,2011-05-01,TMAX,218
FRM00007627,2014-02-07,TMIN,42
FRM00007627,2012-05-13,TMAX,187
FRM00007627,2015-03-31,TMAX,183
FRM00007627,2015-03-31,TMIN,74
FRM00007627,2005-11-12,TMIN,16
FRM00007627,2009-03-06,TMIN,15
FRM00007627,2014-09-02,TMIN,101
FRM00007627,2009-08-10,TMAX,246
FRM00007627,2008-03-04,TMAX,111
FRM00007627,2007-04-19,TMIN,88
FRM00007627,2011-03-15,TMAX,152
FRM00007627,2005-12-13,TMAX,34
FRM00007627,2005-07-17,TMAX,263
FRM00007627,2014-12-31,TMIN,-68
FRM00007627,2014-04-23,TMIN,74
FRM00007627,2013-06-15,TMAX,249
FRM00007627,2015-03-03,TMIN,76
FRM00007627,2014-01-18,TMAX,116
FRM00007627,2010-12-14,TMIN,-26
FRM00007627,2014-01-18,TMIN,-23
FRM00007627,2013-09-21,TMIN,90
FRM00007627,2012-01-23,TMAX,125
FRM00007627,2011-11-20,TMIN,15
FRM00007627,2007-04-01,TMAX,144
FRM00007627,2011-03-04,TMIN,-22
FRM00007627,2012-01-28,TMAX,85
FRM00007627,2008-11-24,TMAX,98
FRM00007627,2008-01-30,TMAX,71
FRM00007627,2015-02-17,TMIN,45
FRM00007627,2013-10-13,TMAX,203
FRM00007627,2015-10-09,TMAX,196
FRM00007627,2007-04-28,TMIN,102
FRM00007627,2013-06-12,TMAX,275
FRM00007627,2009-03-12,TMIN,14
FRM00007627,2009-12-16,TMIN,-27
FRM00007627,2012-07-23,TMAX,275
FRM00007627,2010-03-20,TMIN,71
FRM00007627,2014-12-31,TMAX,89
FRM00007627,2012-10-29,TMAX,119
FRM00007627,2014-08-23,TMIN,124
FRM00007627,2008-08-27,TMIN,122
FRM00007627,2015-11-15,TMIN,29
FRM00007627,2008-04-19,TMIN,17
FRM00007627,2011-12-19,TMIN,-41
FRM00007627,2007-12-26,TMAX,84
FRM00007627,2015-12-02,TMAX,182
FRM00007627,2005-12-02,TMAX,131
FRM00007627,2015-10-09,TMIN,49
FRM00007627,2005-01-23,TMAX,104
FRM00007627,2007-08-24,TMIN,144
FRM00007627,2005-12-21,TMAX,101
FRM00007627,2012-08-05,TMIN,149
FRM00007627,2014-04-09,TMAX,202
FRM00007627,2007-12-26,TMIN,1
FRM00007627,2007-09-17,TMIN,143
FRM00007627,2012-01-28,TMIN,-6
FRM00007627,2007-09-17,TMAX,266
FRM00007627,2011-01-05,TMAX,139
FRM00007627,2007-08-02,TMAX,229
FRM00007627,2005-10-03,TMIN,80
FRM00007627,2013-06-15,TMIN,153
FRM00007627,2013-10-13,TMIN,44
FRM00007627,2009-12-16,TMAX,3
FRM00007627,2005-03-18,TMIN,43
FRM00007627,2005-12-02,TMIN,28
FRM00007627,2009-02-12,TMIN,-2
FRM00007627,2015-02-17,TMAX,104
FRM00007627,2010-07-26,TMIN,151
FRM00007627,2006-06-20,TMIN,173
FRM00007627,2006-06-20,TMAX,234
FRM00007627,2014-02-17,TMAX,143
FRM00007627,2015-06-14,TMIN,134
FRM00007627,2009-01-12,TMAX,127
FRM00007627,2006-04-29,TMIN,69
FRM00007627,2014-02-17,TMIN,17
FRM00007627,2007-02-04,TMAX,122
FRM00007627,2014-03-08,TMIN,12
FRM00007627,2014-09-14,TMAX,245
FRM00007627,2013-10-12,TMIN,12
FRM00007627,2015-06-14,TMAX,204
FRM00007627,2007-02-04,TMIN,-28
FRM00007627,2005-04-28,TMIN,83
FRM00007627,2011-05-17,TMIN,67
FRM00007627,2011-05-17,TMAX,249
FRM00007627,2014-06-21,TMIN,137
FRM00007627,2010-10-09,TMIN,123
FRM00007627,2010-10-03,TMIN,106
FRM00007627,2013-08-03,TMAX,297
FRM00007627,2008-02-11,TMAX,147
FRM00007627,2006-09-18,TMAX,228
FRM00007627,2006-11-04,TMAX,149
FRM00007627,2013-08-03,TMIN,174
FRM00007627,2010-02-16,TMIN,-36
FRM00007627,2012-07-23,TMIN,81
FRM00007627,2009-01-12,TMIN,-31
FRM00007627,2011-11-01,TMIN,90
FRM00007627,2011-03-04,TMAX,129
FRM00007627,2007-06-02,TMIN,62
FRM00007627,2005-09-18,TMIN,47
FRM00007627,2005-09-02,TMIN,160
FRM00007627,2008-12-17,TMIN,27
FRM00007627,2014-09-14,TMIN,105
FRM00007627,2014-04-23,TMAX,219
FRM00007627,2012-05-24,TMAX,260
FRM00007627,2015-02-09,TMAX,95
FRM00007627,2007-08-04,TMAX,318
FRM00007627,2010-11-21,TMIN,0
FRM00007627,2011-03-01,TMAX,49
FRM00007627,2015-02-19,TMAX,159
FRM00007627,2011-11-01,TMAX,170
FRM00007627,2015-02-16,TMAX,112
FRM00007627,2006-07-01,TMIN,156
FRM00007627,2005-06-21,TMAX,268
FRM00007627,2005-06-21,TMIN,188
FRM00007627,2010-02-16,TMAX,97
FRM00007627,2010-07-26,TMAX,239
FRM00007627,2010-11-21,TMAX,82
FRM00007627,2007-08-04,TMIN,104
FRM00007627,2014-03-08,TMAX,216
FRM00007627,2013-10-12,TMAX,177
FRM00007627,2015-07-30,TMAX,191
FRM00007627,2013-03-26,TMAX,118
FRM00007627,2005-06-25,TMIN,180
FRM00007627,2011-12-19,TMAX,76
FRM00007627,2012-01-23,TMIN,35
FRM00007627,2011-09-07,TMAX,249
FRM00007627,2013-07-30,TMAX,276
FRM00007627,2013-09-18,TMAX,212
FRM00007627,2008-03-04,TMIN,6
