ID,Date,Element,Data_Value
RSM00023867,2005-12-09,TMIN,-323
RSM00023867,2009-04-11,TMAX,-15
RSM00023867,2013-05-13,TMIN,-18
RSM00023867,2007-12-27,TMIN,-242
RSM00023867,2008-11-06,TMIN,-105
RSM00023867,2009-12-30,TMIN,-347
RSM00023867,2008-03-15,TMIN,-252
RSM00023867,2012-07-03,TMAX,326
RSM00023867,2014-03-24,TMIN,-104
RSM00023867,2013-01-01,TMAX,-175
RSM00023867,2009-12-30,TMAX,-311
RSM00023867,2007-11-09,TMAX,-98
RSM00023867,2007-01-05,TMAX,-6
RSM00023867,2011-08-02,TMAX,196
RSM00023867,2006-08-01,TMAX,207
RSM00023867,2015-01-27,TMIN,-185
RSM00023867,2008-07-07,TMIN,116
RSM00023867,2007-08-27,TMIN,53
RSM00023867,2005-01-01,TMIN,-287
RSM00023867,2013-09-12,TMAX,91
RSM00023867,2006-12-11,TMIN,-261
RSM00023867,2007-08-25,TMIN,48
RSM00023867,2007-08-15,TMIN,70
RSM00023867,2007-12-05,TMIN,-215
RSM00023867,2005-11-11,TMIN,-243
RSM00023867,2005-11-11,TMAX,-79
RSM00023867,2008-11-10,TMAX,-110
RSM00023867,2008-02-05,TMAX,-76
RSM00023867,2008-07-24,TMAX,219
RSM00023867,2007-03-19,TMAX,-2
RSM00023867,2007-07-05,TMAX,315
RSM00023867,2005-02-10,TMIN,-187
RSM00023867,2012-09-13,TMAX,197
RSM00023867,2008-03-01,TMIN,-122
RSM00023867,2013-08-24,TMAX,199
RSM00023867,2012-05-26,TMIN,13
RSM00023867,2009-09-11,TMIN,132
RSM00023867,2005-10-13,TMAX,107
RSM00023867,2006-11-09,TMAX,-33
RSM00023867,2006-08-29,TMAX,142
RSM00023867,2009-07-05,TMIN,118
RSM00023867,2009-08-31,TMIN,56
RSM00023867,2006-05-18,TMAX,165
RSM00023867,2014-11-28,TMIN,-357
RSM00023867,2013-08-24,TMIN,120
RSM00023867,2009-05-13,TMAX,74
RSM00023867,2012-10-19,TMIN,-48
RSM00023867,2006-05-18,TMIN,50
RSM00023867,2011-06-09,TMAX,299
RSM00023867,2006-09-26,TMAX,71
RSM00023867,2015-06-02,TMAX,233
RSM00023867,2006-08-29,TMIN,-6
RSM00023867,2009-06-17,TMAX,160
RSM00023867,2013-05-13,TMAX,42
RSM00023867,2005-02-21,TMAX,-233
RSM00023867,2012-05-26,TMAX,140
RSM00023867,2011-02-17,TMIN,-255
RSM00023867,2012-07-14,TMIN,131
