ID,Date,Element,Data_Value
CA006041222,2009-10-27,TMIN,60
CA006041222,2007-11-06,TMAX,43
CA006041222,2009-10-27,TMAX,95
CA006041222,2010-05-18,TMAX,111
CA006041222,2012-09-18,TMIN,79
CA006055378,2005-02-05,TMAX,53
CA006041222,2010-05-27,TMIN,64
CA006041222,2011-11-10,TMAX,28
CA006055378,2005-12-02,TMAX,-100
CA006041222,2013-05-04,TMIN,29
CA006041222,2005-04-18,TMIN,22
CA006041222,2010-04-28,TMIN,27
CA006041222,2015-06-04,TMAX,97
CA006041222,2012-08-23,TMAX,215
CA006041222,2010-07-18,TMAX,182
CA006041222,2011-06-15,TMAX,124
CA006041222,2011-05-22,TMIN,46
CA006055378,2005-12-17,TMIN,-60
CA006041222,2011-09-19,TMIN,121
CA006041222,2010-01-21,TMIN,-28
CA006041222,2015-11-10,TMAX,82
CA006041222,2015-08-18,TMIN,129
CA006041222,2010-01-27,TMAX,-39
CA006041222,2010-01-14,TMIN,-8
CA006041222,2015-02-02,TMIN,-157
CA006041222,2011-08-02,TMIN,145
CA006041222,2010-03-01,TMAX,-8
CA006055378,2006-05-29,TMIN,178
CA006041222,2011-06-15,TMIN,59
CA006055378,2005-03-20,TMIN,-44
CA006041222,2012-05-30,TMIN,39
CA006041222,2014-10-25,TMAX,93
CA006041222,2015-09-10,TMAX,166
CA006041222,2011-08-02,TMAX,214
CA006041222,2015-05-27,TMIN,36
CA006055378,2005-05-19,TMIN,88
CA006041222,2005-05-17,TMIN,19
CA006041222,2013-03-08,TMAX,10
CA006055378,2006-06-27,TMAX,181
CA006055378,2005-04-07,TMAX,70
CA006055378,2005-02-19,TMIN,-160
CA006041222,2006-05-10,TMIN,47
CA006041222,2014-07-22,TMIN,66
CA006055378,2006-07-23,TMAX,195
CA006041222,2011-02-27,TMIN,-72
CA006041222,2012-08-05,TMIN,156
CA006055378,2005-05-14,TMIN,5
CA006041222,2015-03-20,TMAX,22
CA006041222,2010-07-18,TMIN,142
CA006041222,2015-07-11,TMIN,76
CA006041222,2010-12-06,TMIN,-96
CA006041222,2010-12-06,TMAX,-41
CA006055378,2006-10-01,TMIN,61
CA006041222,2005-05-27,TMIN,40
CA006041222,2015-01-21,TMIN,-51
CA006055378,2006-09-25,TMIN,62
CA006041222,2005-05-27,TMAX,93
CA006055378,2006-09-24,TMAX,85
CA006041222,2009-11-10,TMIN,40
CA006041222,2010-04-29,TMAX,77
CA006041222,2010-08-04,TMIN,183
CA006055378,2005-04-07,TMIN,22
CA006055378,2006-07-02,TMIN,104
CA006055378,2006-07-06,TMIN,104
CA006055378,2006-07-06,TMAX,197
CA006055378,2006-03-24,TMIN,-26
CA006041222,2005-06-12,TMAX,139
CA006041222,2010-05-26,TMIN,71
CA006041222,2010-05-18,TMIN,54
CA006055378,2006-07-11,TMIN,130
CA006041222,2010-05-31,TMIN,71
CA006041222,2005-03-07,TMIN,-112
CA006041222,2014-09-17,TMAX,77
CA006041222,2011-05-02,TMIN,5
CA006041222,2015-12-30,TMAX,-25
CA006041222,2013-01-27,TMIN,-32
CA006041222,2014-12-01,TMAX,-32
CA006041222,2015-03-05,TMIN,-188
CA006055378,2006-09-16,TMIN,132
CA006041222,2005-05-02,TMAX,24
CA006041222,2010-07-06,TMAX,160
CA006041222,2012-12-02,TMIN,38
CA006041222,2013-06-21,TMAX,128
CA006041222,2010-12-25,TMIN,-52
CA006041222,2015-04-24,TMIN,-26
CA006041222,2015-05-07,TMAX,96
CA006055378,2005-03-14,TMIN,-106
CA006055378,2006-08-20,TMIN,89
CA006055378,2005-12-28,TMIN,-64
CA006055378,2005-10-13,TMIN,88
CA006041222,2010-09-12,TMIN,130
CA006041222,2010-12-25,TMAX,-15
CA006041222,2015-01-29,TMIN,-130
CA006041222,2014-07-11,TMIN,62
CA006041222,2005-05-02,TMIN,2
CA006041222,2010-05-27,TMAX,111
CA006041222,2014-09-01,TMAX,139
CA006041222,2012-08-09,TMIN,157
CA006055378,2006-09-21,TMIN,55
CA006041222,2010-03-30,TMAX,62
CA006041222,2010-07-28,TMIN,161
CA006041222,2015-09-10,TMIN,122
CA006041222,2012-12-02,TMAX,51
CA006041222,2014-12-01,TMIN,-109
CA006041222,2014-09-01,TMIN,108
CA006041222,2012-02-27,TMAX,-2
CA006041222,2010-09-12,TMAX,155
CA006055378,2006-04-17,TMIN,4
CA006041222,2013-03-13,TMAX,-25
CA006041222,2012-09-18,TMAX,121
CA006055378,2006-05-04,TMAX,72
CA006041222,2014-10-02,TMIN,89
CA006041222,2014-12-05,TMAX,30
CA006041222,2015-07-14,TMIN,72
CA006041222,2010-11-03,TMIN,64
CA006041222,2005-04-18,TMAX,79
CA006041222,2011-02-16,TMIN,14
CA006041222,2011-06-01,TMIN,44
CA006041222,2011-09-11,TMIN,165
CA006041222,2013-01-27,TMAX,18
CA006055378,2005-10-12,TMAX,163
CA006041222,2010-08-07,TMIN,163
CA006041222,2013-10-11,TMAX,140
CA006041222,2012-03-28,TMIN,11
CA006041222,2010-07-06,TMIN,117
CA006041222,2014-12-05,TMIN,4
CA006055378,2006-12-23,TMIN,-22
CA006055378,2005-12-04,TMAX,-72
CA006041222,2013-03-13,TMIN,-90
CA006041222,2012-03-28,TMAX,53
CA006041222,2015-03-03,TMAX,-43
CA006041222,2005-01-30,TMIN,-49
CA006041222,2014-07-11,TMAX,102
CA006055378,2005-02-01,TMAX,-17
CA006041222,2012-02-27,TMIN,-61
CA006055378,2006-09-24,TMIN,27
CA006041222,2011-06-05,TMIN,41
CA006041222,2011-09-19,TMAX,140
CA006055378,2005-01-18,TMIN,-277
CA006041222,2012-02-06,TMAX,30
CA006041222,2005-02-02,TMAX,26
CA006041222,2010-05-17,TMIN,51
CA006055378,2006-06-13,TMAX,192
CA006041222,2010-01-21,TMAX,11
CA006055378,2006-09-16,TMAX,206
CA006041222,2015-12-02,TMAX,54
CA006041222,2013-05-02,TMIN,11
CA006041222,2015-06-19,TMAX,114
CA006055378,2006-04-06,TMAX,99
CA006041222,2015-01-27,TMAX,-30
CA006041222,2015-06-08,TMAX,63
CA006041222,2005-05-17,TMAX,85
CA006041222,2009-09-30,TMIN,31
CA006041222,2013-10-10,TMAX,151
CA006041222,2014-08-08,TMAX,186
CA006041222,2012-02-06,TMIN,-71
CA006055378,2006-07-15,TMAX,267
CA006055378,2005-01-12,TMIN,-80
CA006041222,2010-01-27,TMIN,-123
CA006041222,2009-11-10,TMAX,77
CA006055378,2006-07-11,TMAX,232
CA006055378,2006-07-15,TMIN,168
CA006041222,2009-09-30,TMAX,88
CA006041222,2014-12-10,TMIN,-64
CA006041222,2010-10-22,TMAX,110
CA006041222,2014-10-02,TMAX,103
CA006041222,2010-08-19,TMAX,193
CA006041222,2014-07-22,TMAX,145
CA006041222,2015-06-26,TMAX,110
