ID,Date,Element,Data_Value
IN019120700,2014-11-10,TMAX,290
IN019120700,2011-07-02,TMAX,364
IN019120700,2011-09-03,TMAX,351
IN019120700,2009-11-07,TMAX,273
IN019120700,2012-12-03,TMAX,239
IN019120700,2015-01-11,TMAX,139
IN019120700,2007-06-01,TMAX,454
IN019120700,2011-08-14,TMAX,312
IN019120700,2014-11-19,TMAX,272
IN019120700,2015-11-30,TMAX,245
IN019120700,2011-11-18,TMAX,326
IN019120700,2015-09-14,TMAX,415
IN019120700,2009-05-25,TMAX,397
IN019120700,2011-09-10,TMAX,335
IN019120700,2014-04-11,TMAX,381
IN019120700,2010-06-21,TMAX,487
IN019120700,2007-12-19,TMAX,222
IN019120700,2012-06-23,TMAX,420
IN019120700,2009-09-02,TMAX,363
IN019120700,2012-06-03,TMAX,454
IN019120700,2013-06-05,TMAX,465
IN019120700,2015-12-26,TMIN,51
IN019120700,2012-10-08,TMAX,371
IN019120700,2013-07-05,TMAX,418
IN019120700,2013-10-26,TMAX,344
IN019120700,2015-12-22,TMAX,217
IN019120700,2006-01-08,TMAX,196
IN019120700,2006-01-21,TMAX,212
IN019120700,2014-01-20,TMAX,208
IN019120700,2008-04-02,TMAX,341
IN019120700,2007-07-04,TMAX,354
IN019120700,2015-05-04,TMAX,430
IN019120700,2010-03-19,TMAX,374
IN019120700,2006-06-25,TMAX,412
IN019120700,2014-06-10,TMAX,457
IN019120700,2005-02-13,TMAX,226
IN019120700,2007-09-27,TMAX,355
IN019120700,2011-05-29,TMAX,444
IN019120700,2012-06-01,TMAX,466
IN019120700,2014-04-26,TMAX,394
IN019120700,2014-09-13,TMAX,353
IN019120700,2015-09-30,TMAX,350
IN019120700,2008-10-18,TMAX,344
IN019120700,2014-06-27,TMAX,406
IN019120700,2013-12-05,TMAX,276
IN019120700,2013-03-07,TMAX,335
IN019120700,2009-06-04,TMAX,427
IN019120700,2009-08-07,TMAX,407
IN019120700,2015-05-26,TMAX,412
IN019120700,2008-10-25,TMAX,355
IN019120700,2009-02-17,TMAX,256
IN019120700,2012-04-28,TMAX,371
IN019120700,2005-01-17,TMAX,205
IN019120700,2013-11-13,TMAX,281
IN019120700,2006-05-05,TMAX,477
IN019120700,2009-10-14,TMAX,364
IN019120700,2015-12-31,TMIN,63
IN019120700,2007-08-21,TMAX,383
IN019120700,2013-03-21,TMAX,326
IN019120700,2009-04-24,TMAX,388
IN019120700,2007-10-25,TMAX,364
IN019120700,2007-10-08,TMAX,353
IN019120700,2011-02-07,TMAX,248
IN019120700,2015-09-28,TMAX,356
IN019120700,2011-03-11,TMAX,316
IN019120700,2015-05-16,TMAX,420
IN019120700,2014-10-06,TMAX,392
IN019120700,2013-07-13,TMAX,399
IN019120700,2012-03-04,TMAX,324
IN019120700,2014-06-17,TMAX,452
IN019120700,2008-07-23,TMAX,423
IN019120700,2008-05-13,TMAX,412
IN019120700,2010-08-28,TMAX,382
IN019120700,2008-06-04,TMAX,428
IN019120700,2013-10-08,TMAX,376
IN019120700,2009-04-07,TMAX,341
IN019120700,2015-05-25,TMAX,452
IN019120700,2010-06-06,TMAX,385
IN019120700,2012-10-23,TMAX,296
IN019120700,2011-12-13,TMAX,247
IN019120700,2006-09-15,TMAX,391
IN019120700,2008-08-01,TMAX,338
IN019120700,2007-07-07,TMAX,402
IN019120700,2010-09-12,TMAX,313
IN019120700,2011-10-10,TMAX,364
IN019120700,2007-12-30,TMAX,207
IN019120700,2009-08-11,TMAX,429
IN019120700,2007-07-17,TMAX,390
IN019120700,2005-05-02,TMAX,382
IN019120700,2015-04-27,TMAX,417
IN019120700,2009-12-18,TMAX,248
IN019120700,2010-01-24,TMAX,189
IN019120700,2015-04-04,TMAX,305
IN019120700,2009-03-08,TMAX,340
IN019120700,2010-01-26,TMAX,217
IN019120700,2012-02-29,TMAX,288
IN019120700,2007-06-20,TMAX,331
IN019120700,2013-05-16,TMAX,423
IN019120700,2010-07-25,TMAX,402
IN019120700,2012-11-10,TMAX,308
IN019120700,2015-04-14,TMAX,346
IN019120700,2008-09-29,TMAX,384
IN019120700,2014-11-03,TMAX,325
IN019120700,2012-10-17,TMAX,318
IN019120700,2009-01-29,TMAX,245
IN019120700,2013-03-25,TMAX,285
IN019120700,2015-12-06,TMAX,263
IN019120700,2014-05-26,TMAX,415
IN019120700,2010-11-24,TMAX,270
IN019120700,2009-08-21,TMAX,332
IN019120700,2011-03-07,TMAX,270
IN019120700,2014-04-13,TMAX,335
IN019120700,2014-07-15,TMAX,437
IN019120700,2012-12-10,TMAX,276
IN019120700,2010-04-03,TMAX,394
IN019120700,2007-10-20,TMAX,370
IN019120700,2011-08-12,TMAX,350
IN019120700,2009-02-11,TMAX,211
IN019120700,2012-11-27,TMAX,268
IN019120700,2013-12-07,TMAX,292
IN019120700,2015-08-09,TMAX,375
IN019120700,2007-10-06,TMAX,358
IN019120700,2009-07-14,TMAX,318
IN019120700,2010-04-09,TMAX,427
IN019120700,2015-02-23,TMAX,276
IN019120700,2013-10-21,TMAX,375
IN019120700,2009-10-16,TMAX,364
IN019120700,2012-05-20,TMAX,426
IN019120700,2007-12-16,TMAX,211
IN019120700,2014-09-23,TMAX,369
IN019120700,2008-01-27,TMAX,173
IN019120700,2011-12-23,TMAX,206
IN019120700,2011-02-19,TMAX,235
IN019120700,2005-11-20,TMAX,309
IN019120700,2007-12-22,TMAX,259
IN019120700,2007-09-07,TMAX,291
IN019120700,2006-10-09,TMAX,391
IN019120700,2007-05-07,TMAX,449
IN019120700,2007-06-12,TMAX,441
IN019120700,2014-03-20,TMAX,314
IN019120700,2015-12-22,TMIN,48
IN019120700,2011-08-17,TMAX,343
IN019120700,2012-07-08,TMAX,366
IN019120700,2008-08-18,TMAX,383
IN019120700,2011-11-21,TMAX,308
IN019120700,2005-12-03,TMAX,246
IN019120700,2014-08-31,TMAX,373
IN019120700,2005-02-06,TMAX,165
IN019120700,2011-06-24,TMAX,451
