ID,Date,Element,Data_Value
ASN00007600,2012-06-15,TMIN,93
ASN00007600,2010-03-20,TMIN,210
ASN00007600,2011-06-21,TMIN,72
ASN00007600,2007-10-22,TMAX,253
ASN00007600,2013-02-27,TMIN,259
ASN00007600,2007-02-14,TMAX,431
ASN00007600,2011-11-17,TMIN,166
ASN00007600,2007-05-23,TMIN,67
ASN00007600,2013-02-27,TMAX,353
ASN00007600,2005-12-16,TMIN,158
ASN00007600,2010-07-09,TMIN,98
ASN00007600,2007-09-13,TMAX,203
ASN00007600,2007-02-01,TMAX,447
ASN00007600,2006-08-01,TMIN,103
ASN00007600,2006-01-19,TMIN,235
ASN00007600,2005-12-16,TMAX,339
ASN00007600,2015-07-01,TMAX,233
ASN00007600,2012-06-15,TMAX,169
ASN00007600,2011-07-04,TMIN,46
ASN00007600,2010-03-20,TMAX,363
ASN00007600,2007-04-21,TMAX,300
ASN00007600,2006-02-21,TMIN,254
ASN00007600,2012-04-16,TMAX,341
ASN00007600,2014-06-15,TMAX,182
ASN00007600,2013-12-09,TMAX,361
ASN00007600,2006-01-23,TMAX,367
ASN00007600,2005-12-05,TMIN,154
ASN00007600,2005-06-16,TMAX,151
ASN00007600,2014-06-15,TMIN,32
ASN00007600,2011-06-21,TMAX,205
ASN00007600,2005-01-23,TMAX,427
ASN00007600,2015-07-01,TMIN,82
ASN00007600,2014-08-23,TMIN,84
ASN00007600,2010-12-14,TMIN,191
ASN00007600,2006-04-20,TMIN,155
ASN00007600,2006-12-11,TMAX,316
ASN00007600,2008-04-21,TMIN,119
ASN00007600,2008-09-01,TMIN,55
ASN00007600,2009-01-10,TMIN,276
ASN00007600,2009-12-13,TMIN,238
ASN00007600,2014-07-16,TMAX,162
ASN00007600,2008-09-01,TMAX,202
ASN00007600,2014-07-16,TMIN,90
ASN00007600,2006-08-01,TMAX,183
ASN00007600,2012-12-31,TMIN,264
ASN00007600,2015-11-30,TMAX,357
ASN00007600,2006-05-18,TMIN,152
ASN00007600,2014-10-08,TMIN,118
ASN00007600,2007-04-21,TMIN,132
ASN00007600,2007-02-14,TMIN,267
ASN00007600,2012-03-22,TMAX,256
ASN00007600,2010-12-14,TMAX,366
ASN00007600,2007-02-01,TMIN,248
ASN00007600,2008-05-05,TMAX,285
ASN00007600,2007-10-22,TMIN,132
ASN00007600,2005-01-23,TMIN,305
ASN00007600,2009-12-13,TMAX,404
ASN00007600,2005-11-06,TMIN,115
ASN00007600,2015-05-10,TMAX,247
ASN00007600,2011-11-17,TMAX,362
ASN00007600,2014-03-28,TMAX,345
ASN00007600,2009-03-26,TMIN,183
ASN00007600,2013-04-12,TMIN,219
ASN00007600,2009-12-20,TMAX,418
ASN00007600,2013-07-09,TMAX,236
ASN00007600,2011-12-09,TMAX,309
ASN00007600,2014-09-06,TMAX,244
ASN00007600,2013-07-09,TMIN,74
ASN00007600,2005-03-14,TMIN,261
ASN00007600,2015-07-30,TMAX,254
ASN00007600,2013-09-03,TMIN,151
ASN00007600,2015-07-30,TMIN,148
ASN00007600,2005-01-02,TMAX,335
ASN00007600,2005-03-06,TMAX,342
ASN00007600,2005-03-06,TMIN,185
ASN00007600,2014-09-06,TMIN,158
ASN00007600,2015-10-09,TMAX,302
ASN00007600,2015-10-09,TMIN,207
ASN00007600,2006-08-21,TMIN,108
ASN00007600,2005-01-02,TMIN,225
ASN00007600,2006-11-21,TMAX,345
ASN00007600,2013-04-20,TMAX,277
ASN00007600,2006-08-21,TMAX,260
ASN00007600,2006-01-17,TMIN,242
ASN00007600,2006-08-12,TMIN,67
ASN00007600,2012-12-22,TMIN,226
ASN00007600,2006-01-17,TMAX,419
ASN00007600,2008-04-06,TMAX,295
ASN00007600,2008-03-22,TMAX,359
ASN00007600,2013-09-03,TMAX,263
ASN00007600,2015-02-06,TMAX,420
ASN00007600,2011-10-15,TMAX,331
ASN00007600,2007-11-28,TMAX,410
ASN00007600,2011-10-15,TMIN,137
ASN00007600,2008-04-06,TMIN,203
ASN00007600,2012-12-22,TMAX,404
ASN00007600,2007-11-28,TMIN,227
ASN00007600,2010-09-09,TMIN,73
ASN00007600,2005-07-02,TMIN,43
ASN00007600,2005-03-05,TMAX,298
ASN00007600,2006-07-28,TMAX,149
ASN00007600,2012-04-10,TMAX,316
ASN00007600,2009-12-16,TMAX,332
ASN00007600,2011-05-06,TMAX,255
ASN00007600,2008-04-20,TMIN,71
ASN00007600,2011-12-09,TMIN,190
ASN00007600,2008-10-05,TMIN,79
ASN00007600,2012-09-24,TMAX,318
ASN00007600,2013-04-03,TMAX,338
ASN00007600,2006-11-21,TMIN,176
ASN00007600,2007-10-17,TMIN,157
ASN00007600,2011-08-20,TMIN,77
ASN00007600,2015-03-02,TMAX,259
ASN00007600,2011-08-20,TMAX,278
ASN00007600,2012-09-19,TMAX,263
ASN00007600,2010-06-21,TMAX,240
ASN00007600,2012-09-26,TMAX,236
ASN00007600,2013-04-03,TMIN,212
