ID,Date,Element,Data_Value
CHM00054102,2012-12-04,TMAX,-137
CHM00054102,2010-02-06,TMIN,-281
CHM00054102,2007-10-08,TMAX,106
CHM00054102,2008-09-18,TMIN,35
CHM00054102,2008-08-29,TMAX,278
CHM00054102,2012-06-10,TMIN,55
CHM00054102,2006-07-17,TMAX,263
CHM00054102,2008-01-23,TMIN,-303
CHM00054102,2008-02-13,TMAX,-74
CHM00054102,2005-08-21,TMAX,283
CHM00054102,2006-04-23,TMIN,-58
CHM00054102,2006-12-19,TMAX,-101
CHM00054102,2008-02-13,TMIN,-229
CHM00054102,2009-04-27,TMIN,27
CHM00054102,2005-08-27,TMAX,303
CHM00054102,2006-01-15,TMAX,-67
CHM00054102,2010-02-04,TMIN,-308
CHM00054102,2005-02-12,TMAX,-116
CHM00054102,2014-07-18,TMAX,358
CHM00054102,2013-01-13,TMIN,-252
CHM00054102,2014-02-13,TMIN,-213
CHM00054102,2009-04-13,TMIN,44
CHM00054102,2008-01-23,TMAX,-188
CHM00054102,2005-02-20,TMAX,-150
CHM00054102,2012-04-02,TMAX,17
CHM00054102,2010-02-04,TMAX,-155
CHM00054102,2012-04-02,TMIN,-65
CHM00054102,2014-02-13,TMAX,-13
CHM00054102,2010-06-05,TMAX,288
CHM00054102,2005-02-20,TMIN,-303
CHM00054102,2007-10-31,TMAX,-8
CHM00054102,2009-08-04,TMIN,171
CHM00054102,2006-09-09,TMAX,76
CHM00054102,2007-04-02,TMIN,-88
CHM00054102,2007-10-08,TMIN,-62
CHM00054102,2006-04-23,TMAX,73
CHM00054102,2009-08-19,TMIN,138
CHM00054102,2009-08-04,TMAX,313
CHM00054102,2010-06-05,TMIN,129
CHM00054102,2006-12-28,TMIN,-295
CHM00054102,2014-07-18,TMIN,176
CHM00054102,2008-09-18,TMAX,241
CHM00054102,2011-12-09,TMAX,-196
CHM00054102,2011-11-23,TMAX,-119
CHM00054102,2009-08-19,TMAX,241
CHM00054102,2013-01-13,TMAX,-115
CHM00054102,2012-12-04,TMIN,-264
CHM00054102,2005-02-12,TMIN,-299
CHM00054102,2006-09-09,TMIN,1
CHM00054102,2015-11-07,TMIN,-56
CHM00054102,2013-06-24,TMIN,157
CHM00054102,2015-06-03,TMIN,62
CHM00054102,2008-01-06,TMIN,-203
CHM00054102,2008-08-29,TMIN,124
CHM00054102,2005-05-17,TMAX,191
CHM00054102,2008-10-19,TMAX,167
CHM00054102,2006-01-15,TMIN,-243
CHM00054102,2005-03-28,TMAX,30
CHM00054102,2011-12-20,TMAX,-159
CHM00054102,2010-04-05,TMAX,22
CHM00054102,2010-11-09,TMAX,17
CHM00054102,2008-08-01,TMIN,125
CHM00054102,2010-11-09,TMIN,-115
CHM00054102,2010-05-11,TMIN,40
CHM00054102,2007-03-06,TMAX,-99
CHM00054102,2007-01-18,TMAX,-118
CHM00054102,2015-05-07,TMAX,109
CHM00054102,2010-04-05,TMIN,-80
CHM00054102,2011-12-20,TMIN,-227
CHM00054102,2005-03-28,TMIN,-113
CHM00054102,2006-06-15,TMIN,65
CHM00054102,2014-10-10,TMIN,108
CHM00054102,2014-10-08,TMIN,34
CHM00054102,2015-09-29,TMIN,29
CHM00054102,2010-05-11,TMAX,102
CHM00054102,2007-03-10,TMAX,-85
CHM00054102,2012-08-20,TMAX,223
CHM00054102,2008-12-06,TMAX,-70
CHM00054102,2015-04-20,TMIN,-24
CHM00054102,2007-01-09,TMAX,-152
CHM00054102,2007-01-09,TMIN,-241
CHM00054102,2010-11-17,TMAX,79
CHM00054102,2007-09-08,TMIN,89
CHM00054102,2006-06-15,TMAX,219
CHM00054102,2007-02-19,TMIN,-146
CHM00054102,2009-10-09,TMIN,-19
CHM00054102,2008-06-30,TMIN,157
CHM00054102,2005-06-21,TMAX,320
CHM00054102,2012-12-12,TMIN,-192
CHM00054102,2012-12-12,TMAX,-53
CHM00054102,2005-06-21,TMIN,123
CHM00054102,2013-12-02,TMAX,33
CHM00054102,2005-07-31,TMIN,163
CHM00054102,2008-02-24,TMIN,-219
CHM00054102,2007-01-18,TMIN,-253
CHM00054102,2007-06-28,TMAX,336
CHM00054102,2007-06-28,TMIN,198
CHM00054102,2005-07-31,TMAX,249
CHM00054102,2014-05-08,TMAX,172
CHM00054102,2009-10-09,TMAX,108
CHM00054102,2013-04-19,TMIN,-66
