ID,Date,Element,Data_Value
NGM00061053,2015-12-18,TMIN,160
NGM00061053,2015-08-29,TMAX,314
NGM00061053,2014-10-15,TMIN,255
NGM00061053,2014-07-14,TMAX,352
NGM00061053,2014-06-04,TMIN,295
NGM00061053,2012-11-07,TMAX,413
NGM00061053,2015-10-30,TMIN,216
NGM00061053,2012-10-10,TMAX,371
NGM00061053,2014-06-27,TMIN,275
NGM00061053,2015-07-09,TMAX,340
NGM00061053,2015-04-29,TMIN,260
NGM00061053,2015-05-17,TMAX,425
NGM00061053,2013-12-26,TMAX,350
NGM00061053,2015-04-03,TMAX,405
NGM00061053,2015-12-18,TMAX,288
NGM00061053,2013-08-28,TMAX,342
NGM00061053,2015-04-18,TMAX,395
NGM00061053,2015-03-10,TMIN,227
NGM00061053,2014-01-25,TMAX,370
NGM00061053,2013-10-19,TMIN,232
NGM00061053,2014-06-22,TMAX,360
NGM00061053,2013-12-26,TMIN,198
NGM00061053,2014-03-19,TMIN,270
NGM00061053,2015-09-24,TMAX,360
NGM00061053,2014-05-07,TMAX,385
NGM00061053,2012-10-17,TMIN,250
NGM00061053,2015-04-07,TMIN,273
NGM00061053,2013-10-26,TMIN,195
NGM00061053,2015-11-30,TMAX,362
NGM00061053,2014-05-11,TMAX,375
NGM00061053,2012-11-22,TMAX,390
NGM00061053,2014-11-30,TMAX,380
NGM00061053,2015-01-20,TMAX,360
NGM00061053,2014-06-04,TMAX,390
NGM00061053,2015-01-17,TMAX,320
NGM00061053,2013-04-16,TMAX,408
NGM00061053,2012-10-04,TMAX,375
NGM00061053,2015-08-07,TMIN,245
NGM00061053,2013-03-20,TMAX,432
NGM00061053,2015-11-23,TMAX,375
NGM00061053,2014-02-10,TMAX,370
NGM00061053,2013-08-10,TMIN,247
NGM00061053,2015-04-04,TMAX,420
NGM00061053,2015-05-12,TMIN,272
NGM00061053,2012-11-07,TMIN,216
NGM00061053,2013-07-29,TMIN,230
NGM00061053,2015-11-23,TMIN,200
NGM00061053,2012-12-01,TMIN,175
NGM00061053,2015-04-21,TMAX,420
NGM00061053,2013-02-04,TMIN,195
NGM00061053,2013-08-10,TMAX,285
NGM00061053,2015-06-21,TMIN,264
NGM00061053,2014-10-28,TMIN,200
NGM00061053,2014-08-19,TMAX,350
