ID,Date,Element,Data_Value
CA003075225,2007-06-03,TMIN,150
CA003075225,2005-06-17,TMIN,40
CA003075225,2008-07-28,TMAX,230
CA003075225,2007-05-10,TMAX,120
CA003075225,2009-08-15,TMIN,50
CA003075225,2005-08-18,TMIN,-10
CA003075225,2011-06-09,TMAX,225
CA003075225,2009-08-15,TMAX,160
CA003075225,2005-08-18,TMAX,190
CA003075225,2007-05-10,TMIN,10
CA003075225,2005-05-18,TMAX,150
CA003075225,2011-06-19,TMIN,75
CA003075225,2011-06-19,TMAX,145
CA003075225,2005-08-01,TMAX,180
CA003075225,2006-08-13,TMIN,60
CA003075225,2005-04-30,TMAX,50
CA003075225,2006-06-01,TMAX,220
CA003075225,2005-08-22,TMAX,160
CA003075225,2009-07-08,TMAX,170
CA003075225,2006-06-03,TMIN,50
CA003075225,2010-08-23,TMIN,60
CA003075225,2007-05-17,TMIN,40
CA003075225,2008-06-13,TMIN,50
CA003075225,2007-07-20,TMIN,90
CA003075225,2008-08-05,TMAX,250
CA003075225,2005-04-28,TMAX,40
CA003075225,2010-06-18,TMIN,5
CA003075225,2011-06-01,TMIN,60
CA003075225,2007-06-03,TMAX,260
CA003075225,2005-08-19,TMAX,250
CA003075225,2006-09-28,TMAX,185
CA003075225,2010-06-27,TMIN,100
CA003075225,2008-07-22,TMIN,60
CA003075225,2005-06-05,TMIN,60
CA003075225,2010-06-27,TMAX,200
CA003075225,2011-06-09,TMIN,75
CA003075225,2007-07-20,TMAX,200
CA003075225,2007-08-02,TMIN,95
CA003075225,2005-05-15,TMAX,210
CA003075225,2007-07-21,TMAX,230
CA003075225,2008-06-13,TMAX,150
CA003075225,2008-07-22,TMAX,200
CA003075225,2006-06-03,TMAX,155
CA003075225,2005-05-25,TMAX,180
CA003075225,2008-07-28,TMIN,90
CA003075225,2011-07-07,TMAX,185
CA003075225,2006-08-13,TMAX,220
CA003075225,2009-05-12,TMAX,-10
CA003075225,2007-08-26,TMIN,40
CA003075225,2011-06-24,TMIN,70
CA003075225,2006-05-04,TMIN,15
CA003075225,2007-08-05,TMIN,95
CA003075225,2011-06-01,TMAX,185
CA003075225,2005-06-20,TMAX,210
CA003075225,2011-06-24,TMAX,75
CA003075225,2006-08-30,TMAX,160
CA003075225,2010-08-08,TMAX,210
CA003075225,2008-08-09,TMAX,260
CA003075225,2005-08-22,TMIN,30
CA003075225,2006-07-11,TMAX,180
CA003075225,2010-08-08,TMIN,110
CA003075225,2006-09-10,TMIN,95
CA003075225,2007-07-19,TMAX,180
CA003075225,2011-05-13,TMAX,160
CA003075225,2005-07-19,TMIN,50
CA003075225,2005-04-28,TMIN,-50
CA003075225,2008-09-05,TMIN,70
CA003075225,2009-07-08,TMIN,80
CA003075225,2005-08-01,TMIN,70
CA003075225,2007-05-06,TMAX,150
CA003075225,2011-05-21,TMAX,175
CA003075225,2006-05-04,TMAX,180
CA003075225,2005-04-30,TMIN,-90
CA003075225,2006-06-01,TMIN,100
CA003075225,2007-07-30,TMIN,70
CA003075225,2007-07-19,TMIN,150
CA003075225,2009-08-26,TMAX,185
CA003075225,2006-09-27,TMAX,210
CA003075225,2007-07-21,TMIN,90
CA003075225,2010-06-04,TMIN,50
CA003075225,2007-06-11,TMAX,170
CA003075225,2007-05-06,TMIN,20
CA003075225,2006-09-10,TMAX,215
CA003075225,2008-09-05,TMAX,150
CA003075225,2006-09-27,TMIN,55
CA003075225,2007-06-11,TMIN,50
CA003075225,2006-09-28,TMIN,70
CA003075225,2011-07-07,TMIN,95
CA003075225,2009-05-12,TMIN,-40
CA003075225,2007-08-26,TMAX,90
CA003075225,2005-08-19,TMIN,25
CA003075225,2005-06-17,TMAX,100
CA003075225,2005-07-19,TMAX,150
CA003075225,2010-06-18,TMAX,230
CA003075225,2008-08-09,TMIN,140
CA003075225,2011-05-21,TMIN,70
CA003075225,2009-08-26,TMIN,90
CA003075225,2007-08-05,TMAX,195
CA003075225,2005-05-06,TMIN,20
CA003075225,2010-08-24,TMAX,195
CA003075225,2006-08-14,TMIN,80
CA003075225,2006-06-06,TMAX,160
CA003075225,2005-07-13,TMIN,70
CA003075225,2008-05-21,TMIN,40
CA003075225,2010-06-11,TMIN,75
CA003075225,2008-06-28,TMAX,280
CA003075225,2006-08-14,TMAX,190
CA003075225,2007-08-25,TMIN,70
