ID,Date,Element,Data_Value
MGM00044314,2014-09-21,TMAX,235
MGM00044314,2010-07-19,TMIN,133
MGM00044314,2012-03-16,TMAX,-26
MGM00044314,2013-12-17,TMIN,-193
MGM00044314,2010-11-30,TMAX,-50
MGM00044314,2011-02-20,TMAX,7
MGM00044314,2015-03-12,TMAX,-33
MGM00044314,2007-01-08,TMAX,-107
MGM00044314,2015-05-25,TMAX,258
MGM00044314,2012-05-16,TMAX,210
MGM00044314,2006-11-01,TMAX,138
MGM00044314,2006-06-23,TMAX,275
MGM00044314,2011-10-11,TMIN,11
MGM00044314,2007-03-29,TMIN,-103
MGM00044314,2010-06-20,TMAX,244
MGM00044314,2007-09-04,TMIN,93
MGM00044314,2014-05-29,TMAX,254
MGM00044314,2015-03-16,TMIN,-141
MGM00044314,2009-07-06,TMAX,260
MGM00044314,2015-06-29,TMAX,247
MGM00044314,2014-07-29,TMAX,314
MGM00044314,2008-05-14,TMAX,207
MGM00044314,2010-06-20,TMIN,54
MGM00044314,2012-12-31,TMAX,-180
MGM00044314,2009-01-08,TMIN,-259
MGM00044314,2007-12-22,TMAX,-95
MGM00044314,2012-09-07,TMAX,280
MGM00044314,2011-08-14,TMAX,270
MGM00044314,2005-11-18,TMAX,-18
MGM00044314,2007-07-18,TMAX,241
MGM00044314,2008-05-06,TMAX,132
MGM00044314,2010-10-15,TMAX,62
MGM00044314,2007-12-24,TMAX,-53
MGM00044314,2011-01-28,TMAX,-208
MGM00044314,2014-09-21,TMIN,42
MGM00044314,2010-03-28,TMIN,-114
MGM00044314,2010-07-19,TMAX,294
MGM00044314,2007-04-10,TMAX,135
MGM00044314,2005-11-16,TMIN,-187
MGM00044314,2013-02-11,TMIN,-234
MGM00044314,2008-10-17,TMIN,-24
MGM00044314,2005-11-16,TMAX,-3
MGM00044314,2010-11-15,TMIN,-159
MGM00044314,2009-11-30,TMAX,-1
MGM00044314,2014-08-18,TMIN,112
MGM00044314,2006-08-21,TMIN,103
MGM00044314,2009-11-30,TMIN,-156
MGM00044314,2009-09-04,TMAX,211
MGM00044314,2011-08-22,TMAX,295
MGM00044314,2008-06-20,TMIN,131
MGM00044314,2011-08-14,TMIN,134
MGM00044314,2014-04-20,TMIN,-12
MGM00044314,2007-09-19,TMIN,30
MGM00044314,2006-11-10,TMAX,-43
MGM00044314,2009-04-17,TMAX,86
MGM00044314,2013-04-16,TMIN,-123
MGM00044314,2010-03-28,TMAX,121
MGM00044314,2015-08-12,TMAX,347
MGM00044314,2011-06-07,TMAX,230
MGM00044314,2010-06-02,TMAX,271
MGM00044314,2008-06-20,TMAX,301
MGM00044314,2015-03-26,TMAX,190
MGM00044314,2005-09-26,TMAX,203
MGM00044314,2015-08-12,TMIN,127
MGM00044314,2011-03-23,TMIN,-159
MGM00044314,2013-04-16,TMAX,22
MGM00044314,2007-08-17,TMAX,330
MGM00044314,2007-08-17,TMIN,165
MGM00044314,2015-11-24,TMAX,-165
MGM00044314,2011-03-23,TMAX,-27
MGM00044314,2006-08-21,TMAX,277
MGM00044314,2015-03-12,TMIN,-203
MGM00044314,2011-02-20,TMIN,-150
MGM00044314,2013-10-10,TMAX,88
