ID,Date,Element,Data_Value
MR000061421,2010-04-25,TMIN,239
MR000061421,2013-10-09,TMIN,274
MR000061421,2014-09-15,TMAX,450
MR000061421,2014-05-20,TMIN,272
MR000061421,2006-03-04,TMIN,160
MR000061421,2010-02-28,TMIN,230
MR000061421,2009-04-06,TMAX,384
MR000061421,2011-11-03,TMIN,265
MR000061421,2008-12-23,TMAX,258
MR000061421,2015-05-17,TMAX,458
MR000061421,2013-12-28,TMIN,144
MR000061421,2011-08-29,TMIN,315
MR000061421,2015-07-11,TMAX,405
MR000061421,2010-05-26,TMIN,340
MR000061421,2008-11-16,TMAX,350
MR000061421,2009-02-05,TMAX,274
MR000061421,2011-11-03,TMAX,385
MR000061421,2012-07-10,TMIN,330
MR000061421,2011-02-08,TMIN,137
MR000061421,2007-09-26,TMIN,285
MR000061421,2013-12-28,TMAX,277
MR000061421,2010-05-07,TMIN,250
MR000061421,2012-05-21,TMIN,219
MR000061421,2007-02-05,TMIN,190
MR000061421,2005-12-27,TMAX,338
MR000061421,2006-08-25,TMAX,380
MR000061421,2006-12-31,TMIN,190
MR000061421,2014-06-02,TMAX,412
MR000061421,2005-10-31,TMAX,384
MR000061421,2008-07-08,TMAX,404
MR000061421,2015-01-29,TMAX,273
MR000061421,2014-06-02,TMIN,285
MR000061421,2010-02-28,TMAX,374
MR000061421,2012-11-08,TMIN,250
MR000061421,2013-10-09,TMAX,400
MR000061421,2008-12-23,TMIN,198
MR000061421,2011-08-11,TMAX,456
MR000061421,2015-03-19,TMAX,280
MR000061421,2013-07-19,TMIN,322
MR000061421,2013-04-04,TMAX,314
MR000061421,2013-06-05,TMAX,440
MR000061421,2009-05-14,TMAX,380
MR000061421,2006-06-01,TMAX,422
MR000061421,2013-06-02,TMAX,430
MR000061421,2015-01-23,TMAX,252
MR000061421,2009-07-03,TMIN,290
MR000061421,2006-07-26,TMAX,466
MR000061421,2006-07-26,TMIN,280
MR000061421,2012-07-10,TMAX,464
MR000061421,2010-04-25,TMAX,400
MR000061421,2006-09-10,TMAX,433
MR000061421,2013-02-25,TMAX,340
MR000061421,2013-03-27,TMAX,330
MR000061421,2010-12-26,TMIN,166
MR000061421,2013-03-27,TMIN,202
MR000061421,2015-08-12,TMAX,360
MR000061421,2012-05-21,TMAX,377
