ID,Date,Element,Data_Value
IRM00040875,2013-08-20,TMAX,372
IRM00040875,2011-01-20,TMIN,149
IRM00040875,2013-08-25,TMIN,296
IRM00040875,2014-09-07,TMAX,392
IRM00040875,2014-03-18,TMIN,140
IRM00040875,2006-01-07,TMAX,246
IRM00040875,2008-07-11,TMAX,370
IRM00040875,2011-01-15,TMAX,240
IRM00040875,2010-05-08,TMAX,324
IRM00040875,2013-12-01,TMIN,155
IRM00040875,2013-09-28,TMAX,376
IRM00040875,2013-07-20,TMAX,362
IRM00040875,2005-08-26,TMAX,370
IRM00040875,2012-02-29,TMIN,147
IRM00040875,2010-09-03,TMAX,396
IRM00040875,2015-09-29,TMAX,355
IRM00040875,2009-10-10,TMAX,375
IRM00040875,2005-09-13,TMIN,274
IRM00040875,2008-11-26,TMIN,166
IRM00040875,2012-04-09,TMAX,313
IRM00040875,2012-10-16,TMAX,374
IRM00040875,2015-03-16,TMAX,272
IRM00040875,2011-12-05,TMIN,134
IRM00040875,2009-11-10,TMAX,337
IRM00040875,2010-07-28,TMAX,380
IRM00040875,2011-12-01,TMAX,260
IRM00040875,2012-02-29,TMAX,257
IRM00040875,2008-01-08,TMIN,58
IRM00040875,2005-03-29,TMIN,176
IRM00040875,2010-10-12,TMIN,268
IRM00040875,2007-06-04,TMIN,280
IRM00040875,2006-02-16,TMAX,294
IRM00040875,2015-02-21,TMAX,286
IRM00040875,2015-03-06,TMAX,261
IRM00040875,2015-03-03,TMAX,256
IRM00040875,2011-01-20,TMAX,230
IRM00040875,2011-09-01,TMIN,285
IRM00040875,2009-01-31,TMAX,258
IRM00040875,2013-01-14,TMIN,92
IRM00040875,2008-01-30,TMAX,220
IRM00040875,2013-09-26,TMAX,360
IRM00040875,2011-06-06,TMIN,280
IRM00040875,2013-02-22,TMAX,262
IRM00040875,2009-07-05,TMAX,371
IRM00040875,2012-11-29,TMAX,276
IRM00040875,2013-08-03,TMIN,306
IRM00040875,2012-02-28,TMIN,139
IRM00040875,2014-12-02,TMIN,126
IRM00040875,2008-11-15,TMIN,146
IRM00040875,2011-06-13,TMIN,290
IRM00040875,2009-09-24,TMIN,274
IRM00040875,2010-12-08,TMAX,292
IRM00040875,2009-03-15,TMIN,127
IRM00040875,2014-10-13,TMIN,240
IRM00040875,2012-11-29,TMIN,168
IRM00040875,2010-08-10,TMIN,298
IRM00040875,2011-12-23,TMAX,234
IRM00040875,2006-12-09,TMIN,132
IRM00040875,2014-02-27,TMAX,280
IRM00040875,2012-03-03,TMAX,275
IRM00040875,2006-12-09,TMAX,235
IRM00040875,2006-11-06,TMAX,326
IRM00040875,2008-12-07,TMAX,244
IRM00040875,2015-02-20,TMAX,300
IRM00040875,2009-10-30,TMAX,331
IRM00040875,2007-05-13,TMIN,266
IRM00040875,2012-01-11,TMAX,263
IRM00040875,2012-01-11,TMIN,156
IRM00040875,2014-06-04,TMIN,270
IRM00040875,2012-03-05,TMAX,236
IRM00040875,2014-10-30,TMAX,354
IRM00040875,2013-08-23,TMIN,305
IRM00040875,2011-07-29,TMIN,299
IRM00040875,2007-09-01,TMIN,298
IRM00040875,2012-03-03,TMIN,153
IRM00040875,2014-02-17,TMAX,240
IRM00040875,2013-07-08,TMAX,402
IRM00040875,2007-09-20,TMIN,268
IRM00040875,2013-07-20,TMIN,300
IRM00040875,2006-12-10,TMAX,252
IRM00040875,2014-04-11,TMIN,199
IRM00040875,2013-03-20,TMIN,200
IRM00040875,2008-06-18,TMAX,376
IRM00040875,2007-10-26,TMIN,198
IRM00040875,2015-08-09,TMAX,433
IRM00040875,2013-09-17,TMAX,364
IRM00040875,2010-01-17,TMAX,245
IRM00040875,2008-10-14,TMIN,230
IRM00040875,2008-11-01,TMIN,229
IRM00040875,2010-05-01,TMIN,250
IRM00040875,2005-03-29,TMAX,280
IRM00040875,2014-02-27,TMIN,147
IRM00040875,2010-01-11,TMAX,243
IRM00040875,2010-07-28,TMIN,329
IRM00040875,2010-05-08,TMIN,234
IRM00040875,2014-04-11,TMAX,323
IRM00040875,2008-07-11,TMIN,306
IRM00040875,2008-09-08,TMAX,344
IRM00040875,2005-09-13,TMAX,374
IRM00040875,2010-06-17,TMIN,272
IRM00040875,2013-05-21,TMAX,333
IRM00040875,2015-03-06,TMIN,147
IRM00040875,2007-11-08,TMAX,326
IRM00040875,2015-05-13,TMIN,258
IRM00040875,2009-04-28,TMIN,230
IRM00040875,2006-01-16,TMAX,214
IRM00040875,2011-06-13,TMAX,360
IRM00040875,2011-01-27,TMAX,214
IRM00040875,2011-11-02,TMAX,311
IRM00040875,2013-08-05,TMIN,299
IRM00040875,2008-08-27,TMIN,290
IRM00040875,2015-04-17,TMIN,227
IRM00040875,2013-04-02,TMAX,322
IRM00040875,2009-09-08,TMIN,276
IRM00040875,2014-02-11,TMAX,220
IRM00040875,2008-01-24,TMAX,202
IRM00040875,2014-05-29,TMIN,285
IRM00040875,2013-09-26,TMIN,238
IRM00040875,2005-06-26,TMAX,375
IRM00040875,2012-07-16,TMAX,363
IRM00040875,2013-11-05,TMAX,303
IRM00040875,2007-05-03,TMAX,375
IRM00040875,2007-04-13,TMAX,394
IRM00040875,2014-04-10,TMAX,310
IRM00040875,2007-06-19,TMAX,360
IRM00040875,2007-11-08,TMIN,190
IRM00040875,2010-01-06,TMIN,117
IRM00040875,2008-01-07,TMAX,170
IRM00040875,2014-02-14,TMIN,94
IRM00040875,2007-06-17,TMIN,298
IRM00040875,2008-05-21,TMAX,370
IRM00040875,2014-11-24,TMIN,207
IRM00040875,2008-01-18,TMIN,54
IRM00040875,2008-03-12,TMIN,135
IRM00040875,2014-12-16,TMIN,96
IRM00040875,2007-08-19,TMIN,320
