ID,Date,Element,Data_Value
GV000001820,2005-12-24,TMAX,318
GV000001820,2006-02-24,TMAX,355
GV000001820,2005-06-01,TMAX,292
GV000001820,2006-12-02,TMAX,310
GV000001820,2006-12-25,TMAX,319
GV000001820,2006-07-04,TMAX,272
GV000001820,2005-06-02,TMAX,282
GV000001820,2005-09-29,TMAX,277
GV000001820,2009-03-24,TMAX,335
GV000001820,2005-10-26,TMAX,302
GV000001820,2006-04-06,TMAX,335
GV000001820,2005-02-01,TMIN,160
GV000001820,2005-06-04,TMAX,280
GV000001820,2005-02-22,TMIN,171
GV000001820,2005-09-14,TMAX,274
GV000001820,2015-05-15,TMIN,200
GV000001820,2006-07-03,TMAX,270
GV000001820,2005-08-08,TMAX,273
GV000001820,2005-08-18,TMAX,265
GV000001820,2005-07-01,TMAX,270
GV000001820,2005-09-02,TMAX,284
GV000001820,2007-06-24,TMAX,289
GV000001820,2005-09-18,TMAX,285
GV000001820,2006-06-18,TMAX,290
GV000001820,2006-12-24,TMAX,315
GV000001820,2005-09-04,TMAX,262
GV000001820,2006-10-18,TMAX,298
GV000001820,2005-09-01,TMAX,269
GV000001820,2006-04-21,TMAX,310
GV000001820,2007-06-08,TMAX,321
GV000001820,2007-05-15,TMAX,314
GV000001820,2005-03-21,TMAX,360
GV000001820,2005-10-20,TMAX,305
GV000001820,2007-06-02,TMAX,300
GV000001820,2005-07-20,TMAX,250
GV000001820,2015-04-22,TMAX,325
GV000001820,2007-06-19,TMAX,295
GV000001820,2006-04-30,TMAX,300
GV000001820,2007-08-06,TMAX,272
GV000001820,2005-09-05,TMAX,270
GV000001820,2006-11-25,TMAX,310
GV000001820,2006-04-04,TMAX,360
GV000001820,2006-09-03,TMAX,285
GV000001820,2006-05-14,TMAX,342
GV000001820,2006-03-11,TMAX,325
GV000001820,2006-08-07,TMAX,283
GV000001820,2006-06-15,TMAX,270
GV000001820,2007-08-18,TMAX,265
GV000001820,2015-04-19,TMAX,325
GV000001820,2005-03-27,TMAX,374
GV000001820,2005-09-30,TMAX,281
GV000001820,2005-02-22,TMAX,340
GV000001820,2007-05-30,TMAX,307
GV000001820,2006-03-21,TMAX,360
GV000001820,2006-04-05,TMAX,316
GV000001820,2005-10-11,TMAX,288
GV000001820,2005-02-16,TMAX,353
GV000001820,2006-05-29,TMAX,296
GV000001820,2007-06-23,TMAX,263
GV000001820,2006-07-07,TMAX,280
GV000001820,2005-10-29,TMAX,294
GV000001820,2006-10-14,TMAX,275
GV000001820,2006-04-28,TMAX,292
GV000001820,2009-02-01,TMAX,341
GV000001820,2006-11-17,TMAX,319
GV000001820,2005-11-15,TMAX,319
GV000001820,2006-09-09,TMAX,286
GV000001820,2005-01-30,TMIN,165
GV000001820,2006-01-06,TMAX,314
GV000001820,2005-03-14,TMAX,344
GV000001820,2009-01-28,TMAX,325
GV000001820,2005-11-19,TMAX,290
GV000001820,2006-10-29,TMAX,270
GV000001820,2015-04-09,TMAX,360
GV000001820,2005-12-14,TMAX,317
GV000001820,2005-07-21,TMAX,285
GV000001820,2005-10-09,TMAX,255
GV000001820,2006-03-15,TMAX,354
GV000001820,2005-10-16,TMAX,304
GV000001820,2005-10-01,TMAX,299
GV000001820,2006-06-28,TMAX,287
GV000001820,2006-06-06,TMAX,253
GV000001820,2015-05-12,TMAX,320
GV000001820,2005-12-12,TMIN,170
GV000001820,2006-05-11,TMAX,305
GV000001820,2006-07-20,TMAX,265
GV000001820,2005-06-23,TMAX,290
GV000001820,2006-03-25,TMAX,345
GV000001820,2005-11-10,TMAX,331
GV000001820,2005-12-13,TMAX,315
GV000001820,2006-10-24,TMAX,306
GV000001820,2005-12-20,TMAX,319
GV000001820,2006-10-28,TMAX,291
GV000001820,2006-07-19,TMAX,270
GV000001820,2015-05-20,TMAX,335
GV000001820,2005-10-03,TMAX,300
GV000001820,2006-09-07,TMAX,270
GV000001820,2015-04-09,TMIN,190
GV000001820,2006-12-07,TMAX,307
GV000001820,2005-10-02,TMAX,284
GV000001820,2005-09-16,TMAX,291
GV000001820,2006-03-01,TMAX,345
GV000001820,2005-12-25,TMAX,281
GV000001820,2007-01-08,TMAX,320
GV000001820,2006-05-17,TMAX,326
GV000001820,2005-03-24,TMAX,359
GV000001820,2005-11-22,TMIN,166
GV000001820,2006-03-15,TMIN,180
GV000001820,2006-12-13,TMAX,315
GV000001820,2005-11-22,TMAX,325
GV000001820,2005-12-31,TMAX,306
GV000001820,2006-05-28,TMAX,297
GV000001820,2007-07-05,TMAX,284
GV000001820,2015-05-20,TMIN,195
GV000001820,2007-01-30,TMAX,355
GV000001820,2007-05-21,TMAX,345
GV000001820,2006-12-15,TMAX,324
GV000001820,2007-07-25,TMAX,267
GV000001820,2005-12-16,TMAX,305
GV000001820,2015-06-13,TMAX,295
GV000001820,2006-06-08,TMAX,267
GV000001820,2005-12-18,TMAX,330
GV000001820,2005-12-28,TMAX,330
GV000001820,2006-08-28,TMAX,270
GV000001820,2005-09-26,TMAX,233
GV000001820,2006-11-24,TMAX,307
GV000001820,2009-02-20,TMAX,310
GV000001820,2006-02-14,TMAX,336
GV000001820,2006-06-16,TMAX,285
GV000001820,2006-03-14,TMAX,359
GV000001820,2007-05-28,TMAX,315
GV000001820,2006-12-19,TMAX,312
GV000001820,2005-03-10,TMAX,351
GV000001820,2005-07-24,TMAX,279
GV000001820,2006-08-25,TMAX,232
GV000001820,2005-11-16,TMAX,316
GV000001820,2005-10-05,TMIN,176
GV000001820,2005-10-19,TMAX,305
GV000001820,2006-08-04,TMAX,237
GV000001820,2005-10-28,TMAX,279
GV000001820,2006-04-27,TMAX,295
GV000001820,2006-03-20,TMAX,370
GV000001820,2005-02-28,TMAX,329
GV000001820,2005-02-17,TMIN,170
GV000001820,2005-12-10,TMAX,296
GV000001820,2007-01-02,TMAX,279
GV000001820,2007-06-16,TMAX,295
GV000001820,2005-08-21,TMAX,265
GV000001820,2005-08-30,TMAX,264
GV000001820,2005-05-11,TMAX,314
GV000001820,2007-06-15,TMAX,337
GV000001820,2007-08-17,TMAX,250
GV000001820,2006-07-06,TMAX,226
GV000001820,2005-12-12,TMAX,315
GV000001820,2006-06-30,TMAX,295
GV000001820,2008-11-29,TMAX,312
GV000001820,2005-02-17,TMAX,360
GV000001820,2006-08-09,TMAX,280
GV000001820,2005-12-28,TMIN,139
GV000001820,2005-01-24,TMAX,321
GV000001820,2006-03-30,TMAX,320
GV000001820,2007-06-25,TMAX,279
GV000001820,2006-05-05,TMIN,192
GV000001820,2006-10-21,TMAX,301
GV000001820,2005-08-09,TMAX,272
GV000001820,2006-05-05,TMAX,326
GV000001820,2007-01-29,TMAX,350
GV000001820,2005-12-08,TMIN,172
GV000001820,2006-09-08,TMAX,285
GV000001820,2006-02-22,TMAX,355
GV000001820,2005-08-26,TMAX,301
GV000001820,2005-01-30,TMAX,311
GV000001820,2006-03-31,TMAX,360
GV000001820,2005-07-06,TMAX,259
GV000001820,2006-04-14,TMAX,324
GV000001820,2005-09-23,TMAX,272
GV000001820,2006-05-17,TMIN,172
GV000001820,2006-02-15,TMIN,189
GV000001820,2005-03-31,TMAX,332
GV000001820,2005-10-21,TMIN,192
GV000001820,2015-04-19,TMIN,205
GV000001820,2005-05-18,TMAX,311
GV000001820,2006-02-15,TMAX,319
GV000001820,2006-02-21,TMAX,349
GV000001820,2006-12-08,TMAX,305
GV000001820,2006-06-07,TMAX,284
GV000001820,2005-03-17,TMAX,359
GV000001820,2005-11-01,TMAX,282
GV000001820,2005-08-22,TMAX,271
