ID,Date,Element,Data_Value
SP000009434,2014-11-05,TMAX,134
SPW00014010,2014-04-13,TMAX,265
SP000009434,2014-11-05,TMIN,80
SPW00014010,2015-12-25,TMAX,68
SP000009434,2007-03-14,TMIN,60
SP000009434,2012-04-11,TMAX,178
SPW00014010,2013-05-12,TMAX,207
SP000009434,2005-07-09,TMAX,284
SPW00014010,2013-07-16,TMAX,335
SP000009434,2010-04-13,TMAX,170
SP000009434,2007-01-28,TMAX,45
SPW00014010,2008-02-25,TMIN,99
SP000009434,2007-01-28,TMIN,-50
SP000009434,2010-04-13,TMIN,76
SPW00014010,2015-10-30,TMAX,232
SPW00014010,2009-12-10,TMIN,40
SPW00014010,2009-12-18,TMAX,55
SP000009434,2006-08-04,TMIN,175
SP000009434,2006-08-04,TMAX,290
SPW00014010,2005-10-24,TMIN,88
SPW00014010,2011-02-28,TMAX,114
SPW00014010,2013-03-16,TMAX,115
SP000009434,2006-05-25,TMIN,115
SPW00014010,2013-03-16,TMIN,30
SP000009434,2013-03-05,TMAX,145
SPW00014010,2008-02-25,TMAX,161
SPW00014010,2009-09-11,TMAX,315
SPW00014010,2013-05-12,TMIN,87
SPW00014010,2010-01-01,TMAX,128
SPW00014010,2005-12-21,TMIN,-42
SPW00014010,2006-06-16,TMAX,324
SP000009434,2005-07-09,TMIN,166
SPW00014010,2012-01-11,TMIN,-30
SP000009434,2014-09-15,TMIN,178
SPW00014010,2008-02-23,TMIN,36
SPW00014010,2006-05-19,TMAX,257
SPW00014010,2009-09-11,TMIN,166
SPW00014010,2006-09-01,TMAX,340
SP000009434,2010-07-16,TMAX,363
SPW00014010,2014-04-21,TMAX,210
SPW00014010,2013-05-26,TMAX,228
SP000009434,2015-09-19,TMIN,125
SP000009434,2015-09-19,TMAX,263
SPW00014010,2015-09-02,TMAX,254
SPW00014010,2005-05-31,TMIN,130
SPW00014010,2005-05-31,TMAX,244
SP000009434,2010-07-16,TMIN,214
SPW00014010,2006-10-01,TMAX,286
SP000009434,2005-04-25,TMIN,70
SP000009434,2005-07-31,TMAX,305
SP000009434,2009-05-05,TMIN,105
SPW00014010,2013-11-29,TMAX,97
SP000009434,2009-05-20,TMAX,314
SP000009434,2010-04-16,TMIN,97
SP000009434,2009-05-20,TMIN,163
SPW00014010,2011-07-14,TMIN,160
SPW00014010,2013-11-29,TMIN,-5
SP000009434,2011-04-04,TMAX,202
SP000009434,2011-04-04,TMIN,93
SP000009434,2010-02-06,TMAX,161
SP000009434,2005-07-31,TMIN,169
SP000009434,2010-02-06,TMIN,62
SP000009434,2009-07-28,TMIN,182
SP000009434,2009-07-28,TMAX,354
SP000009434,2007-05-26,TMAX,214
SPW00014010,2006-06-05,TMIN,150
SPW00014010,2010-12-31,TMIN,40
SPW00014010,2008-04-30,TMAX,227
SPW00014010,2015-05-09,TMIN,136
SPW00014010,2011-02-16,TMAX,136
SP000009434,2009-10-17,TMAX,200
SP000009434,2015-03-13,TMIN,65
SPW00014010,2006-10-01,TMIN,166
SP000009434,2013-11-03,TMIN,102
SP000009434,2013-04-23,TMAX,220
SP000009434,2013-04-23,TMIN,70
SPW00014010,2013-07-25,TMAX,377
SPW00014010,2006-05-26,TMIN,140
SPW00014010,2013-07-25,TMIN,225
SPW00014010,2014-07-04,TMAX,283
SPW00014010,2008-04-06,TMAX,218
SP000009434,2015-05-15,TMIN,118
SP000009434,2015-05-15,TMAX,188
SP000009434,2009-05-05,TMAX,240
SPW00014010,2011-02-16,TMIN,20
SP000009434,2006-08-23,TMIN,193
SPW00014010,2015-04-04,TMAX,183
SP000009434,2007-05-26,TMIN,122
SPW00014010,2010-12-31,TMAX,112
SP000009434,2006-08-23,TMAX,350
SPW00014010,2014-06-02,TMAX,245
SP000009434,2012-04-11,TMIN,49
SP000009434,2013-11-03,TMAX,200
SPW00014010,2007-08-28,TMAX,385
SP000009434,2013-04-01,TMAX,158
SP000009434,2008-06-08,TMIN,124
SP000009434,2009-08-15,TMAX,378
SPW00014010,2015-06-06,TMAX,346
SP000009434,2009-08-15,TMIN,200
SPW00014010,2013-04-22,TMAX,186
SP000009434,2010-09-10,TMAX,286
SPW00014010,2006-05-17,TMAX,354
SP000009434,2008-06-08,TMAX,240
SPW00014010,2014-09-29,TMAX,260
SP000009434,2015-11-06,TMIN,111
SPW00014010,2012-02-18,TMIN,-17
SP000009434,2008-11-24,TMAX,118
SPW00014010,2010-02-05,TMAX,163
SP000009434,2008-09-18,TMIN,184
SP000009434,2008-11-24,TMIN,47
SP000009434,2009-10-01,TMAX,275
SP000009434,2006-06-07,TMAX,346
SP000009434,2006-06-07,TMIN,170
SPW00014010,2012-02-18,TMAX,130
SPW00014010,2008-11-29,TMAX,100
SPW00014010,2015-01-27,TMAX,146
SP000009434,2008-03-29,TMIN,78
SPW00014010,2013-04-25,TMAX,182
SPW00014010,2009-07-27,TMAX,325
SP000009434,2009-06-17,TMIN,200
SP000009434,2009-06-17,TMAX,362
SPW00014010,2008-08-11,TMIN,210
SPW00014010,2010-10-26,TMAX,179
SPW00014010,2008-08-11,TMAX,332
SPW00014010,2012-10-22,TMIN,117
SP000009434,2008-03-29,TMAX,220
SPW00014010,2012-10-22,TMAX,205
SP000009434,2011-06-26,TMAX,390
SP000009434,2012-11-13,TMAX,140
SP000009434,2012-11-13,TMIN,45
SP000009434,2011-05-12,TMIN,157
SP000009434,2011-05-12,TMAX,285
SP000009434,2008-09-18,TMAX,290
SPW00014010,2014-05-22,TMAX,225
SP000009434,2009-09-05,TMAX,272
SP000009434,2009-09-05,TMIN,146
SPW00014010,2010-03-14,TMAX,132
SP000009434,2008-07-27,TMAX,355
SP000009434,2014-03-17,TMIN,50
SP000009434,2014-03-17,TMAX,253
SP000009434,2005-08-12,TMIN,184
SP000009434,2009-10-01,TMIN,144
SP000009434,2011-08-27,TMIN,143
SP000009434,2008-07-27,TMIN,206
SP000009434,2011-08-27,TMAX,267
SPW00014010,2015-07-25,TMAX,276
SP000009434,2012-05-07,TMIN,92
SP000009434,2013-04-28,TMAX,94
SP000009434,2014-03-14,TMIN,28
SPW00014010,2012-11-27,TMAX,106
SP000009434,2014-03-14,TMAX,204
SP000009434,2012-05-07,TMAX,270
SPW00014010,2008-09-07,TMAX,272
SP000009434,2012-11-08,TMIN,68
SP000009434,2007-12-13,TMIN,-50
SPW00014010,2010-03-14,TMIN,30
SPW00014010,2015-05-01,TMAX,255
SPW00014010,2015-03-15,TMAX,128
SP000009434,2011-08-28,TMAX,320
SP000009434,2011-08-28,TMIN,138
SPW00014010,2014-04-18,TMAX,286
SP000009434,2009-11-05,TMAX,158
SPW00014010,2010-06-26,TMAX,355
SP000009434,2007-06-24,TMAX,340
SPW00014010,2010-05-14,TMAX,170
SP000009434,2007-06-24,TMIN,190
SPW00014010,2009-09-22,TMAX,273
SPW00014010,2012-08-13,TMAX,341
SPW00014010,2012-04-30,TMIN,90
SP000009434,2011-06-26,TMIN,216
SPW00014010,2015-09-03,TMAX,251
SPW00014010,2012-04-30,TMAX,165
SPW00014010,2015-09-03,TMIN,115
SPW00014010,2007-04-12,TMAX,196
SP000009434,2012-05-19,TMIN,138
SPW00014010,2006-10-30,TMIN,140
SPW00014010,2006-10-30,TMAX,269
SPW00014010,2014-10-08,TMAX,286
SP000009434,2009-12-20,TMIN,-39
SPW00014010,2007-07-13,TMAX,360
SPW00014010,2015-06-12,TMIN,139
SP000009434,2008-08-02,TMAX,334
SP000009434,2015-04-03,TMAX,240
SPW00014010,2015-06-12,TMAX,294
SP000009434,2014-10-14,TMIN,132
SP000009434,2014-04-12,TMIN,126
SPW00014010,2012-12-16,TMIN,108
SPW00014010,2009-08-22,TMAX,348
SP000009434,2014-04-12,TMAX,236
SP000009434,2006-06-04,TMAX,298
SP000009434,2006-06-04,TMIN,127
SP000009434,2007-08-17,TMIN,152
SP000009434,2010-09-10,TMIN,145
SP000009434,2007-08-17,TMAX,276
SPW00014010,2015-10-15,TMAX,190
SPW00014010,2010-12-19,TMIN,10
SP000009434,2014-05-10,TMIN,149
