ID,Date,Element,Data_Value
IN018103100,2005-07-31,TMAX,349
IN018103100,2007-11-24,TMIN,77
IN018103100,2007-11-18,TMIN,81
IN018103100,2011-10-10,TMAX,341
IN018103100,2011-07-26,TMAX,346
IN018103100,2006-09-11,TMAX,346
IN018103100,2010-05-11,TMAX,406
IN018103100,2013-11-16,TMAX,284
IN018103100,2006-06-05,TMAX,396
IN018103100,2006-10-23,TMAX,304
IN018103100,2014-08-27,TMAX,381
IN018103100,2013-12-28,TMAX,202
IN018103100,2012-10-06,TMIN,208
IN018103100,2008-09-04,TMAX,359
IN018103100,2010-03-28,TMIN,177
IN018103100,2013-11-06,TMAX,273
IN018103100,2010-08-18,TMIN,264
IN018103100,2011-01-02,TMAX,130
IN018103100,2007-03-04,TMIN,101
IN018103100,2011-07-27,TMAX,346
IN018103100,2012-03-27,TMAX,325
IN018103100,2009-06-02,TMIN,238
IN018103100,2011-11-13,TMAX,298
IN018103100,2015-01-18,TMAX,204
IN018103100,2015-09-27,TMAX,336
IN018103100,2005-07-31,TMIN,266
IN018103100,2007-10-06,TMIN,161
IN018103100,2011-11-13,TMIN,127
IN018103100,2015-01-18,TMIN,56
IN018103100,2015-11-26,TMAX,276
IN018103100,2009-09-04,TMIN,226
IN018103100,2007-10-06,TMAX,353
IN018103100,2011-08-18,TMIN,260
IN018103100,2010-03-28,TMAX,367
IN018103100,2006-10-23,TMIN,140
IN018103100,2011-01-02,TMIN,82
IN018103100,2011-04-26,TMIN,245
IN018103100,2013-12-19,TMIN,120
IN018103100,2005-06-19,TMAX,429
IN018103100,2008-11-17,TMAX,295
IN018103100,2008-09-04,TMIN,238
IN018103100,2014-09-07,TMAX,346
IN018103100,2012-10-06,TMAX,342
IN018103100,2013-12-19,TMAX,186
IN018103100,2007-11-24,TMAX,280
IN018103100,2005-09-08,TMAX,354
IN018103100,2010-05-11,TMIN,247
IN018103100,2006-01-15,TMAX,219
IN018103100,2006-03-12,TMIN,144
IN018103100,2009-12-22,TMAX,219
IN018103100,2006-09-11,TMIN,253
IN018103100,2012-01-11,TMAX,184
IN018103100,2010-04-08,TMAX,395
IN018103100,2015-04-23,TMAX,386
IN018103100,2008-09-15,TMIN,253
IN018103100,2006-03-12,TMAX,255
IN018103100,2005-09-08,TMIN,267
IN018103100,2010-02-05,TMAX,241
IN018103100,2015-10-18,TMIN,192
IN018103100,2008-11-11,TMAX,314
IN018103100,2008-07-09,TMIN,260
IN018103100,2008-09-15,TMAX,351
IN018103100,2013-09-22,TMAX,312
IN018103100,2009-08-01,TMIN,259
IN018103100,2007-01-22,TMIN,52
IN018103100,2010-04-08,TMIN,184
IN018103100,2008-11-11,TMIN,129
IN018103100,2011-10-10,TMIN,199
IN018103100,2005-09-10,TMAX,304
IN018103100,2015-04-23,TMIN,202
IN018103100,2012-01-03,TMIN,61
IN018103100,2009-10-03,TMAX,362
IN018103100,2011-07-08,TMIN,254
IN018103100,2013-09-22,TMIN,235
IN018103100,2011-09-18,TMIN,236
IN018103100,2010-08-18,TMAX,325
IN018103100,2008-11-17,TMIN,107
IN018103100,2011-09-18,TMAX,320
IN018103100,2013-11-06,TMIN,151
IN018103100,2009-06-02,TMAX,416
IN018103100,2015-05-31,TMAX,424
IN018103100,2010-07-21,TMAX,326
IN018103100,2013-11-16,TMIN,91
IN018103100,2007-09-12,TMIN,236
IN018103100,2010-07-07,TMAX,329
IN018103100,2005-06-19,TMIN,270
IN018103100,2015-04-15,TMIN,202
IN018103100,2012-04-25,TMAX,356
IN018103100,2012-04-25,TMIN,196
IN018103100,2007-01-22,TMAX,206
IN018103100,2010-07-26,TMIN,283
IN018103100,2010-11-20,TMAX,267
IN018103100,2011-04-26,TMAX,405
IN018103100,2009-08-01,TMAX,348
IN018103100,2013-07-16,TMAX,350
IN018103100,2011-07-24,TMAX,314
IN018103100,2014-09-20,TMAX,347
IN018103100,2013-07-16,TMIN,242
IN018103100,2010-02-05,TMIN,93
IN018103100,2013-12-28,TMIN,50
IN018103100,2012-01-11,TMIN,45
IN018103100,2010-07-26,TMAX,353
IN018103100,2005-07-10,TMAX,360
IN018103100,2012-01-03,TMAX,200
IN018103100,2015-11-26,TMIN,106
IN018103100,2007-09-12,TMAX,340
IN018103100,2014-08-27,TMIN,258
IN018103100,2007-08-07,TMAX,365
IN018103100,2007-08-07,TMIN,273
IN018103100,2011-07-08,TMAX,325
IN018103100,2006-06-05,TMIN,272
IN018103100,2010-07-07,TMIN,240
IN018103100,2010-06-27,TMIN,276
