ID,Date,Element,Data_Value
CA002300426,2011-11-09,TMIN,-82
CA002300MKF,2006-09-11,TMAX,225
CA002301153,2011-02-19,TMAX,-267
CA002300MKF,2006-01-28,TMIN,-335
CA002300MKF,2007-11-01,TMAX,-10
CA002301153,2013-02-10,TMAX,-184
CA002301153,2014-12-05,TMIN,-320
CA002300MKF,2007-05-30,TMIN,-75
CA002300MKF,2005-06-14,TMAX,95
CA002300MKF,2005-06-14,TMIN,5
CA002300MKF,2005-11-04,TMAX,-20
CA002300426,2008-11-05,TMAX,-103
CA002300427,2014-03-08,TMIN,-318
CA002300426,2010-11-18,TMAX,-208
CA002300426,2009-04-12,TMIN,-191
CA002301153,2013-03-17,TMIN,-295
CA002301153,2006-03-24,TMAX,-105
CA002300427,2015-07-01,TMAX,188
CA002300427,2013-04-04,TMAX,-205
CA002301153,2014-11-03,TMAX,-13
CA002300MKF,2008-12-22,TMIN,-285
CA002301153,2012-09-30,TMAX,75
CA002301153,2007-07-01,TMAX,159
CA002300MKF,2006-09-22,TMAX,70
CA002301153,2012-01-27,TMAX,-156
CA002300MKF,2010-04-28,TMAX,-24
CA002300426,2010-12-07,TMIN,-299
CA002300427,2014-08-14,TMAX,223
CA002300427,2015-07-01,TMIN,83
CA002300MKF,2007-11-01,TMIN,-140
CA002301153,2010-08-03,TMIN,79
CA002301153,2007-07-01,TMIN,71
CA002301153,2010-08-03,TMAX,151
CA002300MKF,2005-02-09,TMIN,-355
CA002301153,2012-12-23,TMAX,-159
CA002300MKF,2005-04-09,TMIN,-250
CA002300426,2011-01-01,TMIN,-282
CA002300427,2014-08-14,TMIN,123
CA002300427,2015-05-14,TMAX,11
CA002301153,2010-03-09,TMIN,-109
CA002300426,2011-01-01,TMAX,-232
CA002301153,2010-03-26,TMAX,-235
CA002301153,2007-07-22,TMIN,131
CA002300426,2012-01-26,TMAX,-154
CA002300426,2010-09-23,TMAX,69
CA002300MKF,2005-03-02,TMIN,-250
CA002300MKF,2005-11-04,TMIN,-50
CA002301153,2007-09-21,TMIN,3
CA002300MKF,2005-11-26,TMIN,-180
CA002301153,2015-12-22,TMIN,-144
CA002301153,2015-12-22,TMAX,-108
CA002300426,2011-11-09,TMAX,-16
CA002300MKF,2005-07-13,TMAX,260
CA002300MKF,2006-02-24,TMIN,-340
CA002300MKF,2005-11-26,TMAX,-90
CA002300426,2010-09-23,TMIN,-20
CA002301153,2007-07-22,TMAX,236
CA002300426,2010-11-02,TMIN,-12
CA002300426,2012-05-15,TMIN,-7
CA002300MKF,2005-05-22,TMIN,-25
CA002300427,2014-07-21,TMAX,166
CA002301153,2007-02-28,TMAX,-129
CA002301153,2005-05-06,TMAX,-60
CA002300427,2014-01-19,TMAX,-329
CA002300426,2009-05-11,TMAX,-39
CA002301153,2010-08-14,TMAX,114
CA002300427,2014-02-04,TMIN,-275
CA002300427,2014-06-24,TMAX,248
CA002301153,2010-08-14,TMIN,89
CA002300426,2009-08-15,TMIN,33
CA002301153,2015-02-06,TMAX,-348
CA002301153,2014-03-07,TMAX,-247
CA002300427,2012-11-03,TMAX,-32
CA002301153,2013-10-15,TMAX,13
CA002301153,2015-02-27,TMIN,-268
CA002300426,2011-10-07,TMAX,45
CA002301153,2015-02-06,TMIN,-383
CA002301153,2012-09-02,TMIN,65
CA002300426,2010-07-12,TMIN,79
CA002300427,2014-07-21,TMIN,66
CA002301153,2013-07-02,TMAX,129
CA002301153,2005-07-05,TMAX,276
CA002301153,2007-10-14,TMAX,47
CA002301153,2009-02-23,TMIN,-377
CA002301153,2006-05-05,TMAX,-60
CA002301153,2015-10-29,TMAX,-79
CA002300427,2013-02-20,TMAX,-169
CA002300MKF,2007-01-30,TMIN,-290
CA002300426,2010-07-17,TMIN,48
CA002301153,2011-03-01,TMAX,-258
CA002300426,2009-07-20,TMAX,100
CA002300MKF,2010-04-28,TMIN,-54
CA002300426,2012-07-07,TMAX,235
CA002301153,2005-10-16,TMAX,17
CA002300426,2010-12-07,TMAX,-236
CA002301153,2009-03-20,TMAX,-209
CA002301153,2010-08-17,TMIN,60
CA002301153,2014-12-05,TMAX,-259
CA002301153,2006-10-17,TMIN,-75
CA002301153,2015-01-06,TMIN,-360
CA002300MKF,2005-02-09,TMAX,-250
CA002301153,2015-12-13,TMAX,-142
CA002300427,2015-01-07,TMIN,-230
CA002300MKF,2005-04-09,TMAX,-85
CA002300426,2011-05-02,TMAX,-151
CA002300MKF,2006-01-15,TMIN,-340
CA002301153,2013-02-10,TMIN,-350
CA002300MKF,2010-10-20,TMIN,-25
CA002301153,2014-10-20,TMIN,-108
CA002300426,2009-08-15,TMAX,166
CA002300427,2015-01-05,TMIN,-354
CA002301153,2010-07-14,TMIN,76
CA002300427,2013-12-05,TMAX,-210
CA002300MKF,2007-07-17,TMAX,170
CA002300426,2012-05-15,TMAX,25
CA002301153,2011-12-17,TMIN,-287
CA002300426,2010-05-09,TMIN,-184
CA002301153,2012-04-02,TMIN,-152
