ID,Date,Element,Data_Value
CFM00064403,2013-03-22,TMAX,345
CFM00064403,2014-02-22,TMIN,231
CFM00064403,2013-03-22,TMIN,230
CFM00064403,2014-05-07,TMAX,291
CFM00064403,2012-11-02,TMIN,235
CFM00064403,2014-10-03,TMIN,205
CFM00064403,2014-01-06,TMIN,225
CFM00064403,2014-12-28,TMIN,210
CFM00064403,2014-03-09,TMAX,336
CFM00064403,2012-09-12,TMAX,300
CFM00064403,2013-01-23,TMIN,220
CFM00064403,2014-10-03,TMAX,320
CFM00064403,2015-01-29,TMIN,220
CFM00064403,2014-03-08,TMAX,352
CFM00064403,2014-10-07,TMIN,200
CFM00064403,2015-11-04,TMIN,221
CFM00064403,2012-10-16,TMIN,245
CFM00064403,2014-03-23,TMIN,205
CFM00064403,2014-10-28,TMIN,185
CFM00064403,2014-12-28,TMAX,320
CFM00064403,2014-10-30,TMIN,195
CFM00064403,2012-07-10,TMIN,205
CFM00064403,2014-03-04,TMAX,340
CFM00064403,2013-12-21,TMIN,200
CFM00064403,2015-07-13,TMIN,199
CFM00064403,2014-09-06,TMIN,158
CFM00064403,2011-08-18,TMAX,313
CFM00064403,2015-06-21,TMIN,180
CFM00064403,2012-10-06,TMAX,332
CFM00064403,2014-10-28,TMAX,291
CFM00064403,2015-12-27,TMIN,206
CFM00064403,2013-01-23,TMAX,335
CFM00064403,2014-03-08,TMIN,215
CFM00064403,2014-11-29,TMIN,201
CFM00064403,2014-03-03,TMAX,342
CFM00064403,2015-10-16,TMIN,216
CFM00064403,2015-12-02,TMIN,205
CFM00064403,2015-10-27,TMIN,222
CFM00064403,2014-03-01,TMAX,346
CFM00064403,2015-12-23,TMIN,211
CFM00064403,2015-06-30,TMIN,174
CFM00064403,2012-11-24,TMIN,245
CFM00064403,2014-05-01,TMIN,223
CFM00064403,2014-11-29,TMAX,346
CFM00064403,2015-06-18,TMIN,185
CFM00064403,2015-01-06,TMIN,220
CFM00064403,2015-08-13,TMIN,188
CFM00064403,2012-11-04,TMIN,225
CFM00064403,2012-10-14,TMAX,335
CFM00064403,2012-09-06,TMAX,295
CFM00064403,2014-05-05,TMIN,210
CFM00064403,2013-03-30,TMAX,326
CFM00064403,2013-01-12,TMAX,314
CFM00064403,2015-11-17,TMIN,219
CFM00064403,2014-05-01,TMAX,336
CFM00064403,2014-01-28,TMIN,225
CFM00064403,2011-07-13,TMAX,300
CFM00064403,2015-07-14,TMIN,197
CFM00064403,2013-01-12,TMIN,238
CFM00064403,2014-03-05,TMIN,219
CFM00064403,2013-12-23,TMIN,221
CFM00064403,2014-03-25,TMAX,340
CFM00064403,2014-03-25,TMIN,230
CFM00064403,2014-05-08,TMIN,206
CFM00064403,2014-09-08,TMIN,185
CFM00064403,2014-01-06,TMAX,314
CFM00064403,2015-12-12,TMIN,196
CFM00064403,2013-12-23,TMAX,315
CFM00064403,2012-10-16,TMAX,332
CFM00064403,2013-12-20,TMAX,309
CFM00064403,2012-08-16,TMIN,199
CFM00064403,2013-01-15,TMIN,245
