ID,Date,Element,Data_Value
KZ000035229,2005-03-29,TMAX,15
KZ000035229,2012-12-21,TMIN,-201
KZ000035229,2014-11-29,TMAX,-58
KZ000035229,2013-05-02,TMAX,201
KZ000035229,2014-04-07,TMAX,110
KZ000035229,2011-09-18,TMAX,198
KZ000035229,2013-02-01,TMIN,-110
KZ000035229,2005-03-29,TMIN,-75
KZ000035229,2006-08-08,TMAX,270
KZ000035229,2012-12-16,TMIN,-230
KZ000035229,2011-11-23,TMAX,-35
KZ000035229,2013-12-26,TMAX,-20
KZ000035229,2009-04-16,TMAX,125
KZ000035229,2007-09-03,TMIN,82
KZ000035229,2009-07-07,TMAX,271
KZ000035229,2011-12-02,TMAX,-26
KZ000035229,2005-04-17,TMIN,80
KZ000035229,2013-06-14,TMAX,330
KZ000035229,2010-11-05,TMAX,123
KZ000035229,2006-07-11,TMAX,264
KZ000035229,2012-04-23,TMAX,263
KZ000035229,2010-07-26,TMAX,371
KZ000035229,2015-09-23,TMAX,274
KZ000035229,2011-02-14,TMAX,-74
KZ000035229,2010-04-27,TMAX,120
KZ000035229,2007-08-06,TMIN,170
KZ000035229,2007-09-03,TMAX,261
KZ000035229,2013-04-27,TMAX,92
KZ000035229,2006-07-29,TMAX,203
KZ000035229,2011-06-30,TMAX,320
KZ000035229,2006-07-15,TMAX,353
KZ000035229,2013-08-18,TMAX,335
KZ000035229,2010-04-03,TMAX,57
KZ000035229,2010-03-29,TMIN,-64
KZ000035229,2011-10-14,TMAX,240
KZ000035229,2010-05-16,TMAX,291
KZ000035229,2013-01-10,TMIN,-86
KZ000035229,2013-04-12,TMIN,47
KZ000035229,2013-01-10,TMAX,-49
KZ000035229,2011-10-14,TMIN,24
KZ000035229,2014-09-06,TMIN,100
KZ000035229,2009-06-17,TMAX,353
KZ000035229,2014-03-16,TMAX,20
KZ000035229,2012-01-23,TMAX,-120
KZ000035229,2005-09-27,TMAX,215
KZ000035229,2009-02-27,TMAX,-46
KZ000035229,2007-05-09,TMAX,223
KZ000035229,2009-02-27,TMIN,-206
KZ000035229,2011-12-22,TMIN,-170
KZ000035229,2014-02-07,TMAX,-158
KZ000035229,2008-03-15,TMAX,15
KZ000035229,2007-10-13,TMAX,104
KZ000035229,2015-09-23,TMIN,65
KZ000035229,2012-04-29,TMAX,268
KZ000035229,2008-03-25,TMAX,164
KZ000035229,2008-03-25,TMIN,18
KZ000035229,2008-02-24,TMIN,-41
KZ000035229,2015-07-07,TMAX,213
KZ000035229,2012-02-18,TMIN,-217
KZ000035229,2013-06-12,TMAX,310
KZ000035229,2012-03-22,TMAX,24
KZ000035229,2015-01-27,TMAX,-183
KZ000035229,2015-10-22,TMAX,16
KZ000035229,2010-07-10,TMIN,159
KZ000035229,2005-04-25,TMAX,287
KZ000035229,2012-01-12,TMIN,-212
KZ000035229,2015-10-05,TMAX,148
KZ000035229,2015-09-03,TMAX,230
KZ000035229,2005-11-16,TMIN,-49
KZ000035229,2006-10-31,TMAX,132
KZ000035229,2011-02-05,TMAX,-110
KZ000035229,2015-04-28,TMAX,235
KZ000035229,2008-09-12,TMAX,280
KZ000035229,2013-02-19,TMIN,-184
KZ000035229,2014-07-08,TMAX,370
KZ000035229,2007-06-17,TMAX,331
KZ000035229,2014-02-10,TMAX,-184
KZ000035229,2014-06-19,TMAX,330
KZ000035229,2012-12-16,TMAX,-145
KZ000035229,2013-08-18,TMIN,145
KZ000035229,2011-05-09,TMAX,230
KZ000035229,2013-08-31,TMAX,291
KZ000035229,2013-05-18,TMAX,255
KZ000035229,2011-09-27,TMAX,140
KZ000035229,2009-04-27,TMAX,145
KZ000035229,2005-04-25,TMIN,151
KZ000035229,2010-08-05,TMIN,214
KZ000035229,2005-04-13,TMAX,66
KZ000035229,2005-04-13,TMIN,10
KZ000035229,2010-08-05,TMAX,373
KZ000035229,2007-01-06,TMAX,-44
KZ000035229,2005-11-16,TMAX,25
KZ000035229,2012-10-20,TMAX,157
KZ000035229,2009-08-14,TMAX,338
KZ000035229,2005-09-27,TMIN,35
KZ000035229,2006-09-15,TMAX,192
KZ000035229,2012-03-10,TMAX,-107
KZ000035229,2012-03-30,TMAX,48
KZ000035229,2010-09-02,TMAX,270
KZ000035229,2015-05-06,TMAX,244
KZ000035229,2008-01-17,TMAX,-180
KZ000035229,2009-12-24,TMAX,-117
KZ000035229,2013-03-05,TMAX,-35
KZ000035229,2012-05-21,TMIN,85
KZ000035229,2005-11-14,TMIN,-21
KZ000035229,2011-11-02,TMAX,75
KZ000035229,2011-04-08,TMAX,95
KZ000035229,2006-05-31,TMAX,242
KZ000035229,2005-04-17,TMAX,191
KZ000035229,2010-09-02,TMIN,120
KZ000035229,2006-04-22,TMAX,189
KZ000035229,2013-02-01,TMAX,-51
KZ000035229,2013-06-12,TMIN,99
KZ000035229,2008-03-03,TMIN,-63
KZ000035229,2012-02-18,TMAX,-112
KZ000035229,2011-12-22,TMAX,-76
KZ000035229,2008-01-17,TMIN,-289
KZ000035229,2013-05-15,TMAX,310
KZ000035229,2010-02-05,TMIN,-274
KZ000035229,2014-12-21,TMIN,-38
KZ000035229,2010-07-10,TMAX,366
KZ000035229,2015-07-03,TMAX,290
KZ000035229,2006-01-20,TMAX,-243
KZ000035229,2011-11-02,TMIN,15
KZ000035229,2007-03-07,TMAX,2
KZ000035229,2015-08-23,TMAX,266
KZ000035229,2008-12-16,TMIN,-165
KZ000035229,2010-06-28,TMIN,203
KZ000035229,2008-12-10,TMAX,130
KZ000035229,2013-06-03,TMAX,268
KZ000035229,2012-05-21,TMAX,305
KZ000035229,2006-05-30,TMAX,233
KZ000035229,2011-01-11,TMIN,-254
KZ000035229,2014-07-01,TMAX,264
KZ000035229,2008-06-13,TMIN,104
KZ000035229,2006-01-24,TMAX,-240
KZ000035229,2012-10-10,TMAX,258
KZ000035229,2015-11-29,TMAX,20
KZ000035229,2005-01-24,TMAX,-158
KZ000035229,2013-10-24,TMAX,14
KZ000035229,2005-01-01,TMAX,-155
KZ000035229,2009-02-18,TMIN,-172
KZ000035229,2007-08-09,TMAX,253
KZ000035229,2015-08-06,TMAX,240
KZ000035229,2011-05-04,TMAX,220
KZ000035229,2015-04-16,TMAX,152
KZ000035229,2015-07-13,TMAX,286
KZ000035229,2011-06-28,TMIN,147
KZ000035229,2005-01-24,TMIN,-195
KZ000035229,2010-03-29,TMAX,75
KZ000035229,2012-08-15,TMAX,341
KZ000035229,2005-09-18,TMAX,269
KZ000035229,2014-12-31,TMAX,-10
KZ000035229,2006-08-08,TMIN,148
KZ000035229,2012-08-15,TMIN,195
KZ000035229,2015-02-16,TMAX,-107
KZ000035229,2005-09-18,TMIN,61
KZ000035229,2008-04-10,TMAX,229
KZ000035229,2005-01-01,TMIN,-264
KZ000035229,2014-09-06,TMAX,236
KZ000035229,2015-05-15,TMAX,212
KZ000035229,2005-06-10,TMAX,300
KZ000035229,2013-06-03,TMIN,77
KZ000035229,2009-10-12,TMAX,143
KZ000035229,2005-06-07,TMIN,83
KZ000035229,2014-01-08,TMIN,-222
KZ000035229,2011-12-10,TMAX,-166
KZ000035229,2012-10-18,TMAX,129
KZ000035229,2015-11-01,TMAX,-15
KZ000035229,2007-09-16,TMAX,207
KZ000035229,2015-11-12,TMAX,21
KZ000035229,2015-01-13,TMIN,-31
KZ000035229,2014-08-24,TMIN,146
KZ000035229,2009-01-11,TMIN,-249
KZ000035229,2013-08-12,TMAX,292
KZ000035229,2011-01-08,TMAX,-130
KZ000035229,2014-08-24,TMAX,330
KZ000035229,2013-08-09,TMAX,236
KZ000035229,2013-04-23,TMAX,235
KZ000035229,2010-06-10,TMAX,340
KZ000035229,2008-06-13,TMAX,303
KZ000035229,2014-08-03,TMAX,286
KZ000035229,2005-02-25,TMIN,-299
KZ000035229,2013-07-20,TMAX,300
KZ000035229,2014-01-24,TMIN,-192
KZ000035229,2010-02-27,TMIN,-261
KZ000035229,2008-12-29,TMAX,-140
KZ000035229,2015-12-05,TMIN,-44
KZ000035229,2013-08-19,TMAX,315
KZ000035229,2007-08-06,TMAX,357
KZ000035229,2006-07-15,TMIN,180
KZ000035229,2013-10-01,TMAX,110
KZ000035229,2009-10-12,TMIN,-37
KZ000035229,2013-01-11,TMAX,-63
KZ000035229,2010-02-27,TMAX,-112
KZ000035229,2013-10-05,TMAX,76
KZ000035229,2013-08-19,TMIN,141
KZ000035229,2005-01-08,TMAX,-47
KZ000035229,2008-07-09,TMAX,366
KZ000035229,2006-01-10,TMIN,-280
KZ000035229,2014-06-02,TMAX,284
KZ000035229,2013-03-23,TMAX,90
KZ000035229,2005-11-07,TMAX,27
KZ000035229,2013-10-29,TMAX,105
KZ000035229,2005-02-25,TMAX,-144
KZ000035229,2013-09-21,TMAX,224
KZ000035229,2011-06-11,TMAX,242
KZ000035229,2011-06-30,TMIN,147
KZ000035229,2008-03-03,TMAX,45
KZ000035229,2015-01-13,TMAX,4
KZ000035229,2005-11-07,TMIN,-32
KZ000035229,2005-11-14,TMAX,-5
KZ000035229,2010-06-28,TMAX,367
KZ000035229,2005-03-09,TMIN,-71
KZ000035229,2008-09-25,TMIN,11
KZ000035229,2015-03-01,TMAX,-18
KZ000035229,2015-02-02,TMAX,-92
KZ000035229,2005-06-07,TMAX,240
KZ000035229,2007-08-21,TMAX,336
KZ000035229,2005-01-08,TMIN,-150
KZ000035229,2014-02-25,TMAX,-132
KZ000035229,2013-08-09,TMIN,135
KZ000035229,2013-10-05,TMIN,15
KZ000035229,2007-04-27,TMIN,40
KZ000035229,2009-09-16,TMAX,230
KZ000035229,2006-01-24,TMIN,-300
KZ000035229,2014-12-09,TMAX,-61
KZ000035229,2014-12-09,TMIN,-187
KZ000035229,2005-04-16,TMAX,190
KZ000035229,2005-04-16,TMIN,0
KZ000035229,2015-05-15,TMIN,90
KZ000035229,2008-03-09,TMAX,0
KZ000035229,2010-08-20,TMAX,331
KZ000035229,2012-04-29,TMIN,96
KZ000035229,2010-11-05,TMIN,56
KZ000035229,2008-09-25,TMAX,141
KZ000035229,2006-01-07,TMAX,-135
KZ000035229,2011-06-28,TMAX,290
KZ000035229,2013-04-12,TMAX,161
KZ000035229,2008-12-25,TMIN,-197
KZ000035229,2009-01-24,TMIN,-206
KZ000035229,2013-09-21,TMIN,65
KZ000035229,2014-08-31,TMAX,258
KZ000035229,2009-01-17,TMIN,-102
KZ000035229,2009-02-18,TMAX,-10
KZ000035229,2005-06-10,TMIN,112
KZ000035229,2009-01-24,TMAX,-90
KZ000035229,2012-06-06,TMAX,313
KZ000035229,2014-05-10,TMAX,260
KZ000035229,2015-09-06,TMIN,148
KZ000035229,2005-03-09,TMAX,12
KZ000035229,2011-07-12,TMAX,210
KZ000035229,2007-04-27,TMAX,142
KZ000035229,2009-06-17,TMIN,137
KZ000035229,2014-07-04,TMAX,328
KZ000035229,2009-02-08,TMAX,-140
KZ000035229,2012-03-30,TMIN,-43
KZ000035229,2006-10-04,TMAX,126
KZ000035229,2005-05-16,TMAX,289
KZ000035229,2013-07-20,TMIN,150
KZ000035229,2006-05-17,TMAX,221
KZ000035229,2012-06-06,TMIN,85
KZ000035229,2005-05-16,TMIN,85
KZ000035229,2012-06-02,TMAX,381
KZ000035229,2009-09-17,TMAX,250
KZ000035229,2015-04-22,TMAX,137
KZ000035229,2006-03-14,TMIN,-44
KZ000035229,2010-03-13,TMAX,15
KZ000035229,2010-03-13,TMIN,-107
KZ000035229,2015-02-14,TMAX,-62
KZ000035229,2014-06-11,TMAX,330
KZ000035229,2012-08-25,TMAX,252
KZ000035229,2011-04-27,TMIN,10
KZ000035229,2011-04-27,TMAX,165
KZ000035229,2009-04-14,TMIN,-35
KZ000035229,2009-04-14,TMAX,50
KZ000035229,2013-09-03,TMAX,265
KZ000035229,2013-09-03,TMIN,100
KZ000035229,2015-05-28,TMIN,127
KZ000035229,2006-12-03,TMAX,0
KZ000035229,2006-03-31,TMAX,167
KZ000035229,2005-08-24,TMIN,86
KZ000035229,2011-07-16,TMAX,280
KZ000035229,2005-08-24,TMAX,207
KZ000035229,2005-08-05,TMIN,203
KZ000035229,2005-08-05,TMAX,374
KZ000035229,2008-03-29,TMIN,30
KZ000035229,2008-03-29,TMAX,236
KZ000035229,2012-10-09,TMIN,29
KZ000035229,2012-10-09,TMAX,249
KZ000035229,2015-08-05,TMAX,265
KZ000035229,2006-12-03,TMIN,-41
KZ000035229,2014-09-30,TMAX,161
KZ000035229,2014-09-30,TMIN,67
KZ000035229,2005-03-28,TMAX,11
KZ000035229,2005-01-29,TMIN,-226
KZ000035229,2013-10-26,TMIN,4
KZ000035229,2011-07-26,TMIN,208
KZ000035229,2005-11-30,TMAX,4
KZ000035229,2005-11-30,TMIN,-97
KZ000035229,2015-01-14,TMAX,4
KZ000035229,2009-03-04,TMAX,11
KZ000035229,2006-11-17,TMAX,20
KZ000035229,2006-11-17,TMIN,0
KZ000035229,2010-09-11,TMAX,150
KZ000035229,2013-03-11,TMAX,15
KZ000035229,2013-09-15,TMIN,70
KZ000035229,2013-09-15,TMAX,224
KZ000035229,2005-01-29,TMAX,-168
KZ000035229,2014-10-15,TMAX,200
KZ000035229,2010-04-15,TMIN,-14
KZ000035229,2014-12-18,TMAX,-67
KZ000035229,2007-02-25,TMAX,-145
KZ000035229,2005-08-09,TMIN,186
KZ000035229,2005-08-09,TMAX,282
KZ000035229,2008-10-10,TMAX,230
KZ000035229,2015-03-28,TMAX,-35
KZ000035229,2010-07-03,TMIN,169
KZ000035229,2010-07-03,TMAX,339
KZ000035229,2005-03-28,TMIN,-62
KZ000035229,2006-09-23,TMIN,55
KZ000035229,2013-07-29,TMAX,295
KZ000035229,2013-07-29,TMIN,136
KZ000035229,2006-09-23,TMAX,252
KZ000035229,2005-06-28,TMIN,135
KZ000035229,2005-06-28,TMAX,307
KZ000035229,2009-10-24,TMIN,-28
KZ000035229,2008-08-02,TMAX,241
KZ000035229,2012-03-11,TMAX,-112
KZ000035229,2013-11-15,TMAX,80
KZ000035229,2013-06-18,TMAX,345
KZ000035229,2009-12-13,TMIN,-187
KZ000035229,2009-09-09,TMAX,275
KZ000035229,2013-07-18,TMAX,300
