ID,Date,Element,Data_Value
AGM00060630,2007-12-27,TMAX,194
AGM00060630,2006-01-20,TMAX,185
AGM00060630,2008-10-14,TMAX,339
AGM00060630,2010-11-21,TMAX,292
AGM00060630,2006-07-02,TMIN,300
AGM00060630,2009-10-07,TMIN,285
AGM00060630,2006-05-19,TMIN,262
AGM00060630,2006-07-02,TMAX,473
AGM00060630,2008-10-18,TMAX,342
AGM00060630,2010-11-21,TMIN,94
AGM00060630,2008-08-06,TMAX,436
AGM00060630,2009-02-06,TMAX,234
AGM00060630,2007-12-27,TMIN,100
AGM00060630,2009-03-29,TMAX,294
AGM00060630,2009-02-06,TMIN,63
AGM00060630,2012-04-24,TMAX,371
AGM00060630,2006-01-25,TMAX,194
AGM00060630,2008-07-27,TMIN,310
AGM00060630,2005-04-29,TMAX,393
AGM00060630,2009-07-21,TMAX,446
AGM00060630,2007-05-03,TMIN,175
AGM00060630,2010-08-04,TMIN,305
AGM00060630,2007-05-03,TMAX,392
AGM00060630,2007-08-07,TMAX,439
AGM00060630,2010-03-04,TMIN,158
AGM00060630,2008-07-27,TMAX,475
AGM00060630,2011-12-14,TMIN,124
AGM00060630,2009-03-29,TMIN,203
AGM00060630,2012-07-06,TMAX,465
AGM00060630,2012-01-07,TMIN,71
AGM00060630,2008-10-18,TMIN,209
AGM00060630,2007-01-26,TMAX,290
AGM00060630,2009-10-07,TMAX,423
AGM00060630,2008-12-11,TMIN,66
AGM00060630,2008-06-22,TMIN,286
AGM00060630,2008-05-24,TMAX,407
AGM00060630,2010-07-01,TMAX,447
AGM00060630,2009-01-15,TMIN,17
AGM00060630,2009-04-29,TMAX,377
AGM00060630,2010-01-13,TMIN,57
AGM00060630,2008-05-24,TMIN,279
AGM00060630,2008-04-28,TMAX,377
AGM00060630,2011-11-02,TMAX,296
AGM00060630,2010-09-18,TMAX,431
AGM00060630,2012-07-03,TMIN,307
AGM00060630,2012-03-02,TMAX,248
AGM00060630,2010-05-23,TMIN,210
AGM00060630,2010-09-18,TMIN,273
AGM00060630,2007-03-26,TMIN,136
AGM00060630,2010-07-01,TMIN,320
AGM00060630,2010-05-22,TMAX,392
AGM00060630,2006-04-09,TMAX,409
AGM00060630,2010-07-28,TMIN,340
AGM00060630,2010-05-22,TMIN,274
AGM00060630,2010-07-28,TMAX,455
AGM00060630,2008-12-11,TMAX,190
AGM00060630,2007-08-07,TMIN,275
AGM00060630,2008-05-23,TMAX,418
AGM00060630,2007-03-23,TMIN,88
AGM00060630,2008-05-04,TMAX,419
AGM00060630,2010-05-23,TMAX,419
AGM00060630,2006-04-09,TMIN,176
AGM00060630,2012-01-22,TMAX,175
AGM00060630,2005-10-22,TMAX,370
AGM00060630,2009-04-29,TMIN,176
AGM00060630,2010-12-31,TMIN,26
AGM00060630,2011-04-07,TMAX,351
AGM00060630,2009-07-21,TMIN,316
AGM00060630,2012-03-02,TMIN,109
AGM00060630,2013-11-19,TMAX,276
AGM00060630,2005-10-22,TMIN,218
AGM00060630,2013-11-19,TMIN,64
AGM00060630,2011-11-02,TMIN,149
AGM00060630,2010-07-30,TMIN,290
AGM00060630,2008-04-28,TMIN,224
AGM00060630,2008-06-22,TMAX,454
AGM00060630,2007-03-23,TMAX,213
AGM00060630,2005-04-29,TMIN,239
AGM00060630,2009-04-15,TMAX,365
AGM00060630,2006-03-02,TMIN,103
AGM00060630,2008-08-06,TMIN,311
AGM00060630,2009-10-17,TMIN,186
AGM00060630,2006-02-21,TMIN,65
AGM00060630,2010-11-14,TMIN,144
AGM00060630,2014-02-15,TMAX,295
AGM00060630,2014-02-15,TMIN,74
AGM00060630,2006-12-01,TMAX,251
AGM00060630,2009-10-17,TMAX,330
AGM00060630,2009-04-21,TMIN,144
AGM00060630,2010-06-27,TMAX,449
AGM00060630,2005-08-30,TMAX,401
AGM00060630,2010-06-27,TMIN,264
AGM00060630,2009-02-08,TMAX,227
AGM00060630,2006-12-01,TMIN,164
AGM00060630,2006-02-21,TMAX,251
AGM00060630,2009-09-27,TMIN,240
AGM00060630,2008-09-30,TMAX,343
AGM00060630,2009-01-04,TMAX,245
AGM00060630,2009-01-04,TMIN,45
AGM00060630,2012-06-15,TMAX,481
AGM00060630,2010-07-31,TMAX,442
AGM00060630,2010-11-14,TMAX,291
AGM00060630,2009-04-21,TMAX,287
AGM00060630,2008-02-15,TMAX,315
AGM00060630,2012-05-09,TMAX,392
AGM00060630,2012-10-02,TMAX,404
AGM00060630,2007-10-07,TMAX,401
AGM00060630,2006-04-10,TMIN,227
AGM00060630,2012-06-15,TMIN,299
AGM00060630,2009-05-04,TMAX,314
AGM00060630,2010-04-30,TMAX,363
AGM00060630,2008-05-26,TMAX,384
AGM00060630,2008-05-26,TMIN,252
AGM00060630,2006-07-23,TMAX,425
AGM00060630,2006-09-26,TMAX,385
AGM00060630,2005-12-20,TMAX,213
AGM00060630,2009-05-04,TMIN,183
AGM00060630,2006-04-10,TMAX,425
AGM00060630,2008-06-20,TMAX,482
AGM00060630,2006-12-03,TMAX,262
AGM00060630,2008-02-15,TMIN,138
AGM00060630,2008-02-02,TMIN,73
AGM00060630,2009-01-18,TMIN,24
AGM00060630,2010-04-30,TMIN,204
AGM00060630,2008-02-02,TMAX,242
AGM00060630,2009-02-08,TMIN,60
AGM00060630,2012-10-02,TMIN,247
AGM00060630,2006-01-25,TMIN,102
AGM00060630,2005-09-21,TMIN,272
AGM00060630,2007-07-09,TMAX,465
AGM00060630,2011-07-28,TMAX,472
AGM00060630,2009-12-01,TMAX,228
AGM00060630,2005-12-08,TMAX,278
AGM00060630,2008-01-17,TMAX,227
AGM00060630,2006-12-11,TMIN,155
AGM00060630,2006-03-02,TMAX,302
AGM00060630,2009-05-22,TMAX,439
AGM00060630,2009-04-20,TMIN,171
AGM00060630,2011-11-13,TMAX,331
AGM00060630,2009-04-20,TMAX,304
AGM00060630,2010-12-31,TMAX,240
AGM00060630,2005-11-25,TMAX,216
AGM00060630,2006-01-29,TMIN,75
AGM00060630,2006-12-11,TMAX,263
AGM00060630,2012-01-22,TMIN,70
AGM00060630,2010-07-31,TMIN,314
AGM00060630,2012-04-24,TMIN,205
AGM00060630,2009-05-22,TMIN,290
AGM00060630,2009-04-15,TMIN,149
AGM00060630,2012-07-06,TMIN,280
AGM00060630,2010-03-10,TMIN,175
AGM00060630,2009-09-05,TMAX,382
AGM00060630,2009-09-05,TMIN,238
AGM00060630,2008-07-16,TMIN,323
AGM00060630,2010-03-10,TMAX,285
AGM00060630,2008-07-16,TMAX,459
AGM00060630,2005-10-21,TMAX,385
AGM00060630,2006-01-29,TMAX,254
AGM00060630,2009-09-29,TMIN,205
AGM00060630,2006-04-28,TMAX,323
AGM00060630,2011-05-29,TMAX,438
AGM00060630,2011-05-29,TMIN,294
AGM00060630,2008-04-12,TMIN,142
AGM00060630,2008-04-12,TMAX,380
AGM00060630,2007-07-09,TMIN,314
AGM00060630,2012-05-09,TMIN,240
AGM00060630,2008-05-04,TMIN,268
AGM00060630,2006-11-24,TMIN,80
AGM00060630,2013-10-25,TMAX,356
AGM00060630,2006-11-24,TMAX,290
AGM00060630,2010-05-19,TMAX,399
AGM00060630,2011-07-28,TMIN,306
AGM00060630,2010-05-19,TMIN,281
AGM00060630,2008-06-26,TMAX,445
AGM00060630,2008-01-17,TMIN,28
AGM00060630,2012-01-02,TMIN,95
AGM00060630,2008-06-26,TMIN,286
AGM00060630,2009-09-29,TMAX,411
AGM00060630,2013-09-16,TMAX,435
AGM00060630,2010-01-13,TMAX,269
AGM00060630,2006-05-19,TMAX,410
AGM00060630,2009-12-01,TMIN,66
AGM00060630,2006-04-28,TMIN,204
AGM00060630,2013-09-16,TMIN,239
AGM00060630,2006-07-11,TMIN,320
AGM00060630,2009-09-11,TMAX,393
