ID,Date,Element,Data_Value
CA007116505,2014-03-05,TMAX,-198
CA007116505,2006-12-01,TMAX,-93
CA007116505,2013-06-11,TMAX,211
CA007116505,2011-04-20,TMAX,-105
CA007116505,2014-12-15,TMIN,-272
CA007116505,2015-10-03,TMIN,32
CA007116505,2013-09-26,TMIN,11
CA007116505,2007-10-31,TMIN,-46
CA007116505,2009-10-11,TMIN,2
CA007116505,2007-10-31,TMAX,-16
CA007116505,2009-07-05,TMIN,21
CA007116505,2009-12-06,TMAX,-78
CA007116505,2015-10-03,TMAX,130
CA007116505,2011-03-30,TMIN,-184
CA007116505,2007-09-03,TMIN,49
CA007116505,2012-06-14,TMAX,134
CA007116505,2011-06-01,TMAX,81
CA007116505,2008-01-23,TMIN,-360
CA007116505,2009-07-17,TMIN,61
CA007116505,2008-01-18,TMAX,-235
CA007116505,2006-07-06,TMIN,75
CA007116505,2014-02-18,TMIN,-260
CA007116505,2013-06-28,TMIN,29
CA007116505,2014-12-15,TMAX,-171
CA007116505,2008-01-18,TMIN,-282
CA007116505,2014-03-07,TMIN,-271
CA007116505,2013-11-28,TMIN,-234
CA007116505,2014-09-18,TMAX,35
CA007116505,2011-03-30,TMAX,-93
CA007116505,2014-06-16,TMAX,210
CA007116505,2006-08-29,TMAX,164
CA007116505,2015-11-03,TMAX,10
CA007116505,2013-06-11,TMIN,16
CA007116505,2011-01-18,TMAX,-223
CA007116505,2011-06-16,TMIN,6
CA007116505,2013-09-26,TMAX,198
CA007116505,2006-09-23,TMAX,44
CA007116505,2009-10-11,TMAX,53
CA007116505,2006-12-01,TMIN,-207
CA007116505,2015-01-27,TMAX,-147
CA007116505,2012-06-14,TMIN,1
CA007116505,2011-08-02,TMIN,91
CA007116505,2008-07-13,TMAX,185
CA007116505,2012-11-06,TMAX,-78
CA007116505,2011-08-22,TMIN,70
CA007116505,2011-04-20,TMIN,-211
CA007116505,2008-07-13,TMIN,115
CA007116505,2010-06-02,TMAX,87
CA007116505,2009-07-05,TMAX,198
CA007116505,2014-02-18,TMAX,-158
CA007116505,2015-11-03,TMIN,-58
CA007116505,2010-06-02,TMIN,24
CA007116505,2013-12-29,TMIN,-358
CA007116505,2015-01-15,TMIN,-323
CA007116505,2014-09-05,TMAX,111
CA007116505,2009-09-17,TMAX,104
CA007116505,2012-03-24,TMAX,-206
CA007116505,2011-03-13,TMIN,-403
CA007116505,2006-06-21,TMAX,165
CA007116505,2011-03-03,TMAX,-250
CA007116505,2015-08-25,TMIN,112
CA007116505,2015-06-26,TMIN,78
CA007116505,2006-09-23,TMIN,20
CA007116505,2013-06-28,TMAX,190
CA007116505,2006-07-18,TMAX,164
CA007116505,2006-07-18,TMIN,43
CA007116505,2014-04-27,TMIN,-206
CA007116505,2015-01-15,TMAX,-276
CA007116505,2010-02-10,TMAX,-232
CA007116505,2010-06-06,TMAX,125
CA007116505,2010-06-06,TMIN,15
CA007116505,2009-01-05,TMIN,-94
CA007116505,2011-06-01,TMIN,-21
CA007116505,2015-01-27,TMIN,-308
CA007116505,2011-11-07,TMIN,-31
CA007116505,2014-09-05,TMIN,35
CA007116505,2009-12-06,TMIN,-168
CA007116505,2015-08-25,TMAX,262
CA007116505,2009-09-17,TMIN,35
CA007116505,2014-04-25,TMAX,-44
CA007116505,2015-06-26,TMAX,198
CA007116505,2010-09-24,TMAX,80
CA007116505,2011-08-22,TMAX,203
CA007116505,2009-01-05,TMAX,-81
CA007116505,2013-11-28,TMAX,-173
CA007116505,2013-12-29,TMAX,-309
CA007116505,2011-03-03,TMIN,-330
