ID,Date,Element,Data_Value
CA008500920,2012-01-24,TMAX,-160
CA008500920,2008-09-03,TMIN,16
CA008500920,2011-08-25,TMIN,52
CA008500920,2009-09-24,TMAX,-40
CA008500920,2015-04-28,TMAX,3
CA008500920,2013-12-04,TMIN,-159
CA008500920,2010-01-23,TMAX,-182
CA008500920,2015-04-28,TMIN,-13
CA008500920,2011-08-06,TMAX,178
CA008500920,2011-10-05,TMAX,-44
CA008500920,2005-04-07,TMAX,-75
CA008500920,2012-01-24,TMIN,-236
CA008500920,2015-04-04,TMIN,-233
CA008500920,2015-04-18,TMAX,-103
CA008500920,2010-01-23,TMIN,-195
CA008500920,2013-07-22,TMAX,40
CA008500920,2006-07-07,TMAX,38
CA008500920,2013-10-11,TMIN,-72
CA008500920,2009-01-04,TMAX,-61
CA008500920,2013-10-11,TMAX,-60
CA008500920,2009-04-24,TMAX,-38
CA008500920,2009-01-04,TMIN,-100
CA008500920,2011-08-06,TMIN,94
CA008500920,2014-08-24,TMAX,128
CA008500920,2013-11-19,TMIN,-131
CA008500920,2010-07-10,TMAX,123
CA008500920,2005-04-07,TMIN,-127
CA008500920,2014-08-24,TMIN,3
CA008500920,2013-05-10,TMIN,-160
CA008500920,2008-08-27,TMIN,-12
CA008500920,2011-10-28,TMIN,-66
CA008500920,2015-04-04,TMAX,-96
CA008500920,2009-06-03,TMIN,-22
CA008500920,2006-07-07,TMIN,3
CA008500920,2008-09-03,TMAX,140
CA008500920,2010-07-02,TMIN,22
CA008500920,2010-02-08,TMIN,-127
CA008500920,2013-05-10,TMAX,-138
CA008500920,2013-07-22,TMIN,7
CA008500920,2005-03-16,TMIN,-97
CA008500920,2005-03-16,TMAX,-75
CA008500920,2008-12-23,TMAX,-256
CA008500920,2011-10-28,TMAX,-49
CA008500920,2008-08-27,TMAX,69
CA008500920,2009-04-24,TMIN,-75
CA008500920,2013-09-03,TMAX,129
CA008500920,2011-06-27,TMIN,-6
CA008500920,2010-09-05,TMIN,7
CA008500920,2009-02-12,TMAX,-136
CA008500920,2014-06-20,TMIN,0
CA008500920,2014-01-04,TMAX,-116
CA008500920,2008-10-29,TMIN,-17
CA008500920,2011-11-13,TMIN,-78
CA008500920,2014-08-10,TMAX,99
CA008500920,2005-08-29,TMIN,34
CA008500920,2011-03-31,TMAX,-118
CA008500920,2013-10-25,TMAX,-23
CA008500920,2014-12-20,TMAX,-167
CA008500920,2015-07-31,TMIN,17
CA008500920,2015-11-17,TMIN,-67
CA008500920,2005-05-02,TMAX,-32
CA008500920,2012-11-04,TMAX,-49
CA008500920,2009-04-15,TMIN,-191
CA008500920,2014-12-20,TMIN,-183
CA008500920,2013-10-25,TMIN,-52
CA008500920,2006-02-09,TMAX,-163
CA008500920,2014-01-04,TMIN,-169
CA008500920,2005-06-24,TMIN,-10
CA008500920,2012-07-13,TMAX,84
CA008500920,2009-02-23,TMAX,-129
CA008500920,2008-10-29,TMAX,71
CA008500920,2009-02-12,TMIN,-176
CA008500920,2009-02-23,TMIN,-195
CA008500920,2015-07-31,TMAX,189
CA008500920,2006-02-09,TMIN,-204
CA008500920,2015-09-20,TMAX,25
CA008500920,2006-04-16,TMAX,-54
CA008500920,2014-10-24,TMIN,-104
CA008500920,2014-10-24,TMAX,-81
CA008500920,2015-09-04,TMIN,-16
CA008500920,2015-11-17,TMAX,-63
CA008500920,2014-06-20,TMAX,76
CA008500920,2012-07-14,TMIN,65
CA008500920,2006-06-06,TMAX,-7
CA008500920,2006-03-06,TMIN,-156
CA008500920,2006-04-03,TMAX,-70
CA008500920,2005-08-29,TMAX,105
CA008500920,2012-11-04,TMIN,-67
CA008500920,2005-12-16,TMIN,-140
CA008500920,2013-08-17,TMAX,141
CA008500920,2013-05-26,TMAX,-46
CA008500920,2006-04-03,TMIN,-149
CA008500920,2006-03-06,TMAX,-107
CA008500920,2010-12-13,TMIN,-181
CA008500920,2011-12-08,TMAX,-82
CA008500920,2010-03-19,TMIN,-138
CA008500920,2015-01-29,TMIN,-267
CA008500920,2010-03-19,TMAX,-84
CA008500920,2013-01-25,TMAX,-136
CA008500920,2006-06-06,TMIN,-39
CA008500920,2014-09-22,TMIN,-29
CA008500920,2013-05-26,TMIN,-73
CA008500920,2011-11-13,TMAX,-63
CA008500920,2012-07-14,TMAX,116
CA008500920,2011-12-08,TMIN,-119
CA008500920,2005-01-08,TMIN,-250
CA008500920,2012-04-17,TMAX,-165
CA008500920,2006-05-13,TMIN,-7
CA008500920,2005-01-08,TMAX,-220
CA008500920,2014-09-22,TMAX,1
CA008500920,2013-08-17,TMIN,59
CA008500920,2010-12-13,TMAX,-95
CA008500920,2008-10-04,TMAX,-8
CA008500920,2006-05-13,TMAX,117
CA008500920,2012-12-07,TMIN,-140
CA008500920,2008-10-04,TMIN,-37
CA008500920,2015-04-18,TMIN,-156
CA008500920,2015-06-28,TMAX,65
CA008500920,2012-09-27,TMAX,37
CA008500920,2015-05-11,TMAX,-84
CA008500920,2010-07-10,TMIN,46
CA008500920,2008-12-23,TMIN,-280
CA008500920,2006-01-18,TMAX,-138
CA008500920,2006-01-18,TMIN,-220
CA008500920,2010-03-03,TMIN,-222
CA008500920,2012-05-13,TMIN,-62
CA008500920,2010-12-28,TMIN,-111
CA008500920,2012-05-13,TMAX,-35
CA008500920,2005-03-09,TMIN,-224
CA008500920,2005-09-21,TMAX,66
CA008500920,2009-06-03,TMAX,-11
CA008500920,2013-12-04,TMAX,-123
CA008500920,2010-03-03,TMAX,-156
CA008500920,2005-05-02,TMIN,-76
CA008500920,2005-03-09,TMAX,-93
CA008500920,2009-04-16,TMAX,-173
CA008500920,2009-11-17,TMAX,-66
CA008500920,2014-06-09,TMAX,126
CA008500920,2014-11-05,TMIN,-83
CA008500920,2010-10-04,TMAX,36
CA008500920,2013-02-04,TMAX,-159
CA008500920,2009-11-17,TMIN,-78
CA008500920,2009-04-16,TMIN,-190
CA008500920,2011-06-27,TMAX,37
CA008500920,2009-09-24,TMIN,-65
CA008500920,2014-06-09,TMIN,37
CA008500920,2013-06-28,TMAX,17
CA008500920,2011-10-05,TMIN,-59
CA008500920,2013-06-28,TMIN,-34
CA008500920,2010-02-08,TMAX,-110
CA008500920,2014-11-05,TMAX,35
CA008500920,2010-12-28,TMAX,-84
CA008500920,2014-08-18,TMIN,92
CA008500920,2014-01-24,TMAX,-214
CA008500920,2014-03-09,TMIN,-273
CA008500920,2014-08-10,TMIN,30
CA008500920,2005-09-05,TMAX,27
CA008500920,2014-03-09,TMAX,-249
CA008500920,2014-02-22,TMIN,-204
CA008500920,2006-04-16,TMIN,-101
CA008500920,2015-05-11,TMIN,-105
CA008500920,2005-12-16,TMAX,-109
CA008500920,2011-09-18,TMAX,65
CA008500920,2011-03-31,TMIN,-158
CA008500920,2015-09-20,TMIN,-22
CA008500920,2013-01-25,TMIN,-148
CA008500920,2005-06-24,TMAX,33
CA008500920,2012-12-03,TMIN,-168
CA008500920,2014-02-22,TMAX,-184
CA008500920,2012-09-27,TMIN,-13
CA008500920,2012-12-07,TMAX,-82
CA008500920,2013-02-04,TMIN,-280
CA008500920,2010-09-05,TMAX,14
CA008500920,2010-01-10,TMAX,-201
CA008500920,2014-08-18,TMAX,178
CA008500920,2005-07-25,TMAX,52
CA008500920,2011-09-18,TMIN,-40
CA008500920,2012-07-13,TMIN,52
CA008500920,2005-07-25,TMIN,9
