ID,Date,Element,Data_Value
MRM00061404,2008-12-11,TMIN,101
MRM00061404,2012-02-23,TMAX,237
MRM00061404,2013-11-05,TMAX,340
MRM00061404,2013-11-05,TMIN,225
MRM00061404,2009-12-09,TMIN,165
MRM00061404,2012-08-07,TMIN,249
MRM00061404,2014-08-08,TMIN,256
MRM00061404,2009-01-15,TMAX,206
MRM00061404,2012-02-23,TMIN,96
MRM00061404,2009-10-16,TMIN,236
MRM00061404,2012-12-05,TMIN,82
MRM00061404,2012-05-15,TMAX,407
MRM00061404,2011-12-02,TMAX,240
MRM00061404,2012-06-22,TMAX,391
MRM00061404,2008-12-11,TMAX,203
MRM00061404,2012-05-15,TMIN,287
MRM00061404,2011-02-26,TMIN,151
MRM00061404,2015-12-08,TMAX,252
MRM00061404,2009-06-08,TMAX,384
MRM00061404,2012-09-20,TMIN,256
MRM00061404,2013-03-14,TMAX,326
MRM00061404,2015-04-28,TMIN,247
MRM00061404,2015-01-30,TMAX,203
MRM00061404,2013-02-08,TMAX,247
MRM00061404,2008-12-16,TMAX,192
MRM00061404,2014-12-25,TMAX,268
MRM00061404,2015-04-28,TMAX,400
MRM00061404,2011-02-26,TMAX,285
MRM00061404,2013-09-04,TMIN,254
MRM00061404,2013-05-25,TMAX,365
MRM00061404,2009-03-15,TMIN,219
MRM00061404,2013-09-11,TMAX,356
MRM00061404,2006-11-21,TMAX,285
MRM00061404,2010-04-20,TMAX,345
MRM00061404,2010-10-21,TMAX,321
MRM00061404,2013-05-25,TMIN,227
MRM00061404,2012-08-04,TMAX,451
MRM00061404,2011-07-29,TMAX,472
MRM00061404,2013-07-18,TMAX,433
MRM00061404,2012-08-04,TMIN,285
MRM00061404,2007-02-10,TMIN,155
MRM00061404,2011-07-29,TMIN,326
MRM00061404,2009-09-24,TMAX,390
MRM00061404,2010-05-26,TMAX,371
MRM00061404,2013-12-13,TMAX,244
MRM00061404,2011-07-03,TMAX,436
MRM00061404,2012-08-19,TMIN,309
MRM00061404,2011-01-22,TMIN,149
MRM00061404,2012-01-12,TMAX,275
MRM00061404,2009-10-16,TMAX,395
MRM00061404,2011-01-22,TMAX,253
MRM00061404,2013-09-11,TMIN,272
MRM00061404,2011-07-03,TMIN,275
MRM00061404,2009-09-24,TMIN,304
MRM00061404,2010-04-20,TMIN,225
MRM00061404,2010-08-11,TMAX,460
MRM00061404,2010-11-12,TMAX,284
MRM00061404,2013-05-19,TMAX,334
MRM00061404,2006-03-25,TMIN,254
MRM00061404,2014-05-08,TMAX,334
MRM00061404,2009-06-08,TMIN,250
MRM00061404,2013-05-19,TMIN,186
MRM00061404,2014-05-08,TMIN,194
MRM00061404,2015-05-15,TMIN,325
MRM00061404,2012-01-12,TMIN,156
MRM00061404,2013-07-18,TMIN,264
MRM00061404,2007-11-18,TMIN,211
MRM00061404,2013-08-08,TMAX,438
MRM00061404,2010-09-18,TMIN,280
MRM00061404,2012-08-19,TMAX,415
MRM00061404,2012-08-07,TMAX,385
MRM00061404,2010-05-26,TMIN,274
MRM00061404,2010-08-11,TMIN,278
MRM00061404,2010-03-27,TMAX,395
MRM00061404,2008-10-07,TMIN,254
MRM00061404,2007-02-06,TMAX,220
MRM00061404,2011-05-07,TMIN,207
MRM00061404,2015-04-19,TMIN,210
MRM00061404,2010-06-28,TMAX,358
MRM00061404,2010-09-14,TMAX,435
MRM00061404,2012-03-20,TMAX,348
MRM00061404,2012-03-20,TMIN,214
MRM00061404,2015-04-19,TMAX,354
MRM00061404,2011-05-21,TMAX,320
MRM00061404,2009-12-22,TMIN,159
MRM00061404,2014-07-11,TMAX,402
MRM00061404,2011-05-21,TMIN,194
MRM00061404,2013-01-27,TMAX,255
MRM00061404,2013-01-27,TMIN,135
MRM00061404,2015-07-09,TMAX,437
MRM00061404,2007-12-10,TMAX,267
MRM00061404,2015-12-13,TMAX,276
MRM00061404,2013-12-05,TMAX,332
MRM00061404,2015-12-13,TMIN,146
MRM00061404,2010-08-15,TMIN,299
MRM00061404,2008-07-31,TMIN,257
MRM00061404,2010-11-22,TMAX,285
MRM00061404,2013-12-20,TMIN,118
MRM00061404,2012-03-24,TMIN,165
MRM00061404,2010-11-12,TMIN,191
MRM00061404,2013-07-03,TMIN,303
MRM00061404,2010-09-14,TMIN,318
MRM00061404,2013-07-03,TMAX,434
MRM00061404,2009-12-22,TMAX,280
MRM00061404,2010-02-05,TMAX,348
MRM00061404,2013-08-23,TMAX,432
MRM00061404,2013-08-23,TMIN,331
MRM00061404,2015-02-24,TMAX,280
MRM00061404,2010-08-15,TMAX,387
MRM00061404,2010-12-14,TMAX,304
MRM00061404,2009-04-18,TMIN,140
MRM00061404,2007-12-10,TMIN,148
MRM00061404,2011-07-17,TMIN,268
MRM00061404,2013-11-19,TMAX,235
MRM00061404,2009-03-18,TMAX,290
MRM00061404,2013-11-19,TMIN,125
MRM00061404,2010-02-03,TMIN,169
MRM00061404,2009-05-04,TMAX,334
MRM00061404,2012-10-24,TMIN,280
MRM00061404,2015-04-16,TMIN,196
MRM00061404,2012-10-24,TMAX,375
MRM00061404,2013-03-22,TMAX,340
