ID,Date,Element,Data_Value
SF002075600,2008-07-03,TMIN,3
SF002075600,2008-11-19,TMIN,106
SF002075600,2009-03-26,TMIN,137
SF002075600,2010-07-20,TMIN,-18
SF002075600,2010-04-26,TMIN,40
SF002075600,2009-09-02,TMAX,272
SF002075600,2008-05-22,TMIN,71
SF002075600,2008-10-16,TMAX,295
SF002075600,2010-02-03,TMIN,127
SF002075600,2010-04-26,TMAX,236
SF002075600,2010-10-24,TMAX,203
SF002075600,2008-03-27,TMIN,97
SF002075600,2010-04-18,TMIN,108
SF002075600,2010-05-14,TMIN,120
SF002075600,2010-04-23,TMIN,23
SF002075600,2008-02-13,TMAX,254
SF002075600,2010-02-12,TMAX,318
SF002075600,2008-03-22,TMIN,109
SF002075600,2008-03-22,TMAX,249
SF002075600,2011-07-16,TMIN,-40
SF002075600,2010-07-01,TMIN,56
SF002075600,2010-05-14,TMAX,256
SF002075600,2009-01-24,TMAX,294
SF002075600,2010-11-05,TMAX,266
SF002075600,2010-02-12,TMIN,170
SF002075600,2009-03-06,TMIN,122
SF002075600,2010-02-21,TMAX,336
SF002075600,2008-06-23,TMAX,178
SF002075600,2008-05-03,TMAX,189
SF002075600,2008-08-08,TMIN,30
SF002075600,2009-03-26,TMAX,291
SF002075600,2008-05-03,TMIN,55
SF002075600,2008-07-13,TMIN,-58
SF002075600,2010-02-21,TMIN,132
SF002075600,2010-04-18,TMAX,265
SF002075600,2009-03-06,TMAX,282
SF002075600,2010-09-28,TMIN,60
SF002075600,2008-03-27,TMAX,275
SF002075600,2009-10-07,TMAX,288
SF002075600,2009-10-20,TMIN,49
SF002075600,2010-03-24,TMAX,279
SF002075600,2009-10-27,TMIN,115
SF002075600,2008-08-26,TMIN,35
SF002075600,2008-08-08,TMAX,226
SF002075600,2009-10-20,TMAX,274
SF002075600,2010-09-02,TMAX,276
SF002075600,2008-11-05,TMIN,87
SF002075600,2011-09-23,TMIN,91
SF002075600,2008-08-26,TMAX,257
SF002075600,2009-05-18,TMAX,223
SF002075600,2010-01-26,TMIN,162
SF002075600,2010-07-20,TMAX,232
SF002075600,2008-12-31,TMIN,139
SF002075600,2010-08-05,TMAX,234
SF002075600,2010-12-28,TMAX,310
