ID,Date,Element,Data_Value
CHM00054218,2012-01-04,TMIN,-166
CHM00054218,2012-01-04,TMAX,-49
CHM00054218,2007-05-17,TMAX,188
CHM00054218,2008-05-16,TMIN,107
CHM00054218,2008-09-10,TMIN,128
CHM00054218,2008-11-27,TMIN,-107
CHM00054218,2010-08-23,TMAX,277
CHM00054218,2013-05-22,TMIN,84
CHM00054218,2009-08-27,TMIN,160
CHM00054218,2009-10-09,TMIN,41
CHM00054218,2012-11-30,TMAX,-92
CHM00054218,2011-03-23,TMAX,43
CHM00054218,2008-11-27,TMAX,38
CHM00054218,2015-03-19,TMIN,-27
CHM00054218,2013-01-01,TMAX,-165
CHM00054218,2007-04-29,TMIN,94
CHM00054218,2013-09-21,TMAX,276
CHM00054218,2013-08-05,TMIN,186
CHM00054218,2008-05-16,TMAX,265
CHM00054218,2010-07-04,TMIN,242
CHM00054218,2011-04-17,TMIN,61
CHM00054218,2011-05-04,TMIN,68
CHM00054218,2010-07-04,TMAX,335
CHM00054218,2006-04-06,TMIN,24
CHM00054218,2012-04-18,TMIN,124
CHM00054218,2015-03-15,TMIN,6
CHM00054218,2009-09-16,TMAX,287
CHM00054218,2008-12-21,TMAX,-117
CHM00054218,2012-04-18,TMAX,268
CHM00054218,2009-09-16,TMIN,95
CHM00054218,2006-04-06,TMAX,81
CHM00054218,2007-12-23,TMAX,46
CHM00054218,2007-07-30,TMAX,351
CHM00054218,2005-11-05,TMAX,185
CHM00054218,2008-12-21,TMIN,-192
CHM00054218,2011-07-29,TMIN,176
CHM00054218,2013-11-20,TMAX,44
CHM00054218,2011-04-21,TMAX,118
CHM00054218,2011-04-01,TMAX,54
CHM00054218,2010-08-15,TMAX,275
CHM00054218,2007-07-30,TMIN,212
CHM00054218,2005-11-05,TMIN,29
CHM00054218,2007-07-02,TMIN,182
CHM00054218,2014-11-30,TMAX,18
CHM00054218,2007-04-29,TMAX,306
CHM00054218,2005-06-21,TMIN,153
CHM00054218,2014-05-06,TMAX,189
CHM00054218,2008-08-06,TMIN,223
CHM00054218,2015-03-19,TMAX,141
CHM00054218,2012-02-07,TMIN,-223
CHM00054218,2013-09-21,TMIN,111
CHM00054218,2012-11-30,TMIN,-184
CHM00054218,2008-07-15,TMAX,224
CHM00054218,2010-08-15,TMIN,161
CHM00054218,2014-05-06,TMIN,30
CHM00054218,2011-11-21,TMIN,-121
CHM00054218,2012-10-04,TMIN,72
CHM00054218,2009-10-09,TMAX,165
CHM00054218,2007-05-17,TMIN,106
CHM00054218,2007-12-23,TMIN,-83
CHM00054218,2011-10-16,TMAX,129
CHM00054218,2006-07-11,TMAX,333
CHM00054218,2011-07-29,TMAX,258
CHM00054218,2011-04-01,TMIN,-32
CHM00054218,2006-07-11,TMIN,178
CHM00054218,2008-07-15,TMIN,166
CHM00054218,2011-05-04,TMAX,183
CHM00054218,2008-01-16,TMIN,-206
CHM00054218,2008-09-10,TMAX,264
CHM00054218,2011-10-16,TMIN,47
CHM00054218,2011-11-21,TMAX,49
CHM00054218,2012-10-04,TMAX,214
CHM00054218,2011-04-21,TMIN,46
CHM00054218,2006-10-23,TMAX,78
CHM00054218,2006-03-10,TMIN,-19
CHM00054218,2005-03-10,TMAX,-57
CHM00054218,2008-11-13,TMAX,77
CHM00054218,2010-09-17,TMAX,101
CHM00054218,2012-10-24,TMIN,29
CHM00054218,2014-06-26,TMAX,258
CHM00054218,2011-06-05,TMIN,133
CHM00054218,2012-09-28,TMAX,124
CHM00054218,2010-10-25,TMAX,38
CHM00054218,2012-10-24,TMAX,170
CHM00054218,2005-12-16,TMIN,-172
CHM00054218,2011-03-22,TMAX,33
CHM00054218,2011-01-01,TMAX,-53
CHM00054218,2009-03-28,TMIN,-52
CHM00054218,2011-07-10,TMIN,155
CHM00054218,2005-03-10,TMIN,-135
CHM00054218,2005-06-19,TMAX,303
CHM00054218,2009-07-18,TMIN,164
CHM00054218,2005-12-16,TMAX,-59
CHM00054218,2011-10-03,TMIN,15
CHM00054218,2014-09-21,TMAX,214
CHM00054218,2006-12-01,TMAX,-48
CHM00054218,2015-08-26,TMAX,222
CHM00054218,2007-07-09,TMIN,175
CHM00054218,2012-11-09,TMAX,30
CHM00054218,2013-03-03,TMIN,-46
CHM00054218,2008-02-06,TMAX,-27
CHM00054218,2014-09-21,TMIN,67
CHM00054218,2011-10-03,TMAX,175
CHM00054218,2007-05-05,TMAX,234
CHM00054218,2007-05-05,TMIN,80
CHM00054218,2007-08-07,TMAX,282
CHM00054218,2009-12-15,TMAX,-67
CHM00054218,2009-12-15,TMIN,-167
CHM00054218,2005-06-19,TMIN,165
CHM00054218,2012-11-09,TMIN,-75
CHM00054218,2011-07-10,TMAX,331
CHM00054218,2008-11-13,TMIN,-11
CHM00054218,2009-07-18,TMAX,283
CHM00054218,2013-01-10,TMAX,-74
CHM00054218,2012-06-22,TMIN,180
CHM00054218,2012-06-22,TMAX,258
CHM00054218,2013-07-28,TMIN,191
CHM00054218,2008-05-19,TMAX,233
CHM00054218,2012-08-25,TMIN,152
CHM00054218,2010-12-23,TMIN,-196
CHM00054218,2007-08-07,TMIN,192
CHM00054218,2011-05-07,TMAX,198
CHM00054218,2009-03-28,TMAX,16
CHM00054218,2006-10-23,TMIN,-67
CHM00054218,2008-05-19,TMIN,90
CHM00054218,2010-09-09,TMAX,278
CHM00054218,2010-12-23,TMAX,-123
CHM00054218,2010-09-09,TMIN,105
CHM00054218,2012-08-25,TMAX,328
CHM00054218,2006-09-01,TMAX,263
CHM00054218,2012-10-12,TMIN,70
CHM00054218,2011-01-01,TMIN,-174
CHM00054218,2011-02-20,TMIN,-94
CHM00054218,2011-06-05,TMAX,307
CHM00054218,2006-09-01,TMIN,163
CHM00054218,2013-01-10,TMIN,-195
CHM00054218,2015-11-24,TMIN,-218
CHM00054218,2012-09-28,TMIN,62
CHM00054218,2005-09-06,TMIN,116
CHM00054218,2011-05-07,TMIN,80
CHM00054218,2010-09-29,TMIN,16
CHM00054218,2012-01-19,TMIN,-155
CHM00054218,2012-01-19,TMAX,-68
CHM00054218,2005-09-06,TMAX,297
CHM00054218,2010-09-29,TMAX,206
CHM00054218,2006-10-26,TMAX,104
CHM00054218,2011-02-20,TMAX,95
CHM00054218,2013-04-04,TMAX,-7
CHM00054218,2012-10-12,TMAX,217
CHM00054218,2005-09-08,TMIN,122
CHM00054218,2014-03-26,TMAX,219
CHM00054218,2007-07-09,TMAX,267
CHM00054218,2012-08-07,TMIN,182
CHM00054218,2006-06-07,TMAX,231
CHM00054218,2005-04-12,TMAX,134
CHM00054218,2012-08-13,TMAX,275
CHM00054218,2006-07-31,TMAX,317
CHM00054218,2008-01-11,TMAX,-53
CHM00054218,2006-07-21,TMAX,284
CHM00054218,2006-07-31,TMIN,201
CHM00054218,2006-06-07,TMIN,170
CHM00054218,2011-08-09,TMAX,321
CHM00054218,2010-10-25,TMIN,-42
CHM00054218,2012-09-21,TMIN,134
CHM00054218,2011-08-09,TMIN,194
CHM00054218,2007-12-13,TMAX,13
CHM00054218,2008-02-06,TMIN,-178
CHM00054218,2006-06-18,TMAX,305
CHM00054218,2005-06-15,TMIN,157
CHM00054218,2006-08-23,TMAX,320
CHM00054218,2005-06-15,TMAX,257
CHM00054218,2007-06-15,TMAX,324
CHM00054218,2012-02-07,TMAX,-105
CHM00054218,2007-06-15,TMIN,122
CHM00054218,2015-07-09,TMAX,314
CHM00054218,2008-04-18,TMAX,298
CHM00054218,2008-04-18,TMIN,166
CHM00054218,2006-06-18,TMIN,141
CHM00054218,2011-03-23,TMIN,-91
CHM00054218,2009-04-05,TMIN,0
CHM00054218,2006-02-06,TMAX,-69
CHM00054218,2006-08-23,TMIN,141
CHM00054218,2005-05-28,TMAX,309
CHM00054218,2008-01-11,TMIN,-150
CHM00054218,2012-12-18,TMIN,-216
CHM00054218,2013-04-25,TMAX,127
CHM00054218,2007-12-13,TMIN,-116
CHM00054218,2006-02-06,TMIN,-128
CHM00054218,2006-03-10,TMAX,125
CHM00054218,2005-03-01,TMAX,2
CHM00054218,2009-11-06,TMIN,61
CHM00054218,2010-03-06,TMIN,-212
CHM00054218,2010-08-07,TMIN,153
CHM00054218,2006-05-18,TMAX,289
CHM00054218,2009-11-21,TMAX,32
CHM00054218,2009-11-21,TMIN,-91
CHM00054218,2011-12-04,TMIN,-124
CHM00054218,2009-01-05,TMAX,-16
CHM00054218,2009-04-05,TMAX,180
CHM00054218,2011-12-04,TMAX,-17
CHM00054218,2012-02-24,TMAX,-30
CHM00054218,2010-08-07,TMAX,267
CHM00054218,2012-02-24,TMIN,-103
CHM00054218,2005-09-08,TMAX,312
CHM00054218,2006-12-01,TMIN,-113
CHM00054218,2006-07-12,TMAX,308
CHM00054218,2011-11-14,TMAX,13
CHM00054218,2010-03-06,TMAX,-59
CHM00054218,2011-11-14,TMIN,-107
CHM00054218,2006-06-15,TMAX,251
CHM00054218,2012-08-07,TMAX,330
CHM00054218,2009-11-06,TMAX,197
CHM00054218,2012-09-21,TMAX,253
CHM00054218,2009-01-05,TMIN,-186
CHM00054218,2009-06-04,TMAX,252
CHM00054218,2008-01-16,TMAX,-73
CHM00054218,2012-08-13,TMIN,108
CHM00054218,2006-07-21,TMIN,209
CHM00054218,2005-03-01,TMIN,-132
CHM00054218,2009-06-04,TMIN,128
CHM00054218,2008-03-31,TMAX,96
CHM00054218,2006-06-15,TMIN,109
CHM00054218,2013-05-27,TMIN,162
CHM00054218,2010-10-16,TMIN,-7
CHM00054218,2006-05-18,TMIN,157
CHM00054218,2008-03-31,TMIN,-9
CHM00054218,2006-07-12,TMIN,203
CHM00054218,2005-04-12,TMIN,-11
CHM00054218,2010-08-11,TMAX,329
CHM00054218,2008-09-09,TMIN,176
CHM00054218,2011-02-13,TMIN,-156
CHM00054218,2012-07-04,TMAX,294
CHM00054218,2006-10-01,TMAX,294
CHM00054218,2006-10-01,TMIN,88
CHM00054218,2006-01-12,TMAX,-76
CHM00054218,2006-01-12,TMIN,-148
CHM00054218,2015-12-28,TMIN,-128
CHM00054218,2015-12-28,TMAX,6
CHM00054218,2006-09-20,TMIN,120
CHM00054218,2006-09-20,TMAX,265
CHM00054218,2009-04-24,TMIN,46
CHM00054218,2011-02-13,TMAX,-74
CHM00054218,2009-04-24,TMAX,87
CHM00054218,2015-10-26,TMAX,104
CHM00054218,2006-03-12,TMIN,-135
CHM00054218,2015-07-05,TMIN,135
CHM00054218,2007-11-08,TMIN,23
CHM00054218,2015-07-05,TMAX,259
CHM00054218,2014-04-23,TMAX,238
CHM00054218,2007-03-17,TMIN,-72
CHM00054218,2007-11-08,TMAX,64
CHM00054218,2008-01-19,TMIN,-185
CHM00054218,2005-09-28,TMIN,112
CHM00054218,2014-01-19,TMIN,-120
CHM00054218,2006-03-12,TMAX,-15
CHM00054218,2006-04-12,TMAX,70
CHM00054218,2012-07-04,TMIN,146
CHM00054218,2007-11-01,TMIN,-34
CHM00054218,2006-02-24,TMIN,-129
CHM00054218,2007-12-11,TMIN,-145
CHM00054218,2013-05-01,TMIN,25
CHM00054218,2014-03-09,TMAX,23
CHM00054218,2006-10-29,TMIN,-7
CHM00054218,2009-06-21,TMIN,202
CHM00054218,2013-02-06,TMAX,-100
CHM00054218,2012-02-20,TMIN,-154
CHM00054218,2012-02-20,TMAX,-28
CHM00054218,2012-09-04,TMAX,194
CHM00054218,2012-03-02,TMAX,-28
CHM00054218,2012-09-04,TMIN,64
CHM00054218,2007-07-17,TMIN,200
CHM00054218,2012-02-22,TMAX,-73
CHM00054218,2007-07-17,TMAX,305
CHM00054218,2014-05-24,TMAX,214
CHM00054218,2005-06-07,TMAX,281
CHM00054218,2006-04-12,TMIN,-3
CHM00054218,2011-07-31,TMIN,171
CHM00054218,2011-07-31,TMAX,298
CHM00054218,2012-03-02,TMIN,-148
CHM00054218,2014-05-24,TMIN,154
CHM00054218,2008-10-03,TMAX,178
CHM00054218,2008-10-03,TMIN,91
CHM00054218,2012-02-22,TMIN,-110
CHM00054218,2005-09-28,TMAX,268
CHM00054218,2015-02-15,TMIN,-112
CHM00054218,2007-11-01,TMAX,55
