ID,Date,Element,Data_Value
LY000062271,2007-01-13,TMIN,100
LY000062271,2009-06-28,TMIN,247
LY000062271,2007-07-17,TMIN,245
LY000062271,2007-02-06,TMAX,167
LY000062271,2007-01-18,TMIN,62
LY000062271,2009-01-19,TMIN,72
LY000062271,2015-07-03,TMAX,370
LY000062271,2007-12-16,TMAX,214
LY000062271,2014-05-07,TMIN,194
LY000062271,2011-10-14,TMAX,311
LY000062271,2007-07-17,TMAX,370
LY000062271,2007-02-25,TMIN,98
LY000062271,2009-06-03,TMIN,226
LY000062271,2012-04-26,TMIN,225
LY000062271,2007-07-14,TMAX,355
LY000062271,2013-11-19,TMIN,125
LY000062271,2012-04-26,TMAX,400
LY000062271,2012-07-24,TMIN,258
LY000062271,2006-09-26,TMIN,235
LY000062271,2015-05-20,TMAX,372
LY000062271,2012-09-25,TMAX,328
LY000062271,2011-12-21,TMIN,104
LY000062271,2010-03-03,TMAX,313
LY000062271,2015-05-06,TMIN,219
LY000062271,2008-06-20,TMIN,245
LY000062271,2012-12-27,TMIN,72
LY000062271,2007-03-01,TMIN,85
LY000062271,2010-03-03,TMIN,181
LY000062271,2007-12-16,TMIN,77
LY000062271,2010-03-30,TMAX,308
LY000062271,2012-04-04,TMIN,216
LY000062271,2009-06-28,TMAX,405
LY000062271,2011-08-09,TMIN,254
LY000062271,2014-04-09,TMAX,280
LY000062271,2015-05-29,TMAX,341
LY000062271,2006-05-13,TMIN,203
LY000062271,2008-10-19,TMAX,289
LY000062271,2007-08-10,TMAX,382
LY000062271,2006-04-06,TMIN,148
LY000062271,2008-03-22,TMIN,166
LY000062271,2005-03-29,TMIN,155
LY000062271,2012-12-26,TMIN,72
LY000062271,2014-04-09,TMIN,165
LY000062271,2012-04-04,TMAX,390
LY000062271,2007-02-25,TMAX,220
LY000062271,2013-02-07,TMAX,221
LY000062271,2005-03-29,TMAX,330
LY000062271,2010-03-24,TMIN,95
LY000062271,2008-11-17,TMIN,121
LY000062271,2005-12-02,TMAX,322
LY000062271,2015-04-01,TMIN,143
LY000062271,2006-06-04,TMAX,426
LY000062271,2007-01-13,TMAX,184
LY000062271,2009-02-05,TMIN,86
LY000062271,2011-03-14,TMAX,259
LY000062271,2007-02-07,TMIN,44
LY000062271,2013-07-10,TMAX,375
LY000062271,2010-12-08,TMIN,84
LY000062271,2013-08-21,TMIN,246
LY000062271,2013-02-25,TMAX,296
LY000062271,2006-05-13,TMAX,368
LY000062271,2010-01-28,TMIN,69
LY000062271,2007-12-03,TMIN,93
LY000062271,2006-01-21,TMAX,275
LY000062271,2014-08-31,TMAX,400
LY000062271,2015-09-06,TMAX,378
LY000062271,2005-04-28,TMAX,356
LY000062271,2007-02-02,TMIN,94
LY000062271,2006-12-13,TMIN,83
LY000062271,2005-08-07,TMIN,255
LY000062271,2008-12-03,TMAX,314
LY000062271,2011-01-13,TMIN,88
LY000062271,2015-05-31,TMAX,371
LY000062271,2007-02-13,TMAX,217
LY000062271,2008-11-08,TMAX,296
LY000062271,2010-01-21,TMIN,71
LY000062271,2014-12-04,TMAX,292
LY000062271,2012-04-28,TMIN,225
LY000062271,2012-10-31,TMIN,175
LY000062271,2014-12-05,TMAX,284
LY000062271,2007-06-01,TMAX,392
LY000062271,2009-10-10,TMAX,313
LY000062271,2007-12-07,TMAX,187
LY000062271,2007-08-20,TMAX,379
LY000062271,2009-02-05,TMAX,300
LY000062271,2014-12-06,TMAX,250
LY000062271,2008-03-25,TMAX,341
LY000062271,2008-08-02,TMIN,260
LY000062271,2010-08-08,TMAX,413
LY000062271,2013-03-15,TMIN,171
LY000062271,2006-04-19,TMIN,158
LY000062271,2009-07-14,TMAX,379
LY000062271,2010-08-08,TMIN,276
LY000062271,2006-12-15,TMAX,209
LY000062271,2009-09-30,TMIN,224
LY000062271,2012-10-01,TMAX,353
LY000062271,2015-12-27,TMIN,65
LY000062271,2008-09-25,TMIN,216
LY000062271,2015-02-16,TMAX,223
LY000062271,2015-12-27,TMAX,199
LY000062271,2013-02-15,TMIN,106
LY000062271,2015-01-06,TMAX,173
LY000062271,2013-02-24,TMIN,98
LY000062271,2010-03-29,TMAX,328
LY000062271,2009-03-17,TMIN,113
LY000062271,2015-04-01,TMAX,294
LY000062271,2012-11-12,TMAX,267
LY000062271,2015-03-27,TMAX,372
LY000062271,2013-04-14,TMIN,176
LY000062271,2013-04-14,TMAX,311
LY000062271,2007-05-07,TMAX,431
LY000062271,2009-07-01,TMIN,253
LY000062271,2011-08-11,TMIN,266
LY000062271,2008-01-25,TMIN,93
LY000062271,2009-08-20,TMIN,264
LY000062271,2008-07-20,TMAX,378
LY000062271,2005-09-23,TMAX,375
LY000062271,2009-11-23,TMIN,114
LY000062271,2010-12-08,TMAX,196
LY000062271,2015-04-10,TMIN,108
LY000062271,2013-11-19,TMAX,294
LY000062271,2010-12-25,TMIN,90
LY000062271,2007-04-18,TMIN,198
LY000062271,2007-12-04,TMAX,241
LY000062271,2014-05-07,TMAX,281
LY000062271,2006-11-03,TMAX,286
LY000062271,2012-11-10,TMIN,140
LY000062271,2008-07-20,TMIN,239
LY000062271,2008-05-04,TMAX,370
LY000062271,2007-02-08,TMIN,108
LY000062271,2006-06-13,TMAX,400
LY000062271,2010-05-15,TMAX,422
LY000062271,2012-07-24,TMAX,402
LY000062271,2008-01-12,TMIN,67
LY000062271,2007-08-09,TMAX,378
LY000062271,2006-06-13,TMIN,215
LY000062271,2006-12-13,TMAX,217
LY000062271,2008-10-28,TMIN,142
LY000062271,2006-08-06,TMAX,406
LY000062271,2015-07-04,TMIN,245
LY000062271,2007-03-01,TMAX,205
LY000062271,2006-08-22,TMIN,280
LY000062271,2011-09-12,TMIN,237
LY000062271,2015-07-03,TMIN,244
LY000062271,2009-01-19,TMAX,184
LY000062271,2007-04-18,TMAX,379
LY000062271,2007-01-18,TMAX,187
LY000062271,2007-06-01,TMIN,276
LY000062271,2007-12-23,TMAX,179
LY000062271,2010-11-25,TMIN,118
LY000062271,2007-02-11,TMIN,78
LY000062271,2012-09-25,TMIN,197
LY000062271,2014-09-21,TMAX,344
LY000062271,2012-09-17,TMIN,242
LY000062271,2007-02-11,TMAX,253
LY000062271,2010-01-26,TMIN,65
LY000062271,2015-05-06,TMAX,345
LY000062271,2012-09-30,TMIN,229
LY000062271,2013-08-01,TMAX,383
LY000062271,2007-10-04,TMAX,320
LY000062271,2010-05-25,TMIN,232
LY000062271,2008-11-08,TMIN,144
LY000062271,2013-07-10,TMIN,255
LY000062271,2010-05-15,TMIN,280
LY000062271,2015-09-06,TMIN,253
LY000062271,2015-05-20,TMIN,231
LY000062271,2015-04-23,TMAX,288
LY000062271,2009-11-23,TMAX,223
LY000062271,2013-02-24,TMAX,289
LY000062271,2007-05-25,TMAX,368
LY000062271,2014-08-31,TMIN,274
LY000062271,2013-05-16,TMIN,209
LY000062271,2015-02-24,TMAX,184
LY000062271,2013-08-04,TMIN,265
LY000062271,2010-05-25,TMAX,416
LY000062271,2015-02-16,TMIN,101
LY000062271,2008-11-03,TMIN,180
LY000062271,2009-03-20,TMAX,255
LY000062271,2013-08-21,TMAX,366
LY000062271,2008-10-28,TMAX,266
LY000062271,2010-05-10,TMIN,240
LY000062271,2012-09-23,TMIN,223
LY000062271,2007-02-13,TMIN,103
LY000062271,2015-05-04,TMIN,171
LY000062271,2008-01-27,TMAX,154
LY000062271,2007-02-21,TMIN,100
LY000062271,2007-06-08,TMAX,368
LY000062271,2009-05-17,TMIN,224
LY000062271,2006-01-21,TMIN,110
LY000062271,2012-04-28,TMAX,399
LY000062271,2009-05-17,TMAX,403
LY000062271,2010-10-19,TMAX,417
LY000062271,2008-10-19,TMIN,174
LY000062271,2010-05-10,TMAX,346
LY000062271,2007-06-08,TMIN,224
LY000062271,2009-04-07,TMAX,319
LY000062271,2009-12-21,TMIN,86
LY000062271,2009-04-07,TMIN,205
