ID,Date,Element,Data_Value
CA002202000,2007-03-28,TMIN,-199
CA002202000,2005-11-13,TMAX,-90
CA002202000,2009-02-16,TMAX,-172
CA002202000,2007-08-21,TMAX,140
CA002202000,2008-01-06,TMAX,-59
CA002202000,2007-11-15,TMIN,-108
CA002202000,2005-03-31,TMAX,35
CA002202000,2005-01-26,TMAX,-153
CA002202000,2009-02-18,TMIN,-181
CA002202000,2005-05-07,TMAX,125
CA002202000,2007-08-09,TMAX,151
CA002202000,2006-11-14,TMIN,-172
CA002202000,2005-09-25,TMAX,98
CA002202000,2008-12-22,TMIN,-334
CA002202000,2005-10-20,TMAX,24
CA002202000,2006-11-14,TMAX,-83
CA002202000,2010-03-11,TMIN,-78
CA002202000,2008-06-04,TMIN,7
CA002202000,2008-09-29,TMAX,112
CA002202000,2007-07-13,TMAX,256
CA002202000,2008-03-14,TMIN,-259
CA002202000,2008-10-30,TMIN,-58
CA002202000,2010-03-11,TMAX,61
CA002202000,2005-03-31,TMIN,-202
CA002202000,2007-08-21,TMIN,122
CA002202000,2005-09-15,TMAX,94
CA002202000,2007-06-03,TMAX,225
CA002202000,2005-11-15,TMAX,-102
CA002202000,2007-11-13,TMIN,-147
CA002202000,2010-07-06,TMAX,153
CA002202000,2007-07-16,TMIN,147
CA002202000,2007-05-21,TMAX,153
CA002202000,2005-11-13,TMIN,-105
CA002202000,2005-08-03,TMAX,190
CA002202000,2007-06-25,TMIN,69
CA002202000,2008-04-06,TMAX,-2
CA002202000,2005-01-26,TMIN,-280
CA002202000,2007-03-29,TMAX,41
CA002202000,2005-06-02,TMAX,250
CA002202000,2005-11-15,TMIN,-145
CA002202000,2006-09-01,TMIN,4
CA002202000,2006-09-01,TMAX,220
CA002202000,2007-08-15,TMAX,152
CA002202000,2008-01-16,TMAX,-261
CA002202000,2005-06-12,TMIN,28
CA002202000,2007-08-29,TMIN,38
CA002202000,2006-06-01,TMAX,270
CA002202000,2005-06-06,TMAX,225
CA002202000,2007-08-09,TMIN,93
CA002202000,2009-02-16,TMIN,-248
CA002202000,2005-05-12,TMAX,48
CA002202000,2005-08-15,TMIN,72
CA002202000,2009-04-15,TMAX,-8
CA002202000,2008-07-24,TMAX,221
CA002202000,2005-08-15,TMAX,130
CA002202000,2008-04-20,TMAX,22
CA002202000,2007-06-15,TMIN,-6
CA002202000,2009-01-15,TMAX,-136
CA002202000,2005-09-21,TMIN,-12
CA002202000,2008-09-28,TMAX,127
CA002202000,2007-02-05,TMIN,-310
