ID,Date,Element,Data_Value
TUM00017096,2006-06-15,TMAX,262
TUM00017096,2005-11-13,TMAX,42
TUM00017096,2010-09-24,TMIN,44
TUM00017096,2008-05-11,TMAX,102
TUM00017096,2009-11-03,TMAX,80
TUM00017096,2009-09-16,TMAX,186
TUM00017096,2008-11-11,TMAX,46
TUM00017096,2011-02-03,TMAX,-148
TUM00017096,2010-03-30,TMIN,-2
TUM00017096,2009-04-21,TMIN,-31
TUM00017096,2014-04-02,TMIN,-60
TUM00017096,2010-09-24,TMAX,231
TUM00017096,2012-07-18,TMIN,109
TUM00017096,2015-04-04,TMAX,80
TUM00017096,2009-08-18,TMAX,306
TUM00017096,2006-08-13,TMIN,110
TUM00017096,2005-09-08,TMIN,79
TUM00017096,2006-09-10,TMAX,274
TUM00017096,2008-05-11,TMIN,-25
TUM00017096,2010-03-12,TMAX,136
TUM00017096,2011-09-01,TMIN,60
TUM00017096,2007-08-20,TMAX,217
TUM00017096,2013-09-15,TMIN,29
TUM00017096,2011-09-01,TMAX,278
TUM00017096,2012-05-29,TMAX,204
TUM00017096,2005-09-11,TMIN,27
TUM00017096,2014-12-30,TMIN,-38
TUM00017096,2010-03-12,TMIN,52
TUM00017096,2014-12-26,TMIN,-141
TUM00017096,2010-03-30,TMAX,56
TUM00017096,2013-02-14,TMAX,-39
TUM00017096,2012-11-03,TMAX,162
TUM00017096,2009-12-24,TMAX,41
TUM00017096,2006-09-10,TMIN,35
TUM00017096,2011-07-28,TMIN,178
TUM00017096,2009-04-08,TMIN,-17
TUM00017096,2015-06-11,TMIN,44
TUM00017096,2007-01-20,TMIN,-80
TUM00017096,2014-08-11,TMIN,95
TUM00017096,2012-04-07,TMAX,152
TUM00017096,2009-04-08,TMAX,83
TUM00017096,2012-12-14,TMAX,-18
TUM00017096,2007-01-20,TMAX,-2
TUM00017096,2006-02-24,TMAX,-48
TUM00017096,2009-09-23,TMIN,34
TUM00017096,2007-03-19,TMAX,13
TUM00017096,2012-12-13,TMAX,6
TUM00017096,2013-01-24,TMAX,12
TUM00017096,2007-05-02,TMAX,105
TUM00017096,2014-03-08,TMIN,-11
TUM00017096,2014-09-29,TMIN,40
TUM00017096,2007-06-25,TMAX,222
TUM00017096,2012-11-08,TMAX,150
TUM00017096,2013-01-11,TMAX,-192
TUM00017096,2012-12-13,TMIN,-121
TUM00017096,2009-03-29,TMIN,-45
TUM00017096,2010-11-16,TMAX,137
TUM00017096,2007-03-31,TMIN,-44
TUM00017096,2005-11-18,TMIN,-92
TUM00017096,2006-06-20,TMIN,80
TUM00017096,2006-05-11,TMIN,-18
TUM00017096,2010-12-27,TMAX,45
TUM00017096,2014-05-07,TMIN,89
TUM00017096,2005-09-26,TMAX,203
TUM00017096,2007-06-25,TMIN,57
TUM00017096,2008-07-07,TMIN,76
TUM00017096,2007-06-21,TMAX,201
TUM00017096,2005-09-15,TMAX,259
TUM00017096,2015-06-11,TMAX,241
TUM00017096,2013-08-18,TMIN,99
TUM00017096,2013-04-17,TMAX,86
TUM00017096,2013-01-11,TMIN,-315
TUM00017096,2011-03-31,TMAX,124
TUM00017096,2015-03-12,TMAX,84
TUM00017096,2012-09-07,TMIN,44
TUM00017096,2009-03-08,TMAX,82
TUM00017096,2011-03-31,TMIN,5
TUM00017096,2009-05-30,TMIN,-26
TUM00017096,2010-06-11,TMAX,244
TUM00017096,2005-09-25,TMAX,221
TUM00017096,2009-09-02,TMAX,221
TUM00017096,2011-11-03,TMAX,76
TUM00017096,2011-09-12,TMAX,231
TUM00017096,2010-06-11,TMIN,55
TUM00017096,2008-07-30,TMAX,303
TUM00017096,2007-07-28,TMAX,292
