ID,Date,Element,Data_Value
CA002302340,2012-01-07,TMAX,-298
CA002302337,2013-06-20,TMAX,50
CA002302340,2007-07-19,TMIN,65
CA002302340,2012-01-07,TMIN,-383
CA002302335,2005-02-02,TMAX,-304
CA002302340,2009-10-18,TMIN,-179
CA002302340,2005-07-08,TMIN,24
CA002302335,2005-05-01,TMIN,-244
CA002302335,2005-07-08,TMAX,72
CA002302340,2012-02-15,TMIN,-237
CA002302340,2012-02-15,TMAX,-180
CA002302335,2007-02-28,TMIN,-252
CA002302340,2006-11-28,TMIN,-289
CA002302340,2009-10-28,TMIN,-217
CA002302340,2014-10-08,TMIN,-48
CA002302337,2013-08-30,TMAX,31
CA002302340,2008-06-07,TMAX,18
CA002302335,2007-11-27,TMIN,-286
CA002302335,2010-06-08,TMIN,-24
CA002302337,2015-01-24,TMAX,-371
CA002302335,2010-06-08,TMAX,12
CA002302340,2010-07-13,TMAX,116
CA002302335,2007-01-06,TMIN,-204
CA002302335,2006-12-12,TMIN,-215
CA002302337,2014-10-06,TMAX,-14
CA002302340,2006-11-30,TMIN,-319
CA002302337,2015-05-22,TMIN,-104
CA002302335,2005-07-29,TMAX,107
CA002302340,2015-11-11,TMAX,-71
CA002302340,2011-03-22,TMAX,-230
CA002302335,2005-11-02,TMAX,-140
CA002302340,2006-11-02,TMIN,-156
CA002302340,2011-08-15,TMIN,8
CA002302340,2011-05-22,TMAX,-39
CA002302340,2006-11-02,TMAX,-114
CA002302340,2007-04-20,TMIN,-228
CA002302335,2006-03-27,TMIN,-267
CA002302340,2007-10-04,TMIN,-79
CA002302340,2007-02-02,TMIN,-372
CA002302335,2007-02-28,TMAX,-213
CA002302335,2005-02-13,TMAX,-347
CA002302335,2005-05-19,TMAX,-95
CA002302335,2010-07-14,TMIN,41
CA002302335,2007-02-07,TMIN,-321
CA002302340,2005-02-17,TMAX,-380
CA002302335,2007-06-03,TMAX,-23
CA002302340,2009-12-06,TMAX,-240
CA002302335,2005-07-29,TMIN,64
CA002302340,2005-01-19,TMIN,-383
CA002302340,2008-09-21,TMAX,-17
CA002302340,2008-09-21,TMIN,-83
CA002302335,2005-01-12,TMIN,-410
CA002302340,2014-11-19,TMIN,-266
CA002302335,2010-09-07,TMIN,31
CA002302335,2010-07-27,TMAX,143
CA002302335,2008-09-22,TMIN,-85
CA002302337,2014-07-18,TMAX,87
CA002302335,2005-09-05,TMIN,43
CA002302335,2006-07-26,TMAX,84
CA002302340,2014-05-26,TMIN,-76
CA002302335,2006-04-02,TMIN,-229
CA002302337,2014-09-09,TMIN,-6
CA002302335,2006-07-26,TMIN,36
CA002302340,2012-08-28,TMIN,74
CA002302340,2012-06-20,TMAX,50
CA002302340,2012-08-28,TMAX,117
CA002302335,2005-06-12,TMAX,29
CA002302340,2005-10-10,TMAX,-111
CA002302340,2014-01-04,TMIN,-352
CA002302340,2005-07-08,TMAX,68
CA002302340,2005-03-18,TMIN,-332
CA002302340,2015-03-17,TMAX,-149
CA002302335,2006-04-02,TMAX,-169
CA002302340,2013-02-01,TMIN,-380
CA002302340,2006-10-26,TMIN,-14
CA002302335,2008-01-18,TMIN,-326
CA002302335,2010-07-14,TMAX,170
CA002302340,2010-10-22,TMAX,2
CA002302340,2010-07-27,TMIN,40
CA002302340,2007-01-08,TMAX,-213
CA002302337,2015-04-05,TMAX,-261
CA002302337,2015-09-11,TMAX,69
CA002302340,2012-09-14,TMIN,3
CA002302340,2007-06-27,TMIN,45
CA002302340,2009-12-06,TMIN,-290
CA002302340,2012-03-05,TMAX,-331
CA002302340,2012-07-23,TMAX,91
CA002302340,2008-06-07,TMIN,-15
CA002302335,2007-09-07,TMAX,17
CA002302340,2013-03-20,TMIN,-318
CA002302340,2013-03-20,TMAX,-268
CA002302335,2007-06-03,TMIN,-73
CA002302337,2013-09-03,TMAX,17
CA002302340,2011-07-02,TMAX,80
CA002302340,2011-12-23,TMIN,-330
CA002302335,2010-01-02,TMAX,-204
CA002302340,2007-10-04,TMAX,-18
CA002302340,2008-05-29,TMAX,6
CA002302340,2010-01-22,TMIN,-217
CA002302340,2009-11-13,TMAX,-98
CA002302335,2010-09-29,TMAX,28
CA002302340,2009-10-18,TMAX,-118
CA002302335,2005-07-08,TMIN,27
CA002302340,2010-10-22,TMIN,-18
CA002302340,2012-01-01,TMAX,-330
CA002302337,2013-06-20,TMIN,9
CA002302335,2005-02-23,TMIN,-360
CA002302335,2005-02-23,TMAX,-327
CA002302340,2014-05-06,TMIN,-143
CA002302340,2014-09-15,TMAX,-17
CA002302340,2010-12-17,TMAX,-90
CA002302335,2008-12-18,TMAX,-274
CA002302335,2010-01-02,TMIN,-342
CA002302340,2009-10-07,TMAX,-24
CA002302340,2009-07-12,TMIN,8
CA002302340,2010-01-22,TMAX,-163
CA002302340,2013-04-28,TMAX,-205
CA002302340,2009-10-07,TMIN,-38
CA002302340,2013-04-26,TMAX,-161
CA002302340,2015-01-05,TMAX,-299
CA002302335,2006-02-20,TMAX,-237
CA002302340,2013-04-26,TMIN,-297
CA002302340,2011-09-23,TMIN,22
CA002302335,2010-04-14,TMAX,7
CA002302340,2006-10-08,TMAX,-67
CA002302335,2008-10-13,TMAX,-1
CA002302340,2015-02-04,TMIN,-374
CA002302340,2011-10-27,TMIN,-113
CA002302340,2015-02-04,TMAX,-333
CA002302340,2011-12-04,TMIN,-342
CA002302340,2008-03-19,TMIN,-426
CA002302335,2006-11-07,TMAX,-108
CA002302335,2006-04-14,TMAX,-131
CA002302340,2009-04-30,TMAX,-116
CA002302340,2015-01-05,TMIN,-356
CA002302340,2012-08-29,TMIN,64
CA002302340,2011-10-27,TMAX,-24
CA002302335,2006-11-07,TMIN,-218
CA002302337,2015-07-06,TMIN,21
CA002302340,2012-08-29,TMAX,126
CA002302340,2014-09-15,TMIN,-39
CA002302335,2010-04-14,TMIN,-112
CA002302335,2007-11-30,TMIN,-313
CA002302335,2006-07-19,TMAX,115
CA002302335,2010-04-22,TMAX,-81
CA002302335,2006-02-20,TMIN,-294
CA002302340,2008-03-19,TMAX,-344
CA002302335,2005-09-05,TMAX,89
CA002302337,2015-02-27,TMIN,-307
CA002302340,2014-01-04,TMAX,-295
CA002302340,2011-09-09,TMIN,-3
CA002302340,2009-04-30,TMIN,-173
CA002302340,2011-09-23,TMAX,61
CA002302335,2008-12-18,TMIN,-336
CA002302340,2011-12-04,TMAX,-304
CA002302340,2014-10-31,TMAX,-101
CA002302340,2006-10-08,TMIN,-95
CA002302340,2008-10-31,TMIN,-192
CA002302335,2005-05-26,TMAX,-13
CA002302340,2008-11-12,TMIN,-252
CA002302340,2010-11-26,TMAX,-144
CA002302340,2007-04-20,TMAX,-119
CA002302340,2007-09-12,TMAX,27
CA002302335,2006-11-21,TMIN,-241
CA002302335,2010-01-10,TMIN,-338
CA002302340,2007-02-02,TMAX,-317
CA002302337,2014-04-01,TMIN,-364
CA002302340,2010-07-13,TMIN,29
CA002302340,2014-10-08,TMAX,-13
CA002302337,2014-08-18,TMIN,10
CA002302335,2005-05-26,TMIN,-72
CA002302340,2012-07-23,TMIN,25
CA002302340,2005-04-05,TMIN,-239
CA002302340,2012-06-20,TMIN,-5
CA002302340,2013-11-23,TMAX,-234
CA002302337,2013-09-03,TMIN,-20
CA002302340,2007-09-17,TMIN,-32
