ID,Date,Element,Data_Value
RSM00024918,2014-09-12,TMIN,-20
RSM00024918,2015-09-20,TMAX,65
RSM00024918,2014-09-08,TMAX,98
RSM00024918,2013-08-12,TMAX,234
RSM00024918,2015-10-30,TMAX,23
RSM00024918,2013-07-16,TMAX,237
RSM00024918,2012-08-02,TMAX,258
RSM00024918,2014-01-02,TMIN,-467
RSM00024918,2014-01-17,TMIN,-388
RSM00024918,2014-02-27,TMAX,-201
RSM00024918,2013-05-02,TMAX,88
RSM00024918,2013-07-28,TMAX,203
RSM00024918,2013-08-20,TMIN,71
RSM00024918,2013-10-05,TMAX,16
RSM00024918,2014-03-11,TMAX,-52
RSM00024918,2013-09-27,TMAX,-16
RSM00024918,2012-09-09,TMIN,41
RSM00024918,2012-09-01,TMAX,186
RSM00024918,2012-11-07,TMIN,-192
RSM00024918,2014-09-25,TMAX,18
RSM00024918,2012-10-27,TMAX,-123
RSM00024918,2013-08-20,TMAX,237
RSM00024918,2013-02-14,TMAX,-140
RSM00024918,2014-06-24,TMAX,213
RSM00024918,2013-03-01,TMIN,-141
RSM00024918,2015-04-09,TMAX,-20
RSM00024918,2013-02-14,TMIN,-218
RSM00024918,2014-09-20,TMAX,105
RSM00024918,2014-06-24,TMIN,65
RSM00024918,2013-05-03,TMAX,119
RSM00024918,2014-03-11,TMIN,-231
RSM00024918,2013-03-01,TMAX,-47
RSM00024918,2015-04-09,TMIN,-269
RSM00024918,2013-10-05,TMIN,-40
RSM00024918,2013-12-13,TMIN,-313
RSM00024918,2014-08-26,TMIN,63
RSM00024918,2014-10-07,TMIN,-36
RSM00024918,2014-10-07,TMAX,30
RSM00024918,2012-08-16,TMIN,31
RSM00024918,2015-05-23,TMAX,160
RSM00024918,2014-01-02,TMAX,-411
RSM00024918,2013-08-12,TMIN,74
RSM00024918,2012-12-31,TMAX,-346
RSM00024918,2013-08-14,TMAX,230
RSM00024918,2014-06-15,TMAX,192
RSM00024918,2012-08-16,TMAX,137
RSM00024918,2014-02-12,TMAX,-301
RSM00024918,2013-06-20,TMAX,301
RSM00024918,2012-05-26,TMAX,109
RSM00024918,2012-11-30,TMAX,-247
RSM00024918,2014-12-06,TMIN,-372
RSM00024918,2012-08-25,TMAX,98
RSM00024918,2015-08-26,TMIN,126
RSM00024918,2015-06-28,TMIN,35
RSM00024918,2015-12-21,TMAX,-161
RSM00024918,2012-07-14,TMAX,227
RSM00024918,2014-02-23,TMIN,-196
RSM00024918,2015-05-13,TMAX,83
RSM00024918,2014-02-04,TMAX,-210
RSM00024918,2014-12-27,TMIN,-89
RSM00024918,2012-05-09,TMAX,98
RSM00024918,2015-09-01,TMAX,195
RSM00024918,2014-12-16,TMIN,-258
RSM00024918,2012-11-04,TMAX,-88
RSM00024918,2014-07-19,TMAX,197
RSM00024918,2012-11-14,TMAX,-227
RSM00024918,2012-05-09,TMIN,-9
RSM00024918,2015-02-17,TMIN,-338
RSM00024918,2015-02-17,TMAX,-103
RSM00024918,2013-06-10,TMAX,259
RSM00024918,2014-04-06,TMAX,67
RSM00024918,2015-09-26,TMAX,115
RSM00024918,2015-01-11,TMAX,-31
RSM00024918,2013-05-24,TMAX,185
RSM00024918,2013-03-30,TMAX,-24
RSM00024918,2013-03-30,TMIN,-283
RSM00024918,2013-02-05,TMIN,-489
RSM00024918,2015-10-01,TMAX,11
RSM00024918,2013-04-11,TMAX,60
RSM00024918,2013-12-07,TMAX,-79
RSM00024918,2014-07-06,TMIN,24
RSM00024918,2015-06-16,TMIN,52
RSM00024918,2015-05-16,TMIN,29
RSM00024918,2013-01-17,TMAX,-106
RSM00024918,2012-07-14,TMIN,116
RSM00024918,2014-05-28,TMIN,-48
RSM00024918,2014-05-28,TMAX,147
RSM00024918,2013-01-25,TMAX,-199
RSM00024918,2014-01-16,TMAX,-165
RSM00024918,2013-06-10,TMIN,109
RSM00024918,2014-08-20,TMAX,185
RSM00024918,2015-09-01,TMIN,93
RSM00024918,2015-09-22,TMIN,-23
RSM00024918,2015-01-17,TMIN,-241
RSM00024918,2012-11-14,TMIN,-317
RSM00024918,2012-09-12,TMAX,200
RSM00024918,2014-03-24,TMAX,98
RSM00024918,2012-06-09,TMAX,197
RSM00024918,2012-05-24,TMIN,107
RSM00024918,2012-05-24,TMAX,200
RSM00024918,2013-02-18,TMIN,-367
RSM00024918,2014-09-09,TMAX,121
RSM00024918,2014-09-09,TMIN,-57
RSM00024918,2014-01-25,TMIN,-400
RSM00024918,2015-05-13,TMIN,-58
RSM00024918,2014-01-25,TMAX,-282
RSM00024918,2015-01-17,TMAX,-153
RSM00024918,2014-10-15,TMAX,-46
RSM00024918,2014-12-07,TMAX,-287
RSM00024918,2015-03-28,TMIN,-167
RSM00024918,2015-12-25,TMAX,-383
RSM00024918,2014-10-15,TMIN,-114
RSM00024918,2015-12-25,TMIN,-458
RSM00024918,2013-05-30,TMAX,89
RSM00024918,2015-09-22,TMAX,95
RSM00024918,2013-08-15,TMAX,225
RSM00024918,2014-03-24,TMIN,-137
RSM00024918,2015-10-22,TMAX,-86
RSM00024918,2015-01-15,TMIN,-433
RSM00024918,2012-08-10,TMAX,239
RSM00024918,2012-08-10,TMIN,46
RSM00024918,2014-02-23,TMAX,-34
RSM00024918,2012-11-20,TMAX,-239
RSM00024918,2014-10-22,TMAX,8
RSM00024918,2012-06-09,TMIN,-25
RSM00024918,2015-04-10,TMIN,-268
RSM00024918,2014-07-06,TMAX,255
RSM00024918,2014-10-19,TMIN,-145
RSM00024918,2013-05-28,TMIN,56
RSM00024918,2014-06-28,TMAX,261
RSM00024918,2014-08-15,TMAX,155
RSM00024918,2013-05-28,TMAX,161
RSM00024918,2013-07-27,TMIN,77
RSM00024918,2015-04-10,TMAX,6
RSM00024918,2014-10-19,TMAX,-106
RSM00024918,2014-02-17,TMAX,-191
RSM00024918,2013-07-27,TMAX,197
RSM00024918,2013-10-07,TMIN,-8
RSM00024918,2013-02-18,TMAX,-216
RSM00024918,2015-06-12,TMIN,95
RSM00024918,2012-11-07,TMAX,-164
RSM00024918,2014-02-27,TMIN,-417
RSM00024918,2013-04-14,TMAX,-48
RSM00024918,2014-09-12,TMAX,96
RSM00024918,2013-04-15,TMIN,-279
RSM00024918,2012-07-18,TMIN,61
RSM00024918,2014-03-14,TMAX,-6
RSM00024918,2012-09-09,TMAX,158
RSM00024918,2013-07-29,TMAX,251
RSM00024918,2013-06-22,TMAX,317
RSM00024918,2013-11-25,TMAX,-260
RSM00024918,2013-10-13,TMIN,-110
RSM00024918,2013-11-05,TMAX,-189
RSM00024918,2012-11-15,TMAX,-206
RSM00024918,2014-08-04,TMAX,217
RSM00024918,2015-01-18,TMIN,-242
RSM00024918,2015-05-21,TMAX,93
RSM00024918,2015-10-12,TMAX,89
RSM00024918,2014-09-13,TMAX,95
RSM00024918,2012-05-01,TMAX,73
RSM00024918,2012-05-01,TMIN,-117
RSM00024918,2013-04-15,TMAX,0
