ID,Date,Element,Data_Value
UPM00033088,2006-04-03,TMAX,151
UPM00033088,2008-02-22,TMIN,26
UPM00033088,2006-09-11,TMAX,191
UPM00033088,2006-02-28,TMIN,-154
UPM00033088,2005-12-13,TMAX,30
UPM00033088,2006-06-23,TMAX,293
UPM00033088,2005-10-20,TMAX,72
UPM00033088,2006-12-12,TMIN,14
UPM00033088,2005-01-12,TMAX,78
UPM00033088,2006-02-09,TMIN,-71
UPM00033088,2005-11-27,TMAX,34
UPM00033088,2006-05-30,TMAX,140
UPM00033088,2006-10-27,TMAX,189
UPM00033088,2005-10-24,TMAX,125
UPM00033088,2008-03-02,TMIN,31
UPM00033088,2009-02-23,TMIN,-92
UPM00033088,2005-09-12,TMIN,118
UPM00033088,2008-07-27,TMIN,152
UPM00033088,2006-04-18,TMIN,53
UPM00033088,2005-07-28,TMAX,314
UPM00033088,2007-04-05,TMIN,-28
UPM00033088,2006-07-07,TMIN,146
UPM00033088,2006-10-27,TMIN,36
UPM00033088,2005-05-16,TMIN,112
UPM00033088,2005-07-22,TMIN,105
UPM00033088,2008-03-31,TMIN,10
UPM00033088,2005-08-04,TMIN,171
UPM00033088,2009-04-25,TMAX,172
UPM00033088,2007-07-18,TMAX,339
UPM00033088,2007-05-30,TMAX,279
UPM00033088,2005-11-11,TMAX,43
UPM00033088,2005-11-18,TMIN,-3
UPM00033088,2006-07-20,TMAX,256
UPM00033088,2005-11-18,TMAX,31
UPM00033088,2007-01-04,TMIN,13
UPM00033088,2009-06-03,TMIN,102
UPM00033088,2007-05-30,TMIN,171
UPM00033088,2006-04-03,TMIN,30
UPM00033088,2005-12-13,TMIN,8
UPM00033088,2005-06-20,TMAX,214
UPM00033088,2006-11-10,TMAX,56
UPM00033088,2008-11-24,TMIN,-43
UPM00033088,2005-09-14,TMIN,73
UPM00033088,2007-01-04,TMAX,40
UPM00033088,2006-12-14,TMAX,59
UPM00033088,2007-07-14,TMAX,221
UPM00033088,2006-09-11,TMIN,98
UPM00033088,2005-09-13,TMIN,157
UPM00033088,2008-05-07,TMIN,19
UPM00033088,2005-04-23,TMIN,1
UPM00033088,2006-05-10,TMAX,160
UPM00033088,2007-06-10,TMAX,271
UPM00033088,2008-02-22,TMAX,67
UPM00033088,2005-01-14,TMIN,14
UPM00033088,2006-03-11,TMIN,-30
UPM00033088,2006-07-20,TMIN,95
UPM00033088,2007-11-04,TMAX,79
UPM00033088,2008-07-29,TMIN,109
UPM00033088,2008-04-23,TMIN,60
UPM00033088,2007-10-12,TMIN,36
UPM00033088,2005-04-05,TMAX,197
UPM00033088,2006-05-21,TMAX,205
UPM00033088,2008-06-27,TMIN,113
UPM00033088,2006-03-22,TMAX,7
UPM00033088,2005-01-14,TMAX,33
UPM00033088,2007-10-15,TMIN,-12
UPM00033088,2009-01-13,TMIN,-118
UPM00033088,2009-03-24,TMIN,-3
UPM00033088,2009-04-25,TMIN,-7
UPM00033088,2008-08-31,TMIN,89
UPM00033088,2007-10-15,TMAX,86
UPM00033088,2007-11-19,TMIN,-35
UPM00033088,2006-10-26,TMIN,91
UPM00033088,2007-12-10,TMAX,82
UPM00033088,2007-11-19,TMAX,-1
UPM00033088,2005-02-15,TMIN,-45
UPM00033088,2006-05-23,TMAX,151
UPM00033088,2006-06-09,TMAX,155
UPM00033088,2005-09-07,TMAX,270
UPM00033088,2006-11-23,TMIN,51
UPM00033088,2006-09-28,TMIN,100
UPM00033088,2006-08-04,TMIN,176
UPM00033088,2006-01-17,TMAX,-64
UPM00033088,2008-07-29,TMAX,226
UPM00033088,2006-02-09,TMAX,-52
UPM00033088,2008-07-13,TMIN,161
UPM00033088,2006-05-30,TMIN,48
UPM00033088,2007-01-17,TMIN,-8
UPM00033088,2006-12-23,TMIN,24
UPM00033088,2005-05-15,TMAX,213
UPM00033088,2009-01-13,TMAX,19
UPM00033088,2006-03-30,TMIN,21
UPM00033088,2007-07-25,TMAX,212
UPM00033088,2006-07-31,TMAX,244
UPM00033088,2008-12-24,TMIN,-9
UPM00033088,2007-03-11,TMIN,2
UPM00033088,2005-12-21,TMIN,-96
UPM00033088,2007-07-25,TMIN,156
UPM00033088,2005-09-08,TMAX,265
UPM00033088,2005-07-07,TMIN,122
UPM00033088,2005-10-21,TMIN,1
UPM00033088,2006-03-26,TMAX,27
UPM00033088,2008-01-15,TMIN,-20
UPM00033088,2008-11-12,TMIN,-34
UPM00033088,2005-02-15,TMAX,25
UPM00033088,2007-07-13,TMIN,132
UPM00033088,2006-06-09,TMIN,85
UPM00033088,2009-02-23,TMAX,-2
UPM00033088,2006-11-29,TMAX,53
UPM00033088,2007-05-19,TMIN,108
UPM00033088,2008-05-12,TMIN,31
UPM00033088,2006-11-29,TMIN,32
UPM00033088,2005-11-11,TMIN,16
UPM00033088,2008-06-30,TMIN,124
UPM00033088,2006-07-31,TMIN,163
UPM00033088,2006-05-23,TMIN,128
UPM00033088,2005-10-21,TMAX,125
UPM00033088,2007-10-30,TMIN,4
UPM00033088,2009-06-02,TMAX,170
UPM00033088,2006-02-13,TMIN,-122
UPM00033088,2005-06-26,TMIN,151
UPM00033088,2007-02-28,TMIN,5
UPM00033088,2007-04-23,TMIN,-17
UPM00033088,2006-02-13,TMAX,-70
UPM00033088,2005-12-06,TMAX,24
UPM00033088,2008-06-05,TMIN,86
UPM00033088,2005-10-16,TMAX,57
UPM00033088,2005-08-04,TMAX,237
UPM00033088,2007-11-13,TMIN,-17
UPM00033088,2006-12-14,TMIN,33
UPM00033088,2008-06-25,TMIN,8
UPM00033088,2006-08-04,TMAX,291
UPM00033088,2006-08-19,TMIN,204
UPM00033088,2006-11-08,TMIN,67
UPM00033088,2007-02-08,TMIN,-44
UPM00033088,2006-03-30,TMAX,120
UPM00033088,2006-12-07,TMAX,77
UPM00033088,2007-11-02,TMIN,51
UPM00033088,2006-06-23,TMIN,171
UPM00033088,2008-09-30,TMIN,80
UPM00033088,2007-12-05,TMIN,14
UPM00033088,2008-05-05,TMIN,49
UPM00033088,2005-03-22,TMIN,-75
UPM00033088,2006-04-20,TMIN,53
UPM00033088,2006-11-02,TMAX,33
UPM00033088,2006-09-16,TMIN,85
UPM00033088,2006-12-05,TMAX,65
UPM00033088,2006-10-31,TMIN,-69
UPM00033088,2005-11-16,TMAX,58
UPM00033088,2005-05-15,TMIN,68
UPM00033088,2005-01-28,TMIN,-130
UPM00033088,2007-03-20,TMIN,51
UPM00033088,2005-11-16,TMIN,19
UPM00033088,2007-03-30,TMIN,-17
UPM00033088,2006-11-23,TMAX,103
UPM00033088,2009-06-02,TMIN,131
UPM00033088,2005-06-30,TMIN,73
UPM00033088,2008-02-25,TMIN,39
UPM00033088,2008-12-02,TMIN,58
UPM00033088,2007-07-26,TMAX,217
UPM00033088,2006-12-12,TMAX,54
UPM00033088,2005-08-22,TMIN,91
UPM00033088,2005-10-24,TMIN,110
UPM00033088,2006-12-07,TMIN,13
UPM00033088,2005-10-01,TMIN,106
UPM00033088,2005-12-06,TMIN,5
UPM00033088,2008-03-25,TMIN,-4
UPM00033088,2005-05-25,TMAX,172
UPM00033088,2008-01-22,TMAX,64
UPM00033088,2006-10-10,TMIN,61
UPM00033088,2006-11-30,TMIN,42
UPM00033088,2008-08-08,TMAX,265
UPM00033088,2009-01-20,TMIN,-74
UPM00033088,2006-11-30,TMAX,71
UPM00033088,2008-11-07,TMIN,-28
UPM00033088,2009-02-03,TMIN,-81
UPM00033088,2005-02-27,TMIN,-64
UPM00033088,2007-05-23,TMAX,330
UPM00033088,2006-01-26,TMIN,-189
UPM00033088,2005-12-22,TMIN,-80
UPM00033088,2006-12-28,TMAX,4
UPM00033088,2007-03-06,TMIN,-22
UPM00033088,2008-02-05,TMIN,11
UPM00033088,2006-08-10,TMAX,247
UPM00033088,2008-03-07,TMIN,21
UPM00033088,2005-08-30,TMIN,93
UPM00033088,2007-07-12,TMAX,185
UPM00033088,2006-12-28,TMIN,0
UPM00033088,2006-05-10,TMIN,21
UPM00033088,2006-10-09,TMIN,84
UPM00033088,2005-12-22,TMAX,-42
UPM00033088,2007-10-16,TMIN,49
UPM00033088,2005-11-06,TMIN,-6
UPM00033088,2005-12-01,TMIN,-17
UPM00033088,2008-07-28,TMIN,153
UPM00033088,2007-03-03,TMIN,5
UPM00033088,2008-01-22,TMIN,40
UPM00033088,2005-04-16,TMIN,47
UPM00033088,2007-01-24,TMAX,-8
UPM00033088,2006-05-25,TMIN,102
UPM00033088,2005-01-12,TMIN,60
