ID,Date,Element,Data_Value
JA000047814,2007-05-17,TMAX,255
JA000047814,2015-09-13,TMAX,285
JA000047814,2007-08-11,TMIN,229
JA000047814,2015-03-27,TMIN,-8
JA000047814,2008-11-23,TMAX,156
JA000047814,2009-05-25,TMIN,133
JA000047814,2014-10-26,TMIN,123
JA000047814,2015-12-01,TMAX,182
JA000047814,2010-02-11,TMAX,206
JA000047814,2010-04-27,TMAX,228
JA000047814,2013-03-06,TMAX,184
JA000047814,2008-05-07,TMAX,298
JA000047814,2013-04-27,TMIN,46
JA000047814,2006-10-27,TMAX,255
JA000047814,2006-11-27,TMAX,177
JA000047814,2006-03-02,TMAX,81
JA000047814,2008-10-16,TMAX,271
JA000047814,2005-12-04,TMAX,99
JA000047814,2005-10-19,TMAX,238
JA000047814,2015-03-27,TMAX,191
JA000047814,2007-03-14,TMAX,129
JA000047814,2014-02-25,TMIN,-15
JA000047814,2007-03-14,TMIN,-14
JA000047814,2014-08-13,TMIN,227
JA000047814,2011-07-17,TMIN,216
JA000047814,2015-03-07,TMIN,52
JA000047814,2008-01-18,TMAX,113
JA000047814,2015-11-01,TMAX,170
JA000047814,2010-01-09,TMAX,103
JA000047814,2008-01-18,TMIN,-7
JA000047814,2014-12-24,TMIN,-6
JA000047814,2007-07-19,TMAX,327
JA000047814,2005-07-03,TMIN,248
JA000047814,2010-10-25,TMAX,206
JA000047814,2014-12-24,TMAX,110
JA000047814,2015-11-01,TMIN,51
JA000047814,2015-03-07,TMAX,116
JA000047814,2007-11-15,TMIN,50
JA000047814,2014-12-15,TMAX,104
JA000047814,2015-11-07,TMAX,261
JA000047814,2012-12-02,TMAX,83
JA000047814,2011-08-28,TMAX,350
JA000047814,2007-07-19,TMIN,204
JA000047814,2014-12-15,TMIN,-24
JA000047814,2009-05-19,TMAX,294
JA000047814,2005-07-03,TMAX,295
JA000047814,2015-05-27,TMIN,143
JA000047814,2011-06-14,TMIN,170
JA000047814,2011-07-17,TMAX,340
JA000047814,2013-10-30,TMIN,72
JA000047814,2012-12-02,TMIN,17
JA000047814,2008-05-25,TMAX,276
JA000047814,2015-05-01,TMAX,292
JA000047814,2014-10-26,TMAX,252
JA000047814,2008-09-30,TMIN,178
