ID,Date,Element,Data_Value
TX000038895,2007-10-23,TMAX,240
TX000038895,2008-05-02,TMIN,166
TX000038895,2013-06-02,TMAX,351
TX000038895,2006-09-08,TMAX,360
TX000038895,2007-08-11,TMAX,325
TX000038895,2009-10-04,TMAX,257
TX000038895,2006-03-28,TMAX,175
TX000038895,2008-08-25,TMIN,200
TX000038895,2007-03-30,TMAX,75
TX000038895,2007-02-06,TMIN,54
TX000038895,2009-09-03,TMIN,170
TX000038895,2007-04-08,TMIN,154
TX000038895,2012-12-09,TMIN,82
TX000038895,2011-12-10,TMAX,20
TX000038895,2012-05-20,TMAX,322
TX000038895,2005-08-23,TMIN,195
TX000038895,2005-09-20,TMIN,134
TX000038895,2014-06-10,TMAX,402
TX000038895,2008-10-08,TMIN,103
TX000038895,2014-12-23,TMIN,10
TX000038895,2011-02-12,TMAX,91
TX000038895,2013-07-24,TMIN,254
TX000038895,2008-08-21,TMIN,151
TX000038895,2007-10-23,TMIN,75
TX000038895,2010-05-30,TMAX,365
TX000038895,2012-07-28,TMIN,200
TX000038895,2007-12-01,TMIN,-40
TX000038895,2014-06-07,TMAX,370
TX000038895,2014-06-10,TMIN,200
TX000038895,2012-07-15,TMIN,234
TX000038895,2008-07-13,TMIN,250
TX000038895,2007-08-03,TMAX,370
TX000038895,2010-02-19,TMIN,50
TX000038895,2015-07-19,TMAX,390
TX000038895,2011-12-10,TMIN,-21
TX000038895,2015-10-18,TMAX,120
TX000038895,2015-10-29,TMIN,80
TX000038895,2011-01-21,TMIN,-24
TX000038895,2008-05-26,TMAX,350
TX000038895,2005-08-23,TMAX,325
TX000038895,2013-11-03,TMAX,201
TX000038895,2015-09-07,TMIN,184
TX000038895,2006-09-08,TMIN,178
TX000038895,2009-03-23,TMAX,185
TX000038895,2012-07-28,TMAX,336
TX000038895,2011-12-13,TMIN,-12
TX000038895,2011-03-28,TMIN,42
TX000038895,2013-01-05,TMIN,-43
TX000038895,2008-09-13,TMAX,336
TX000038895,2009-11-16,TMIN,-70
TX000038895,2014-12-23,TMAX,136
TX000038895,2013-02-08,TMAX,192
TX000038895,2005-07-31,TMAX,365
TX000038895,2015-11-06,TMIN,58
TX000038895,2007-04-02,TMAX,215
TX000038895,2015-10-29,TMAX,260
TX000038895,2008-06-11,TMAX,345
TX000038895,2010-01-25,TMIN,38
TX000038895,2008-06-11,TMIN,190
TX000038895,2012-07-25,TMIN,260
TX000038895,2011-05-20,TMIN,165
TX000038895,2009-05-07,TMAX,315
TX000038895,2013-12-21,TMAX,25
TX000038895,2011-12-13,TMAX,95
TX000038895,2013-07-24,TMAX,400
TX000038895,2008-06-25,TMIN,240
TX000038895,2006-12-05,TMAX,67
TX000038895,2011-11-29,TMIN,-20
TX000038895,2009-07-30,TMIN,207
TX000038895,2015-11-06,TMAX,243
TX000038895,2006-01-19,TMIN,-56
TX000038895,2010-10-15,TMAX,292
TX000038895,2014-02-19,TMAX,165
