ID,Date,Element,Data_Value
MXM00076373,2013-07-24,TMIN,140
MXM00076373,2009-08-08,TMIN,112
MXM00076373,2007-04-03,TMIN,35
MXM00076373,2012-10-08,TMAX,316
MXM00076373,2013-08-14,TMAX,314
MXM00076373,2007-08-12,TMAX,319
MXM00076373,2013-08-14,TMIN,132
MXM00076373,2005-07-11,TMIN,156
MXM00076373,2010-07-15,TMAX,320
MXM00076373,2012-06-04,TMAX,340
MXM00076373,2012-01-04,TMAX,240
MXM00076373,2011-06-17,TMIN,131
MXM00076373,2012-10-08,TMIN,78
MXM00076373,2007-09-28,TMAX,320
MXM00076373,2014-03-09,TMIN,28
MXM00076373,2014-06-06,TMIN,138
MXM00076373,2007-04-03,TMAX,275
MXM00076373,2014-05-21,TMIN,116
MXM00076373,2015-11-05,TMAX,243
MXM00076373,2010-06-09,TMIN,114
MXM00076373,2009-06-28,TMAX,305
MXM00076373,2010-01-26,TMAX,270
MXM00076373,2010-11-19,TMIN,-48
MXM00076373,2011-04-05,TMAX,339
MXM00076373,2005-07-11,TMAX,362
MXM00076373,2012-05-11,TMAX,290
MXM00076373,2007-10-22,TMAX,313
MXM00076373,2007-03-08,TMIN,26
MXM00076373,2011-04-05,TMIN,50
MXM00076373,2010-11-19,TMAX,244
MXM00076373,2014-03-09,TMAX,259
MXM00076373,2012-06-04,TMIN,100
MXM00076373,2009-08-08,TMAX,340
MXM00076373,2015-11-03,TMIN,41
MXM00076373,2008-06-18,TMIN,130
MXM00076373,2007-03-08,TMAX,320
MXM00076373,2012-01-04,TMIN,-23
MXM00076373,2014-12-11,TMAX,228
MXM00076373,2014-05-21,TMAX,343
MXM00076373,2014-08-28,TMIN,91
MXM00076373,2012-06-30,TMAX,372
MXM00076373,2014-11-17,TMAX,250
MXM00076373,2013-08-18,TMAX,335
MXM00076373,2015-11-03,TMAX,263
MXM00076373,2005-07-20,TMAX,314
MXM00076373,2015-11-05,TMIN,50
MXM00076373,2005-07-20,TMIN,132
MXM00076373,2008-01-04,TMIN,-38
MXM00076373,2014-11-17,TMIN,0
MXM00076373,2013-07-24,TMAX,268
MXM00076373,2012-09-27,TMIN,142
MXM00076373,2011-06-17,TMAX,400
MXM00076373,2012-06-30,TMIN,141
MXM00076373,2009-06-28,TMIN,120
MXM00076373,2015-04-05,TMIN,62
MXM00076373,2007-08-12,TMIN,125
MXM00076373,2008-08-09,TMAX,284
MXM00076373,2014-06-06,TMAX,380
MXM00076373,2013-08-18,TMIN,96
MXM00076373,2012-05-11,TMIN,22
MXM00076373,2012-09-27,TMAX,294
MXM00076373,2011-10-19,TMAX,321
MXM00076373,2007-06-18,TMIN,105
MXM00076373,2006-09-29,TMAX,314
MXM00076373,2012-04-06,TMAX,310
MXM00076373,2008-12-11,TMIN,-93
MXM00076373,2014-01-15,TMAX,219
MXM00076373,2014-01-15,TMIN,-65
MXM00076373,2009-11-20,TMAX,242
MXM00076373,2012-04-06,TMIN,30
MXM00076373,2015-10-14,TMIN,101
MXM00076373,2015-10-14,TMAX,300
MXM00076373,2010-09-30,TMIN,45
MXM00076373,2011-06-14,TMIN,120
MXM00076373,2012-08-20,TMAX,330
MXM00076373,2007-09-21,TMAX,288
MXM00076373,2005-12-22,TMAX,222
MXM00076373,2015-09-24,TMIN,130
MXM00076373,2015-09-24,TMAX,310
MXM00076373,2008-06-25,TMAX,360
MXM00076373,2005-12-22,TMIN,-48
MXM00076373,2007-08-07,TMIN,114
MXM00076373,2007-08-07,TMAX,318
MXM00076373,2008-12-11,TMAX,137
MXM00076373,2007-03-21,TMIN,30
MXM00076373,2007-03-21,TMAX,314
MXM00076373,2005-09-07,TMAX,298
MXM00076373,2009-11-20,TMIN,-15
MXM00076373,2007-10-24,TMAX,222
MXM00076373,2011-07-01,TMIN,98
MXM00076373,2012-08-20,TMIN,155
MXM00076373,2007-12-07,TMAX,247
MXM00076373,2011-05-31,TMIN,118
MXM00076373,2011-05-31,TMAX,394
MXM00076373,2015-04-05,TMAX,313
MXM00076373,2010-01-29,TMIN,40
MXM00076373,2008-10-25,TMAX,280
MXM00076373,2010-01-29,TMAX,220
MXM00076373,2013-10-19,TMIN,48
MXM00076373,2009-12-16,TMIN,-2
MXM00076373,2012-01-16,TMIN,-16
MXM00076373,2012-01-16,TMAX,250
MXM00076373,2007-04-02,TMAX,286
MXM00076373,2007-04-02,TMIN,50
MXM00076373,2010-01-06,TMAX,235
MXM00076373,2007-05-25,TMAX,328
MXM00076373,2008-02-20,TMAX,275
MXM00076373,2007-05-25,TMIN,63
MXM00076373,2010-01-06,TMIN,-20
MXM00076373,2008-02-20,TMIN,-20
MXM00076373,2010-09-30,TMAX,288
MXM00076373,2011-06-14,TMAX,400
MXM00076373,2008-08-09,TMIN,137
MXM00076373,2006-09-29,TMIN,104
MXM00076373,2011-07-01,TMAX,354
MXM00076373,2013-05-03,TMAX,350
MXM00076373,2009-11-14,TMIN,-10
MXM00076373,2012-02-16,TMIN,-11
MXM00076373,2009-11-14,TMAX,268
MXM00076373,2007-09-04,TMAX,220
MXM00076373,2009-10-26,TMIN,18
MXM00076373,2009-10-26,TMAX,280
MXM00076373,2010-02-03,TMIN,10
MXM00076373,2012-05-07,TMAX,320
MXM00076373,2014-08-29,TMAX,340
MXM00076373,2007-03-16,TMIN,28
MXM00076373,2015-11-28,TMAX,260
MXM00076373,2007-10-24,TMIN,-35
MXM00076373,2015-11-28,TMIN,120
MXM00076373,2007-02-08,TMIN,-18
MXM00076373,2007-02-08,TMAX,240
MXM00076373,2014-04-21,TMAX,318
MXM00076373,2013-06-28,TMAX,370
MXM00076373,2013-06-28,TMIN,136
MXM00076373,2005-02-23,TMAX,226
MXM00076373,2013-04-13,TMAX,300
MXM00076373,2010-02-03,TMAX,178
MXM00076373,2013-04-13,TMIN,18
MXM00076373,2007-08-08,TMIN,136
MXM00076373,2007-03-16,TMAX,304
MXM00076373,2007-08-08,TMAX,330
MXM00076373,2015-03-11,TMIN,75
MXM00076373,2015-03-11,TMAX,225
MXM00076373,2005-02-23,TMIN,-5
MXM00076373,2013-03-15,TMAX,260
MXM00076373,2008-06-25,TMIN,102
MXM00076373,2010-08-24,TMIN,80
MXM00076373,2012-05-07,TMIN,55
MXM00076373,2010-01-26,TMIN,-28
MXM00076373,2013-08-13,TMAX,315
MXM00076373,2009-01-23,TMAX,255
MXM00076373,2009-10-31,TMAX,294
MXM00076373,2008-10-21,TMAX,284
MXM00076373,2014-10-05,TMAX,308
MXM00076373,2009-01-23,TMIN,30
MXM00076373,2013-02-19,TMAX,262
MXM00076373,2010-08-24,TMAX,330
MXM00076373,2013-12-12,TMAX,251
MXM00076373,2005-09-07,TMIN,112
MXM00076373,2013-10-15,TMIN,90
MXM00076373,2013-10-15,TMAX,290
MXM00076373,2013-02-19,TMIN,24
MXM00076373,2007-09-04,TMIN,150
MXM00076373,2013-12-12,TMIN,-5
MXM00076373,2007-09-21,TMIN,102
MXM00076373,2014-10-05,TMIN,125
MXM00076373,2012-06-05,TMAX,352
MXM00076373,2008-10-21,TMIN,50
MXM00076373,2013-08-13,TMIN,144
MXM00076373,2012-06-05,TMIN,100
MXM00076373,2006-07-03,TMIN,142
MXM00076373,2006-07-03,TMAX,282
MXM00076373,2014-04-21,TMIN,65
MXM00076373,2009-10-31,TMIN,-10
MXM00076373,2010-06-09,TMAX,316
MXM00076373,2014-10-30,TMAX,316
MXM00076373,2009-12-16,TMAX,250
MXM00076373,2007-10-22,TMIN,77
MXM00076373,2012-04-28,TMAX,350
MXM00076373,2012-04-28,TMIN,88
MXM00076373,2010-09-07,TMAX,332
MXM00076373,2008-07-19,TMIN,129
MXM00076373,2008-01-04,TMAX,236
MXM00076373,2012-01-26,TMAX,208
MXM00076373,2012-01-26,TMIN,-51
MXM00076373,2009-01-26,TMIN,5
MXM00076373,2010-09-07,TMIN,100
MXM00076373,2014-11-24,TMIN,-23
MXM00076373,2014-05-02,TMIN,81
MXM00076373,2009-01-26,TMAX,272
MXM00076373,2010-11-26,TMAX,252
MXM00076373,2009-09-23,TMIN,116
MXM00076373,2007-05-21,TMAX,286
MXM00076373,2010-03-21,TMIN,-10
MXM00076373,2010-03-21,TMAX,284
MXM00076373,2008-11-25,TMAX,248
MXM00076373,2009-09-23,TMAX,300
MXM00076373,2010-11-26,TMIN,-30
MXM00076373,2009-06-15,TMAX,375
MXM00076373,2008-06-26,TMAX,366
MXM00076373,2013-09-02,TMIN,113
MXM00076373,2007-05-21,TMIN,50
MXM00076373,2008-06-26,TMIN,111
MXM00076373,2007-10-23,TMIN,-22
MXM00076373,2012-06-25,TMAX,320
MXM00076373,2013-03-11,TMIN,-5
MXM00076373,2008-06-18,TMAX,372
MXM00076373,2013-03-11,TMAX,240
