ID,Date,Element,Data_Value
UYM00086560,2007-09-22,TMIN,74
UYM00086560,2010-10-27,TMIN,79
UYM00086560,2013-05-29,TMIN,117
UYM00086560,2007-10-12,TMIN,125
UYM00086560,2005-08-12,TMIN,80
UYM00086560,2008-09-20,TMIN,111
UYM00086560,2013-04-29,TMIN,151
UYM00086560,2010-01-13,TMIN,143
UYM00086560,2007-11-26,TMIN,167
UYM00086560,2011-03-09,TMIN,215
UYM00086560,2012-09-25,TMIN,66
UYM00086560,2009-07-17,TMIN,74
UYM00086560,2015-02-28,TMIN,129
UYM00086560,2014-12-16,TMIN,189
UYM00086560,2005-06-18,TMIN,97
UYM00086560,2006-07-09,TMIN,104
UYM00086560,2007-01-20,TMIN,151
UYM00086560,2006-01-24,TMIN,198
UYM00086560,2010-12-25,TMIN,218
UYM00086560,2009-10-09,TMIN,50
UYM00086560,2005-10-12,TMIN,149
UYM00086560,2008-11-15,TMAX,290
UYM00086560,2005-10-23,TMIN,122
UYM00086560,2012-05-12,TMIN,85
UYM00086560,2011-12-05,TMIN,175
UYM00086560,2006-07-03,TMIN,136
UYM00086560,2010-05-16,TMAX,136
UYM00086560,2007-05-18,TMIN,60
UYM00086560,2010-09-07,TMIN,108
UYM00086560,2012-01-13,TMIN,148
UYM00086560,2013-09-14,TMIN,90
UYM00086560,2008-08-23,TMIN,70
UYM00086560,2015-02-16,TMIN,179
UYM00086560,2006-01-12,TMAX,283
UYM00086560,2015-09-30,TMIN,99
UYM00086560,2005-11-10,TMIN,90
UYM00086560,2007-01-22,TMIN,149
UYM00086560,2008-12-17,TMIN,185
UYM00086560,2007-01-17,TMIN,150
UYM00086560,2011-08-08,TMIN,116
UYM00086560,2007-06-06,TMIN,63
UYM00086560,2015-10-21,TMIN,121
UYM00086560,2012-07-26,TMIN,29
UYM00086560,2007-11-30,TMIN,162
UYM00086560,2013-07-29,TMIN,47
UYM00086560,2008-03-29,TMIN,154
UYM00086560,2015-01-29,TMIN,172
UYM00086560,2014-12-17,TMIN,171
UYM00086560,2014-03-20,TMIN,145
UYM00086560,2008-03-06,TMIN,170
UYM00086560,2006-10-24,TMIN,188
UYM00086560,2006-03-21,TMIN,143
UYM00086560,2012-02-05,TMIN,230
UYM00086560,2015-08-12,TMAX,132
UYM00086560,2014-08-29,TMIN,57
UYM00086560,2006-06-09,TMIN,126
UYM00086560,2006-09-15,TMIN,98
UYM00086560,2012-05-04,TMIN,120
UYM00086560,2014-01-01,TMIN,209
UYM00086560,2010-04-09,TMIN,135
UYM00086560,2015-02-22,TMIN,164
UYM00086560,2007-12-31,TMIN,226
UYM00086560,2012-02-05,TMAX,283
UYM00086560,2009-05-07,TMIN,101
UYM00086560,2013-11-20,TMIN,179
UYM00086560,2010-09-21,TMIN,131
UYM00086560,2010-05-16,TMIN,91
UYM00086560,2015-02-12,TMIN,170
