ID,Date,Element,Data_Value
IN023550300,2013-11-10,TMAX,300
IN023550300,2008-12-19,TMAX,177
IN023550300,2011-11-07,TMAX,320
IN023550300,2005-04-17,TMAX,420
IN023550300,2010-03-27,TMAX,424
IN023550300,2008-03-31,TMAX,364
IN023550300,2010-01-30,TMAX,293
IN023550300,2005-06-27,TMAX,390
IN023550300,2009-08-11,TMAX,367
IN023550300,2011-12-27,TMAX,234
IN023550300,2012-03-12,TMAX,220
IN023550300,2009-12-29,TMAX,238
IN023550300,2014-01-06,TMAX,215
IN023550300,2015-12-16,TMAX,230
IN023550300,2013-09-16,TMAX,342
IN023550300,2011-12-22,TMAX,164
IN023550300,2015-06-16,TMAX,416
IN023550300,2008-03-29,TMAX,393
IN023550300,2005-08-30,TMAX,365
IN023550300,2012-12-15,TMAX,191
IN023550300,2012-05-28,TMAX,442
IN023550300,2014-08-28,TMAX,350
IN023550300,2005-11-11,TMAX,302
IN023550300,2014-02-26,TMAX,257
IN023550300,2014-08-07,TMAX,342
IN023550300,2009-03-15,TMAX,334
IN023550300,2008-07-09,TMAX,330
IN023550300,2010-05-07,TMAX,330
IN023550300,2007-07-30,TMAX,351
IN023550300,2013-07-01,TMAX,320
IN023550300,2015-03-30,TMAX,260
IN023550300,2009-11-13,TMAX,308
IN023550300,2013-02-17,TMAX,219
IN023550300,2013-05-14,TMAX,422
IN023550300,2015-10-26,TMAX,346
IN023550300,2015-12-16,TMIN,73
IN023550300,2009-11-12,TMAX,302
IN023550300,2008-03-10,TMAX,340
IN023550300,2014-10-30,TMAX,320
IN023550300,2008-11-07,TMAX,316
IN023550300,2013-06-01,TMAX,352
IN023550300,2007-11-01,TMAX,320
IN023550300,2013-03-07,TMAX,313
IN023550300,2015-05-29,TMAX,450
IN023550300,2013-04-29,TMAX,422
IN023550300,2014-02-08,TMAX,290
IN023550300,2009-05-30,TMAX,386
IN023550300,2015-10-17,TMAX,350
IN023550300,2014-03-09,TMAX,296
IN023550300,2012-03-25,TMAX,370
IN023550300,2007-12-09,TMAX,247
IN023550300,2008-11-13,TMAX,300
IN023550300,2011-12-15,TMAX,205
IN023550300,2009-08-30,TMAX,366
IN023550300,2014-03-13,TMAX,302
IN023550300,2010-12-18,TMAX,260
IN023550300,2008-12-28,TMAX,258
IN023550300,2006-03-12,TMAX,290
IN023550300,2012-12-07,TMAX,282
IN023550300,2007-12-12,TMAX,272
IN023550300,2010-06-13,TMAX,414
IN023550300,2013-03-04,TMAX,306
IN023550300,2011-10-13,TMAX,350
IN023550300,2010-12-25,TMAX,249
IN023550300,2005-03-30,TMAX,357
IN023550300,2007-06-23,TMAX,377
IN023550300,2014-01-04,TMAX,222
IN023550300,2011-05-12,TMAX,424
IN023550300,2011-04-21,TMAX,398
IN023550300,2009-01-22,TMAX,230
IN023550300,2012-07-02,TMAX,411
IN023550300,2012-02-01,TMAX,243
IN023550300,2010-12-06,TMAX,242
IN023550300,2007-04-05,TMAX,395
IN023550300,2011-04-23,TMAX,406
IN023550300,2013-12-26,TMAX,240
IN023550300,2011-01-10,TMAX,144
IN023550300,2010-06-14,TMAX,423
IN023550300,2010-04-16,TMAX,449
IN023550300,2014-06-07,TMAX,444
IN023550300,2011-02-08,TMAX,316
IN023550300,2010-04-28,TMAX,389
IN023550300,2013-11-04,TMAX,291
IN023550300,2013-01-08,TMAX,172
IN023550300,2012-01-15,TMAX,249
IN023550300,2015-02-27,TMAX,291
IN023550300,2013-11-11,TMAX,287
IN023550300,2010-10-18,TMAX,310
IN023550300,2012-09-06,TMAX,294
