ID,Date,Element,Data_Value
GPM00078890,2005-12-07,TMIN,239
GPM00078890,2006-01-08,TMAX,286
GPM00078890,2006-02-09,TMAX,290
GPM00078890,2006-03-13,TMAX,276
GPM00078890,2005-09-24,TMIN,285
GPM00078890,2006-05-28,TMAX,323
GPM00078890,2006-05-10,TMAX,316
GPM00078890,2005-09-24,TMAX,325
GPM00078890,2006-01-16,TMIN,232
GPM00078890,2006-03-18,TMIN,224
GPM00078890,2005-12-14,TMIN,251
GPM00078890,2005-11-27,TMAX,296
GPM00078890,2006-05-08,TMIN,245
GPM00078890,2006-01-16,TMAX,284
GPM00078890,2006-03-24,TMIN,229
GPM00078890,2006-04-29,TMAX,314
GPM00078890,2005-12-14,TMAX,300
GPM00078890,2006-05-31,TMAX,325
GPM00078890,2006-03-18,TMAX,291
GPM00078890,2006-03-26,TMAX,295
GPM00078890,2006-04-06,TMIN,236
GPM00078890,2005-06-30,TMIN,264
GPM00078890,2006-03-24,TMAX,303
GPM00078890,2006-04-16,TMIN,237
GPM00078890,2005-06-30,TMAX,314
GPM00078890,2005-05-23,TMIN,269
GPM00078890,2006-06-06,TMIN,271
GPM00078890,2006-06-06,TMAX,321
GPM00078890,2006-02-09,TMIN,237
GPM00078890,2006-04-28,TMAX,314
GPM00078890,2006-01-08,TMIN,246
GPM00078890,2006-05-08,TMAX,308
GPM00078890,2005-12-07,TMAX,291
GPM00078890,2005-11-27,TMIN,263
GPM00078890,2005-09-18,TMIN,271
GPM00078890,2006-04-08,TMAX,306
GPM00078890,2006-05-10,TMIN,260
GPM00078890,2006-05-31,TMIN,265
GPM00078890,2006-04-08,TMIN,246
GPM00078890,2006-05-28,TMIN,263
GPM00078890,2006-05-14,TMIN,255
GPM00078890,2005-09-18,TMAX,328
GPM00078890,2006-04-16,TMAX,304
GPM00078890,2006-04-28,TMIN,252
GPM00078890,2006-05-14,TMAX,308
GPM00078890,2006-04-06,TMAX,308
GPM00078890,2006-03-26,TMIN,250
GPM00078890,2005-05-23,TMAX,321
GPM00078890,2006-04-29,TMIN,235
GPM00078890,2006-03-13,TMIN,218
GPM00078890,2006-03-20,TMAX,299
GPM00078890,2005-11-01,TMIN,258
GPM00078890,2006-01-15,TMAX,284
GPM00078890,2005-02-27,TMIN,250
GPM00078890,2005-02-27,TMAX,286
GPM00078890,2006-01-25,TMIN,248
GPM00078890,2006-01-25,TMAX,281
GPM00078890,2005-09-07,TMIN,258
GPM00078890,2005-09-07,TMAX,321
GPM00078890,2005-01-23,TMAX,282
GPM00078890,2005-01-23,TMIN,245
GPM00078890,2005-07-31,TMIN,255
GPM00078890,2006-05-19,TMAX,313
GPM00078890,2005-01-31,TMAX,281
GPM00078890,2005-01-31,TMIN,210
GPM00078890,2006-02-28,TMIN,230
GPM00078890,2006-01-12,TMIN,244
GPM00078890,2006-02-28,TMAX,306
GPM00078890,2006-01-12,TMAX,283
GPM00078890,2005-09-08,TMAX,315
GPM00078890,2005-09-08,TMIN,270
GPM00078890,2005-11-24,TMAX,300
GPM00078890,2005-10-31,TMAX,300
GPM00078890,2005-05-02,TMAX,309
GPM00078890,2006-01-13,TMAX,284
GPM00078890,2006-01-15,TMIN,247
GPM00078890,2005-10-31,TMIN,252
GPM00078890,2005-08-31,TMAX,327
GPM00078890,2005-08-31,TMIN,267
GPM00078890,2005-08-28,TMAX,317
GPM00078890,2005-08-28,TMIN,276
GPM00078890,2006-05-19,TMIN,270
GPM00078890,2005-11-24,TMIN,263
GPM00078890,2006-01-13,TMIN,237
GPM00078890,2006-04-01,TMAX,304
GPM00078890,2005-07-31,TMAX,321
GPM00078890,2005-09-12,TMIN,286
GPM00078890,2006-04-11,TMIN,236
GPM00078890,2005-09-29,TMIN,251
GPM00078890,2005-09-29,TMAX,319
GPM00078890,2005-09-23,TMAX,320
GPM00078890,2006-05-15,TMIN,255
GPM00078890,2006-05-30,TMAX,325
GPM00078890,2006-05-15,TMAX,319
GPM00078890,2005-08-22,TMAX,317
GPM00078890,2005-08-22,TMIN,248
GPM00078890,2006-03-14,TMIN,219
GPM00078890,2006-01-17,TMAX,280
GPM00078890,2006-01-17,TMIN,232
GPM00078890,2006-03-14,TMAX,279
GPM00078890,2006-06-05,TMIN,271
GPM00078890,2006-06-05,TMAX,320
GPM00078890,2006-02-14,TMIN,235
GPM00078890,2006-02-14,TMAX,280
GPM00078890,2005-09-12,TMAX,323
GPM00078890,2006-03-15,TMAX,277
GPM00078890,2005-11-11,TMIN,241
GPM00078890,2006-03-15,TMIN,239
GPM00078890,2005-02-13,TMIN,229
GPM00078890,2006-02-11,TMIN,228
GPM00078890,2005-02-13,TMAX,284
GPM00078890,2006-02-11,TMAX,282
GPM00078890,2005-07-30,TMIN,279
GPM00078890,2006-03-21,TMIN,236
GPM00078890,2006-03-21,TMAX,291
GPM00078890,2006-01-05,TMIN,228
GPM00078890,2006-01-05,TMAX,286
GPM00078890,2006-05-30,TMIN,269
GPM00078890,2005-07-30,TMAX,316
GPM00078890,2006-03-10,TMAX,295
GPM00078890,2006-04-01,TMIN,250
GPM00078890,2006-06-11,TMIN,272
GPM00078890,2005-11-14,TMAX,279
GPM00078890,2006-04-25,TMAX,313
GPM00078890,2006-01-10,TMAX,286
GPM00078890,2006-01-10,TMIN,239
GPM00078890,2006-01-18,TMAX,280
GPM00078890,2006-01-18,TMIN,247
GPM00078890,2006-04-17,TMAX,313
GPM00078890,2006-04-17,TMIN,249
GPM00078890,2006-03-07,TMIN,230
GPM00078890,2005-11-05,TMAX,301
GPM00078890,2006-03-02,TMIN,216
GPM00078890,2006-03-02,TMAX,297
GPM00078890,2005-11-05,TMIN,247
GPM00078890,2006-03-07,TMAX,289
GPM00078890,2005-03-14,TMIN,240
GPM00078890,2006-06-13,TMIN,233
GPM00078890,2005-12-15,TMIN,257
