ID,Date,Element,Data_Value
ASN00015664,2007-05-17,TMAX,247
ASN00015664,2009-02-05,TMAX,433
ASN00015664,2009-02-05,TMIN,282
ASN00015664,2015-07-19,TMAX,205
ASN00015664,2009-05-10,TMIN,176
ASN00015664,2007-08-13,TMIN,131
ASN00015664,2008-03-16,TMAX,423
ASN00015664,2005-10-24,TMIN,217
ASN00015664,2014-09-13,TMIN,182
ASN00015664,2014-06-15,TMAX,188
ASN00015664,2009-04-10,TMAX,340
ASN00015664,2011-08-16,TMAX,291
ASN00015664,2009-03-22,TMIN,234
ASN00015664,2010-06-30,TMAX,119
ASN00015664,2010-12-24,TMAX,391
ASN00015664,2010-06-30,TMIN,97
ASN00015664,2012-07-04,TMAX,204
ASN00015664,2007-05-17,TMIN,156
ASN00015664,2006-04-11,TMIN,224
ASN00015664,2011-02-09,TMAX,379
ASN00015664,2014-05-22,TMIN,153
ASN00015664,2009-03-22,TMAX,417
ASN00015664,2009-05-10,TMAX,278
ASN00015664,2010-07-19,TMIN,114
ASN00015664,2015-03-24,TMAX,359
ASN00015664,2013-01-13,TMAX,437
ASN00015664,2005-11-03,TMIN,196
ASN00015664,2007-09-22,TMAX,364
ASN00015664,2015-06-26,TMIN,95
ASN00015664,2008-10-03,TMIN,220
ASN00015664,2014-01-25,TMAX,388
ASN00015664,2015-08-11,TMIN,128
ASN00015664,2011-04-04,TMIN,193
ASN00015664,2006-04-30,TMIN,158
ASN00015664,2005-10-24,TMAX,378
ASN00015664,2015-08-03,TMAX,231
ASN00015664,2010-11-28,TMAX,309
ASN00015664,2007-08-18,TMAX,226
ASN00015664,2015-06-04,TMIN,167
ASN00015664,2012-10-31,TMAX,414
ASN00015664,2005-01-23,TMAX,420
ASN00015664,2006-06-20,TMIN,94
ASN00015664,2012-10-31,TMIN,220
ASN00015664,2005-11-10,TMAX,383
ASN00015664,2008-10-08,TMAX,319
ASN00015664,2015-08-28,TMIN,145
ASN00015664,2005-11-10,TMIN,251
ASN00015664,2014-09-13,TMAX,327
ASN00015664,2015-05-24,TMAX,222
ASN00015664,2011-04-04,TMAX,315
ASN00015664,2013-01-13,TMIN,297
ASN00015664,2011-08-16,TMIN,146
ASN00015664,2005-11-21,TMIN,226
ASN00015664,2007-03-28,TMAX,235
ASN00015664,2008-03-20,TMIN,271
ASN00015664,2013-05-14,TMAX,179
ASN00015664,2008-03-20,TMAX,384
ASN00015664,2006-09-09,TMIN,155
ASN00015664,2014-09-08,TMIN,141
ASN00015664,2005-04-17,TMAX,370
ASN00015664,2011-09-09,TMAX,230
ASN00015664,2007-05-29,TMIN,142
ASN00015664,2014-01-23,TMIN,238
ASN00015664,2015-08-03,TMIN,117
ASN00015664,2009-02-17,TMAX,407
ASN00015664,2015-07-04,TMIN,96
ASN00015664,2013-06-10,TMIN,169
ASN00015664,2006-06-20,TMAX,228
ASN00015664,2009-02-17,TMIN,267
ASN00015664,2008-10-09,TMIN,195
ASN00015664,2015-07-04,TMAX,228
ASN00015664,2011-09-09,TMIN,94
ASN00015664,2015-08-11,TMAX,254
ASN00015664,2015-07-19,TMIN,82
ASN00015664,2008-04-03,TMAX,332
ASN00015664,2015-08-28,TMAX,247
ASN00015664,2014-05-22,TMAX,285
ASN00015664,2007-07-16,TMAX,242
ASN00015664,2013-03-15,TMAX,390
ASN00015664,2009-01-12,TMIN,269
ASN00015664,2005-01-23,TMIN,290
ASN00015664,2013-03-15,TMIN,258
ASN00015664,2013-02-15,TMIN,266
ASN00015664,2006-11-07,TMAX,402
ASN00015664,2009-01-16,TMIN,290
ASN00015664,2005-07-28,TMAX,257
ASN00015664,2007-09-22,TMIN,173
ASN00015664,2006-06-30,TMAX,227
ASN00015664,2006-11-07,TMIN,259
ASN00015664,2014-12-05,TMAX,443
ASN00015664,2009-01-16,TMAX,416
ASN00015664,2015-03-24,TMIN,234
ASN00015664,2010-12-24,TMIN,268
ASN00015664,2014-01-25,TMIN,256
ASN00015664,2005-07-28,TMIN,142
ASN00015664,2011-06-17,TMIN,82
ASN00015664,2008-10-08,TMIN,189
ASN00015664,2007-08-18,TMIN,100
ASN00015664,2015-03-02,TMIN,291
ASN00015664,2007-08-13,TMAX,300
ASN00015664,2008-04-03,TMIN,193
ASN00015664,2006-06-30,TMIN,77
ASN00015664,2007-06-21,TMAX,154
ASN00015664,2011-02-06,TMAX,298
ASN00015664,2008-12-11,TMAX,334
ASN00015664,2007-04-02,TMAX,315
ASN00015664,2009-01-12,TMAX,418
ASN00015664,2014-12-05,TMIN,300
ASN00015664,2011-02-06,TMIN,239
ASN00015664,2015-02-02,TMIN,270
ASN00015664,2008-12-11,TMIN,227
ASN00015664,2015-02-02,TMAX,401
ASN00015664,2008-10-03,TMAX,397
ASN00015664,2007-07-16,TMIN,109
ASN00015664,2011-06-17,TMAX,229
ASN00015664,2008-05-21,TMAX,272
ASN00015664,2013-05-21,TMIN,174
ASN00015664,2011-07-31,TMAX,293
ASN00015664,2005-12-26,TMIN,268
ASN00015664,2012-09-27,TMIN,218
ASN00015664,2007-07-09,TMIN,89
ASN00015664,2009-02-20,TMAX,408
ASN00015664,2011-07-08,TMAX,235
ASN00015664,2014-05-24,TMIN,158
ASN00015664,2011-07-08,TMIN,109
ASN00015664,2007-07-09,TMAX,228
ASN00015664,2012-05-09,TMIN,141
ASN00015664,2013-02-15,TMAX,395
ASN00015664,2005-04-05,TMIN,210
ASN00015664,2012-05-09,TMAX,334
ASN00015664,2011-08-21,TMAX,269
ASN00015664,2015-03-26,TMAX,351
ASN00015664,2011-08-21,TMIN,146
ASN00015664,2005-06-29,TMAX,197
ASN00015664,2009-10-29,TMAX,398
ASN00015664,2015-03-17,TMIN,220
ASN00015664,2013-09-19,TMIN,151
ASN00015664,2006-03-24,TMIN,261
ASN00015664,2012-03-27,TMIN,215
ASN00015664,2005-04-28,TMAX,340
ASN00015664,2014-07-20,TMIN,114
ASN00015664,2006-09-13,TMIN,158
ASN00015664,2006-12-10,TMAX,411
ASN00015664,2014-09-10,TMAX,334
ASN00015664,2006-11-15,TMIN,259
ASN00015664,2014-01-19,TMAX,261
ASN00015664,2006-11-15,TMAX,378
ASN00015664,2013-10-24,TMIN,195
ASN00015664,2011-02-20,TMAX,382
ASN00015664,2014-01-17,TMIN,229
ASN00015664,2011-01-06,TMIN,289
ASN00015664,2014-01-17,TMAX,278
ASN00015664,2007-07-25,TMAX,279
ASN00015664,2005-04-18,TMAX,380
ASN00015664,2014-06-05,TMAX,217
ASN00015664,2011-09-29,TMIN,117
ASN00015664,2005-05-11,TMIN,210
ASN00015664,2006-07-10,TMAX,258
ASN00015664,2005-05-11,TMAX,300
ASN00015664,2009-12-03,TMIN,240
ASN00015664,2006-10-01,TMAX,357
ASN00015664,2015-03-26,TMIN,230
ASN00015664,2010-11-18,TMAX,331
ASN00015664,2014-07-29,TMAX,281
ASN00015664,2005-12-26,TMAX,398
ASN00015664,2010-11-08,TMIN,230
ASN00015664,2009-02-20,TMIN,267
ASN00015664,2014-01-19,TMIN,212
ASN00015664,2012-08-11,TMIN,103
ASN00015664,2014-03-01,TMAX,358
ASN00015664,2014-06-15,TMIN,71
ASN00015664,2015-12-18,TMIN,231
ASN00015664,2006-12-14,TMAX,420
ASN00015664,2011-01-19,TMAX,418
ASN00015664,2011-01-19,TMIN,286
ASN00015664,2014-10-08,TMAX,373
ASN00015664,2010-10-05,TMIN,197
ASN00015664,2008-07-21,TMAX,194
ASN00015664,2009-05-04,TMAX,270
ASN00015664,2008-04-17,TMIN,199
ASN00015664,2010-12-22,TMAX,371
ASN00015664,2015-09-21,TMIN,174
ASN00015664,2007-11-15,TMIN,243
ASN00015664,2005-04-03,TMIN,250
ASN00015664,2012-03-26,TMAX,342
ASN00015664,2006-12-14,TMIN,275
ASN00015664,2005-10-28,TMAX,411
ASN00015664,2012-10-21,TMAX,407
ASN00015664,2008-02-13,TMAX,395
ASN00015664,2012-10-21,TMIN,276
ASN00015664,2012-12-30,TMAX,420
ASN00015664,2006-10-14,TMIN,227
ASN00015664,2012-09-14,TMAX,292
ASN00015664,2006-09-13,TMAX,301
ASN00015664,2006-07-21,TMIN,116
ASN00015664,2012-12-30,TMIN,297
ASN00015664,2009-12-03,TMAX,421
ASN00015664,2010-12-25,TMAX,395
ASN00015664,2008-08-22,TMAX,195
ASN00015664,2012-03-27,TMAX,362
ASN00015664,2006-07-21,TMAX,218
ASN00015664,2007-12-02,TMIN,290
ASN00015664,2005-04-05,TMAX,360
ASN00015664,2014-09-10,TMIN,180
ASN00015664,2014-06-09,TMIN,108
ASN00015664,2006-03-24,TMAX,353
ASN00015664,2006-12-07,TMIN,272
ASN00015664,2011-09-27,TMAX,362
ASN00015664,2014-09-05,TMIN,190
ASN00015664,2014-04-19,TMIN,203
ASN00015664,2007-02-15,TMAX,415
ASN00015664,2009-01-31,TMAX,394
ASN00015664,2014-06-09,TMAX,230
ASN00015664,2015-02-08,TMIN,275
ASN00015664,2014-06-04,TMAX,237
ASN00015664,2005-10-29,TMAX,391
ASN00015664,2014-04-19,TMAX,306
ASN00015664,2012-07-26,TMAX,199
ASN00015664,2014-09-05,TMAX,295
ASN00015664,2015-05-29,TMAX,306
ASN00015664,2013-10-24,TMAX,341
ASN00015664,2012-09-27,TMAX,390
ASN00015664,2008-09-12,TMIN,162
ASN00015664,2007-11-19,TMIN,255
ASN00015664,2009-02-10,TMIN,265
ASN00015664,2009-04-03,TMAX,383
ASN00015664,2011-02-08,TMAX,371
ASN00015664,2012-05-01,TMIN,118
ASN00015664,2011-02-08,TMIN,207
ASN00015664,2005-05-12,TMAX,310
ASN00015664,2006-02-12,TMIN,284
ASN00015664,2005-04-16,TMIN,230
