ID,Date,Element,Data_Value
RSM00037004,2014-10-09,TMIN,92
RSM00037004,2014-07-25,TMIN,242
RSM00037004,2014-03-24,TMIN,51
RSM00037004,2013-10-21,TMIN,80
RSM00037004,2013-10-01,TMIN,119
RSM00037004,2013-10-24,TMIN,89
RSM00037004,2015-01-25,TMIN,38
RSM00037004,2014-05-31,TMIN,194
RSM00037004,2013-12-08,TMIN,12
RSM00037004,2014-04-17,TMIN,126
RSM00037004,2013-11-10,TMIN,60
RSM00037004,2013-05-09,TMIN,152
RSM00037004,2014-01-15,TMIN,-4
RSM00037004,2014-10-14,TMIN,160
RSM00037004,2013-08-08,TMIN,195
RSM00037004,2015-02-17,TMIN,-60
RSM00037004,2014-01-25,TMIN,-38
RSM00037004,2014-06-30,TMIN,211
RSM00037004,2014-10-15,TMIN,165
RSM00037004,2014-11-17,TMIN,85
RSM00037004,2014-06-08,TMIN,185
RSM00037004,2014-01-16,TMIN,56
RSM00037004,2014-04-28,TMIN,86
RSM00037004,2014-06-02,TMIN,185
RSM00037004,2015-01-04,TMIN,19
RSM00037004,2014-07-01,TMIN,191
RSM00037004,2014-06-16,TMIN,157
RSM00037004,2014-11-25,TMIN,4
RSM00037004,2014-01-09,TMIN,51
RSM00037004,2014-04-21,TMIN,78
RSM00037004,2015-01-15,TMIN,22
RSM00037004,2013-09-15,TMIN,139
RSM00037004,2014-03-15,TMIN,83
RSM00037004,2014-05-23,TMIN,150
RSM00037004,2013-06-28,TMIN,213
RSM00037004,2014-12-14,TMIN,73
RSM00037004,2013-06-04,TMIN,163
RSM00037004,2013-07-03,TMIN,192
RSM00037004,2014-02-19,TMIN,20
RSM00037004,2014-11-11,TMIN,107
RSM00037004,2013-11-13,TMIN,102
RSM00037004,2014-04-04,TMIN,52
RSM00037004,2013-05-17,TMIN,157
RSM00037004,2013-09-12,TMIN,166
RSM00037004,2014-06-05,TMIN,186
RSM00037004,2013-06-30,TMIN,218
RSM00037004,2013-11-23,TMIN,87
RSM00037004,2013-09-16,TMIN,165
RSM00037004,2014-07-30,TMIN,245
RSM00037004,2013-11-22,TMIN,95
RSM00037004,2015-02-05,TMIN,32
RSM00037004,2013-10-25,TMIN,78
RSM00037004,2014-11-05,TMIN,29
RSM00037004,2013-07-18,TMIN,246
RSM00037004,2014-08-18,TMIN,238
RSM00037004,2014-02-27,TMIN,75
RSM00037004,2014-02-05,TMIN,-32
RSM00037004,2014-04-10,TMIN,81
RSM00037004,2014-09-10,TMIN,173
RSM00037004,2013-07-21,TMIN,184
RSM00037004,2013-07-16,TMIN,192
