ID,Date,Element,Data_Value
CA002303986,2005-05-23,TMAX,20
CA002303986,2005-06-03,TMIN,-10
CA002303986,2005-11-04,TMIN,-60
CA002303986,2005-07-13,TMIN,100
CA002303986,2005-03-13,TMIN,-220
CA002303986,2005-05-01,TMAX,-65
CA002303986,2005-10-06,TMAX,35
CA002303986,2005-04-28,TMIN,-40
CA002303986,2005-08-08,TMIN,65
CA002303986,2005-08-10,TMAX,140
CA002303986,2005-05-30,TMAX,70
CA002303986,2005-06-22,TMIN,20
CA002303986,2005-09-30,TMIN,-15
CA002303986,2005-11-24,TMAX,-180
CA002303986,2005-05-13,TMIN,-180
CA002303986,2005-11-02,TMAX,-85
CA002303986,2005-10-19,TMIN,-70
CA002303986,2005-10-17,TMAX,30
CA002303986,2005-01-30,TMIN,-350
CA002303986,2005-06-04,TMAX,5
CA002303986,2005-08-28,TMIN,80
CA002303986,2005-10-11,TMAX,65
CA002303986,2005-11-12,TMAX,-5
CA002303986,2005-01-16,TMIN,-385
CA002303986,2005-09-07,TMAX,95
CA002303986,2005-02-22,TMIN,-360
CA002303986,2005-07-06,TMIN,65
CA002303986,2005-11-02,TMIN,-170
CA002303986,2005-12-08,TMAX,-200
CA002303986,2005-09-25,TMIN,35
CA002303986,2005-02-16,TMAX,-290
CA002303986,2005-08-08,TMAX,155
CA002303986,2005-06-03,TMAX,55
CA002303986,2005-02-27,TMIN,-310
CA002303986,2005-01-16,TMAX,-320
CA002303986,2005-09-24,TMAX,50
CA002303986,2005-07-13,TMAX,175
CA002303986,2005-11-04,TMAX,-10
CA002303986,2005-02-22,TMAX,-220
CA002303986,2005-11-03,TMAX,-20
CA002303986,2005-02-16,TMIN,-370
CA002303986,2005-01-24,TMIN,-370
CA002303986,2005-03-23,TMIN,-325
CA002303986,2005-02-18,TMAX,-275
CA002303986,2005-04-19,TMAX,-95
CA002303986,2005-07-24,TMIN,60
CA002303986,2005-03-04,TMIN,-320
CA002303986,2005-01-05,TMAX,-200
CA002303986,2005-01-27,TMAX,-180
CA002303986,2005-11-06,TMIN,-50
CA002303986,2005-01-09,TMAX,-350
CA002303986,2005-10-06,TMIN,-60
CA002303986,2005-09-27,TMIN,20
CA002303986,2005-01-11,TMAX,-270
CA002303986,2005-01-22,TMIN,-295
CA002303986,2005-05-30,TMIN,10
CA002303986,2005-07-27,TMIN,80
CA002303986,2005-06-09,TMAX,0
CA002303986,2005-05-01,TMIN,-195
CA002303986,2005-01-17,TMAX,-315
CA002303986,2005-01-17,TMIN,-330
CA002303986,2005-02-05,TMIN,-360
CA002303986,2005-01-05,TMIN,-305
CA002303986,2005-01-22,TMAX,-255
CA002303986,2005-02-19,TMAX,-290
CA002303986,2005-08-28,TMAX,130
CA002303986,2005-01-27,TMIN,-388
CA002303986,2005-02-19,TMIN,-350
CA002303986,2005-11-06,TMAX,-5
CA002303986,2005-01-24,TMAX,-320
CA002303986,2005-11-09,TMIN,-100
CA002303986,2005-04-03,TMIN,-70
CA002303986,2005-08-27,TMIN,90
CA002303986,2005-08-27,TMAX,170
CA002303986,2005-06-20,TMAX,65
CA002303986,2005-02-17,TMIN,-380
CA002303986,2005-10-09,TMAX,30
CA002303986,2005-06-18,TMIN,20
CA002303986,2005-06-20,TMIN,15
CA002303986,2005-05-15,TMAX,-75
CA002303986,2005-01-12,TMAX,-370
CA002303986,2005-03-09,TMIN,-365
CA002303986,2005-04-20,TMIN,-245
CA002303986,2005-03-20,TMAX,-95
CA002303986,2005-02-05,TMAX,-335
CA002303986,2005-02-18,TMIN,-385
CA002303986,2005-02-15,TMIN,-330
CA002303986,2005-03-23,TMAX,-240
CA002303986,2005-12-13,TMIN,-265
CA002303986,2005-03-20,TMIN,-240
CA002303986,2005-06-16,TMAX,85
CA002303986,2005-03-09,TMAX,-265
CA002303986,2005-09-05,TMIN,70
CA002303986,2005-12-13,TMAX,-205
CA002303986,2005-01-11,TMIN,-350
CA002303986,2005-09-05,TMAX,120
CA002303986,2005-05-23,TMIN,-10
CA002303986,2005-07-27,TMAX,140
CA002303986,2005-01-09,TMIN,-385
CA002303986,2005-09-07,TMIN,40
CA002303986,2005-02-15,TMAX,-280
CA002303986,2005-05-12,TMAX,10
CA002303986,2005-02-10,TMIN,-365
CA002303986,2005-04-24,TMIN,-45
CA002303986,2005-07-30,TMAX,105
CA002303986,2005-03-15,TMIN,-205
CA002303986,2005-04-07,TMAX,-90
CA002303986,2005-05-17,TMIN,-150
CA002303986,2005-09-29,TMAX,40
CA002303986,2005-03-15,TMAX,-185
CA002303986,2005-06-26,TMAX,100
CA002303986,2005-04-07,TMIN,-190
CA002303986,2005-05-31,TMAX,25
CA002303986,2005-05-04,TMIN,-155
CA002303986,2005-03-26,TMIN,-340
CA002303986,2005-12-03,TMAX,-200
CA002303986,2005-04-01,TMAX,-115
CA002303986,2005-05-03,TMIN,-100
