ID,Date,Element,Data_Value
AGM00060425,2009-11-10,TMAX,190
AGM00060425,2010-04-12,TMAX,218
AGM00060425,2015-06-13,TMAX,288
AGM00060425,2011-12-17,TMAX,150
AGM00060425,2014-03-17,TMIN,79
AGM00060425,2015-06-12,TMIN,194
AGM00060425,2011-09-27,TMAX,327
AGM00060425,2012-04-14,TMAX,174
AGM00060425,2008-07-23,TMIN,239
AGM00060425,2008-12-23,TMAX,175
AGM00060425,2008-07-23,TMAX,392
AGM00060425,2009-04-19,TMIN,103
AGM00060425,2012-07-06,TMAX,371
AGM00060425,2015-06-19,TMAX,341
AGM00060425,2008-07-25,TMAX,385
AGM00060425,2015-10-04,TMAX,345
AGM00060425,2015-06-12,TMAX,285
AGM00060425,2015-06-13,TMIN,157
AGM00060425,2007-08-17,TMAX,368
AGM00060425,2009-09-05,TMAX,377
AGM00060425,2012-07-06,TMIN,201
AGM00060425,2012-01-10,TMAX,170
AGM00060425,2012-03-09,TMAX,145
AGM00060425,2008-08-04,TMAX,414
AGM00060425,2014-01-08,TMAX,222
AGM00060425,2013-06-26,TMAX,343
AGM00060425,2010-04-12,TMIN,139
AGM00060425,2015-10-28,TMAX,234
AGM00060425,2015-06-19,TMIN,200
AGM00060425,2013-09-27,TMIN,219
AGM00060425,2014-01-08,TMIN,95
AGM00060425,2015-10-04,TMIN,189
AGM00060425,2008-12-23,TMIN,57
AGM00060425,2008-06-24,TMAX,373
AGM00060425,2015-02-17,TMAX,156
AGM00060425,2014-09-23,TMIN,185
AGM00060425,2013-09-17,TMIN,198
AGM00060425,2015-11-23,TMIN,72
AGM00060425,2009-10-20,TMAX,286
AGM00060425,2009-07-13,TMIN,249
AGM00060425,2015-11-23,TMAX,156
AGM00060425,2008-06-24,TMIN,222
AGM00060425,2009-10-20,TMIN,130
AGM00060425,2012-08-04,TMAX,414
AGM00060425,2014-11-20,TMIN,140
AGM00060425,2011-01-25,TMIN,46
AGM00060425,2009-07-13,TMAX,424
AGM00060425,2009-06-07,TMIN,165
AGM00060425,2014-11-20,TMAX,274
AGM00060425,2007-01-13,TMIN,47
AGM00060425,2008-11-11,TMIN,112
AGM00060425,2014-09-23,TMAX,305
AGM00060425,2007-02-23,TMAX,174
AGM00060425,2008-11-11,TMAX,221
AGM00060425,2015-10-12,TMAX,317
AGM00060425,2010-05-19,TMAX,294
AGM00060425,2008-02-23,TMAX,237
AGM00060425,2014-08-24,TMIN,229
AGM00060425,2014-08-24,TMAX,383
AGM00060425,2012-01-08,TMIN,50
AGM00060425,2013-09-27,TMAX,366
AGM00060425,2010-05-30,TMAX,301
AGM00060425,2009-01-16,TMIN,84
AGM00060425,2009-01-16,TMAX,167
AGM00060425,2012-01-08,TMAX,172
AGM00060425,2007-02-23,TMIN,104
AGM00060425,2010-05-30,TMIN,134
AGM00060425,2013-09-17,TMAX,321
AGM00060425,2010-02-16,TMAX,198
AGM00060425,2013-04-12,TMIN,130
AGM00060425,2008-12-15,TMIN,34
AGM00060425,2007-08-12,TMAX,392
AGM00060425,2011-10-17,TMAX,262
AGM00060425,2014-09-26,TMAX,337
AGM00060425,2010-05-19,TMIN,114
AGM00060425,2008-07-31,TMAX,377
AGM00060425,2009-06-07,TMAX,285
AGM00060425,2011-04-09,TMIN,117
AGM00060425,2009-07-21,TMAX,454
AGM00060425,2011-06-06,TMAX,240
AGM00060425,2012-10-04,TMAX,381
AGM00060425,2011-04-09,TMAX,305
AGM00060425,2007-01-13,TMAX,222
AGM00060425,2008-12-31,TMIN,89
AGM00060425,2010-10-21,TMAX,255
AGM00060425,2009-09-05,TMIN,219
AGM00060425,2009-07-21,TMIN,225
AGM00060425,2012-10-04,TMIN,214
AGM00060425,2010-10-21,TMIN,107
AGM00060425,2015-02-01,TMIN,73
AGM00060425,2014-03-17,TMAX,235
AGM00060425,2007-08-12,TMIN,224
AGM00060425,2013-12-21,TMAX,176
AGM00060425,2011-06-06,TMIN,169
AGM00060425,2014-01-29,TMIN,93
AGM00060425,2006-11-27,TMAX,225
AGM00060425,2011-10-17,TMIN,133
AGM00060425,2006-07-05,TMIN,233
AGM00060425,2006-07-26,TMAX,409
AGM00060425,2006-07-05,TMAX,364
AGM00060425,2013-10-08,TMIN,167
AGM00060425,2006-11-27,TMIN,115
AGM00060425,2013-10-08,TMAX,311
AGM00060425,2012-04-14,TMIN,91
AGM00060425,2013-12-21,TMIN,84
AGM00060425,2006-07-26,TMIN,226
AGM00060425,2008-12-31,TMAX,181
AGM00060425,2015-08-05,TMIN,259
AGM00060425,2013-03-06,TMIN,98
AGM00060425,2007-03-30,TMAX,184
AGM00060425,2014-01-16,TMIN,97
AGM00060425,2015-03-27,TMIN,66
AGM00060425,2010-04-14,TMIN,132
AGM00060425,2012-05-26,TMIN,166
AGM00060425,2012-05-26,TMAX,340
AGM00060425,2012-04-01,TMAX,227
AGM00060425,2007-03-30,TMIN,76
AGM00060425,2015-03-27,TMAX,204
AGM00060425,2012-08-24,TMIN,225
AGM00060425,2012-04-01,TMIN,128
AGM00060425,2015-06-25,TMIN,176
AGM00060425,2014-01-18,TMAX,153
AGM00060425,2011-06-30,TMAX,395
AGM00060425,2011-06-30,TMIN,232
AGM00060425,2007-09-08,TMAX,341
AGM00060425,2014-05-14,TMAX,290
AGM00060425,2014-05-14,TMIN,146
AGM00060425,2014-07-18,TMAX,448
AGM00060425,2007-09-08,TMIN,184
AGM00060425,2009-09-28,TMIN,170
AGM00060425,2014-07-18,TMIN,288
AGM00060425,2010-03-31,TMIN,79
AGM00060425,2010-03-08,TMAX,174
AGM00060425,2012-08-24,TMAX,390
AGM00060425,2015-07-22,TMAX,415
AGM00060425,2012-10-29,TMIN,73
AGM00060425,2008-05-25,TMAX,255
AGM00060425,2006-10-15,TMAX,282
AGM00060425,2008-05-25,TMIN,155
AGM00060425,2009-09-28,TMAX,239
AGM00060425,2010-01-14,TMIN,124
AGM00060425,2014-04-27,TMAX,258
AGM00060425,2013-06-20,TMAX,303
AGM00060425,2009-09-24,TMAX,266
AGM00060425,2012-10-29,TMAX,191
AGM00060425,2013-06-25,TMIN,190
AGM00060425,2010-10-03,TMIN,189
AGM00060425,2014-05-10,TMAX,325
AGM00060425,2012-06-30,TMIN,242
AGM00060425,2014-05-10,TMIN,152
AGM00060425,2009-09-24,TMIN,161
AGM00060425,2006-10-28,TMIN,170
AGM00060425,2010-06-30,TMAX,374
AGM00060425,2013-06-25,TMAX,338
AGM00060425,2015-04-08,TMIN,99
AGM00060425,2006-10-28,TMAX,339
AGM00060425,2010-10-03,TMAX,327
AGM00060425,2014-03-31,TMIN,69
AGM00060425,2014-03-31,TMAX,221
AGM00060425,2015-04-08,TMAX,257
AGM00060425,2012-12-08,TMAX,171
AGM00060425,2007-09-13,TMIN,214
AGM00060425,2007-09-13,TMAX,314
AGM00060425,2007-06-15,TMAX,305
AGM00060425,2014-01-16,TMAX,184
AGM00060425,2008-12-13,TMIN,68
AGM00060425,2007-06-15,TMIN,194
AGM00060425,2014-08-17,TMIN,213
AGM00060425,2006-10-15,TMIN,140
AGM00060425,2013-02-24,TMAX,113
AGM00060425,2013-02-24,TMIN,40
AGM00060425,2011-11-20,TMAX,213
AGM00060425,2012-08-08,TMIN,248
AGM00060425,2012-08-08,TMAX,435
AGM00060425,2006-11-22,TMAX,205
AGM00060425,2012-12-17,TMAX,195
AGM00060425,2006-11-22,TMIN,149
AGM00060425,2006-07-06,TMIN,241
AGM00060425,2007-03-07,TMIN,115
AGM00060425,2007-03-07,TMAX,186
AGM00060425,2010-04-18,TMAX,220
AGM00060425,2006-07-20,TMAX,409
AGM00060425,2006-07-20,TMIN,254
AGM00060425,2011-11-20,TMIN,140
AGM00060425,2010-07-06,TMAX,393
AGM00060425,2012-08-18,TMIN,298
AGM00060425,2010-04-18,TMIN,111
AGM00060425,2007-03-01,TMIN,99
AGM00060425,2007-03-01,TMAX,223
AGM00060425,2015-08-06,TMAX,417
AGM00060425,2011-01-08,TMAX,177
AGM00060425,2006-10-22,TMAX,305
AGM00060425,2012-08-18,TMAX,447
AGM00060425,2011-07-31,TMAX,367
AGM00060425,2015-08-06,TMIN,266
AGM00060425,2010-10-14,TMAX,248
AGM00060425,2011-04-03,TMIN,158
AGM00060425,2014-11-18,TMIN,104
AGM00060425,2010-10-19,TMIN,95
AGM00060425,2013-09-18,TMIN,187
AGM00060425,2007-04-02,TMAX,181
AGM00060425,2007-04-02,TMIN,105
AGM00060425,2010-09-05,TMAX,360
AGM00060425,2010-09-05,TMIN,210
AGM00060425,2014-06-17,TMIN,174
AGM00060425,2008-10-07,TMAX,305
AGM00060425,2014-06-17,TMAX,317
AGM00060425,2008-10-07,TMIN,164
AGM00060425,2007-08-21,TMIN,208
AGM00060425,2011-02-22,TMIN,100
AGM00060425,2011-11-19,TMAX,235
AGM00060425,2015-08-15,TMIN,175
AGM00060425,2015-08-15,TMAX,332
AGM00060425,2008-07-05,TMAX,404
AGM00060425,2008-07-05,TMIN,236
AGM00060425,2011-03-31,TMIN,86
AGM00060425,2009-08-01,TMIN,219
AGM00060425,2009-12-23,TMIN,110
AGM00060425,2007-08-21,TMAX,336
AGM00060425,2009-08-01,TMAX,372
AGM00060425,2006-10-22,TMIN,176
AGM00060425,2007-09-17,TMIN,216
AGM00060425,2011-11-28,TMIN,95
AGM00060425,2012-02-22,TMAX,124
AGM00060425,2011-11-28,TMAX,172
AGM00060425,2009-07-25,TMIN,262
AGM00060425,2008-05-11,TMAX,187
AGM00060425,2012-04-05,TMIN,80
AGM00060425,2009-07-25,TMAX,414
AGM00060425,2013-09-18,TMAX,314
AGM00060425,2009-12-23,TMAX,223
AGM00060425,2013-06-26,TMIN,167
AGM00060425,2013-06-20,TMIN,133
AGM00060425,2014-02-02,TMAX,142
AGM00060425,2008-08-15,TMAX,336
AGM00060425,2011-11-25,TMIN,112
AGM00060425,2014-12-26,TMIN,80
AGM00060425,2006-12-13,TMAX,135
AGM00060425,2009-07-08,TMAX,365
AGM00060425,2013-09-03,TMAX,320
AGM00060425,2015-12-12,TMAX,201
AGM00060425,2014-11-08,TMIN,130
AGM00060425,2009-07-08,TMIN,228
AGM00060425,2010-07-08,TMIN,234
AGM00060425,2013-08-25,TMAX,368
AGM00060425,2013-08-25,TMIN,218
AGM00060425,2015-11-27,TMIN,90
AGM00060425,2015-12-12,TMIN,88
AGM00060425,2010-08-02,TMIN,232
AGM00060425,2013-04-02,TMAX,196
AGM00060425,2012-03-15,TMIN,92
AGM00060425,2009-10-01,TMAX,272
AGM00060425,2015-12-31,TMIN,95
AGM00060425,2012-03-15,TMAX,263
AGM00060425,2010-08-02,TMAX,419
AGM00060425,2008-12-01,TMIN,79
AGM00060425,2013-12-12,TMAX,190
AGM00060425,2008-02-23,TMIN,107
AGM00060425,2013-12-12,TMIN,88
AGM00060425,2015-06-26,TMIN,183
AGM00060425,2012-08-15,TMAX,397
AGM00060425,2008-08-15,TMIN,240
AGM00060425,2012-08-15,TMIN,231
AGM00060425,2010-07-08,TMAX,453
AGM00060425,2014-04-14,TMAX,281
AGM00060425,2013-02-23,TMAX,143
AGM00060425,2009-11-13,TMIN,100
AGM00060425,2007-03-29,TMIN,82
AGM00060425,2007-03-29,TMAX,121
AGM00060425,2010-09-14,TMAX,326
AGM00060425,2012-03-24,TMAX,192
AGM00060425,2007-03-02,TMAX,229
AGM00060425,2009-11-13,TMAX,268
AGM00060425,2012-03-25,TMAX,210
AGM00060425,2007-10-24,TMIN,156
AGM00060425,2014-06-18,TMIN,179
AGM00060425,2008-10-10,TMIN,185
AGM00060425,2012-07-08,TMIN,225
AGM00060425,2008-07-11,TMIN,240
AGM00060425,2008-07-11,TMAX,397
AGM00060425,2015-04-07,TMAX,204
AGM00060425,2012-07-08,TMAX,365
AGM00060425,2012-03-24,TMIN,135
AGM00060425,2011-05-09,TMAX,275
AGM00060425,2013-09-03,TMIN,196
AGM00060425,2015-04-07,TMIN,108
