ID,Date,Element,Data_Value
ASN00015652,2015-03-01,TMAX,389
ASN00015652,2009-07-09,TMIN,90
ASN00015652,2015-12-18,TMIN,229
ASN00015652,2011-09-05,TMAX,309
ASN00015652,2006-07-24,TMIN,60
ASN00015652,2006-08-09,TMIN,99
ASN00015652,2006-08-09,TMAX,249
ASN00015652,2006-08-10,TMIN,105
ASN00015652,2012-11-03,TMIN,185
ASN00015652,2006-08-10,TMAX,239
ASN00015652,2015-01-29,TMIN,198
ASN00015652,2009-08-03,TMAX,234
ASN00015652,2010-05-06,TMAX,239
ASN00015652,2007-06-11,TMIN,25
ASN00015652,2015-10-04,TMAX,345
ASN00015652,2009-06-21,TMIN,92
ASN00015652,2015-10-04,TMIN,209
ASN00015652,2006-02-17,TMIN,235
ASN00015652,2005-11-25,TMAX,420
ASN00015652,2011-09-13,TMAX,275
ASN00015652,2009-04-16,TMIN,224
ASN00015652,2009-08-03,TMIN,60
ASN00015652,2007-03-03,TMIN,285
ASN00015652,2009-11-29,TMIN,156
ASN00015652,2014-11-05,TMIN,225
ASN00015652,2008-01-31,TMAX,395
ASN00015652,2010-08-14,TMAX,214
ASN00015652,2007-10-12,TMAX,288
ASN00015652,2010-08-14,TMIN,98
ASN00015652,2005-09-28,TMAX,335
ASN00015652,2012-11-02,TMAX,360
ASN00015652,2009-06-23,TMIN,0
ASN00015652,2014-10-27,TMIN,262
ASN00015652,2006-07-24,TMAX,195
ASN00015652,2015-12-18,TMAX,363
ASN00015652,2014-11-05,TMAX,375
ASN00015652,2007-10-27,TMAX,380
ASN00015652,2014-12-11,TMIN,230
ASN00015652,2007-08-05,TMAX,195
ASN00015652,2007-06-11,TMAX,215
ASN00015652,2011-09-13,TMIN,39
ASN00015652,2014-12-13,TMIN,225
ASN00015652,2012-08-01,TMAX,224
ASN00015652,2012-08-01,TMIN,60
ASN00015652,2006-03-06,TMIN,209
ASN00015652,2011-09-05,TMIN,159
ASN00015652,2006-06-18,TMIN,83
ASN00015652,2006-02-14,TMAX,398
ASN00015652,2015-06-05,TMAX,252
ASN00015652,2005-11-25,TMIN,219
ASN00015652,2006-03-06,TMAX,360
ASN00015652,2009-01-31,TMAX,360
ASN00015652,2007-12-13,TMAX,370
ASN00015652,2014-10-27,TMAX,355
ASN00015652,2009-12-12,TMAX,318
ASN00015652,2015-06-13,TMIN,125
ASN00015652,2006-04-26,TMAX,337
ASN00015652,2009-11-15,TMIN,278
ASN00015652,2010-01-21,TMIN,235
ASN00015652,2011-10-29,TMIN,196
ASN00015652,2010-02-19,TMIN,197
ASN00015652,2012-10-04,TMAX,354
