ID,Date,Element,Data_Value
AGM00060602,2011-04-04,TMAX,323
AGM00060602,2005-03-07,TMIN,87
AGM00060602,2015-07-04,TMAX,404
AGM00060602,2005-05-25,TMIN,260
AGM00060602,2010-07-25,TMIN,310
AGM00060602,2015-05-27,TMAX,354
AGM00060602,2009-09-05,TMIN,280
AGM00060602,2014-10-02,TMIN,268
AGM00060602,2008-05-25,TMIN,229
AGM00060602,2014-01-22,TMIN,41
AGM00060602,2014-01-11,TMAX,223
AGM00060602,2010-07-08,TMAX,430
AGM00060602,2012-09-23,TMAX,392
AGM00060602,2012-08-27,TMAX,442
AGM00060602,2008-08-28,TMAX,390
AGM00060602,2007-10-08,TMAX,358
AGM00060602,2010-05-08,TMIN,198
AGM00060602,2010-10-01,TMAX,343
AGM00060602,2008-02-17,TMAX,203
AGM00060602,2015-11-09,TMAX,243
AGM00060602,2015-11-09,TMIN,153
AGM00060602,2011-12-17,TMIN,65
AGM00060602,2006-10-25,TMAX,335
AGM00060602,2010-07-25,TMAX,478
AGM00060602,2006-10-25,TMIN,185
AGM00060602,2005-10-01,TMIN,196
AGM00060602,2007-03-26,TMAX,268
AGM00060602,2011-05-08,TMIN,225
AGM00060602,2009-02-17,TMAX,196
AGM00060602,2013-03-25,TMAX,268
AGM00060602,2015-04-08,TMAX,253
AGM00060602,2011-03-19,TMAX,228
AGM00060602,2011-01-27,TMIN,101
AGM00060602,2011-03-19,TMIN,100
AGM00060602,2015-03-13,TMAX,278
AGM00060602,2013-06-21,TMAX,420
AGM00060602,2012-05-03,TMAX,326
AGM00060602,2013-02-25,TMIN,80
AGM00060602,2015-02-24,TMAX,253
AGM00060602,2011-10-27,TMIN,168
AGM00060602,2008-06-03,TMIN,236
AGM00060602,2005-06-20,TMIN,268
AGM00060602,2011-10-27,TMAX,308
AGM00060602,2012-05-06,TMAX,343
AGM00060602,2005-06-06,TMAX,416
AGM00060602,2005-06-20,TMAX,389
AGM00060602,2011-12-17,TMAX,230
AGM00060602,2012-05-02,TMIN,211
AGM00060602,2005-05-25,TMAX,416
AGM00060602,2006-03-04,TMAX,269
AGM00060602,2010-07-23,TMIN,340
AGM00060602,2009-01-24,TMIN,76
AGM00060602,2009-11-30,TMIN,126
AGM00060602,2009-09-07,TMAX,356
AGM00060602,2010-07-19,TMIN,343
AGM00060602,2007-03-26,TMIN,132
AGM00060602,2010-11-05,TMAX,226
AGM00060602,2015-01-02,TMAX,127
AGM00060602,2009-07-18,TMAX,428
AGM00060602,2008-10-22,TMIN,151
AGM00060602,2014-09-18,TMAX,404
AGM00060602,2009-04-30,TMIN,160
AGM00060602,2008-06-30,TMIN,281
AGM00060602,2007-01-14,TMAX,188
AGM00060602,2008-02-21,TMIN,131
AGM00060602,2005-04-27,TMAX,365
AGM00060602,2014-01-11,TMIN,136
AGM00060602,2007-07-01,TMAX,455
AGM00060602,2008-09-07,TMAX,411
AGM00060602,2010-04-17,TMIN,187
AGM00060602,2015-02-24,TMIN,90
AGM00060602,2008-02-21,TMAX,249
AGM00060602,2014-10-02,TMAX,340
AGM00060602,2015-09-18,TMAX,409
AGM00060602,2014-04-06,TMAX,294
AGM00060602,2015-03-23,TMAX,255
AGM00060602,2010-05-08,TMAX,332
AGM00060602,2012-06-13,TMIN,305
AGM00060602,2014-11-27,TMAX,214
AGM00060602,2012-11-27,TMAX,244
AGM00060602,2011-07-10,TMIN,320
AGM00060602,2006-01-12,TMAX,149
AGM00060602,2010-01-11,TMIN,65
AGM00060602,2006-11-17,TMIN,139
AGM00060602,2015-07-04,TMIN,290
AGM00060602,2005-04-05,TMAX,277
AGM00060602,2009-02-18,TMAX,205
AGM00060602,2014-09-13,TMIN,280
AGM00060602,2015-03-31,TMAX,300
AGM00060602,2014-10-17,TMIN,170
AGM00060602,2010-11-29,TMIN,158
AGM00060602,2010-02-04,TMIN,133
AGM00060602,2008-10-07,TMAX,318
AGM00060602,2014-04-26,TMIN,190
AGM00060602,2006-07-24,TMAX,415
AGM00060602,2010-05-01,TMAX,348
AGM00060602,2012-06-13,TMAX,444
AGM00060602,2013-12-10,TMAX,170
AGM00060602,2009-03-28,TMIN,146
AGM00060602,2005-12-01,TMIN,57
AGM00060602,2015-09-10,TMAX,375
AGM00060602,2008-04-14,TMIN,148
AGM00060602,2006-03-05,TMIN,140
AGM00060602,2006-11-28,TMAX,210
AGM00060602,2010-05-15,TMIN,128
AGM00060602,2008-05-25,TMAX,395
AGM00060602,2008-04-04,TMAX,282
AGM00060602,2015-09-10,TMIN,251
AGM00060602,2007-11-10,TMAX,236
AGM00060602,2012-12-31,TMIN,57
AGM00060602,2005-08-01,TMIN,293
AGM00060602,2015-01-02,TMIN,40
AGM00060602,2010-11-18,TMAX,270
AGM00060602,2012-05-03,TMIN,178
AGM00060602,2006-03-05,TMAX,282
AGM00060602,2011-03-13,TMAX,233
AGM00060602,2010-05-15,TMAX,283
AGM00060602,2009-09-02,TMIN,289
AGM00060602,2007-10-08,TMIN,215
AGM00060602,2007-01-09,TMAX,194
AGM00060602,2010-07-17,TMIN,332
AGM00060602,2010-05-01,TMIN,207
AGM00060602,2007-01-09,TMIN,29
AGM00060602,2009-09-05,TMAX,409
AGM00060602,2005-06-06,TMIN,282
AGM00060602,2010-01-11,TMAX,197
AGM00060602,2007-01-07,TMAX,188
AGM00060602,2010-08-24,TMIN,311
AGM00060602,2012-09-23,TMIN,274
AGM00060602,2010-11-01,TMIN,168
AGM00060602,2014-12-12,TMAX,151
AGM00060602,2014-02-19,TMAX,174
AGM00060602,2014-02-19,TMIN,97
AGM00060602,2007-01-07,TMIN,36
AGM00060602,2012-11-27,TMIN,104
AGM00060602,2014-03-06,TMAX,220
AGM00060602,2005-12-14,TMAX,168
AGM00060602,2009-07-16,TMIN,304
AGM00060602,2007-07-01,TMIN,294
AGM00060602,2015-06-24,TMAX,417
AGM00060602,2015-05-15,TMIN,236
AGM00060602,2009-02-15,TMAX,241
AGM00060602,2010-11-01,TMAX,233
AGM00060602,2005-10-01,TMAX,336
AGM00060602,2013-12-10,TMIN,64
AGM00060602,2013-02-25,TMAX,225
AGM00060602,2014-09-13,TMAX,426
AGM00060602,2007-01-14,TMIN,35
AGM00060602,2013-02-24,TMAX,200
AGM00060602,2015-06-24,TMIN,279
AGM00060602,2011-05-08,TMAX,343
AGM00060602,2006-10-02,TMAX,370
AGM00060602,2011-03-13,TMIN,123
AGM00060602,2014-01-29,TMAX,234
AGM00060602,2015-09-19,TMAX,402
AGM00060602,2005-04-05,TMIN,170
AGM00060602,2008-04-14,TMAX,264
AGM00060602,2009-04-30,TMAX,323
AGM00060602,2014-09-18,TMIN,308
AGM00060602,2008-10-22,TMAX,265
AGM00060602,2005-12-14,TMIN,32
AGM00060602,2015-04-04,TMAX,344
AGM00060602,2010-02-04,TMAX,255
AGM00060602,2010-12-06,TMAX,242
AGM00060602,2007-01-13,TMAX,203
AGM00060602,2010-10-01,TMIN,210
AGM00060602,2010-12-27,TMAX,199
AGM00060602,2009-05-03,TMIN,165
AGM00060602,2012-04-13,TMIN,110
AGM00060602,2013-11-20,TMAX,230
AGM00060602,2006-11-04,TMAX,335
AGM00060602,2012-08-21,TMAX,412
AGM00060602,2009-06-15,TMIN,238
AGM00060602,2006-04-13,TMIN,224
AGM00060602,2012-08-21,TMIN,310
AGM00060602,2013-01-30,TMAX,225
AGM00060602,2008-06-25,TMAX,423
AGM00060602,2014-01-25,TMIN,35
AGM00060602,2008-06-25,TMIN,280
AGM00060602,2011-04-04,TMIN,167
AGM00060602,2012-04-13,TMAX,255
AGM00060602,2006-05-08,TMAX,345
AGM00060602,2013-02-24,TMIN,110
AGM00060602,2015-05-27,TMIN,220
AGM00060602,2007-01-29,TMAX,200
AGM00060602,2007-08-18,TMAX,435
AGM00060602,2014-05-11,TMIN,258
AGM00060602,2010-05-05,TMAX,287
AGM00060602,2009-10-17,TMIN,192
AGM00060602,2013-11-20,TMIN,77
AGM00060602,2006-12-13,TMIN,60
AGM00060602,2011-01-03,TMIN,51
AGM00060602,2009-01-11,TMAX,122
AGM00060602,2010-04-17,TMAX,295
