ID,Date,Element,Data_Value
RSM00022887,2009-06-07,TMIN,54
RSM00022887,2006-08-03,TMAX,167
RSM00022887,2009-06-07,TMAX,191
RSM00022887,2011-11-29,TMAX,13
RSM00022887,2010-06-28,TMIN,148
RSM00022887,2009-12-14,TMAX,-266
RSM00022887,2015-04-30,TMAX,204
RSM00022887,2005-02-05,TMIN,-151
RSM00022887,2011-04-27,TMAX,206
RSM00022887,2005-11-17,TMIN,6
RSM00022887,2011-02-20,TMIN,-324
RSM00022887,2015-07-24,TMAX,217
RSM00022887,2006-09-03,TMAX,184
RSM00022887,2005-11-17,TMAX,54
RSM00022887,2006-12-09,TMAX,34
RSM00022887,2006-09-03,TMIN,127
RSM00022887,2012-10-20,TMAX,104
RSM00022887,2012-10-18,TMIN,78
RSM00022887,2005-07-28,TMIN,192
RSM00022887,2012-10-10,TMIN,44
RSM00022887,2009-01-24,TMIN,-14
RSM00022887,2013-04-23,TMIN,5
RSM00022887,2012-10-10,TMAX,120
RSM00022887,2012-10-18,TMAX,126
RSM00022887,2015-04-12,TMIN,-14
RSM00022887,2007-11-15,TMAX,-20
RSM00022887,2011-08-20,TMAX,160
RSM00022887,2012-12-10,TMAX,-93
RSM00022887,2013-04-14,TMIN,-73
RSM00022887,2009-09-20,TMIN,24
RSM00022887,2012-07-13,TMIN,174
RSM00022887,2015-10-19,TMAX,22
RSM00022887,2011-08-20,TMIN,5
RSM00022887,2013-09-03,TMIN,93
RSM00022887,2009-12-14,TMIN,-336
RSM00022887,2006-06-18,TMAX,243
RSM00022887,2006-04-16,TMIN,1
RSM00022887,2011-09-07,TMIN,60
RSM00022887,2007-03-10,TMIN,-38
RSM00022887,2005-03-30,TMAX,-54
RSM00022887,2009-08-03,TMIN,107
RSM00022887,2012-07-29,TMIN,49
RSM00022887,2012-07-29,TMAX,215
RSM00022887,2007-01-05,TMAX,8
RSM00022887,2010-09-27,TMAX,109
RSM00022887,2010-09-25,TMAX,164
RSM00022887,2007-12-26,TMIN,-7
RSM00022887,2013-01-08,TMAX,-135
RSM00022887,2007-07-16,TMAX,246
RSM00022887,2010-09-27,TMIN,9
RSM00022887,2013-11-12,TMAX,42
RSM00022887,2008-10-06,TMIN,65
RSM00022887,2009-06-01,TMIN,104
RSM00022887,2006-04-16,TMAX,94
RSM00022887,2008-08-25,TMAX,182
RSM00022887,2010-07-16,TMIN,173
RSM00022887,2013-10-04,TMAX,58
RSM00022887,2007-09-21,TMAX,131
RSM00022887,2007-09-21,TMIN,78
RSM00022887,2007-07-16,TMIN,155
RSM00022887,2005-01-29,TMAX,-133
RSM00022887,2005-01-06,TMIN,-51
RSM00022887,2010-09-25,TMIN,21
RSM00022887,2012-06-17,TMAX,211
RSM00022887,2013-04-23,TMAX,64
RSM00022887,2005-09-23,TMAX,146
RSM00022887,2013-04-26,TMIN,27
RSM00022887,2013-04-14,TMAX,125
RSM00022887,2007-12-28,TMAX,-1
RSM00022887,2011-09-09,TMAX,174
RSM00022887,2012-10-20,TMIN,58
RSM00022887,2007-11-15,TMIN,-99
RSM00022887,2013-04-26,TMAX,88
RSM00022887,2011-09-09,TMIN,119
RSM00022887,2008-03-10,TMAX,-16
RSM00022887,2005-05-22,TMAX,167
RSM00022887,2011-09-07,TMAX,181
RSM00022887,2015-12-17,TMIN,-137
RSM00022887,2015-04-15,TMAX,103
RSM00022887,2006-08-03,TMIN,96
RSM00022887,2013-10-11,TMAX,109
RSM00022887,2012-12-10,TMIN,-110
RSM00022887,2007-03-10,TMAX,-7
RSM00022887,2010-11-02,TMIN,35
RSM00022887,2010-06-28,TMAX,314
RSM00022887,2008-03-10,TMIN,-238
RSM00022887,2013-10-04,TMIN,1
RSM00022887,2012-06-17,TMIN,97
RSM00022887,2011-04-27,TMIN,58
RSM00022887,2011-04-10,TMIN,9
RSM00022887,2005-07-27,TMIN,174
RSM00022887,2005-07-20,TMIN,150
RSM00022887,2012-01-02,TMAX,-16
RSM00022887,2005-01-09,TMIN,-45
RSM00022887,2006-11-30,TMAX,-12
RSM00022887,2005-11-11,TMAX,42
RSM00022887,2012-10-21,TMIN,-3
RSM00022887,2006-03-11,TMIN,-227
RSM00022887,2009-04-13,TMIN,-40
RSM00022887,2007-03-05,TMIN,-21
RSM00022887,2006-11-09,TMAX,-33
RSM00022887,2008-04-15,TMIN,-74
RSM00022887,2011-01-23,TMAX,-218
RSM00022887,2012-09-05,TMAX,159
RSM00022887,2012-09-08,TMAX,128
RSM00022887,2007-06-19,TMIN,114
RSM00022887,2011-09-10,TMAX,187
RSM00022887,2010-05-19,TMAX,242
RSM00022887,2011-09-10,TMIN,64
RSM00022887,2012-09-08,TMIN,79
RSM00022887,2007-12-11,TMAX,-4
RSM00022887,2010-05-19,TMIN,4
RSM00022887,2006-10-20,TMIN,-54
RSM00022887,2006-06-18,TMIN,97
RSM00022887,2007-06-19,TMAX,173
RSM00022887,2005-11-28,TMIN,-46
RSM00022887,2013-01-29,TMAX,-54
RSM00022887,2012-12-26,TMAX,-89
RSM00022887,2011-01-23,TMIN,-355
RSM00022887,2006-06-20,TMIN,117
RSM00022887,2012-11-14,TMAX,10
RSM00022887,2005-11-11,TMIN,24
RSM00022887,2009-01-21,TMAX,-157
RSM00022887,2014-08-05,TMAX,246
RSM00022887,2006-11-30,TMIN,-42
RSM00022887,2007-06-21,TMAX,166
RSM00022887,2014-08-05,TMIN,92
RSM00022887,2005-03-30,TMIN,-181
RSM00022887,2009-11-22,TMAX,4
RSM00022887,2009-01-21,TMIN,-242
RSM00022887,2013-09-03,TMAX,133
RSM00022887,2006-03-11,TMAX,-37
RSM00022887,2013-07-22,TMAX,292
RSM00022887,2005-04-17,TMAX,88
RSM00022887,2005-07-20,TMAX,302
RSM00022887,2011-02-08,TMIN,-301
RSM00022887,2009-09-19,TMAX,82
RSM00022887,2007-06-21,TMIN,91
RSM00022887,2013-06-11,TMAX,260
RSM00022887,2006-05-26,TMAX,147
RSM00022887,2008-12-07,TMIN,3
RSM00022887,2013-06-11,TMIN,120
RSM00022887,2011-02-08,TMAX,-189
RSM00022887,2008-09-09,TMAX,107
RSM00022887,2009-03-21,TMIN,-27
RSM00022887,2009-11-26,TMAX,-6
RSM00022887,2007-03-15,TMAX,18
RSM00022887,2012-10-21,TMAX,64
RSM00022887,2008-04-15,TMAX,51
RSM00022887,2012-01-02,TMIN,-97
RSM00022887,2008-09-09,TMIN,28
