ID,Date,Element,Data_Value
AR000087803,2014-03-24,TMIN,-16
AR000087803,2005-02-15,TMIN,106
AR000087803,2015-02-10,TMIN,79
AR000087803,2012-09-10,TMIN,-36
AR000087803,2012-09-10,TMAX,147
AR000087803,2012-07-14,TMAX,90
AR000087803,2013-04-26,TMIN,-18
AR000087803,2012-09-20,TMAX,110
AR000087803,2012-02-14,TMAX,215
AR000087803,2010-10-06,TMIN,7
AR000087803,2012-01-10,TMIN,53
AR000087803,2006-04-23,TMIN,20
AR000087803,2011-10-22,TMIN,-18
AR000087803,2005-04-08,TMIN,46
AR000087803,2007-05-15,TMIN,24
AR000087803,2013-10-08,TMIN,62
AR000087803,2006-07-31,TMIN,-100
AR000087803,2015-11-28,TMIN,62
AR000087803,2015-06-26,TMIN,38
AR000087803,2012-07-14,TMIN,-62
AR000087803,2015-12-28,TMAX,229
AR000087803,2012-02-14,TMIN,19
AR000087803,2013-10-08,TMAX,212
AR000087803,2012-01-06,TMIN,116
AR000087803,2007-05-15,TMAX,100
AR000087803,2005-08-20,TMIN,-75
AR000087803,2011-05-10,TMIN,62
AR000087803,2007-01-02,TMIN,26
AR000087803,2005-09-07,TMIN,38
AR000087803,2011-09-28,TMAX,122
AR000087803,2011-09-28,TMIN,34
AR000087803,2015-12-28,TMIN,145
AR000087803,2006-10-24,TMIN,8
AR000087803,2015-08-11,TMIN,-34
AR000087803,2011-10-01,TMIN,16
AR000087803,2008-01-08,TMIN,115
AR000087803,2011-03-16,TMAX,142
AR000087803,2011-03-16,TMIN,22
AR000087803,2015-06-26,TMAX,116
AR000087803,2006-10-08,TMAX,145
AR000087803,2006-03-14,TMAX,142
AR000087803,2007-10-04,TMIN,25
AR000087803,2006-03-14,TMIN,10
AR000087803,2013-04-07,TMIN,67
AR000087803,2005-09-07,TMAX,116
AR000087803,2015-11-01,TMIN,-2
AR000087803,2007-07-01,TMIN,-40
AR000087803,2008-06-12,TMIN,20
AR000087803,2006-03-10,TMIN,6
AR000087803,2008-10-08,TMAX,193
AR000087803,2013-12-17,TMIN,116
AR000087803,2013-12-17,TMAX,294
AR000087803,2013-01-16,TMIN,169
AR000087803,2015-10-02,TMIN,17
AR000087803,2013-06-07,TMAX,130
AR000087803,2015-02-02,TMIN,92
AR000087803,2008-08-07,TMIN,-20
AR000087803,2011-11-02,TMIN,65
AR000087803,2010-09-22,TMIN,17
AR000087803,2015-03-24,TMAX,230
AR000087803,2012-09-20,TMIN,17
AR000087803,2008-01-08,TMAX,210
AR000087803,2012-01-10,TMAX,214
AR000087803,2015-09-18,TMIN,6
AR000087803,2006-10-08,TMIN,64
AR000087803,2010-05-10,TMIN,-15
AR000087803,2010-08-16,TMIN,-58
AR000087803,2011-05-10,TMAX,150
AR000087803,2012-08-24,TMIN,-40
AR000087803,2005-03-31,TMIN,43
AR000087803,2012-04-18,TMIN,83
AR000087803,2011-07-07,TMIN,-21
AR000087803,2012-07-07,TMIN,-63
AR000087803,2010-06-26,TMIN,-58
AR000087803,2005-03-31,TMAX,179
AR000087803,2012-04-18,TMAX,144
AR000087803,2011-12-24,TMIN,23
AR000087803,2007-09-10,TMIN,0
AR000087803,2012-08-24,TMAX,65
AR000087803,2012-03-10,TMIN,42
AR000087803,2005-08-22,TMIN,-6
AR000087803,2011-03-10,TMIN,116
AR000087803,2007-07-26,TMIN,61
AR000087803,2007-11-06,TMIN,-11
AR000087803,2015-06-11,TMIN,22
AR000087803,2015-06-11,TMAX,70
AR000087803,2015-12-11,TMIN,108
AR000087803,2014-03-17,TMIN,36
AR000087803,2011-07-28,TMIN,-27
AR000087803,2007-12-20,TMIN,107
AR000087803,2006-10-30,TMAX,113
AR000087803,2015-03-11,TMIN,78
AR000087803,2009-06-10,TMAX,80
AR000087803,2014-02-14,TMIN,86
AR000087803,2010-04-19,TMAX,100
AR000087803,2005-09-27,TMIN,38
AR000087803,2013-09-13,TMIN,-48
AR000087803,2015-06-22,TMAX,105
AR000087803,2008-09-06,TMIN,-12
AR000087803,2013-09-02,TMIN,1
AR000087803,2013-09-02,TMAX,78
AR000087803,2007-12-27,TMAX,336
AR000087803,2014-06-25,TMIN,-11
AR000087803,2013-07-28,TMIN,-71
AR000087803,2010-11-07,TMAX,186
AR000087803,2010-11-07,TMIN,31
AR000087803,2007-12-20,TMAX,238
AR000087803,2007-09-10,TMAX,125
AR000087803,2015-06-22,TMIN,-83
AR000087803,2013-12-05,TMIN,57
AR000087803,2006-03-20,TMIN,10
AR000087803,2007-11-06,TMAX,135
AR000087803,2007-06-07,TMAX,115
AR000087803,2005-09-27,TMAX,197
AR000087803,2015-04-12,TMAX,205
AR000087803,2014-08-06,TMIN,12
AR000087803,2005-03-17,TMAX,152
AR000087803,2007-05-22,TMAX,101
AR000087803,2008-09-28,TMIN,-18
AR000087803,2007-07-26,TMAX,120
AR000087803,2005-03-17,TMIN,46
AR000087803,2011-03-10,TMAX,210
AR000087803,2006-12-13,TMIN,70
AR000087803,2007-06-08,TMIN,-28
AR000087803,2007-06-08,TMAX,58
AR000087803,2006-08-08,TMIN,13
AR000087803,2013-05-12,TMAX,128
AR000087803,2015-10-22,TMIN,2
AR000087803,2013-05-14,TMAX,73
AR000087803,2014-03-12,TMIN,80
AR000087803,2012-06-26,TMIN,-12
AR000087803,2005-10-07,TMAX,160
AR000087803,2011-05-13,TMAX,126
AR000087803,2012-10-23,TMIN,33
AR000087803,2015-04-12,TMIN,8
AR000087803,2012-10-23,TMAX,150
AR000087803,2012-01-31,TMIN,80
AR000087803,2006-12-30,TMIN,100
AR000087803,2013-10-05,TMIN,-8
AR000087803,2015-12-11,TMAX,175
AR000087803,2011-07-28,TMAX,54
AR000087803,2015-10-22,TMAX,125
AR000087803,2012-05-18,TMIN,-94
AR000087803,2014-07-03,TMIN,-28
AR000087803,2011-01-03,TMAX,286
AR000087803,2012-05-18,TMAX,73
AR000087803,2014-11-30,TMIN,40
AR000087803,2009-05-20,TMIN,38
AR000087803,2012-10-26,TMIN,58
AR000087803,2015-10-07,TMIN,2
AR000087803,2007-06-07,TMIN,-25
AR000087803,2015-10-07,TMAX,81
AR000087803,2012-10-26,TMAX,136
AR000087803,2006-12-13,TMAX,179
AR000087803,2013-04-01,TMIN,19
AR000087803,2007-05-22,TMIN,26
AR000087803,2012-08-28,TMIN,4
AR000087803,2011-01-03,TMIN,112
AR000087803,2006-11-12,TMAX,250
AR000087803,2006-11-12,TMIN,80
AR000087803,2006-10-30,TMIN,42
AR000087803,2011-11-07,TMAX,205
AR000087803,2011-05-17,TMAX,120
AR000087803,2005-02-01,TMIN,70
AR000087803,2013-07-02,TMAX,128
AR000087803,2014-12-29,TMIN,123
AR000087803,2011-05-17,TMIN,-29
AR000087803,2011-04-25,TMIN,34
AR000087803,2011-11-07,TMIN,62
AR000087803,2010-12-19,TMIN,45
AR000087803,2006-08-31,TMIN,5
AR000087803,2006-11-21,TMAX,175
AR000087803,2011-03-17,TMIN,49
AR000087803,2015-03-18,TMIN,34
AR000087803,2010-10-12,TMAX,225
AR000087803,2014-12-29,TMAX,229
AR000087803,2014-12-02,TMIN,26
AR000087803,2007-08-18,TMAX,70
AR000087803,2007-07-20,TMIN,-8
AR000087803,2006-11-21,TMIN,40
