ID,Date,Element,Data_Value
MGM00044336,2010-10-19,TMIN,-70
MGM00044336,2013-04-28,TMAX,200
MGM00044336,2010-10-19,TMAX,127
MGM00044336,2015-09-28,TMIN,-13
MGM00044336,2005-06-02,TMIN,134
MGM00044336,2005-04-23,TMIN,-10
MGM00044336,2010-09-21,TMAX,140
MGM00044336,2006-07-15,TMAX,314
MGM00044336,2013-07-15,TMAX,258
MGM00044336,2014-01-14,TMAX,-63
MGM00044336,2006-06-25,TMAX,300
MGM00044336,2009-12-15,TMAX,-204
MGM00044336,2009-06-04,TMAX,293
MGM00044336,2008-03-26,TMAX,133
MGM00044336,2007-10-10,TMIN,-54
MGM00044336,2009-06-04,TMIN,107
MGM00044336,2012-01-07,TMIN,-299
MGM00044336,2013-02-11,TMAX,-150
MGM00044336,2008-03-26,TMIN,-30
MGM00044336,2006-11-19,TMIN,-110
MGM00044336,2007-03-03,TMAX,-66
MGM00044336,2010-11-10,TMAX,-14
MGM00044336,2005-09-19,TMIN,-16
MGM00044336,2015-08-25,TMAX,292
MGM00044336,2015-05-23,TMAX,288
MGM00044336,2015-12-27,TMIN,-271
MGM00044336,2009-07-20,TMIN,137
MGM00044336,2006-11-26,TMAX,-49
MGM00044336,2008-05-12,TMIN,70
MGM00044336,2007-11-14,TMIN,-151
MGM00044336,2008-05-12,TMAX,235
MGM00044336,2006-07-15,TMIN,198
MGM00044336,2010-04-13,TMAX,32
MGM00044336,2015-01-27,TMIN,-286
MGM00044336,2012-06-13,TMAX,216
MGM00044336,2015-04-06,TMAX,19
MGM00044336,2006-06-25,TMIN,150
MGM00044336,2009-02-05,TMIN,-135
MGM00044336,2012-05-12,TMIN,-40
MGM00044336,2009-12-15,TMIN,-330
MGM00044336,2009-01-24,TMIN,-283
MGM00044336,2015-08-25,TMIN,123
MGM00044336,2015-06-20,TMIN,161
MGM00044336,2009-01-24,TMAX,-82
MGM00044336,2011-07-01,TMAX,240
MGM00044336,2007-08-03,TMIN,132
MGM00044336,2005-09-19,TMAX,115
MGM00044336,2008-01-08,TMAX,-98
MGM00044336,2007-10-10,TMAX,122
MGM00044336,2007-08-03,TMAX,258
MGM00044336,2012-08-16,TMAX,281
MGM00044336,2015-01-27,TMAX,-101
MGM00044336,2012-02-25,TMAX,-39
