ID,Date,Element,Data_Value
NLE00113688,2014-12-18,TMAX,116
NLE00113688,2014-01-28,TMAX,75
NLE00113688,2010-02-10,TMIN,-12
NLE00113688,2012-01-13,TMIN,50
NLE00113688,2013-11-21,TMIN,53
NLE00113688,2014-08-26,TMAX,153
NLE00113688,2013-07-06,TMIN,145
NLE00113688,2009-01-31,TMIN,18
NLE00113688,2011-07-29,TMAX,153
NLE00113688,2011-09-26,TMAX,168
NLE00113688,2012-02-24,TMAX,98
NLE00113688,2011-09-01,TMAX,141
NLE00113688,2015-04-27,TMAX,78
NLE00113688,2013-11-21,TMAX,80
NLE00113688,2010-03-29,TMAX,70
NLE00113688,2008-05-27,TMIN,106
NLE00113688,2013-08-06,TMAX,179
NLE00113688,2008-03-19,TMAX,65
NLE00113688,2012-02-29,TMAX,79
NLE00113688,2014-01-27,TMAX,72
NLE00113688,2009-02-04,TMIN,19
NLE00113688,2015-06-03,TMAX,123
NLE00113688,2011-09-07,TMAX,158
NLE00113688,2014-02-13,TMAX,78
NLE00113688,2012-04-04,TMAX,61
NLE00113688,2011-09-01,TMIN,122
NLE00113688,2012-05-20,TMAX,104
NLE00113688,2015-09-30,TMIN,147
NLE00113688,2008-05-27,TMAX,138
NLE00113688,2012-02-28,TMAX,85
NLE00113688,2014-01-21,TMIN,45
NLE00113688,2014-08-14,TMAX,172
NLE00113688,2011-09-07,TMIN,138
NLE00113688,2012-02-28,TMIN,66
NLE00113688,2011-04-21,TMAX,144
NLE00113688,2008-03-23,TMAX,45
NLE00113688,2009-01-31,TMAX,32
NLE00113688,2012-10-27,TMAX,96
NLE00113688,2012-05-19,TMIN,81
NLE00113688,2010-02-10,TMAX,18
NLE00113688,2010-09-16,TMIN,120
NLE00113688,2014-08-26,TMIN,145
NLE00113688,2012-12-24,TMAX,99
NLE00113688,2014-04-14,TMAX,91
NLE00113688,2010-03-29,TMIN,50
NLE00113688,2013-12-22,TMIN,70
NLE00113688,2013-07-06,TMAX,155
NLE00113688,2012-12-24,TMIN,64
NLE00113688,2008-07-25,TMIN,167
NLE00113688,2010-09-16,TMAX,144
NLE00113688,2011-06-21,TMAX,150
NLE00113688,2011-04-01,TMIN,72
NLE00113688,2012-04-04,TMIN,39
NLE00113688,2008-07-25,TMAX,182
NLE00113688,2009-02-24,TMIN,47
NLE00113688,2014-08-30,TMAX,174
NLE00113688,2012-01-04,TMIN,65
NLE00113688,2011-10-24,TMIN,99
NLE00113688,2011-11-22,TMAX,119
NLE00113688,2015-05-29,TMAX,111
NLE00113688,2010-03-03,TMAX,52
NLE00113688,2014-01-21,TMAX,53
NLE00113688,2012-12-15,TMIN,84
NLE00113688,2008-01-10,TMAX,98
NLE00113688,2012-12-15,TMAX,96
NLE00113688,2010-11-22,TMAX,84
NLE00113688,2013-05-02,TMIN,47
NLE00113688,2013-05-02,TMAX,67
NLE00113688,2015-12-15,TMAX,97
NLE00113688,2015-04-16,TMAX,95
NLE00113688,2013-08-14,TMAX,167
NLE00113688,2012-04-26,TMAX,107
NLE00113688,2011-07-07,TMIN,147
NLE00113688,2008-09-16,TMAX,156
NLE00113688,2013-04-01,TMAX,32
NLE00113688,2008-10-10,TMIN,142
NLE00113688,2014-12-02,TMAX,94
NLE00113688,2010-05-08,TMAX,75
NLE00113688,2013-12-17,TMIN,60
NLE00113688,2010-12-01,TMAX,23
NLE00113688,2014-12-24,TMIN,78
NLE00113688,2014-08-25,TMIN,126
NLE00113688,2014-11-20,TMAX,105
NLE00113688,2009-03-25,TMIN,39
NLE00113688,2013-11-13,TMIN,95
NLE00113688,2013-07-01,TMAX,148
NLE00113688,2014-12-09,TMAX,104
NLE00113688,2014-12-09,TMIN,67
NLE00113688,2015-10-31,TMAX,135
NLE00113688,2009-03-29,TMIN,44
NLE00113688,2008-05-09,TMIN,120
NLE00113688,2014-04-28,TMIN,82
NLE00113688,2013-12-17,TMAX,95
NLE00113688,2013-10-22,TMAX,163
NLE00113688,2015-10-14,TMIN,100
NLE00113688,2008-07-05,TMAX,174
NLE00113688,2011-09-05,TMIN,142
NLE00113688,2013-10-22,TMIN,150
NLE00113688,2008-11-27,TMAX,105
NLE00113688,2008-10-05,TMIN,102
NLE00113688,2012-08-15,TMAX,198
NLE00113688,2011-04-01,TMAX,98
NLE00113688,2008-02-20,TMIN,29
NLE00113688,2010-02-08,TMIN,-5
NLE00113688,2007-12-25,TMAX,89
NLE00113688,2008-06-12,TMIN,110
NLE00113688,2013-07-18,TMAX,191
NLE00113688,2014-08-12,TMIN,139
NLE00113688,2014-11-07,TMAX,140
NLE00113688,2009-01-12,TMAX,76
NLE00113688,2008-10-05,TMAX,142
NLE00113688,2008-05-21,TMAX,116
NLE00113688,2012-06-13,TMIN,99
NLE00113688,2010-02-08,TMAX,11
NLE00113688,2008-08-23,TMIN,144
NLE00113688,2010-02-04,TMAX,56
NLE00113688,2008-01-10,TMIN,74
NLE00113688,2012-05-27,TMAX,175
NLE00113688,2010-01-16,TMIN,15
NLE00113688,2008-09-17,TMAX,146
NLE00113688,2014-04-28,TMAX,98
NLE00113688,2011-05-22,TMAX,140
NLE00113688,2013-04-01,TMIN,21
NLE00113688,2014-11-07,TMIN,99
NLE00113688,2015-04-16,TMIN,68
NLE00113688,2013-10-12,TMIN,129
NLE00113688,2013-03-15,TMAX,49
NLE00113688,2009-03-25,TMAX,68
NLE00113688,2013-01-29,TMIN,69
NLE00113688,2013-01-29,TMAX,96
NLE00113688,2013-10-12,TMAX,145
NLE00113688,2008-01-14,TMAX,89
NLE00113688,2014-01-27,TMIN,41
NLE00113688,2011-10-10,TMIN,131
NLE00113688,2011-09-05,TMAX,168
NLE00113688,2014-11-26,TMAX,102
NLE00113688,2012-01-04,TMAX,85
NLE00113688,2008-10-28,TMAX,97
NLE00113688,2012-12-28,TMIN,49
NLE00113688,2015-04-05,TMAX,69
NLE00113688,2012-02-14,TMAX,71
NLE00113688,2008-02-21,TMAX,99
NLE00113688,2013-06-26,TMIN,119
NLE00113688,2008-10-10,TMAX,153
NLE00113688,2012-12-28,TMAX,99
NLE00113688,2013-06-30,TMAX,142
NLE00113688,2011-09-25,TMIN,151
NLE00113688,2012-05-05,TMAX,76
NLE00113688,2013-12-27,TMAX,106
NLE00113688,2012-06-28,TMAX,192
NLE00113688,2015-05-29,TMIN,82
NLE00113688,2014-08-14,TMIN,149
NLE00113688,2013-07-10,TMAX,163
NLE00113688,2013-07-10,TMIN,131
NLE00113688,2011-07-29,TMIN,139
NLE00113688,2015-02-22,TMAX,59
NLE00113688,2009-01-26,TMAX,53
NLE00113688,2013-08-07,TMAX,175
NLE00113688,2013-02-05,TMIN,24
NLE00113688,2009-02-24,TMAX,60
NLE00113688,2011-11-22,TMIN,71
NLE00113688,2014-12-18,TMIN,100
NLE00113688,2015-11-18,TMAX,140
NLE00113688,2014-11-20,TMIN,96
NLE00113688,2015-12-05,TMAX,116
NLE00113688,2015-11-18,TMIN,101
NLE00113688,2013-08-07,TMIN,159
NLE00113688,2008-10-11,TMAX,150
NLE00113688,2012-05-20,TMIN,78
NLE00113688,2013-07-01,TMIN,127
NLE00113688,2013-07-05,TMIN,145
NLE00113688,2008-07-28,TMAX,207
NLE00113688,2015-09-20,TMIN,141
NLE00113688,2014-11-26,TMIN,64
NLE00113688,2009-03-27,TMAX,66
NLE00113688,2008-10-28,TMIN,60
NLE00113688,2015-09-20,TMAX,153
NLE00113688,2008-05-15,TMAX,124
NLE00113688,2013-11-13,TMAX,110
NLE00113688,2011-07-07,TMAX,166
NLE00113688,2014-04-05,TMAX,105
NLE00113688,2015-04-05,TMIN,55
NLE00113688,2008-05-09,TMAX,151
NLE00113688,2015-12-05,TMIN,109
NLE00113688,2013-10-11,TMIN,117
NLE00113688,2008-12-25,TMIN,54
NLE00113688,2013-10-11,TMAX,144
NLE00113688,2012-11-14,TMIN,112
NLE00113688,2012-10-01,TMAX,152
NLE00113688,2013-08-14,TMIN,143
NLE00113688,2011-09-26,TMIN,137
NLE00113688,2008-09-22,TMAX,161
NLE00113688,2015-05-13,TMIN,86
NLE00113688,2015-05-13,TMAX,108
NLE00113688,2009-01-26,TMIN,19
NLE00113688,2013-07-05,TMAX,161
NLE00113688,2012-02-14,TMIN,58
NLE00113688,2010-01-16,TMAX,44
NLE00113688,2013-06-30,TMIN,121
NLE00113688,2012-05-27,TMIN,134
NLE00113688,2008-07-28,TMIN,180
NLE00113688,2012-05-05,TMIN,60
NLE00113688,2008-12-14,TMAX,82
NLE00113688,2008-09-22,TMIN,145
NLE00113688,2010-04-25,TMIN,79
NLE00113688,2010-08-20,TMAX,188
NLE00113688,2015-10-14,TMAX,123
NLE00113688,2014-04-05,TMIN,84
NLE00113688,2011-09-25,TMAX,169
NLE00113688,2012-09-01,TMIN,134
NLE00113688,2008-08-23,TMAX,168
NLE00113688,2015-12-15,TMIN,82
NLE00113688,2013-05-10,TMIN,85
NLE00113688,2012-12-22,TMIN,26
NLE00113688,2015-08-17,TMAX,171
NLE00113688,2008-07-09,TMIN,144
NLE00113688,2013-05-10,TMAX,94
NLE00113688,2013-07-26,TMIN,174
NLE00113688,2012-12-22,TMAX,78
NLE00113688,2014-05-21,TMIN,128
NLE00113688,2014-01-11,TMAX,80
NLE00113688,2013-11-06,TMAX,110
NLE00113688,2013-09-30,TMAX,139
NLE00113688,2015-05-30,TMAX,110
NLE00113688,2013-11-06,TMIN,86
NLE00113688,2010-03-21,TMAX,71
NLE00113688,2012-07-24,TMAX,203
NLE00113688,2012-02-21,TMAX,74
NLE00113688,2010-01-31,TMIN,24
NLE00113688,2012-02-09,TMIN,5
NLE00113688,2014-02-04,TMIN,54
NLE00113688,2014-02-22,TMAX,79
NLE00113688,2010-01-31,TMAX,51
NLE00113688,2009-11-28,TMAX,99
NLE00113688,2014-04-18,TMAX,86
NLE00113688,2012-01-26,TMIN,50
NLE00113688,2015-10-21,TMAX,143
NLE00113688,2013-03-30,TMAX,26
NLE00113688,2009-03-28,TMIN,51
NLE00113688,2010-03-30,TMAX,94
NLE00113688,2013-12-25,TMAX,89
NLE00113688,2013-07-26,TMAX,198
NLE00113688,2012-07-24,TMIN,169
NLE00113688,2012-02-09,TMAX,33
NLE00113688,2008-05-06,TMIN,111
NLE00113688,2009-11-28,TMIN,54
NLE00113688,2011-02-22,TMIN,-15
NLE00113688,2015-10-21,TMIN,114
NLE00113688,2015-02-24,TMIN,49
NLE00113688,2009-04-13,TMAX,87
NLE00113688,2011-01-22,TMIN,59
NLE00113688,2012-08-03,TMIN,158
NLE00113688,2011-09-22,TMIN,136
NLE00113688,2014-03-30,TMAX,98
NLE00113688,2010-06-18,TMIN,112
NLE00113688,2012-08-03,TMAX,169
NLE00113688,2010-05-28,TMAX,115
NLE00113688,2010-11-27,TMAX,41
NLE00113688,2011-04-28,TMAX,106
NLE00113688,2011-08-18,TMAX,156
NLE00113688,2012-05-09,TMIN,91
NLE00113688,2010-12-17,TMAX,31
NLE00113688,2014-04-12,TMAX,94
NLE00113688,2010-12-02,TMIN,-11
NLE00113688,2008-07-20,TMIN,124
NLE00113688,2012-11-14,TMAX,120
NLE00113688,2012-05-19,TMAX,107
NLE00113688,2011-08-18,TMIN,142
NLE00113688,2013-10-24,TMIN,120
NLE00113688,2012-03-30,TMIN,70
NLE00113688,2008-07-09,TMAX,153
NLE00113688,2015-07-06,TMIN,142
NLE00113688,2011-01-22,TMAX,70
NLE00113688,2010-03-30,TMIN,60
NLE00113688,2012-02-21,TMIN,60
NLE00113688,2009-04-13,TMIN,71
NLE00113688,2010-06-08,TMAX,143
NLE00113688,2011-02-22,TMAX,31
NLE00113688,2010-01-10,TMIN,18
NLE00113688,2014-04-11,TMAX,91
