ID,Date,Element,Data_Value
VMM00048825,2014-09-21,TMAX,294
VMM00048820,2006-05-10,TMAX,330
VMM00048820,2008-10-08,TMAX,312
VMM00048820,2011-03-17,TMIN,90
VMM00048825,2015-07-21,TMIN,250
VMM00048820,2009-03-13,TMAX,259
VMM00048825,2014-10-19,TMIN,220
VMM00048820,2011-04-20,TMIN,212
VMM00048825,2013-02-14,TMAX,217
VMM00048825,2014-09-04,TMIN,254
VMM00048820,2006-01-30,TMIN,183
VMM00048825,2013-06-16,TMIN,272
VMM00048820,2007-10-04,TMAX,286
VMM00048820,2012-03-14,TMIN,148
VMM00048820,2006-10-24,TMAX,321
VMM00048825,2012-11-28,TMIN,156
VMM00048825,2013-07-01,TMIN,251
VMM00048820,2009-02-16,TMAX,302
VMM00048820,2006-11-25,TMAX,297
VMM00048825,2014-05-22,TMIN,289
VMM00048825,2012-12-05,TMIN,157
VMM00048820,2012-01-14,TMIN,158
VMM00048825,2015-03-23,TMIN,215
VMM00048820,2009-09-12,TMIN,258
VMM00048820,2008-12-02,TMAX,245
VMM00048820,2009-05-05,TMAX,302
VMM00048820,2010-11-13,TMAX,285
VMM00048825,2014-12-02,TMAX,182
VMM00048820,2007-01-16,TMAX,262
VMM00048820,2011-03-17,TMAX,112
VMM00048825,2014-12-02,TMIN,159
VMM00048820,2009-08-17,TMIN,255
VMM00048820,2007-05-02,TMIN,218
VMM00048820,2010-04-28,TMIN,219
VMM00048820,2009-08-03,TMIN,280
VMM00048825,2013-03-19,TMIN,235
VMM00048820,2005-06-12,TMAX,357
VMM00048825,2013-01-06,TMAX,130
VMM00048825,2013-01-08,TMAX,123
VMM00048825,2014-12-01,TMAX,227
VMM00048820,2008-04-10,TMAX,282
VMM00048825,2013-03-14,TMAX,275
VMM00048820,2007-02-25,TMAX,280
VMM00048825,2013-05-07,TMIN,226
VMM00048820,2006-07-20,TMAX,346
VMM00048825,2013-05-07,TMAX,312
VMM00048820,2008-10-10,TMAX,324
VMM00048820,2012-04-02,TMIN,196
VMM00048820,2010-04-19,TMAX,310
VMM00048825,2014-09-04,TMAX,333
VMM00048825,2015-11-18,TMIN,256
VMM00048820,2012-04-02,TMAX,282
VMM00048820,2011-10-18,TMAX,301
VMM00048820,2007-07-31,TMAX,343
VMM00048820,2010-04-04,TMIN,200
VMM00048820,2006-08-04,TMAX,314
VMM00048820,2009-02-04,TMAX,252
VMM00048820,2010-04-28,TMAX,281
VMM00048820,2006-03-20,TMAX,230
VMM00048820,2007-10-07,TMIN,255
VMM00048820,2012-04-09,TMIN,205
VMM00048820,2007-05-21,TMAX,340
VMM00048825,2012-12-03,TMIN,164
VMM00048820,2011-04-28,TMAX,283
VMM00048820,2010-07-18,TMAX,320
VMM00048820,2011-08-29,TMAX,354
VMM00048820,2012-07-28,TMAX,327
VMM00048820,2011-09-02,TMIN,266
VMM00048825,2012-12-05,TMAX,210
VMM00048825,2014-04-12,TMAX,277
VMM00048825,2015-09-17,TMIN,257
VMM00048825,2014-10-15,TMAX,300
VMM00048820,2010-10-16,TMIN,215
VMM00048825,2014-12-28,TMAX,204
VMM00048825,2014-11-01,TMAX,320
VMM00048820,2007-12-21,TMAX,253
VMM00048825,2013-06-01,TMIN,264
VMM00048820,2010-07-27,TMAX,336
VMM00048820,2007-08-11,TMAX,325
VMM00048825,2013-11-11,TMIN,219
VMM00048825,2013-12-26,TMAX,207
VMM00048825,2014-12-15,TMAX,221
VMM00048825,2014-04-12,TMIN,238
VMM00048825,2013-12-12,TMAX,177
VMM00048825,2015-06-03,TMIN,248
VMM00048825,2014-07-10,TMAX,350
VMM00048820,2006-08-04,TMIN,254
VMM00048820,2006-10-24,TMIN,245
VMM00048820,2010-11-03,TMAX,270
VMM00048825,2015-02-23,TMIN,214
VMM00048820,2010-01-05,TMIN,199
VMM00048820,2012-05-22,TMIN,240
VMM00048825,2013-04-23,TMAX,318
VMM00048820,2011-06-15,TMAX,349
VMM00048825,2014-03-17,TMIN,182
VMM00048825,2014-02-12,TMAX,124
VMM00048825,2014-04-15,TMAX,295
VMM00048820,2012-04-09,TMAX,279
VMM00048820,2009-05-09,TMAX,270
VMM00048820,2008-05-17,TMAX,315
VMM00048820,2006-03-20,TMIN,206
VMM00048820,2012-06-21,TMAX,344
VMM00048820,2010-07-12,TMAX,378
VMM00048820,2006-07-10,TMAX,368
VMM00048820,2010-08-14,TMAX,342
VMM00048825,2014-12-15,TMIN,122
VMM00048820,2009-11-09,TMAX,323
VMM00048820,2011-03-20,TMAX,210
VMM00048820,2012-03-31,TMAX,230
VMM00048825,2015-02-01,TMIN,118
VMM00048820,2012-02-01,TMAX,177
VMM00048820,2012-02-01,TMIN,124
VMM00048820,2010-10-26,TMAX,272
