ID,Date,Element,Data_Value
MGM00044225,2015-12-18,TMAX,-256
MGM00044225,2013-04-24,TMAX,152
MGM00044225,2009-12-08,TMIN,-271
MGM00044225,2012-02-25,TMAX,-250
MGM00044225,2010-06-18,TMAX,300
MGM00044225,2012-02-18,TMIN,-425
MGM00044225,2012-02-25,TMIN,-407
MGM00044225,2009-07-07,TMIN,83
MGM00044225,2013-04-24,TMIN,-54
MGM00044225,2006-05-24,TMAX,127
MGM00044225,2008-09-11,TMAX,208
MGM00044225,2014-03-15,TMAX,-16
MGM00044225,2015-10-29,TMIN,-173
MGM00044225,2014-01-17,TMIN,-367
MGM00044225,2006-05-30,TMAX,105
MGM00044225,2008-08-13,TMIN,96
MGM00044225,2013-03-17,TMAX,-18
MGM00044225,2009-09-06,TMIN,3
MGM00044225,2010-12-26,TMAX,-245
MGM00044225,2008-04-30,TMIN,-57
MGM00044225,2014-03-28,TMAX,-12
MGM00044225,2008-03-22,TMIN,-172
MGM00044225,2012-09-11,TMIN,-22
MGM00044225,2007-06-25,TMAX,233
MGM00044225,2010-10-10,TMIN,-125
MGM00044225,2015-10-22,TMAX,107
MGM00044225,2015-02-26,TMIN,-322
MGM00044225,2008-06-24,TMAX,231
MGM00044225,2011-05-06,TMIN,-59
MGM00044225,2010-07-17,TMIN,79
MGM00044225,2015-06-10,TMIN,8
MGM00044225,2009-08-23,TMAX,210
MGM00044225,2007-01-31,TMAX,-190
MGM00044225,2008-02-07,TMIN,-438
MGM00044225,2011-06-15,TMIN,87
MGM00044225,2006-03-30,TMAX,36
MGM00044225,2009-11-11,TMAX,-112
MGM00044225,2005-09-22,TMAX,155
MGM00044225,2014-03-15,TMIN,-197
MGM00044225,2007-02-16,TMIN,-333
MGM00044225,2008-06-23,TMAX,230
MGM00044225,2011-06-15,TMAX,255
MGM00044225,2010-07-17,TMAX,162
MGM00044225,2008-06-23,TMIN,44
MGM00044225,2012-09-11,TMAX,156
MGM00044225,2014-01-17,TMAX,-232
MGM00044225,2010-04-15,TMAX,30
MGM00044225,2015-06-07,TMAX,127
MGM00044225,2006-07-20,TMAX,240
MGM00044225,2015-10-12,TMIN,-76
MGM00044225,2006-07-20,TMIN,75
MGM00044225,2015-08-13,TMAX,223
MGM00044225,2007-06-25,TMIN,70
MGM00044225,2014-01-30,TMIN,-359
MGM00044225,2010-10-12,TMIN,-105
MGM00044225,2014-01-13,TMAX,-303
MGM00044225,2009-03-11,TMAX,-94
MGM00044225,2010-04-07,TMAX,14
MGM00044225,2011-11-14,TMAX,-113
MGM00044225,2014-03-03,TMAX,-152
MGM00044225,2015-08-13,TMIN,59
MGM00044225,2014-01-30,TMAX,-206
MGM00044225,2006-05-24,TMIN,-24
MGM00044225,2009-09-06,TMAX,164
MGM00044225,2005-01-24,TMAX,-350
MGM00044225,2012-07-07,TMAX,244
MGM00044225,2008-07-27,TMAX,160
MGM00044225,2015-05-28,TMAX,153
MGM00044225,2012-02-21,TMAX,-136
MGM00044225,2005-03-27,TMIN,-204
MGM00044225,2011-08-23,TMAX,194
MGM00044225,2012-04-25,TMIN,-22
MGM00044225,2007-01-07,TMAX,-295
MGM00044225,2009-11-29,TMAX,-276
MGM00044225,2013-06-16,TMAX,124
MGM00044225,2007-01-07,TMIN,-380
MGM00044225,2014-09-13,TMAX,83
MGM00044225,2009-11-29,TMIN,-355
MGM00044225,2008-06-01,TMAX,244
MGM00044225,2008-09-11,TMIN,21
MGM00044225,2008-04-30,TMAX,100
MGM00044225,2010-03-23,TMAX,-103
MGM00044225,2013-05-23,TMAX,165
MGM00044225,2005-12-22,TMIN,-330
MGM00044225,2005-01-24,TMIN,-443
